Date,Open,High,Low,Close,Volume
09/21/2023,"..1.86","..1.88","..1.84","..1.86","578,247"
09/20/2023,"..1.90","..1.91","..1.85","..1.86","1,209,763"
09/19/2023,"..1.91","..1.92","..1.90","..1.90","649,028"
09/18/2023,"..1.91","..1.94","..1.91","..1.91","1,777,111"
09/14/2023,"..1.92","..1.94","..1.90","..1.90","1,700,398"
09/13/2023,"..1.93","..1.93","..1.90","..1.92","1,244,216"
09/12/2023,"..1.93","..1.94","..1.92","..1.93","737,897"
09/11/2023,"..1.97","..1.98","..1.91","..1.93","843,373"
09/07/2023,"..1.98","..1.99","..1.96","..1.97","494,300"
09/06/2023,"..1.96","..2.00","..1.95","..1.98","1,747,332"
09/05/2023,"..1.98","..2.00","..1.95","..1.96","1,346,065"
09/04/2023,"..1.99","..2.03","..1.97","..1.98","729,238"
08/31/2023,"..2.04","..2.06","..2.00","..2.01","2,158,616"
08/30/2023,"..2.00","..2.07","..1.97","..2.04","4,299,394"
08/29/2023,"..2.01","..2.02","..1.99","..2.00","2,028,795"
08/28/2023,"..2.07","..2.08","..1.99","..2.01","2,689,114"
08/24/2023,"..2.02","..2.08","..2.02","..2.03","2,400,393"
08/23/2023,"..2.08","..2.09","..2.02","..2.02","1,026,368"
08/22/2023,"..2.07","..2.09","..2.04","..2.08","1,262,041"
08/21/2023,"..2.09","..2.10","..2.05","..2.07","1,385,059"
08/17/2023,"..2.12","..2.15","..2.06","..2.07","1,868,769"
08/16/2023,"..2.13","..2.19","..2.12","..2.12","2,060,684"
08/15/2023,"..2.16","..2.17","..2.12","..2.13","710,651"
08/14/2023,"..2.08","..2.17","..2.08","..2.16","2,383,554"
08/10/2023,"..2.15","..2.17","..2.09","..2.10","3,255,118"
08/09/2023,"..2.12","..2.20","..2.09","..2.15","4,582,978"
08/08/2023,"..2.05","..2.14","..2.05","..2.12","3,305,495"
08/07/2023,"..2.12","..2.14","..2.03","..2.05","1,831,225"
08/03/2023,"..2.07","..2.14","..2.06","..2.13","1,971,065"
08/02/2023,"..2.10","..2.15","..2.07","..2.07","1,905,654"
08/01/2023,"..2.05","..2.12","..2.03","..2.10","3,274,545"
07/31/2023,"..2.01","..2.05","..1.98","..2.05","3,355,348"
07/27/2023,"..1.94","..1.95","..1.90","..1.91","812,505"
07/26/2023,"..1.94","..1.97","..1.92","..1.94","1,251,851"
07/25/2023,"..1.90","..1.95","..1.86","..1.94","2,514,246"
07/24/2023,"..1.87","..1.92","..1.88","..1.90","1,104,418"
07/19/2023,"..1.90","..1.91","..1.85","..1.87","736,570"
07/18/2023,"..1.91","..1.94","..1.90","..1.90","570,361"
07/17/2023,"..1.93","..1.94","..1.89","..1.91","626,366"
07/13/2023,"..1.94","..1.97","..1.93","..1.95","2,270,186"
07/12/2023,"..1.83","..1.97","..1.84","..1.94","4,275,778"
07/11/2023,"..1.82","..1.86","..1.81","..1.83","394,605"
07/10/2023,"..1.84","..1.88","..1.80","..1.82","350,741"
07/06/2023,"..1.88","..1.90","..1.84","..1.86","2,087,091"
07/05/2023,"..1.90","..1.91","..1.87","..1.88","1,323,767"
07/04/2023,"..1.84","..1.90","..1.85","..1.90","1,562,037"
06/26/2023,"..1.84","..1.85","..1.83","..1.84","151,413"
06/22/2023,"..1.77","..1.80","..1.75","..1.75","397,053"
06/21/2023,"..1.79","..1.79","..1.76","..1.77","516,677"
06/20/2023,"..1.79","..1.81","..1.79","..1.79","356,613"
06/19/2023,"..1.81","..1.83","..1.78","..1.79","636,809"
06/15/2023,"..1.80","..1.83","..1.79","..1.80","817,781"
06/14/2023,"..1.85","..1.85","..1.80","..1.80","1,026,917"
06/13/2023,"..1.86","..1.86","..1.84","..1.85","1,077,341"
06/12/2023,"..1.87","..1.90","..1.85","..1.87","509,466"
06/08/2023,"..1.80","..1.83","..1.77","..1.82","271,663"
06/07/2023,"..1.81","..1.85","..1.80","..1.80","1,174,919"
06/06/2023,"..1.77","..1.82","..1.79","..1.81","1,193,816"
06/05/2023,"..1.84","..1.86","..1.76","..1.77","1,386,951"
06/01/2023,"..1.87","..1.88","..1.85","..1.86","965,040"
05/31/2023,"..1.90","..1.92","..1.86","..1.87","2,471,526"
05/30/2023,"..1.87","..1.94","..1.88","..1.90","4,916,510"
