Date,Open,High,Low,Close,Volume
09/21/2023,"..10.37","..10.55","..10.21","..10.35","373,945"
09/20/2023,"..10.84","..11.20","..10.31","..10.37","670,841"
09/19/2023,"..11.04","..11.37","..10.80","..10.84","1,381,002"
09/18/2023,"..10.22","..11.20","..10.19","..11.04","3,325,537"
09/14/2023,"..10.50","..10.65","..10.20","..10.25","1,228,251"
09/13/2023,"..9.77","..10.50","..9.77","..10.50","1,338,598"
09/12/2023,"..9.60","..10.09","..9.61","..9.77","1,820,578"
09/11/2023,"..9.82","..9.97","..9.58","..9.60","1,003,579"
09/07/2023,"..9.79","..10.10","..9.60","..9.89","965,582"
09/06/2023,"..10.31","..10.40","..9.77","..9.79","831,739"
09/05/2023,"..10.52","..10.78","..10.23","..10.31","884,195"
09/04/2023,"..10.23","..10.77","..10.24","..10.52","1,515,236"
08/31/2023,"..11.09","..11.35","..10.75","..10.77","1,567,650"
08/30/2023,"..11.03","..11.25","..10.86","..11.09","1,529,063"
08/29/2023,"..11.17","..11.44","..11.01","..11.03","2,012,008"
08/28/2023,"..11.14","..11.75","..11.11","..11.17","3,657,395"
08/24/2023,"..10.24","..10.99","..10.13","..10.75","4,346,734"
08/23/2023,"..10.78","..10.92","..10.09","..10.24","3,090,159"
08/22/2023,"..10.42","..11.22","..10.50","..10.78","4,917,144"
08/21/2023,"..10.76","..10.94","..10.23","..10.42","3,526,710"
08/17/2023,"..8.75","..10.44","..8.80","..10.44","7,310,473"
08/16/2023,"..9.00","..9.20","..8.65","..8.75","2,705,696"
08/15/2023,"..8.82","..10.20","..8.91","..9.00","7,454,873"
08/14/2023,"..7.47","..8.91","..7.47","..8.82","4,920,718"
08/10/2023,"..7.40","..7.60","..7.26","..7.36","229,168"
08/09/2023,"..7.41","..7.55","..7.37","..7.40","293,216"
08/08/2023,"..7.50","..7.55","..7.36","..7.41","322,645"
08/07/2023,"..7.49","..7.64","..7.49","..7.50","356,836"
08/03/2023,"..7.42","..7.50","..7.25","..7.40","309,171"
08/02/2023,"..6.93","..7.65","..7.00","..7.42","2,251,874"
08/01/2023,"..6.91","..6.97","..6.91","..6.93","99,881"
07/31/2023,"..6.89","..7.05","..6.83","..6.91","159,335"
07/27/2023,"..7.14","..7.19","..7.00","..7.04","215,057"
07/26/2023,"..7.13","..7.20","..7.01","..7.14","354,556"
07/25/2023,"..7.34","..7.39","..7.12","..7.13","362,145"
07/24/2023,"..7.09","..7.64","..7.19","..7.34","1,167,165"
07/19/2023,"..6.79","..7.22","..6.80","..7.09","958,254"
07/18/2023,"..6.69","..6.89","..6.68","..6.79","225,379"
07/17/2023,"..6.68","..6.78","..6.66","..6.69","246,245"
07/13/2023,"..6.60","..6.70","..6.58","..6.69","168,655"
07/12/2023,"..6.59","..6.77","..6.59","..6.60","217,263"
07/11/2023,"..6.52","..6.68","..6.51","..6.59","189,674"
07/10/2023,"..6.49","..6.61","..6.25","..6.52","183,761"
07/06/2023,"..7.03","..7.14","..6.90","..6.91","207,673"
07/05/2023,"..6.98","..7.14","..7.00","..7.03","253,547"
07/04/2023,"..6.79","..7.15","..6.80","..6.98","471,128"
06/26/2023,"..6.78","..6.83","..6.75","..6.79","123,929"
06/22/2023,"..6.81","..6.90","..6.71","..6.80","166,657"
06/21/2023,"..7.02","..7.10","..6.77","..6.81","309,806"
06/20/2023,"..7.11","..7.18","..7.00","..7.02","296,199"
06/19/2023,"..7.15","..7.25","..7.09","..7.11","325,803"
06/15/2023,"..7.10","..7.24","..7.10","..7.13","196,977"
