Date,Open,High,Low,Close,Volume
09/21/2023,"..0.95","..0.95","..0.87","..0.91","1,164,644"
09/20/2023,"..0.93","..0.95","..0.86","..0.90","1,039,098"
09/19/2023,"..0.99","..0.99","..0.93","..0.94","1,434,265"
09/18/2023,"..0.91","..0.99","..0.89","..0.96","1,880,186"
09/14/2023,"..0.82","..0.87","..0.81","..0.84","1,546,597"
09/13/2023,"..0.82","..0.85","..0.81","..0.83","540,228"
09/12/2023,"..0.80","..0.82","..0.80","..0.81","502,148"
09/11/2023,"..0.84","..0.84","..0.79","..0.80","560,205"
09/07/2023,"..0.78","..0.82","..0.77","..0.81","608,750"
09/06/2023,"..0.80","..0.81","..0.75","..0.77","1,291,420"
09/05/2023,"..0.80","..0.81","..0.78","..0.79","386,372"
09/04/2023,"..0.76","..0.82","..0.75","..0.81","428,188"
08/31/2023,"..0.79","..0.79","..0.76","..0.79","188,928"
08/30/2023,"..0.82","..0.82","..0.79","..0.79","50,088"
08/29/2023,"..0.79","..0.82","..0.77","..0.79","666,976"
08/28/2023,"..0.73","..0.84","..0.72","..0.82","2,830,531"
08/24/2023,"..0.70","..0.72","..0.68","..0.70","437,004"
08/23/2023,"..0.70","..0.71","..0.67","..0.68","802,733"
08/22/2023,"..0.67","..0.70","..0.67","..0.69","443,443"
08/21/2023,"..0.68","..0.70","..0.66","..0.67","372,535"
08/17/2023,"..0.68","..0.68","..0.64","..0.65","768,651"
08/16/2023,"..0.62","..0.68","..0.62","..0.67","1,288,223"
08/15/2023,"..0.61","..0.63","..0.61","..0.60","152,889"
08/14/2023,"..0.60","..0.64","..0.60","..0.60","382,657"
08/10/2023,"..0.58","..0.61","..0.58","..0.61","82,461"
08/09/2023,"..0.59","..0.59","..0.58","..0.61","153,878"
08/08/2023,"..0.60","..0.60","..0.58","..0.61","88,035"
08/07/2023,"..0.59","..0.59","..0.58","..0.61","27,601"
08/03/2023,"..0.60","..0.60","..0.57","..0.61","155,088"
08/02/2023,"..0.58","..0.61","..0.57","..0.61","141,140"
08/01/2023,"..0.58","..0.59","..0.57","..0.61","165,833"
07/31/2023,"..0.59","..0.61","..0.58","..0.61","95,849"
07/27/2023,"..0.59","..0.60","..0.58","..0.61","194,736"
07/26/2023,"..0.58","..0.61","..0.58","..0.61","394,313"
07/25/2023,"..0.58","..0.61","..0.58","..0.61","35,700"
07/24/2023,"..0.59","..0.61","..0.58","..0.61","121,612"
07/19/2023,"..0.60","..0.60","..0.59","..0.61","196,932"
07/18/2023,"..0.59","..0.61","..0.59","..0.61","25,945"
07/17/2023,"..0.59","..0.59","..0.59","..0.61","100"
07/13/2023,"..0.62","..0.65","..0.60","..0.61","208,967"
07/12/2023,"..0.61","..0.63","..0.57","..0.61","838,589"
07/11/2023,"..0.61","..0.61","..0.58","..0.59","54,441"
07/10/2023,"..0.59","..0.61","..0.57","..0.59","225,479"
07/06/2023,"..0.62","..0.63","..0.59","..0.62","344,184"
07/05/2023,"..0.63","..0.66","..0.61","..0.62","485,032"
07/04/2023,"..0.62","..0.64","..0.61","..0.62","484,615"
06/26/2023,"..0.65","..0.68","..0.59","..0.61","884,618"
06/22/2023,"..0.59","..0.62","..0.58","..0.61","861,169"
06/21/2023,"..0.58","..0.62","..0.58","..0.59","669,506"
06/20/2023,"..0.59","..0.60","..0.58","..0.60","270,171"
06/19/2023,"..0.60","..0.61","..0.58","..0.60","365,333"
06/15/2023,"..0.58","..0.60","..0.58","..0.58","514,997"
06/14/2023,"..0.60","..0.63","..0.57","..0.58","580,046"
06/13/2023,"..0.59","..0.60","..0.57","..0.61","392,796"
06/12/2023,"..0.60","..0.60","..0.57","..0.61","316,637"
06/08/2023,"..0.61","..0.64","..0.60","..0.64","352,656"
06/07/2023,"..0.63","..0.68","..0.61","..0.64","290,404"
06/06/2023,"..0.62","..0.64","..0.60","..0.64","164,479"
06/05/2023,"..0.64","..0.64","..0.61","..0.64","337,727"
06/01/2023,"..0.58","..0.60","..0.57","..0.60","84,910"
05/31/2023,"..0.59","..0.59","..0.59","..0.60","125,900"
05/30/2023,"..0.61","..0.62","..0.59","..0.60","528,777"
05/29/2023,"..0.63","..0.63","..0.59","..0.61","603,689"
05/25/2023,"..0.58","..0.63","..0.58","..0.61","501,718"
05/24/2023,"..0.58","..0.58","..0.57","..0.58","214,419"
05/23/2023,"..0.56","..0.57","..0.56","..0.58","25,284"
05/22/2023,"..0.58","..0.58","..0.56","..0.58","59,133"
05/18/2023,"..0.58","..0.58","..0.55","..0.58","79,481"
05/17/2023,"..0.57","..0.57","..0.57","..0.58","26,218"
05/16/2023,"..0.57","..0.58","..0.57","..0.58","5,297"
05/15/2023,"..0.57","..0.58","..0.57","..0.58","183,171"
05/11/2023,"..0.57","..0.58","..0.57","..0.58","58,527"
05/10/2023,"..0.58","..0.58","..0.57","..0.58","86,687"
05/09/2023,"..0.57","..0.59","..0.57","..0.58","141,577"
05/08/2023,"..0.57","..0.58","..0.57","..0.58","75,042"
05/03/2023,"..0.58","..0.59","..0.57","..0.58","40,250"
05/02/2023,"..0.60","..0.60","..0.57","..0.58","7,300"
05/01/2023,"..0.58","..0.59","..0.57","..0.58","47,998"
04/27/2023,"..0.60","..0.60","..0.56","..0.61","156,971"
04/26/2023,"..0.57","..0.60","..0.56","..0.61","99,022"
04/19/2023,"..0.59","..0.59","..0.56","..0.61","215,159"
04/18/2023,"..0.59","..0.60","..0.59","..0.61","140,286"
04/13/2023,"..0.60","..0.60","..0.57","..0.61","16,847"
04/12/2023,"..0.59","..0.59","..0.58","..0.61","5,020"
04/11/2023,"..0.59","..0.61","..0.58","..0.61","107,241"
04/10/2023,"..0.61","..0.61","..0.58","..0.61","176,946"
04/06/2023,"..0.60","..0.65","..0.57","..0.61","657,403"
04/05/2023,"..0.56","..0.62","..0.56","..0.60","198,285"
04/04/2023,"..0.55","..0.60","..0.55","..0.60","181,269"
04/03/2023,"..0.55","..0.60","..0.55","..0.60","116,323"
03/30/2023,"..0.56","..0.56","..0.55","..0.60","45,478"
03/29/2023,"..0.56","..0.58","..0.55","..0.60","114,337"
03/28/2023,"..0.56","..0.57","..0.56","..0.60","58,820"
03/27/2023,"..0.56","..0.58","..0.55","..0.60","74,199"
03/22/2023,"..0.62","..0.62","..0.57","..0.60","80,729"
03/21/2023,"..0.61","..0.63","..0.56","..0.60","210,905"
03/20/2023,"..0.57","..0.63","..0.56","..0.60","535,585"
03/16/2023,"..0.56","..0.59","..0.56","..0.70","21,013"
03/15/2023,"..0.62","..0.62","..0.56","..0.70","137,102"
03/14/2023,"..0.57","..0.60","..0.56","..0.70","202,426"
03/13/2023,"..0.61","..0.63","..0.56","..0.70","333,506"
03/09/2023,"..0.67","..0.67","..0.63","..0.70","56,121"
03/08/2023,"..0.64","..0.70","..0.63","..0.70","332,840"
03/07/2023,"..0.65","..0.68","..0.64","..0.70","439,464"
03/06/2023,"..0.69","..0.70","..0.65","..0.70","172,238"
03/02/2023,"..0.69","..0.69","..0.65","..0.70","153,714"
03/01/2023,"..0.64","..0.68","..0.64","..0.70","283,203"
02/28/2023,"..0.68","..0.70","..0.63","..0.70","340,084"
02/27/2023,"..0.70","..0.70","..0.66","..0.70","310,596"
02/23/2023,"..0.58","..0.61","..0.58","..0.63","165,653"
02/22/2023,"..0.61","..0.64","..0.58","..0.63","238,071"
02/21/2023,"..0.58","..0.63","..0.58","..0.63","52,096"
02/20/2023,"..0.61","..0.65","..0.60","..0.63","194,486"
02/16/2023,"..0.64","..0.64","..0.61","..0.63","228,341"
02/15/2023,"..0.64","..0.64","..0.63","..0.63","168,565"
02/14/2023,"..0.64","..0.65","..0.64","..0.63","133,043"
02/13/2023,"..0.67","..0.67","..0.63","..0.63","190,609"
02/09/2023,"..0.63","..0.66","..0.63","..0.63","318,195"
02/08/2023,"..0.66","..0.67","..0.62","..0.63","500,869"
02/07/2023,"..0.66","..0.67","..0.65","..0.72","358,751"
02/06/2023,"..0.69","..0.69","..0.64","..0.72","362,629"
02/02/2023,"..0.72","..0.73","..0.67","..0.72","370,840"
02/01/2023,"..0.70","..0.78","..0.67","..0.72","235,813"
01/31/2023,"..0.75","..0.77","..0.72","..0.72","533,278"
01/30/2023,"..0.80","..0.82","..0.74","..0.75","617,672"
01/25/2023,"..0.68","..0.80","..0.68","..0.79","3,475,902"
01/24/2023,"..0.66","..0.66","..0.65","..0.70","182,942"
01/23/2023,"..0.66","..0.69","..0.65","..0.70","33,160"
01/19/2023,"..0.67","..0.69","..0.64","..0.70","109,998"
01/18/2023,"..0.66","..0.68","..0.66","..0.70","187,000"
01/17/2023,"..0.66","..0.69","..0.66","..0.70","55,876"
01/16/2023,"..0.67","..0.70","..0.63","..0.70","54,698"
01/12/2023,"..0.66","..0.66","..0.66","..0.70","26,244"
01/11/2023,"..0.67","..0.69","..0.67","..0.70","93,370"
01/10/2023,"..0.68","..0.68","..0.68","..0.70","157,240"
01/09/2023,"..0.70","..0.71","..0.69","..0.70","467,706"
01/05/2023,"..0.70","..0.72","..0.69","..0.70","122,444"
01/04/2023,"..0.71","..0.71","..0.69","..0.70","57,384"
01/03/2023,"..0.70","..0.72","..0.70","..0.70","100,140"
01/02/2023,"..0.71","..0.71","..0.67","..0.70","23,196"
12/29/2022,"..0.70","..0.71","..0.69","..0.70","77,934"
12/28/2022,"..0.71","..0.71","..0.70","..0.70","30,482"
12/27/2022,"..0.71","..0.71","..0.71","..0.70","202,070"
12/26/2022,"..0.68","..0.71","..0.66","..0.70","408,704"
12/22/2022,"..0.68","..0.69","..0.68","..0.70","29,166"
12/21/2022,"..0.69","..0.70","..0.66","..0.70","85,216"
12/20/2022,"..0.72","..0.72","..0.69","..0.70","53,516"
12/19/2022,"..0.70","..0.70","..0.69","..0.70","91,200"
12/15/2022,"..0.73","..0.73","..0.70","..0.70","437,426"
12/14/2022,"..0.71","..0.73","..0.71","..0.72","419,568"
12/13/2022,"..0.72","..0.72","..0.70","..0.70","382,498"
12/12/2022,"..0.70","..0.71","..0.70","..0.70","264,928"
12/08/2022,"..0.71","..0.71","..0.70","..0.71","813,972"
12/07/2022,"..0.69","..0.72","..0.69","..0.70","99,276"
12/06/2022,"..0.72","..0.72","..0.70","..0.70","245,882"
12/05/2022,"..0.74","..0.74","..0.70","..0.70","520,650"
12/01/2022,"..0.73","..0.73","..0.71","..0.71","212,250"
11/30/2022,"..0.72","..0.74","..0.71","..0.71","552,662"
11/29/2022,"..0.72","..0.75","..0.71","..0.72","701,666"
11/28/2022,"..0.73","..0.74","..0.70","..0.71","1,015,532"
11/24/2022,"..0.70","..0.70","..0.68","..0.70","109,004"
11/23/2022,"..0.71","..0.71","..0.69","..0.70","213,132"
11/22/2022,"..0.70","..0.70","..0.69","..0.70","225,380"
11/21/2022,"..0.70","..0.71","..0.70","..0.70","270,644"
11/17/2022,"..0.72","..0.74","..0.70","..0.71","752,136"
11/16/2022,"..0.74","..0.77","..0.71","..0.73","2,144,646"
11/15/2022,"..0.69","..0.73","..0.66","..0.72","595,556"
11/14/2022,"..0.66","..0.69","..0.63","..0.66","559,646"
11/10/2022,"..0.62","..0.65","..0.62","..0.70","156,056"
11/09/2022,"..0.65","..0.65","..0.61","..0.70","107,422"
11/08/2022,"..0.64","..0.64","..0.63","..0.70","126,470"
11/07/2022,"..0.64","..0.66","..0.64","..0.70","163,062"
11/03/2022,"..0.66","..0.66","..0.64","..0.70","134,440"
11/02/2022,"..0.68","..0.68","..0.66","..0.70","291,918"
11/01/2022,"..0.67","..0.69","..0.67","..0.70","101,096"
10/31/2022,"..0.67","..0.70","..0.67","..0.70","84,194"
10/27/2022,"..0.69","..0.71","..0.68","..0.70","316,898"
10/26/2022,"..0.70","..0.70","..0.68","..0.70","91,454"
10/25/2022,"..0.68","..0.73","..0.68","..0.70","580,044"
10/24/2022,"..0.68","..0.69","..0.68","..0.69","233,636"
10/20/2022,"..0.66","..0.70","..0.66","..0.69","116,230"
10/19/2022,"..0.69","..0.73","..0.69","..0.69","413,263"
10/18/2022,"..0.69","..0.70","..0.61","..0.69","493,448"
10/17/2022,"..0.71","..0.71","..0.69","..0.70","179,206"
10/13/2022,"..0.67","..0.74","..0.67","..0.70","567,419"
10/12/2022,"..0.68","..0.73","..0.66","..0.73","400,748"
10/11/2022,"..0.72","..0.72","..0.65","..0.73","244,306"
10/10/2022,"..0.70","..0.73","..0.69","..0.73","164,512"
10/05/2022,"..0.75","..0.76","..0.73","..0.73","482,557"
10/04/2022,"..0.74","..0.76","..0.73","..0.76","248,032"
10/03/2022,"..0.73","..0.76","..0.72","..0.76","143,961"
09/29/2022,"..0.75","..0.76","..0.74","..0.76","252,999"
09/28/2022,"..0.76","..0.77","..0.74","..0.76","242,691"
09/27/2022,"..0.77","..0.79","..0.76","..0.76","665,872"
09/26/2022,"..0.76","..0.79","..0.76","..0.76","408,372"
