Date,Open,High,Low,Close,Volume
09/21/2023,"..1.80","..1.82","..1.80","..1.80","56,967"
09/20/2023,"..1.82","..1.95","..1.81","..1.82","76,597"
09/19/2023,"..1.84","..1.99","..1.80","..1.84","183,199"
09/18/2023,"..1.98","..2.04","..1.98","..1.98","378,097"
09/14/2023,"..1.98","..1.98","..1.98","..1.98","11,300"
09/13/2023,"..1.98","..1.98","..1.98","..1.98","461"
09/12/2023,"..1.98","..1.98","..1.98","..1.98","885"
09/11/2023,"..1.98","..1.98","..1.98","..1.98","23"
09/07/2023,"..1.98","..1.98","..1.98","..1.98","2,085"
09/06/2023,"..1.98","..1.98","..1.98","..1.98","516"
09/05/2023,"..1.98","..1.98","..1.98","..1.98","1,834"
09/04/2023,"..1.98","..1.98","..1.98","..1.98","6,116"
08/31/2023,"..1.98","..1.98","..1.98","..1.98","6,000"
08/30/2023,"..1.98","..1.98","..1.98","..1.98","22,479"
08/28/2023,"..1.98","..1.98","..1.98","..1.98","6,000"
08/24/2023,"..1.98","..1.98","..1.98","..1.98","40"
08/23/2023,"..1.98","..1.98","..1.98","..1.98","1,669"
08/22/2023,"..1.98","..1.98","..1.98","..1.98","11"
08/21/2023,"..1.98","..1.98","..1.98","..1.98","1,425"
08/17/2023,"..1.98","..1.98","..1.98","..1.98","720"
08/16/2023,"..1.98","..1.98","..1.98","..1.98","3,380"
08/15/2023,"..1.98","..1.98","..1.98","..1.98","5,000"
08/14/2023,"..1.98","..1.98","..1.98","..1.98","2,246"
08/10/2023,"..1.98","..1.99","..1.98","..1.98","49,050"
08/09/2023,"..1.98","..1.98","..1.98","..1.98","2,691"
08/08/2023,"..1.98","..1.98","..1.98","..1.98","1"
08/07/2023,"..1.98","..1.98","..1.98","..1.98","800"
08/03/2023,"..1.98","..2.06","..1.98","..1.98","34,108"
08/02/2023,"..1.98","..1.98","..1.98","..1.98","328"
08/01/2023,"..1.98","..1.98","..1.98","..1.98","300"
07/31/2023,"..1.98","..1.98","..1.98","..1.98","1,551"
07/27/2023,"..1.98","..1.98","..1.98","..1.98","5,113"
07/26/2023,"..1.98","..1.98","..1.98","..1.98","1,350"
07/25/2023,"..1.98","..1.98","..1.98","..1.98","5,104"
07/24/2023,"..1.98","..1.98","..1.98","..1.98","1,162"
07/19/2023,"..1.98","..2.00","..1.98","..1.98","116"
07/18/2023,"..2.00","..2.02","..1.98","..2.00","823"
07/17/2023,"..1.98","..2.01","..1.98","..1.98","2,670"
07/13/2023,"..1.98","..2.02","..1.98","..1.98","10,038"
07/12/2023,"..1.98","..1.98","..1.98","..1.98","2,000"
07/11/2023,"..1.98","..1.98","..1.98","..1.98","3,000"
07/10/2023,"..1.98","..2.00","..1.98","..1.98","4,822"
07/06/2023,"..2.02","..2.04","..1.98","..2.02","3,315"
07/05/2023,"..2.04","..2.04","..1.98","..2.04","10,797"
07/04/2023,"..2.01","..2.01","..2.01","..2.01","5,210"
06/26/2023,"..1.99","..2.06","..1.99","..1.99","9,220"
06/22/2023,"..2.19","..2.19","..1.98","..2.19","26,938"
06/21/2023,"..1.98","..2.06","..1.98","..1.98","26,799"
06/20/2023,"..1.99","..2.07","..1.98","..1.99","22,760"
06/19/2023,"..2.19","..2.19","..2.00","..2.19","18,302"
06/15/2023,"..2.06","..2.18","..2.06","..2.06","26,751"
06/14/2023,"..2.19","..2.26","..2.08","..2.19","462,107"
06/13/2023,"..2.17","..2.27","..2.00","..2.17","380,877"
06/12/2023,"..1.93","..2.01","..1.92","..1.93","29,187"
06/08/2023,"..1.95","..2.04","..1.92","..1.95","20,304"
06/07/2023,"..1.95","..2.04","..1.95","..1.95","27,898"
06/06/2023,"..2.04","..2.05","..1.95","..2.04","3,539"
06/05/2023,"..2.02","..2.02","..1.95","..2.02","2,465"
06/01/2023,"..2.09","..2.13","..2.02","..2.09","12,165"
05/31/2023,"..2.12","..2.12","..2.00","..2.12","27,469"
05/30/2023,"..2.11","..2.20","..2.00","..2.11","368,632"
05/29/2023,"..2.13","..2.13","..2.01","..2.13","31,505"
05/25/2023,"..2.12","..2.15","..1.91","..2.12","106,172"
05/24/2023,"..2.06","..2.09","..1.93","..2.06","40,809"
05/23/2023,"..2.08","..2.08","..1.91","..2.08","82,087"
05/22/2023,"..2.00","..2.03","..1.90","..2.00","82,068"
05/18/2023,"..1.95","..1.99","..1.80","..1.95","6,024"
05/17/2023,"..1.99","..1.99","..1.85","..1.99","5,008"
05/16/2023,"..1.99","..2.00","..1.91","..1.99","5,350"
05/15/2023,"..2.00","..2.00","..2.00","..2.00","1,419"
05/11/2023,"..1.98","..1.99","..1.90","..1.98","25,902"
05/10/2023,"..1.97","..1.97","..1.88","..1.97","51,863"
05/09/2023,"..1.85","..1.94","..1.85","..1.85","28,485"
