Date,Open,High,Low,Close,Volume
09/21/2023,"..30.01","..30.00","..29.80","..30.00","19,540"
09/20/2023,"..30.01","..30.01","..29.50","..30.01","5,366"
09/19/2023,"..30.01","..30.63","..29.16","..30.01","2,029"
09/18/2023,"..30.01","..30.65","..29.85","..30.01","7,492"
09/14/2023,"..30.25","..30.25","..30.01","..30.25","170"
09/13/2023,"..30.25","..30.92","..30.25","..30.25","95"
09/12/2023,"..30.25","..30.25","..30.01","..30.25","8,670"
09/11/2023,"..30.25","..30.68","..29.23","..30.25","3,536"
09/07/2023,"..30.25","..30.96","..30.01","..30.25","529"
09/06/2023,"..30.00","..31.00","..30.05","..30.25","26,633"
09/05/2023,"..30.00","..30.91","..28.91","..30.00","803"
09/04/2023,"..30.00","..30.97","..30.28","..30.00","1,138"
08/31/2023,"..30.00","..31.49","..28.81","..30.00","614"
08/30/2023,"..30.00","..31.59","..30.00","..30.00","1,791"
08/29/2023,"..29.50","..30.97","..30.00","..30.00","17,213"
08/28/2023,"..29.50","..30.00","..30.00","..29.50","4,576"
08/24/2023,"..29.50","..29.98","..29.36","..29.50","59,741"
08/23/2023,"..31.07","..31.50","..29.01","..29.50","17,601"
08/22/2023,"..28.61","..32.00","..28.15","..31.07","36,610"
08/21/2023,"..28.61","..29.39","..27.06","..28.61","2,543"
08/17/2023,"..27.00","..29.77","..26.70","..28.61","15,375"
08/16/2023,"..27.00","..28.00","..27.45","..27.00","4,128"
08/15/2023,"..27.00","..27.60","..26.37","..27.00","2,106"
08/14/2023,"..27.00","..27.35","..26.32","..27.00","339"
08/10/2023,"..27.00","..27.70","..26.00","..27.00","687"
08/09/2023,"..27.00","..27.50","..27.10","..27.00","2,836"
08/08/2023,"..27.00","..27.20","..27.00","..27.00","443"
08/07/2023,"..27.00","..27.30","..26.70","..27.00","3,554"
08/03/2023,"..27.00","..27.25","..26.40","..27.00","4,655"
08/02/2023,"..27.00","..27.14","..25.52","..27.00","4,534"
08/01/2023,"..27.00","..27.25","..24.61","..27.00","1,022"
07/27/2023,"..27.00","..27.39","..26.60","..27.00","1,494"
07/26/2023,"..27.00","..27.50","..26.70","..27.00","9,234"
07/25/2023,"..27.00","..27.50","..26.70","..27.00","1,520"
07/24/2023,"..27.00","..27.85","..27.00","..27.00","55"
07/19/2023,"..27.00","..27.85","..27.00","..27.00","8,001"
07/18/2023,"..27.00","..27.36","..26.61","..27.00","2,811"
07/17/2023,"..28.00","..27.50","..26.54","..27.00","47,447"
07/13/2023,"..28.00","..27.90","..27.00","..28.00","551"
07/12/2023,"..28.00","..27.60","..27.00","..28.00","2,488"
07/11/2023,"..28.00","..27.00","..27.00","..28.00","3,030"
07/10/2023,"..28.00","..27.60","..23.50","..28.00","1,120"
07/06/2023,"..28.00","..28.00","..27.47","..28.00","7,230"
07/05/2023,"..28.00","..28.20","..27.50","..28.00","1,994"
07/04/2023,"..28.00","..28.00","..27.20","..28.00","442"
06/26/2023,"..28.00","..27.99","..27.00","..28.00","1,692"
