Date,Open,High,Low,Close,Volume
09/21/2023,"..18.17","..18.62","..18.00","..18.33","26,483"
09/20/2023,"..18.67","..18.88","..18.10","..18.17","117,111"
09/19/2023,"..18.91","..19.09","..18.57","..18.67","103,787"
09/18/2023,"..19.42","..19.22","..18.56","..18.91","165,226"
09/14/2023,"..19.40","..19.60","..19.30","..19.45","138,374"
09/13/2023,"..19.30","..19.65","..19.18","..19.40","89,127"
09/12/2023,"..19.19","..19.35","..19.09","..19.30","51,878"
09/11/2023,"..19.53","..19.69","..19.10","..19.19","162,347"
09/07/2023,"..19.62","..19.88","..19.48","..19.56","97,306"
09/06/2023,"..19.33","..19.89","..19.29","..19.62","217,577"
09/05/2023,"..19.58","..19.69","..19.27","..19.33","114,079"
09/04/2023,"..19.05","..19.68","..19.05","..19.58","271,314"
08/31/2023,"..19.26","..19.54","..19.03","..19.09","61,091"
08/30/2023,"..19.09","..19.60","..19.09","..19.26","149,824"
08/29/2023,"..18.88","..19.37","..18.94","..19.09","138,569"
08/28/2023,"..19.23","..19.59","..18.83","..18.88","108,143"
08/24/2023,"..18.87","..19.15","..18.67","..18.84","113,731"
08/23/2023,"..19.01","..19.24","..18.76","..18.87","190,771"
08/22/2023,"..18.42","..19.24","..18.50","..19.01","555,748"
08/21/2023,"..18.05","..18.68","..18.00","..18.42","317,373"
08/17/2023,"..18.21","..18.36","..17.93","..17.99","142,105"
08/16/2023,"..17.98","..18.26","..17.85","..18.21","251,463"
08/15/2023,"..18.18","..18.30","..17.90","..17.98","234,908"
08/14/2023,"..17.81","..18.44","..17.84","..18.18","183,867"
08/10/2023,"..18.11","..18.20","..17.88","..17.90","98,794"
08/09/2023,"..17.87","..18.33","..17.82","..18.11","216,528"
08/08/2023,"..17.84","..18.08","..17.82","..17.87","55,609"
08/07/2023,"..17.75","..18.03","..17.70","..17.84","163,357"
08/03/2023,"..17.85","..17.99","..17.60","..17.68","135,343"
08/02/2023,"..18.31","..18.50","..17.71","..17.85","305,090"
08/01/2023,"..18.31","..18.42","..18.20","..18.31","45,941"
07/31/2023,"..18.29","..18.49","..18.29","..18.31","47,420"
07/27/2023,"..18.80","..18.99","..18.35","..18.40","241,262"
07/26/2023,"..18.57","..19.00","..18.40","..18.80","157,163"
07/25/2023,"..18.71","..18.95","..18.54","..18.57","41,219"
07/24/2023,"..18.74","..19.10","..18.66","..18.71","109,623"
