Date,Open,High,Low,Close,Volume
09/21/2023,"..0.96","..0.97","..0.95","..0.96","632,169"
09/20/2023,"..1.00","..1.01","..0.95","..0.96","1,738,919"
09/19/2023,"..1.00","..1.03","..1.00","..1.00","4,489,303"
09/18/2023,"..0.97","..1.02","..0.96","..1.00","5,745,371"
09/14/2023,"..0.95","..0.97","..0.95","..0.96","981,150"
09/13/2023,"..0.94","..0.96","..0.94","..0.95","916,158"
09/12/2023,"..0.95","..0.96","..0.94","..0.94","1,687,216"
09/11/2023,"..0.96","..0.96","..0.95","..0.95","1,551,641"
09/07/2023,"..0.96","..0.97","..0.95","..0.96","1,886,132"
09/06/2023,"..0.98","..1.01","..0.95","..0.96","3,191,034"
09/05/2023,"..1.00","..1.01","..0.98","..0.98","2,835,473"
09/04/2023,"..0.98","..1.03","..0.98","..1.00","9,755,442"
08/31/2023,"..1.02","..1.04","..0.99","..1.00","8,933,988"
08/30/2023,"..0.93","..1.09","..0.93","..1.02","19,524,260"
08/29/2023,"..0.93","..0.94","..0.92","..0.93","1,452,576"
08/28/2023,"..0.91","..0.95","..0.92","..0.93","1,335,686"
08/24/2023,"..0.91","..0.91","..0.89","..0.90","919,619"
08/23/2023,"..0.92","..0.94","..0.90","..0.91","1,270,049"
08/22/2023,"..0.93","..0.95","..0.92","..0.92","1,822,988"
08/21/2023,"..0.89","..0.96","..0.88","..0.93","4,648,406"
08/17/2023,"..0.89","..0.90","..0.88","..0.89","206,492"
08/16/2023,"..0.90","..0.92","..0.89","..0.89","1,307,749"
08/15/2023,"..0.88","..0.92","..0.89","..0.90","1,695,690"
08/14/2023,"..0.88","..0.89","..0.87","..0.88","540,363"
08/10/2023,"..0.88","..0.88","..0.86","..0.88","288,689"
08/09/2023,"..0.87","..0.89","..0.86","..0.88","772,777"
08/08/2023,"..0.87","..0.88","..0.86","..0.87","642,049"
08/07/2023,"..0.87","..0.88","..0.86","..0.87","381,053"
08/03/2023,"..0.86","..0.87","..0.86","..0.86","247,697"
08/02/2023,"..0.88","..0.89","..0.86","..0.86","1,160,091"
08/01/2023,"..0.88","..0.88","..0.87","..0.88","840,345"
07/31/2023,"..0.88","..0.88","..0.86","..0.88","624,042"
07/27/2023,"..0.85","..0.90","..0.86","..0.89","2,371,215"
07/26/2023,"..0.89","..0.89","..0.72","..0.85","3,469,438"
07/25/2023,"..0.90","..0.90","..0.89","..0.89","470,884"
07/24/2023,"..0.90","..0.92","..0.90","..0.90","785,238"
07/19/2023,"..0.89","..0.91","..0.89","..0.90","535,066"
07/18/2023,"..0.89","..0.90","..0.89","..0.89","410,470"
07/17/2023,"..0.90","..0.90","..0.88","..0.89","368,090"
07/13/2023,"..0.90","..0.91","..0.89","..0.90","573,301"
07/12/2023,"..0.92","..0.92","..0.89","..0.90","414,804"
07/11/2023,"..0.89","..0.96","..0.90","..0.92","552,740"
07/10/2023,"..0.89","..0.90","..0.87","..0.89","323,000"
07/06/2023,"..0.95","..0.95","..0.92","..0.92","1,131,977"
07/05/2023,"..0.95","..0.97","..0.94","..0.95","374,212"
07/04/2023,"..0.95","..0.96","..0.95","..0.95","43,218"
06/26/2023,"..0.95","..0.96","..0.94","..0.95","140,934"
06/22/2023,"..0.96","..0.97","..0.95","..0.96","254,130"
06/21/2023,"..0.98","..0.99","..0.95","..0.96","1,210,033"
06/20/2023,"..0.98","..0.99","..0.98","..0.98","1,570,861"
06/19/2023,"..1.00","..1.01","..0.98","..0.98","1,892,540"
06/15/2023,"..0.99","..1.02","..0.99","..1.00","1,921,110"
06/14/2023,"..0.98","..1.00","..0.98","..0.99","1,595,223"
06/13/2023,"..1.00","..1.00","..0.97","..0.98","1,322,818"
06/12/2023,"..1.00","..1.01","..0.99","..1.00","294,529"
06/08/2023,"..1.00","..1.00","..0.98","..0.98","1,039,369"
06/07/2023,"..1.00","..1.01","..0.98","..1.00","4,068,825"
06/06/2023,"..1.02","..1.03","..1.00","..1.00","2,412,816"
06/05/2023,"..1.01","..1.05","..1.02","..1.02","3,323,358"
06/01/2023,"..0.99","..1.03","..0.99","..1.01","3,073,177"
05/31/2023,"..1.02","..1.03","..0.97","..0.99","2,892,763"
05/30/2023,"..1.01","..1.03","..1.00","..1.02","3,685,249"
05/29/2023,"..0.98","..1.03","..1.00","..1.01","7,589,629"
05/25/2023,"..0.98","..0.99","..0.96","..0.97","2,339,115"
05/24/2023,"..0.96","..1.00","..0.97","..0.98","8,225,358"
05/23/2023,"..0.93","..0.96","..0.93","..0.96","2,498,335"
05/22/2023,"..0.92","..0.96","..0.93","..0.93","10,419,520"
05/18/2023,"..0.92","..0.92","..0.91","..0.91","653,299"
05/17/2023,"..0.92","..0.94","..0.92","..0.92","1,388,246"
05/16/2023,"..0.93","..0.93","..0.92","..0.92","1,318,874"
05/15/2023,"..0.94","..0.95","..0.92","..0.93","809,893"
05/11/2023,"..0.94","..0.97","..0.94","..0.94","981,997"
05/10/2023,"..0.94","..0.95","..0.92","..0.94","815,533"
05/09/2023,"..0.95","..0.97","..0.93","..0.94","1,512,270"
05/08/2023,"..0.93","..0.96","..0.94","..0.95","1,498,488"
05/03/2023,"..0.94","..0.94","..0.93","..0.93","499,998"
05/02/2023,"..0.93","..0.94","..0.92","..0.94","990,112"
05/01/2023,"..0.97","..0.98","..0.93","..0.93","1,448,476"
04/27/2023,"..0.94","..0.98","..0.95","..0.97","1,983,424"
04/26/2023,"..0.93","..0.95","..0.93","..0.94","564,934"
04/19/2023,"..0.93","..0.95","..0.93","..0.93","709,317"
04/18/2023,"..0.94","..0.95","..0.93","..0.93","1,400,118"
04/13/2023,"..0.95","..0.95","..0.93","..0.94","469,797"
04/12/2023,"..0.95","..0.96","..0.94","..0.95","310,893"
04/11/2023,"..0.94","..0.96","..0.94","..0.95","424,677"
04/10/2023,"..0.95","..0.96","..0.94","..0.94","530,445"
04/06/2023,"..0.95","..0.97","..0.94","..0.95","1,010,271"
04/05/2023,"..0.97","..0.98","..0.94","..0.95","1,036,851"
04/04/2023,"..0.94","..0.98","..0.93","..0.97","2,592,373"
04/03/2023,"..0.89","..0.96","..0.90","..0.94","1,375,286"
03/30/2023,"..0.90","..0.91","..0.86","..0.89","544,884"
03/29/2023,"..0.91","..0.93","..0.89","..0.90","670,000"
03/28/2023,"..0.92","..0.93","..0.89","..0.91","545,504"
03/27/2023,"..0.94","..0.94","..0.90","..0.92","1,050,823"
03/23/2023,"..0.89","..0.92","..0.86","..0.91","1,003,418"
03/22/2023,"..0.90","..0.92","..0.87","..0.89","1,175,337"
03/21/2023,"..0.82","..0.91","..0.82","..0.90","4,366,246"
03/20/2023,"..0.81","..0.83","..0.79","..0.82","1,627,316"
03/16/2023,"..0.82","..0.83","..0.74","..0.80","2,415,288"
03/15/2023,"..0.91","..0.95","..0.74","..0.82","3,436,332"
03/14/2023,"..0.90","..0.93","..0.88","..0.91","1,878,490"
03/13/2023,"..1.01","..1.03","..0.86","..0.90","3,248,010"
03/09/2023,"..1.00","..1.04","..1.00","..1.02","4,173,064"
03/08/2023,"..0.99","..1.02","..0.98","..1.00","2,035,951"
03/07/2023,"..0.98","..1.03","..0.97","..0.99","3,534,858"
03/06/2023,"..0.98","..1.01","..0.97","..0.98","1,569,499"
03/02/2023,"..0.99","..1.01","..0.98","..0.98","1,052,328"
03/01/2023,"..0.96","..1.02","..0.96","..0.99","1,631,007"
02/28/2023,"..0.96","..0.97","..0.94","..0.96","1,228,970"
02/27/2023,"..0.97","..0.98","..0.95","..0.96","875,470"
02/23/2023,"..0.96","..0.99","..0.96","..0.97","797,250"
02/22/2023,"..0.97","..1.00","..0.95","..0.96","887,895"
02/21/2023,"..0.97","..0.99","..0.95","..0.97","674,614"
02/20/2023,"..0.99","..1.01","..0.94","..0.97","608,303"
02/16/2023,"..1.00","..1.01","..0.99","..1.00","1,041,549"
02/15/2023,"..0.99","..1.02","..0.99","..1.00","1,786,990"
02/14/2023,"..0.97","..1.00","..0.98","..0.99","375,903"
02/13/2023,"..0.97","..1.00","..0.97","..0.97","1,103,265"
02/09/2023,"..0.96","..0.98","..0.96","..0.97","1,234,398"
02/08/2023,"..0.98","..0.98","..0.95","..0.96","794,770"
02/07/2023,"..0.98","..1.00","..0.97","..0.98","2,116,857"
02/06/2023,"..0.92","..1.06","..0.90","..0.98","2,195,227"
02/02/2023,"..1.02","..1.05","..0.99","..0.99","1,333,778"
02/01/2023,"..1.03","..1.06","..1.02","..1.02","1,084,130"
01/31/2023,"..1.03","..1.10","..1.02","..1.03","2,662,990"
01/30/2023,"..1.07","..1.08","..1.02","..1.03","2,498,504"
01/25/2023,"..1.08","..1.11","..1.09","..1.10","1,176,182"
01/24/2023,"..1.09","..1.10","..1.06","..1.08","1,680,775"
01/23/2023,"..1.11","..1.13","..1.08","..1.09","3,100,833"
01/19/2023,"..1.02","..1.09","..1.02","..1.07","4,992,275"
01/18/2023,"..1.02","..1.06","..1.01","..1.02","2,962,095"
01/17/2023,"..1.01","..1.04","..1.00","..1.02","2,909,636"
01/16/2023,"..0.98","..1.03","..0.98","..1.01","1,144,860"
01/12/2023,"..1.00","..1.03","..0.98","..0.99","926,194"
01/11/2023,"..1.01","..1.04","..0.98","..1.00","1,368,936"
01/10/2023,"..1.04","..1.06","..1.00","..1.01","1,610,418"
01/09/2023,"..1.08","..1.08","..1.03","..1.04","1,964,179"
01/05/2023,"..1.08","..1.13","..1.07","..1.08","2,227,894"
01/04/2023,"..1.11","..1.13","..1.03","..1.08","4,502,555"
01/03/2023,"..1.07","..1.13","..1.08","..1.11","4,263,264"
01/02/2023,"..1.05","..1.07","..1.05","..1.07","1,333,176"
12/29/2022,"..1.05","..1.10","..1.05","..1.05","4,722,479"
12/28/2022,"..0.99","..1.07","..0.99","..1.05","5,985,238"
12/27/2022,"..0.96","..1.00","..0.97","..0.99","2,357,181"
12/26/2022,"..0.94","..0.96","..0.93","..0.96","1,156,452"
12/22/2022,"..1.00","..1.02","..0.97","..0.98","2,653,253"
12/21/2022,"..1.02","..1.03","..0.99","..1.00","3,005,021"
12/20/2022,"..1.05","..1.07","..1.02","..1.02","3,427,699"
12/19/2022,"..1.08","..1.09","..1.03","..1.05","2,342,413"
12/15/2022,"..1.08","..1.15","..1.07","..1.10","7,828,909"
12/14/2022,"..1.05","..1.10","..1.05","..1.08","7,131,142"
12/13/2022,"..1.02","..1.06","..1.02","..1.05","12,526,050"
12/12/2022,"..1.02","..1.03","..1.00","..1.02","3,041,329"
12/08/2022,"..1.02","..1.06","..1.02","..1.03","5,431,297"
12/07/2022,"..0.98","..1.04","..0.99","..1.02","6,399,810"
12/06/2022,"..1.00","..1.00","..0.98","..0.98","3,243,795"
12/05/2022,"..1.01","..1.04","..0.99","..1.00","3,289,885"
12/01/2022,"..0.99","..1.00","..0.98","..0.98","2,191,633"
11/30/2022,"..0.99","..1.03","..0.97","..0.99","4,143,585"
11/29/2022,"..0.97","..1.03","..0.98","..0.99","7,421,782"
11/28/2022,"..0.95","..1.00","..0.96","..0.97","5,106,350"
11/24/2022,"..0.95","..0.96","..0.94","..0.95","1,321,160"
11/23/2022,"..0.96","..0.98","..0.95","..0.95","1,582,075"
11/22/2022,"..0.93","..0.98","..0.91","..0.96","5,562,242"
11/21/2022,"..0.94","..0.95","..0.93","..0.93","1,244,251"
11/17/2022,"..0.93","..0.95","..0.93","..0.94","3,110,197"
11/16/2022,"..0.90","..0.95","..0.91","..0.93","3,938,058"
11/15/2022,"..0.89","..0.92","..0.89","..0.90","3,315,368"
11/14/2022,"..0.91","..0.92","..0.88","..0.89","2,754,250"
11/10/2022,"..0.88","..0.90","..0.88","..0.90","1,013,851"
11/09/2022,"..0.89","..0.91","..0.88","..0.88","662,226"
11/08/2022,"..0.90","..0.93","..0.89","..0.89","1,821,775"
11/07/2022,"..0.91","..0.92","..0.89","..0.90","1,572,680"
11/03/2022,"..0.92","..0.93","..0.91","..0.91","1,063,678"
11/02/2022,"..0.95","..0.96","..0.91","..0.92","1,356,014"
11/01/2022,"..0.95","..0.99","..0.94","..0.95","4,375,366"
10/31/2022,"..0.92","..0.97","..0.92","..0.95","1,147,207"
10/27/2022,"..0.94","..0.99","..0.94","..0.95","2,682,049"
10/26/2022,"..0.95","..0.96","..0.93","..0.94","722,385"
10/25/2022,"..0.96","..0.97","..0.94","..0.95","1,947,871"
10/24/2022,"..0.94","..0.99","..0.95","..0.96","4,520,832"
10/20/2022,"..0.94","..0.95","..0.92","..0.93","1,688,114"
10/19/2022,"..0.92","..0.97","..0.93","..0.94","4,733,842"
10/18/2022,"..0.90","..0.94","..0.90","..0.92","1,163,460"
10/17/2022,"..0.88","..0.92","..0.88","..0.90","1,763,730"
10/13/2022,"..0.85","..0.88","..0.86","..0.87","941,990"
10/12/2022,"..0.87","..0.88","..0.85","..0.85","713,401"
10/11/2022,"..0.89","..0.90","..0.86","..0.87","998,127"
10/10/2022,"..0.90","..0.91","..0.89","..0.89","1,018,029"
10/05/2022,"..0.90","..0.92","..0.90","..0.91","1,615,432"
10/04/2022,"..0.88","..0.91","..0.89","..0.90","1,198,445"
10/03/2022,"..0.89","..0.91","..0.87","..0.88","470,771"
09/29/2022,"..0.92","..0.94","..0.91","..0.91","1,225,041"
09/28/2022,"..0.94","..0.95","..0.91","..0.92","2,842,654"
09/27/2022,"..0.91","..0.96","..0.92","..0.94","4,244,448"
09/26/2022,"..0.90","..0.92","..0.90","..0.91","1,466,547"
09/22/2022,"..0.90","..0.91","..0.86","..0.89","1,337,711"
