Date,Open,High,Low,Close,Volume
09/21/2023,"..0.73","..0.74","..0.72","..0.73","3,292,143"
09/20/2023,"..0.74","..0.74","..0.73","..0.73","2,788,462"
09/19/2023,"..0.74","..0.75","..0.73","..0.74","2,477,571"
09/18/2023,"..0.73","..0.75","..0.74","..0.74","4,809,745"
09/14/2023,"..0.73","..0.74","..0.73","..0.73","1,619,999"
09/13/2023,"..0.73","..0.74","..0.72","..0.73","951,638"
09/12/2023,"..0.73","..0.74","..0.73","..0.73","2,251,693"
09/11/2023,"..0.74","..0.75","..0.73","..0.73","2,755,911"
09/07/2023,"..0.73","..0.77","..0.73","..0.74","12,746,130"
09/06/2023,"..0.73","..0.75","..0.73","..0.73","4,582,516"
09/05/2023,"..0.73","..0.75","..0.73","..0.73","6,050,694"
09/04/2023,"..0.74","..0.75","..0.73","..0.73","3,643,502"
08/31/2023,"..0.77","..0.79","..0.74","..0.74","10,908,140"
08/30/2023,"..0.75","..0.82","..0.76","..0.77","40,609,078"
08/29/2023,"..0.73","..0.76","..0.73","..0.75","11,959,000"
08/28/2023,"..0.73","..0.74","..0.72","..0.73","5,206,846"
08/24/2023,"..0.72","..0.73","..0.71","..0.72","1,718,173"
08/23/2023,"..0.72","..0.75","..0.72","..0.72","6,626,747"
08/22/2023,"..0.72","..0.73","..0.72","..0.72","2,968,991"
08/21/2023,"..0.72","..0.74","..0.72","..0.72","3,479,933"
08/17/2023,"..0.72","..0.73","..0.71","..0.71","2,459,838"
08/16/2023,"..0.73","..0.74","..0.72","..0.72","2,685,443"
08/15/2023,"..0.73","..0.74","..0.72","..0.73","2,417,009"
08/14/2023,"..0.74","..0.76","..0.73","..0.73","4,665,470"
08/10/2023,"..0.75","..0.77","..0.74","..0.75","6,337,536"
08/09/2023,"..0.73","..0.78","..0.73","..0.75","17,884,330"
08/08/2023,"..0.72","..0.76","..0.72","..0.73","9,689,853"
08/07/2023,"..0.72","..0.73","..0.72","..0.72","2,967,639"
08/03/2023,"..0.71","..0.72","..0.70","..0.71","4,476,502"
08/02/2023,"..0.73","..0.73","..0.70","..0.71","3,355,446"
08/01/2023,"..0.73","..0.74","..0.72","..0.73","2,243,031"
07/31/2023,"..0.74","..0.76","..0.72","..0.73","2,774,882"
07/27/2023,"..0.73","..0.74","..0.72","..0.73","3,128,657"
07/26/2023,"..0.74","..0.75","..0.73","..0.73","4,463,719"
07/25/2023,"..0.77","..0.79","..0.74","..0.74","7,763,063"
07/24/2023,"..0.81","..0.83","..0.77","..0.77","6,959,012"
07/19/2023,"..0.83","..0.86","..0.80","..0.81","6,150,057"
07/18/2023,"..0.83","..0.85","..0.82","..0.83","2,159,279"
07/17/2023,"..0.86","..0.86","..0.82","..0.83","3,313,481"
07/13/2023,"..0.91","..0.93","..0.90","..0.91","5,962,208"
07/12/2023,"..0.90","..0.94","..0.90","..0.91","18,342,801"
07/11/2023,"..0.83","..0.92","..0.82","..0.90","18,450,650"
07/10/2023,"..0.78","..0.84","..0.77","..0.83","4,041,583"
07/06/2023,"..0.83","..0.85","..0.79","..0.82","7,011,438"
07/05/2023,"..0.80","..0.85","..0.80","..0.83","15,826,750"
07/04/2023,"..0.71","..0.81","..0.71","..0.80","16,912,170"
06/26/2023,"..0.70","..0.73","..0.70","..0.71","3,095,490"
06/22/2023,"..0.71","..0.77","..0.72","..0.74","8,346,281"
06/21/2023,"..0.64","..0.75","..0.66","..0.71","8,198,498"
06/20/2023,"..0.76","..0.77","..0.61","..0.64","4,989,716"
06/19/2023,"..0.71","..0.79","..0.73","..0.75","6,798,872"
06/15/2023,"..0.84","..0.86","..0.80","..0.81","4,981,811"
06/14/2023,"..0.76","..0.87","..0.78","..0.84","15,537,480"
06/13/2023,"..0.72","..0.78","..0.71","..0.76","9,594,295"
06/12/2023,"..0.73","..0.75","..0.72","..0.72","3,191,645"
06/08/2023,"..0.83","..0.86","..0.72","..0.74","8,172,761"
06/07/2023,"..0.89","..0.91","..0.82","..0.83","5,285,598"
06/06/2023,"..0.89","..0.92","..0.87","..0.89","5,826,750"
06/05/2023,"..0.93","..0.95","..0.87","..0.89","8,105,831"
06/01/2023,"..0.97","..1.03","..0.97","..0.98","11,255,530"
05/31/2023,"..0.98","..1.05","..0.91","..0.97","12,852,110"
05/30/2023,"..0.89","..1.04","..0.81","..0.98","26,253,141"
05/29/2023,"..1.10","..1.19","..0.88","..0.89","16,157,490"
05/25/2023,"..0.80","..0.95","..0.80","..0.95","10,052,350"
05/24/2023,"..0.77","..0.81","..0.77","..0.80","4,134,549"
05/23/2023,"..0.72","..0.78","..0.70","..0.77","5,377,427"
05/22/2023,"..0.65","..0.73","..0.64","..0.72","5,838,314"
05/18/2023,"..0.54","..0.58","..0.53","..0.57","3,662,209"
05/17/2023,"..0.55","..0.55","..0.53","..0.54","1,723,318"
05/16/2023,"..0.54","..0.55","..0.52","..0.55","1,518,313"
05/15/2023,"..0.55","..0.56","..0.54","..0.54","1,417,094"
05/11/2023,"..0.51","..0.53","..0.49","..0.52","2,485,930"
05/10/2023,"..0.50","..0.51","..0.48","..0.51","3,683,766"
05/09/2023,"..0.51","..0.52","..0.49","..0.50","3,169,390"
05/08/2023,"..0.48","..0.53","..0.49","..0.51","5,244,387"
05/03/2023,"..0.43","..0.45","..0.42","..0.45","3,622,472"
05/02/2023,"..0.42","..0.43","..0.41","..0.43","1,650,237"
05/01/2023,"..0.42","..0.42","..0.41","..0.42","1,333,639"
