Date,Open,High,Low,Close,Volume
09/21/2023,"..316.00","..328.00","..314.00","..325.73","246,720"
09/20/2023,"..333.00","..348.00","..315.00","..316.00","462,116"
09/19/2023,"..279.46","..333.33","..280.00","..333.00","567,039"
09/18/2023,"..263.50","..279.60","..266.00","..279.46","185,236"
09/14/2023,"..251.02","..256.00","..251.10","..251.27","80,207"
09/13/2023,"..251.00","..252.00","..250.00","..251.02","46,956"
09/12/2023,"..250.00","..251.00","..248.05","..251.00","98,956"
09/11/2023,"..251.00","..252.20","..247.00","..250.00","56,206"
09/07/2023,"..241.00","..249.44","..242.01","..244.00","145,145"
09/06/2023,"..238.50","..242.39","..236.61","..241.00","71,311"
09/05/2023,"..233.21","..238.50","..232.50","..238.50","59,023"
09/04/2023,"..235.56","..236.00","..230.01","..233.21","10,018"
08/31/2023,"..235.89","..238.97","..234.25","..238.97","14,705"
08/30/2023,"..236.09","..239.00","..235.51","..235.89","30,810"
08/29/2023,"..237.18","..240.90","..236.00","..236.09","19,441"
08/28/2023,"..239.99","..242.94","..237.01","..237.18","30,593"
08/24/2023,"..238.53","..239.98","..236.60","..238.16","22,658"
08/23/2023,"..242.20","..245.60","..238.51","..238.53","79,330"
08/22/2023,"..229.37","..245.25","..229.00","..242.20","103,045"
08/21/2023,"..230.82","..233.80","..229.11","..229.37","38,614"
08/17/2023,"..237.39","..238.75","..232.16","..233.61","44,147"
08/16/2023,"..235.42","..240.20","..236.01","..237.39","63,571"
08/15/2023,"..230.00","..240.19","..230.00","..235.42","833,924"
08/14/2023,"..229.34","..233.49","..229.11","..230.00","77,028"
08/10/2023,"..222.16","..226.50","..222.18","..225.60","39,903"
08/09/2023,"..225.00","..227.93","..222.16","..222.16","41,272"
08/08/2023,"..228.95","..229.50","..225.00","..225.00","38,622"
08/07/2023,"..227.98","..229.88","..226.11","..228.95","25,939"
08/03/2023,"..222.00","..227.70","..221.50","..225.56","48,095"
08/02/2023,"..226.31","..229.88","..222.00","..222.00","53,396"
08/01/2023,"..229.80","..236.00","..226.00","..226.31","55,058"
07/31/2023,"..230.11","..232.94","..227.71","..229.80","89,225"
07/27/2023,"..241.46","..244.00","..235.10","..235.96","76,462"
07/26/2023,"..235.00","..243.50","..236.60","..241.46","98,698"
07/25/2023,"..233.00","..238.99","..232.01","..235.00","146,629"
07/24/2023,"..228.00","..235.20","..229.01","..233.00","92,559"
07/19/2023,"..227.42","..233.40","..226.01","..228.00","90,462"
07/18/2023,"..226.47","..231.00","..224.50","..227.42","74,420"
07/17/2023,"..225.93","..230.00","..224.01","..226.47","72,242"
07/13/2023,"..226.96","..229.70","..226.01","..227.18","55,002"
07/12/2023,"..234.51","..234.49","..217.50","..226.96","88,939"
07/11/2023,"..228.23","..234.90","..221.00","..234.51","122,725"
07/10/2023,"..195.20","..228.23","..192.00","..228.23","143,203"
07/06/2023,"..237.08","..239.00","..230.14","..231.74","73,296"
07/05/2023,"..236.52","..242.00","..235.00","..237.08","89,095"
07/04/2023,"..231.70","..240.00","..230.00","..236.52","89,079"
06/26/2023,"..238.03","..242.88","..228.00","..231.70","88,988"
06/22/2023,"..242.37","..244.49","..235.60","..238.00","104,075"
06/21/2023,"..248.62","..250.00","..241.00","..242.37","173,254"
06/20/2023,"..258.99","..258.99","..242.03","..248.62","223,147"
06/19/2023,"..227.50","..259.00","..227.51","..258.99","344,460"
06/15/2023,"..232.99","..234.86","..222.02","..230.00","358,788"
06/14/2023,"..246.55","..270.00","..217.02","..232.99","973,382"
06/13/2023,"..205.46","..246.55","..210.01","..246.55","1,394,094"
06/12/2023,"..171.22","..205.46","..170.00","..205.46","537,744"
06/08/2023,"..155.00","..160.40","..154.60","..160.00","203,851"
06/07/2023,"..159.01","..159.99","..155.00","..155.00","62,537"
06/06/2023,"..164.48","..161.50","..155.13","..159.01","99,546"
06/05/2023,"..160.54","..164.80","..152.90","..164.48","166,564"
06/01/2023,"..162.00","..165.50","..162.00","..162.37","25,999"
05/31/2023,"..166.98","..169.00","..162.00","..162.00","95,808"
05/30/2023,"..166.62","..170.00","..165.35","..166.98","259,672"
05/29/2023,"..167.15","..168.86","..165.11","..166.62","23,285"
05/25/2023,"..168.42","..169.25","..166.00","..167.57","25,697"
05/24/2023,"..160.11","..169.25","..160.11","..168.42","66,240"
05/23/2023,"..162.34","..162.99","..159.00","..160.11","38,738"
05/22/2023,"..162.17","..164.35","..161.70","..162.34","29,596"
05/18/2023,"..166.61","..168.00","..158.13","..164.00","125,636"
05/17/2023,"..167.14","..170.00","..166.11","..166.61","33,736"
05/16/2023,"..175.05","..175.88","..165.00","..167.14","193,022"
