Date,Open,High,Low,Close,Volume
09/21/2023,"..23.47","..24.25","..20.09","..24.04","56,836"
09/20/2023,"..23.45","..23.99","..23.36","..23.47","24,254"
09/19/2023,"..23.24","..23.74","..22.60","..23.45","30,058"
09/18/2023,"..21.46","..23.35","..22.50","..23.24","39,952"
09/14/2023,"..21.46","..22.40","..21.47","..21.46","5,102"
09/13/2023,"..21.46","..22.05","..21.40","..21.46","7,289"
09/12/2023,"..21.46","..22.20","..21.55","..21.46","10,293"
09/11/2023,"..21.46","..22.49","..21.60","..21.46","7,772"
09/07/2023,"..20.35","..22.49","..20.08","..21.46","23,288"
09/06/2023,"..20.35","..21.15","..20.80","..20.35","1,773"
09/05/2023,"..20.35","..22.20","..21.00","..20.35","9,983"
09/04/2023,"..20.35","..22.90","..20.05","..20.35","8,671"
08/31/2023,"..17.59","..21.10","..20.51","..17.59","5,403"
08/30/2023,"..17.59","..21.10","..21.00","..17.59","40,368"
08/29/2023,"..17.59","..21.10","..21.10","..17.59","11,411"
08/28/2023,"..17.59","..21.10","..21.10","..17.59","1,195"
08/24/2023,"..17.59","..21.10","..21.10","..17.59","4,109"
08/23/2023,"..17.59","..21.10","..21.10","..17.59","6,559"
08/22/2023,"..17.59","..21.10","..21.10","..17.59","615"
08/21/2023,"..17.59","..21.10","..21.10","..17.59","65"
08/17/2023,"..17.59","..21.10","..21.10","..17.59","521"
08/16/2023,"..17.59","..21.10","..21.10","..17.59","658"
08/15/2023,"..17.59","..21.10","..21.10","..17.59","400"
08/14/2023,"..17.59","..21.10","..21.10","..17.59","1,793"
08/10/2023,"..17.59","..21.10","..21.10","..17.59","5,378"
08/09/2023,"..17.59","..21.10","..21.10","..17.59","3,314"
08/08/2023,"..17.59","..21.10","..20.94","..17.59","9,651"
08/07/2023,"..17.59","..20.95","..20.20","..17.59","7,089"
08/03/2023,"..17.59","..20.20","..20.19","..17.59","2,000"
08/02/2023,"..17.59","..20.37","..20.00","..17.59","2,009"
08/01/2023,"..17.59","..20.40","..19.80","..17.59","796"
07/31/2023,"..17.59","..20.30","..19.72","..17.59","260"
07/27/2023,"..17.59","..20.30","..19.13","..17.59","7,530"
07/26/2023,"..17.59","..20.14","..19.02","..17.59","1,564"
07/25/2023,"..17.59","..20.25","..19.80","..17.59","872"
07/24/2023,"..17.59","..20.49","..20.00","..17.59","1,603"
07/19/2023,"..17.59","..20.49","..20.00","..17.59","399"
07/18/2023,"..17.59","..20.32","..19.65","..17.59","1,771"
07/17/2023,"..17.59","..20.20","..19.50","..17.59","2,348"
07/13/2023,"..17.59","..20.34","..19.68","..17.59","428"
07/12/2023,"..17.59","..20.47","..19.56","..17.59","527"
07/11/2023,"..17.59","..20.47","..19.12","..17.59","264"
07/10/2023,"..17.59","..20.00","..18.82","..17.59","1,435"
07/06/2023,"..17.59","..20.97","..19.00","..17.59","2,976"
07/05/2023,"..20.50","..20.99","..19.06","..17.59","728"
07/04/2023,"..21.10","..21.10","..18.81","..17.59","1,966"
06/26/2023,"..17.59","..20.00","..18.71","..17.59","7,902"
06/22/2023,"..17.59","..19.54","..19.00","..17.59","513"
06/21/2023,"..17.59","..19.10","..18.40","..17.59","1,253"
06/20/2023,"..17.59","..19.00","..18.51","..17.59","7,283"
06/19/2023,"..17.59","..18.99","..18.31","..17.59","4,686"
06/15/2023,"..17.59","..18.88","..18.31","..17.59","5,227"
06/14/2023,"..17.59","..18.70","..18.03","..17.59","423"
06/13/2023,"..17.59","..18.79","..18.34","..17.59","957"
06/12/2023,"..17.59","..18.50","..18.34","..17.59","356"
06/08/2023,"..17.59","..18.72","..18.21","..17.59","4,250"
06/07/2023,"..17.59","..18.60","..18.21","..17.59","6,961"
06/06/2023,"..17.59","..18.50","..18.00","..17.59","14,476"
06/05/2023,"..17.59","..18.50","..17.21","..17.59","8,181"
06/01/2023,"..15.96","..18.90","..16.30","..17.59","17,088"
05/31/2023,"..13.31","..15.97","..15.50","..15.96","20,647"
05/30/2023,"..13.31","..15.97","..15.13","..13.31","16,894"
05/29/2023,"..13.31","..15.90","..15.00","..13.31","11,501"
05/25/2023,"..13.31","..14.94","..14.71","..13.31","1,439"
05/24/2023,"..13.31","..14.90","..14.71","..13.31","6,831"
05/23/2023,"..13.31","..14.90","..14.75","..13.31","4,434"
05/22/2023,"..13.31","..14.94","..14.63","..13.31","747"
05/18/2023,"..13.31","..14.94","..14.66","..13.31","3,146"
05/17/2023,"..13.31","..15.00","..14.60","..13.31","674"
05/16/2023,"..13.31","..15.14","..14.65","..13.31","3,472"
05/15/2023,"..13.31","..14.63","..14.61","..13.31","280"
05/11/2023,"..13.31","..15.09","..14.50","..13.31","4,950"
05/10/2023,"..13.31","..15.10","..14.55","..13.31","4,067"
05/09/2023,"..13.31","..15.10","..14.75","..13.31","4,123"
05/08/2023,"..13.31","..15.12","..14.76","..13.31","3,887"
05/03/2023,"..13.31","..15.15","..14.60","..13.31","4,826"
05/02/2023,"..13.31","..15.10","..14.56","..13.31","2,199"
05/01/2023,"..13.31","..15.15","..14.30","..13.31","2,212"
04/27/2023,"..13.31","..14.90","..14.55","..13.31","1,249"
04/26/2023,"..13.31","..15.36","..14.55","..13.31","3,294"
04/19/2023,"..13.31","..14.90","..14.40","..13.31","947"
04/18/2023,"..13.31","..14.98","..14.89","..13.31","1,396"
04/13/2023,"..13.31","..14.97","..14.50","..13.31","4,446"
04/12/2023,"..13.31","..15.00","..14.97","..13.31","1,048"
04/11/2023,"..13.31","..14.99","..14.51","..13.31","1,152"
04/10/2023,"..13.31","..15.40","..14.50","..13.31","2,240"
04/06/2023,"..13.31","..15.40","..14.25","..13.31","3,613"
04/04/2023,"..13.31","..15.48","..14.15","..13.31","913"
04/03/2023,"..13.31","..15.69","..14.70","..13.31","2,343"
03/30/2023,"..13.31","..14.70","..14.01","..13.31","149"
03/28/2023,"..13.31","..14.74","..14.40","..13.31","1,648"
03/27/2023,"..13.31","..14.72","..14.01","..13.31","9,412"
03/23/2023,"..13.31","..14.40","..14.38","..13.31","1,767"
03/22/2023,"..13.31","..14.40","..14.01","..13.31","1,109"
03/21/2023,"..13.31","..14.40","..14.09","..13.31","1,376"
03/20/2023,"..13.31","..14.11","..14.10","..13.31","20,000"
03/16/2023,"..13.31","..14.43","..14.14","..13.31","2,373"
03/15/2023,"..13.31","..14.75","..14.11","..13.31","3,650"
03/14/2023,"..13.31","..14.59","..14.10","..13.31","1,570"
03/13/2023,"..13.31","..14.80","..14.10","..13.31","13,880"
03/09/2023,"..13.31","..14.50","..14.06","..13.31","8,051"
03/08/2023,"..13.31","..14.50","..14.02","..13.31","3,779"
03/07/2023,"..13.31","..15.50","..13.99","..13.31","12,707"
03/06/2023,"..13.31","..14.15","..13.70","..13.31","8,553"
03/02/2023,"..13.31","..13.99","..13.66","..13.31","3,363"
02/28/2023,"..13.31","..13.79","..13.60","..13.31","2,112"
02/27/2023,"..13.31","..13.80","..13.73","..13.31","866"
02/23/2023,"..13.31","..13.73","..13.72","..13.31","1,791"
02/22/2023,"..13.31","..13.55","..13.50","..13.31","12,952"
02/21/2023,"..13.31","..13.70","..13.45","..13.31","37"
02/20/2023,"..13.31","..13.62","..13.46","..13.31","398"
02/16/2023,"..13.31","..13.50","..13.50","..13.31","22"
02/15/2023,"..13.31","..13.70","..13.50","..13.31","461"
02/14/2023,"..13.31","..13.50","..13.45","..13.31","2,041"
02/13/2023,"..13.31","..13.50","..13.05","..13.31","18,889"
02/09/2023,"..13.31","..13.50","..13.30","..13.31","2,650"
02/08/2023,"..13.31","..13.41","..13.16","..13.31","9,196"
02/07/2023,"..13.35","..13.40","..13.25","..13.31","188,772"
02/06/2023,"..13.35","..13.18","..12.00","..13.35","5,012"
02/02/2023,"..13.35","..13.40","..13.00","..13.35","6,913"
02/01/2023,"..13.35","..13.40","..13.00","..13.35","13,373"
01/31/2023,"..13.35","..13.45","..13.40","..13.35","16,478"
01/30/2023,"..13.35","..13.53","..13.49","..13.35","7,913"
01/25/2023,"..13.05","..13.38","..13.18","..13.35","26,736"
01/24/2023,"..13.05","..13.35","..13.10","..13.05","9,934"
01/23/2023,"..13.05","..13.33","..13.20","..13.05","7,515"
01/19/2023,"..13.05","..13.36","..13.25","..13.05","75"
01/18/2023,"..13.05","..13.36","..13.16","..13.05","2,001"
01/17/2023,"..13.05","..13.36","..13.20","..13.05","12,792"
01/16/2023,"..13.05","..13.30","..13.20","..13.05","971"
01/12/2023,"..13.05","..13.48","..13.12","..13.05","4,873"
01/11/2023,"..13.05","..13.25","..13.10","..13.05","10,923"
01/10/2023,"..13.05","..13.49","..13.00","..13.05","11,051"
01/09/2023,"..13.05","..13.54","..13.00","..13.05","20,282"
01/05/2023,"..13.04","..13.54","..13.00","..13.05","29,310"
01/04/2023,"..13.04","..13.84","..12.91","..13.04","4,602"
01/03/2023,"..13.06","..13.11","..13.00","..13.04","32,010"
01/02/2023,"..13.06","..13.96","..13.06","..13.06","12,371"
12/29/2022,"..13.00","..13.35","..13.05","..13.06","26,330"
12/28/2022,"..13.00","..13.36","..12.90","..13.00","567"
12/27/2022,"..13.00","..13.17","..12.93","..13.00","16,846"
12/26/2022,"..13.00","..13.12","..12.93","..13.00","28,077"
12/22/2022,"..13.00","..13.33","..12.95","..13.00","25,372"
12/21/2022,"..13.00","..13.26","..13.05","..13.00","6,718"
12/20/2022,"..13.00","..13.41","..13.00","..13.00","19,568"
12/19/2022,"..13.00","..13.99","..13.02","..13.00","10,189"
12/15/2022,"..12.18","..13.05","..12.12","..12.18","15,280"
12/14/2022,"..12.18","..12.74","..12.25","..12.18","19,876"
12/13/2022,"..12.18","..12.72","..12.02","..12.18","14,958"
12/12/2022,"..12.18","..12.20","..12.02","..12.18","20,201"
12/08/2022,"..11.64","..12.20","..12.01","..12.18","34,712"
12/07/2022,"..11.64","..12.17","..12.01","..11.64","19,911"
12/06/2022,"..11.64","..12.20","..11.94","..11.64","19,859"
12/05/2022,"..11.64","..12.23","..11.88","..11.64","16,051"
12/01/2022,"..11.64","..12.07","..11.65","..11.64","25,376"
11/30/2022,"..11.64","..12.00","..11.81","..11.64","2,429"
11/29/2022,"..11.64","..12.64","..11.37","..11.64","20,512"
11/28/2022,"..13.31","..13.29","..11.02","..11.64","58,641"
11/24/2022,"..13.31","..14.23","..12.02","..13.31","10,360"
11/23/2022,"..11.88","..14.25","..11.70","..13.31","39,866"
11/22/2022,"..9.92","..11.90","..9.81","..11.88","32,556"
11/21/2022,"..8.51","..10.21","..9.82","..9.92","33,007"
11/17/2022,"..8.51","..9.90","..9.60","..8.51","21,056"
11/16/2022,"..8.51","..9.60","..9.50","..8.51","13,348"
11/15/2022,"..8.51","..9.55","..9.35","..8.51","13,753"
11/14/2022,"..8.51","..9.40","..9.30","..8.51","6,239"
11/10/2022,"..8.51","..9.22","..9.03","..8.51","11,928"
11/08/2022,"..8.51","..9.15","..9.04","..8.51","26,231"
11/07/2022,"..8.51","..9.14","..9.10","..8.51","3,002"
11/03/2022,"..8.51","..9.14","..8.91","..8.51","2,059"
11/02/2022,"..8.51","..9.12","..8.90","..8.51","21,236"
11/01/2022,"..8.51","..9.10","..8.80","..8.51","5,716"
10/31/2022,"..8.51","..9.00","..8.81","..8.51","6,048"
10/27/2022,"..8.51","..8.80","..8.60","..8.51","13,867"
10/26/2022,"..8.51","..8.70","..8.53","..8.51","2,906"
10/25/2022,"..8.53","..8.68","..8.50","..8.51","35,172"
10/24/2022,"..8.53","..8.60","..8.46","..8.53","21,117"
10/20/2022,"..8.53","..8.56","..8.40","..8.53","25,782"
10/19/2022,"..8.53","..8.56","..8.46","..8.53","9,396"
10/18/2022,"..8.53","..8.57","..8.43","..8.53","14,074"
10/17/2022,"..8.53","..8.60","..8.43","..8.53","18,540"
10/13/2022,"..8.53","..8.53","..8.40","..8.53","22,308"
10/12/2022,"..7.95","..8.54","..8.35","..8.53","44,359"
10/11/2022,"..7.95","..8.57","..8.40","..7.95","14,780"
10/10/2022,"..7.95","..8.56","..8.30","..7.95","32,188"
10/05/2022,"..7.95","..8.43","..8.15","..7.95","34,376"
10/04/2022,"..7.95","..8.20","..8.10","..7.95","8,511"
10/03/2022,"..7.95","..8.22","..8.10","..7.95","26,581"
09/29/2022,"..7.95","..8.14","..7.97","..7.95","28,591"
09/28/2022,"..7.95","..8.72","..7.92","..7.95","14,233"
09/27/2022,"..7.95","..7.96","..7.90","..7.95","14,962"
09/26/2022,"..7.95","..8.23","..7.91","..7.95","13,302"
09/22/2022,"..9.85","..9.88","..9.65","..9.84","89,896"
