Date,Open,High,Low,Close,Volume
09/21/2023,"..146.07","..165.00","..150.00","..146.07","792"
09/20/2023,"..146.07","..175.28","..140.00","..146.07","17,703"
09/19/2023,"..140.03","..149.95","..137.00","..146.07","11,067"
09/18/2023,"..140.03","..138.00","..137.00","..140.03","1,103"
09/14/2023,"..140.03","..140.03","..137.25","..140.03","221"
09/13/2023,"..140.03","..141.50","..137.00","..140.03","766"
09/12/2023,"..140.03","..140.00","..138.00","..140.03","219"
09/11/2023,"..140.03","..142.40","..137.00","..140.03","1,382"
09/07/2023,"..140.03","..140.99","..135.35","..140.03","266"
09/06/2023,"..139.40","..141.00","..132.00","..140.03","4,654"
09/05/2023,"..139.40","..139.99","..135.00","..139.40","1,931"
09/04/2023,"..139.40","..139.99","..137.90","..139.40","780"
08/31/2023,"..139.05","..135.00","..134.00","..139.05","266"
08/30/2023,"..139.05","..138.00","..134.10","..139.05","285"
08/29/2023,"..139.05","..138.50","..134.00","..139.05","736"
08/28/2023,"..139.05","..139.99","..136.06","..139.05","588"
08/24/2023,"..139.05","..141.97","..135.20","..139.05","777"
08/23/2023,"..139.05","..141.99","..137.00","..139.05","1,090"
08/22/2023,"..139.05","..139.00","..135.00","..139.05","1,072"
08/21/2023,"..139.05","..141.99","..137.00","..139.05","967"
08/17/2023,"..137.01","..139.69","..136.10","..139.05","3,523"
08/16/2023,"..137.01","..138.90","..136.00","..137.01","818"
08/15/2023,"..135.52","..138.50","..132.10","..137.01","5,091"
08/14/2023,"..134.00","..136.88","..133.25","..135.52","6,202"
08/10/2023,"..136.17","..137.00","..132.00","..133.35","5,850"
08/09/2023,"..133.84","..137.70","..133.50","..136.17","4,629"
08/08/2023,"..132.05","..135.40","..132.00","..133.84","3,754"
08/07/2023,"..128.16","..137.00","..131.16","..132.05","4,965"
08/03/2023,"..123.49","..126.65","..123.45","..123.49","2,295"
08/02/2023,"..122.72","..128.70","..121.10","..123.49","7,405"
08/01/2023,"..120.26","..125.00","..120.00","..122.72","16,169"
07/31/2023,"..119.62","..129.50","..120.00","..120.26","16,037"
07/27/2023,"..119.62","..138.50","..119.50","..119.62","11,322"
07/26/2023,"..99.69","..119.62","..99.00","..119.62","31,815"
07/25/2023,"..99.69","..101.00","..95.03","..99.69","1,292"
07/24/2023,"..99.69","..100.00","..98.49","..99.69","796"
07/19/2023,"..96.98","..102.00","..97.01","..99.69","3,258"
07/18/2023,"..96.98","..98.98","..96.09","..96.98","1,014"
07/17/2023,"..96.98","..99.50","..97.00","..96.98","1,020"
07/13/2023,"..97.02","..98.00","..95.20","..97.02","2,074"
07/12/2023,"..104.22","..99.00","..95.02","..97.02","3,461"
07/11/2023,"..104.22","..101.00","..96.05","..104.22","2,467"
07/10/2023,"..104.22","..100.00","..96.00","..104.22","2,122"
07/06/2023,"..104.22","..103.00","..98.25","..104.22","2,262"
07/05/2023,"..104.22","..105.99","..95.00","..104.22","2,057"
07/04/2023,"..104.22","..106.00","..103.00","..104.22","454"
06/26/2023,"..104.22","..108.88","..103.00","..104.22","1,162"
06/22/2023,"..101.12","..101.97","..99.00","..101.12","841"
06/21/2023,"..101.12","..101.99","..99.00","..101.12","1,474"
06/20/2023,"..101.12","..102.00","..99.00","..101.12","825"
06/19/2023,"..101.12","..103.00","..100.10","..101.12","2,854"
06/15/2023,"..98.69","..106.95","..98.69","..102.90","6,088"
06/14/2023,"..106.36","..112.99","..97.00","..98.69","10,603"
06/13/2023,"..108.79","..113.65","..104.00","..106.36","8,416"
06/12/2023,"..100.00","..110.00","..95.00","..108.79","23,061"
06/08/2023,"..86.34","..88.48","..86.11","..86.62","4,575"
06/07/2023,"..86.26","..88.50","..86.01","..86.34","4,695"
06/06/2023,"..87.42","..88.50","..84.30","..86.26","4,183"
06/05/2023,"..87.19","..91.45","..86.01","..87.42","14,259"
06/01/2023,"..79.98","..92.00","..76.00","..89.34","36,237"
05/31/2023,"..68.43","..80.00","..70.10","..79.98","147,186"
05/30/2023,"..68.43","..72.50","..71.80","..68.43","2,042"
05/29/2023,"..68.43","..71.92","..68.00","..68.43","3,510"
05/25/2023,"..68.43","..71.70","..68.01","..68.43","2,145"
05/24/2023,"..68.43","..69.00","..66.90","..68.43","2,861"
05/23/2023,"..68.43","..69.00","..64.64","..68.43","238"
05/22/2023,"..68.43","..67.00","..65.00","..68.43","2,722"
05/18/2023,"..66.28","..69.67","..64.26","..68.43","5,092"
05/17/2023,"..72.70","..72.75","..65.00","..66.28","10,518"
05/16/2023,"..71.22","..73.40","..67.20","..72.70","14,002"
05/15/2023,"..75.56","..77.90","..70.00","..71.22","8,465"
05/11/2023,"..77.28","..82.00","..77.00","..77.97","14,626"
05/10/2023,"..72.03","..85.00","..71.51","..77.28","51,511"
05/09/2023,"..62.77","..74.00","..66.50","..72.03","42,293"
05/08/2023,"..62.77","..66.80","..64.02","..62.77","2,895"
05/03/2023,"..62.77","..65.50","..62.02","..62.77","288"
05/02/2023,"..62.77","..63.42","..62.77","..62.77","800"
05/01/2023,"..62.77","..64.99","..62.50","..62.77","1,692"
04/27/2023,"..52.31","..62.77","..55.26","..62.77","6,470"
04/26/2023,"..52.31","..57.00","..53.02","..52.31","1,242"
04/19/2023,"..52.31","..55.00","..53.30","..52.31","523"
04/18/2023,"..52.31","..56.95","..52.02","..52.31","2,798"
04/12/2023,"..52.31","..54.00","..52.66","..52.31","519"
04/11/2023,"..52.31","..53.10","..52.11","..52.31","668"
04/10/2023,"..52.31","..56.49","..52.20","..52.31","415"
04/06/2023,"..52.31","..55.00","..50.10","..52.31","3,436"
04/05/2023,"..52.31","..58.90","..53.81","..52.31","704"
04/04/2023,"..52.31","..58.00","..53.75","..52.31","1,399"
04/03/2023,"..52.31","..53.56","..53.53","..52.31","101"
03/30/2023,"..52.31","..54.00","..53.11","..52.31","990"
03/29/2023,"..52.31","..54.00","..54.00","..52.31","510"
03/28/2023,"..52.31","..55.99","..53.50","..52.31","255"
03/27/2023,"..52.31","..54.67","..53.00","..52.31","2,629"
03/22/2023,"..52.31","..57.00","..54.05","..52.31","175"
03/21/2023,"..52.31","..54.99","..53.00","..52.31","109"
03/20/2023,"..52.31","..55.00","..53.53","..52.31","582"
03/16/2023,"..57.00","..53.98","..48.00","..52.31","9,393"
03/15/2023,"..57.00","..56.90","..49.00","..57.00","4,198"
03/14/2023,"..57.00","..54.90","..51.00","..57.00","493"
03/13/2023,"..57.00","..57.60","..49.00","..57.00","2,295"
03/09/2023,"..55.88","..57.00","..56.06","..55.88","1,120"
03/08/2023,"..55.88","..57.50","..55.31","..55.88","305"
03/07/2023,"..55.63","..56.70","..55.17","..55.88","6,189"
03/06/2023,"..55.63","..58.19","..56.10","..55.63","290"
03/02/2023,"..55.63","..58.00","..56.60","..55.63","782"
03/01/2023,"..55.63","..58.99","..56.16","..55.63","1,339"
02/28/2023,"..56.82","..59.98","..55.00","..55.63","6,624"
02/27/2023,"..61.48","..63.00","..55.00","..56.82","15,353"
02/23/2023,"..61.48","..61.50","..59.75","..61.48","410"
02/22/2023,"..61.48","..63.69","..60.00","..61.48","327"
02/21/2023,"..61.48","..62.73","..60.00","..61.48","1,079"
02/20/2023,"..61.48","..62.00","..61.50","..61.48","707"
02/16/2023,"..61.48","..63.99","..63.99","..61.48","598"
02/15/2023,"..61.48","..63.50","..61.20","..61.48","818"
02/14/2023,"..61.48","..63.99","..61.15","..61.48","720"
02/13/2023,"..61.03","..64.49","..60.03","..61.48","7,274"
02/09/2023,"..61.03","..65.89","..62.23","..61.03","3,450"
02/08/2023,"..61.03","..64.79","..61.03","..61.03","688"
02/07/2023,"..61.03","..64.85","..62.02","..61.03","399"
