Date,Open,High,Low,Close,Volume
09/21/2023,"..30.04","..30.69","..29.73","..30.10","177,591"
09/20/2023,"..29.84","..30.88","..29.57","..30.04","259,906"
09/19/2023,"..29.80","..30.29","..29.61","..29.84","323,932"
09/18/2023,"..28.30","..30.29","..28.55","..29.80","528,136"
09/14/2023,"..27.28","..27.70","..27.26","..27.55","41,213"
09/13/2023,"..27.04","..27.69","..27.00","..27.28","71,811"
09/12/2023,"..27.00","..27.40","..26.88","..27.04","49,699"
09/11/2023,"..27.19","..27.36","..26.96","..27.00","52,500"
09/07/2023,"..26.06","..26.88","..26.35","..26.49","34,163"
09/06/2023,"..27.10","..27.22","..25.50","..26.06","141,736"
09/05/2023,"..27.09","..27.25","..27.02","..27.10","34,536"
09/04/2023,"..27.23","..27.30","..26.88","..27.09","55,820"
08/31/2023,"..27.11","..27.30","..27.05","..27.15","37,844"
08/30/2023,"..27.07","..27.34","..27.00","..27.11","91,146"
08/29/2023,"..27.21","..27.48","..27.00","..27.07","61,537"
08/28/2023,"..26.99","..28.00","..26.91","..27.21","363,471"
08/24/2023,"..25.00","..25.20","..24.96","..25.02","47,493"
08/23/2023,"..25.14","..25.30","..25.00","..25.00","54,452"
08/22/2023,"..25.00","..25.33","..25.00","..25.14","22,898"
08/21/2023,"..25.04","..25.30","..25.00","..25.00","61,853"
08/17/2023,"..24.89","..25.08","..24.62","..25.04","78,818"
08/16/2023,"..25.08","..25.42","..24.81","..24.89","64,777"
08/15/2023,"..25.22","..25.33","..24.86","..25.08","53,190"
08/14/2023,"..25.03","..25.62","..25.01","..25.22","132,006"
08/10/2023,"..24.45","..24.78","..24.28","..24.48","74,804"
08/09/2023,"..24.08","..24.60","..24.00","..24.45","162,242"
08/08/2023,"..24.06","..24.20","..23.80","..24.08","73,078"
08/07/2023,"..24.13","..24.37","..24.00","..24.06","86,806"
08/03/2023,"..23.51","..23.60","..23.20","..23.34","21,409"
08/02/2023,"..23.74","..23.90","..23.42","..23.51","15,164"
08/01/2023,"..23.58","..23.94","..23.32","..23.74","51,721"
07/31/2023,"..23.56","..23.89","..23.41","..23.58","27,916"
07/27/2023,"..22.96","..23.46","..22.79","..22.84","33,468"
07/26/2023,"..23.05","..23.10","..22.91","..22.96","36,064"
07/25/2023,"..23.05","..23.40","..23.01","..23.05","46,818"
07/24/2023,"..23.53","..23.59","..23.00","..23.05","91,661"
07/19/2023,"..23.24","..23.60","..23.11","..23.53","45,958"
07/18/2023,"..23.24","..23.57","..23.17","..23.24","32,970"
07/17/2023,"..23.41","..23.59","..23.12","..23.24","23,754"
07/13/2023,"..23.04","..23.50","..22.82","..23.38","26,951"
07/12/2023,"..22.72","..23.35","..22.80","..23.04","13,380"
07/11/2023,"..22.62","..22.94","..22.40","..22.72","54,009"
07/10/2023,"..22.41","..22.95","..22.07","..22.62","15,175"
07/06/2023,"..23.05","..23.50","..22.80","..22.97","40,897"
07/05/2023,"..23.25","..23.28","..23.00","..23.05","67,785"
07/04/2023,"..23.44","..23.94","..23.20","..23.25","43,305"
06/26/2023,"..23.44","..23.50","..23.14","..23.44","52,288"
06/22/2023,"..23.22","..23.70","..22.95","..23.02","61,802"
06/21/2023,"..23.49","..23.95","..23.10","..23.22","110,472"
06/20/2023,"..23.26","..23.75","..23.42","..23.49","114,071"
06/19/2023,"..23.29","..24.00","..23.00","..23.26","110,684"
06/15/2023,"..23.51","..23.67","..23.00","..23.00","63,630"
06/14/2023,"..23.43","..23.99","..23.40","..23.51","44,716"
06/13/2023,"..22.99","..24.50","..23.20","..23.43","197,393"
06/12/2023,"..22.99","..23.74","..23.10","..22.99","12,371"
06/08/2023,"..22.83","..23.14","..22.00","..22.72","59,501"
06/07/2023,"..23.00","..23.39","..22.61","..22.83","35,193"
06/06/2023,"..22.82","..23.45","..23.00","..23.00","53,861"
06/05/2023,"..23.11","..23.68","..22.80","..22.82","141,934"
06/01/2023,"..23.49","..23.70","..23.37","..23.54","58,692"
05/31/2023,"..23.59","..23.85","..23.35","..23.49","85,863"
05/30/2023,"..23.67","..23.85","..23.55","..23.59","116,507"
05/29/2023,"..23.51","..23.95","..23.41","..23.67","32,763"
05/25/2023,"..23.74","..24.00","..23.55","..23.59","98,321"
05/24/2023,"..23.04","..24.38","..23.50","..23.74","115,301"
05/23/2023,"..23.75","..24.30","..22.80","..23.04","163,188"
05/22/2023,"..24.57","..25.00","..23.60","..23.75","101,685"
05/18/2023,"..25.84","..25.89","..25.26","..25.44","40,117"
05/17/2023,"..25.99","..26.30","..25.71","..25.84","63,234"
05/16/2023,"..26.10","..26.15","..25.83","..25.99","117,909"
