Date,Open,High,Low,Close,Volume
09/21/2023,"..38.46","..38.46","..34.81","..38.46","922"
09/20/2023,"..38.46","..39.39","..37.70","..38.46","716"
09/19/2023,"..38.46","..39.92","..36.40","..38.46","2,497"
09/18/2023,"..36.14","..40.00","..36.14","..38.46","9,733"
09/14/2023,"..36.14","..36.99","..34.77","..36.14","1,342"
09/13/2023,"..36.14","..37.90","..35.61","..36.14","366"
09/11/2023,"..36.14","..36.66","..36.14","..36.14","3"
09/06/2023,"..36.14","..37.37","..35.36","..36.14","1,595"
09/05/2023,"..36.14","..37.40","..36.02","..36.14","1,739"
09/04/2023,"..36.14","..38.00","..36.00","..36.14","6,793"
08/31/2023,"..36.14","..35.69","..34.73","..36.14","2,844"
08/30/2023,"..36.14","..35.30","..34.50","..36.14","1,675"
08/29/2023,"..36.14","..35.30","..34.50","..36.14","2,492"
08/28/2023,"..36.14","..35.40","..34.80","..36.14","633"
08/24/2023,"..36.14","..35.39","..34.78","..36.14","354"
08/23/2023,"..36.14","..35.40","..34.77","..36.14","1,860"
08/22/2023,"..36.14","..35.50","..34.64","..36.14","1,879"
08/21/2023,"..36.14","..35.60","..34.78","..36.14","128"
08/17/2023,"..36.14","..36.14","..35.04","..36.14","3,410"
08/16/2023,"..36.14","..36.14","..34.80","..36.14","5,554"
08/15/2023,"..36.14","..37.42","..34.77","..36.14","781"
08/14/2023,"..36.14","..37.00","..35.62","..36.14","1,641"
08/10/2023,"..36.14","..36.35","..35.05","..36.14","3,074"
08/09/2023,"..36.14","..35.00","..34.60","..36.14","3,074"
08/08/2023,"..36.14","..35.73","..35.00","..36.14","1,851"
08/07/2023,"..34.98","..36.50","..34.50","..36.14","9,021"
08/03/2023,"..34.98","..35.97","..34.50","..34.98","3,130"
08/02/2023,"..34.98","..35.00","..34.50","..34.98","6,385"
08/01/2023,"..34.98","..36.00","..35.00","..34.98","3,960"
07/31/2023,"..34.98","..35.98","..34.50","..34.98","5,263"
07/27/2023,"..34.98","..35.00","..34.54","..34.98","666"
07/26/2023,"..34.98","..35.89","..33.80","..34.98","1,846"
07/25/2023,"..34.98","..34.41","..34.34","..34.98","670"
07/24/2023,"..34.98","..36.35","..34.01","..34.98","923"
07/19/2023,"..34.98","..36.37","..34.02","..34.98","792"
07/18/2023,"..34.98","..36.90","..33.35","..34.98","623"
07/17/2023,"..34.98","..34.95","..33.35","..34.98","45"
07/13/2023,"..34.98","..36.40","..34.50","..34.98","467"
07/12/2023,"..34.98","..37.92","..33.25","..34.98","1,017"
07/10/2023,"..34.98","..37.00","..33.00","..34.98","674"
07/06/2023,"..37.16","..37.70","..36.60","..37.16","2,727"
07/05/2023,"..37.16","..37.97","..36.50","..37.16","3,071"
07/04/2023,"..36.97","..37.50","..36.50","..37.16","9,760"
06/26/2023,"..36.97","..37.00","..35.80","..36.97","2,765"
06/22/2023,"..36.97","..36.70","..35.40","..36.97","3,578"
06/21/2023,"..36.97","..37.36","..35.40","..36.97","8,234"
06/20/2023,"..36.97","..37.50","..36.11","..36.97","7,761"
06/19/2023,"..35.00","..37.23","..35.30","..36.97","15,196"
06/15/2023,"..34.93","..35.80","..34.00","..35.00","11,670"
06/14/2023,"..33.88","..35.85","..34.00","..34.93","9,261"
06/13/2023,"..33.20","..34.99","..33.36","..33.88","9,655"
06/12/2023,"..33.20","..33.70","..32.64","..33.20","5,976"
06/08/2023,"..34.00","..34.00","..33.00","..33.20","9,923"
06/07/2023,"..34.97","..35.88","..33.55","..34.00","34,911"
06/06/2023,"..35.42","..36.39","..34.71","..34.97","30,485"
06/05/2023,"..35.83","..37.65","..35.00","..35.42","15,591"
06/01/2023,"..37.51","..39.85","..35.99","..36.00","96,273"
05/31/2023,"..37.48","..39.24","..37.32","..37.51","16,410"
05/30/2023,"..36.23","..40.00","..36.24","..37.48","55,978"
05/29/2023,"..38.22","..38.24","..36.06","..36.23","18,528"
05/25/2023,"..40.24","..40.90","..37.70","..37.94","42,911"
05/24/2023,"..35.51","..40.97","..35.16","..40.24","75,982"
05/23/2023,"..35.66","..37.93","..33.06","..35.51","91,357"
05/22/2023,"..37.22","..37.00","..34.25","..35.66","41,814"
05/18/2023,"..28.32","..32.60","..28.30","..32.24","47,163"
05/17/2023,"..28.32","..30.00","..24.12","..28.32","1,078"
05/16/2023,"..28.32","..29.24","..28.62","..28.32","971"
05/15/2023,"..28.32","..31.00","..28.61","..28.32","6,337"
05/11/2023,"..28.32","..30.40","..27.40","..28.32","7,555"
05/10/2023,"..28.32","..29.50","..28.28","..28.32","2,218"
05/09/2023,"..28.32","..31.49","..28.00","..28.32","3,995"
05/08/2023,"..28.32","..30.00","..29.60","..28.32","67"
05/02/2023,"..28.32","..29.23","..28.33","..28.32","223"
05/01/2023,"..28.32","..30.80","..28.32","..28.32","4,367"
04/27/2023,"..28.32","..32.99","..28.35","..28.32","6,959"
04/26/2023,"..28.32","..29.30","..28.00","..28.32","6,397"
04/19/2023,"..28.32","..29.00","..28.01","..28.32","500"
04/13/2023,"..28.32","..29.40","..28.32","..28.32","3,150"
04/12/2023,"..28.32","..29.10","..28.02","..28.32","1,382"
04/11/2023,"..28.32","..29.01","..29.01","..28.32","321"
04/10/2023,"..28.32","..31.11","..27.50","..28.32","2,111"
04/06/2023,"..28.32","..28.99","..27.70","..28.32","2,336"
04/05/2023,"..28.32","..29.00","..28.01","..28.32","1,123"
04/04/2023,"..28.32","..28.94","..28.00","..28.32","2,286"
04/03/2023,"..28.32","..29.00","..27.20","..28.32","5,488"
03/30/2023,"..28.32","..28.00","..27.35","..28.32","6,846"
03/29/2023,"..28.32","..28.00","..27.30","..28.32","2,864"
03/28/2023,"..28.32","..28.02","..27.66","..28.32","8,393"
03/27/2023,"..28.32","..28.00","..27.21","..28.32","3,512"
03/23/2023,"..28.32","..27.99","..27.99","..28.32","20"
03/22/2023,"..28.32","..28.30","..26.51","..28.32","2,760"
03/21/2023,"..28.32","..28.50","..27.20","..28.32","3,185"
03/20/2023,"..28.32","..28.99","..27.20","..28.32","1,331"
03/16/2023,"..28.32","..29.00","..23.00","..28.32","35"
03/15/2023,"..28.32","..29.74","..25.03","..28.32","7,450"
03/14/2023,"..28.32","..28.50","..27.00","..28.32","6,150"
03/13/2023,"..30.07","..29.22","..28.00","..28.32","16,148"
03/09/2023,"..32.47","..32.70","..32.70","..32.47","31"
03/08/2023,"..32.47","..32.99","..31.10","..32.47","1,001"
03/07/2023,"..31.61","..33.74","..31.68","..32.47","34,099"
03/06/2023,"..30.78","..34.00","..30.30","..31.61","18,183"
03/02/2023,"..31.27","..33.50","..30.00","..30.78","36,978"
03/01/2023,"..33.72","..35.69","..31.00","..31.27","17,827"
02/28/2023,"..28.11","..33.73","..28.11","..33.72","75,114"
02/27/2023,"..28.11","..28.00","..24.70","..28.11","1,606"
02/23/2023,"..28.11","..28.47","..24.61","..28.11","7,007"
02/22/2023,"..28.11","..28.50","..26.65","..28.11","7,289"
02/21/2023,"..26.54","..28.49","..26.10","..28.11","15,665"
02/20/2023,"..24.02","..27.70","..26.04","..26.54","24,985"
02/16/2023,"..24.02","..26.38","..25.00","..24.02","5,071"
02/15/2023,"..24.02","..25.35","..23.92","..24.02","2,191"
02/14/2023,"..24.02","..25.35","..23.82","..24.02","862"
02/13/2023,"..24.02","..23.82","..23.81","..24.02","1,003"
02/09/2023,"..24.02","..24.11","..24.11","..24.02","10"
02/08/2023,"..24.02","..24.56","..24.00","..24.02","5,388"
