Date,Open,High,Low,Close,Volume
09/21/2023,"..199.15","..202.00","..196.10","..199.15","41"
09/20/2023,"..199.15","..202.31","..197.00","..199.15","196"
09/19/2023,"..199.15","..202.40","..199.00","..199.15","87"
09/18/2023,"..199.15","..200.00","..197.00","..199.15","69"
09/14/2023,"..199.15","..202.90","..197.00","..199.15","615"
09/13/2023,"..199.15","..204.99","..197.71","..199.15","165"
09/12/2023,"..199.15","..200.00","..197.70","..199.15","41"
09/11/2023,"..199.15","..200.00","..197.64","..199.15","187"
09/07/2023,"..199.15","..199.99","..197.62","..199.15","44"
09/06/2023,"..199.15","..205.99","..198.00","..199.15","373"
09/05/2023,"..199.15","..209.00","..197.51","..199.15","719"
09/04/2023,"..199.15","..201.88","..197.35","..199.15","366"
08/31/2023,"..199.15","..200.99","..197.32","..199.15","611"
08/30/2023,"..199.15","..201.98","..197.31","..199.15","1,161"
08/29/2023,"..199.15","..202.48","..197.24","..199.15","770"
08/28/2023,"..199.15","..204.00","..196.08","..199.15","215"
08/24/2023,"..199.15","..207.99","..197.25","..199.15","958"
08/23/2023,"..215.33","..209.93","..198.00","..199.15","2,445"
08/22/2023,"..215.33","..210.00","..201.00","..215.33","561"
08/21/2023,"..215.33","..211.00","..203.53","..215.33","92"
08/17/2023,"..215.33","..210.00","..205.00","..215.33","74"
08/16/2023,"..215.33","..212.00","..201.01","..215.33","115"
08/15/2023,"..215.33","..213.00","..200.11","..215.33","790"
08/14/2023,"..215.33","..215.00","..205.08","..215.33","438"
08/10/2023,"..215.33","..217.00","..210.00","..215.33","477"
08/09/2023,"..215.33","..216.50","..210.00","..215.33","339"
08/08/2023,"..215.33","..216.50","..213.00","..215.33","139"
08/03/2023,"..215.33","..217.00","..212.00","..215.33","23"
08/02/2023,"..215.33","..217.99","..207.00","..215.33","591"
08/01/2023,"..215.33","..218.00","..213.00","..215.33","318"
07/31/2023,"..215.33","..218.98","..213.11","..215.33","41"
07/27/2023,"..215.33","..216.00","..213.00","..215.33","44"
07/26/2023,"..215.33","..216.00","..213.00","..215.33","26"
07/25/2023,"..215.33","..216.99","..213.00","..215.33","1,115"
07/24/2023,"..215.33","..215.00","..213.00","..215.33","115"
07/19/2023,"..215.33","..217.00","..212.07","..215.33","410"
07/18/2023,"..215.33","..217.00","..213.00","..215.33","60"
07/17/2023,"..219.99","..216.99","..212.02","..215.33","8,725"
07/13/2023,"..219.99","..215.90","..206.00","..219.99","104"
07/12/2023,"..219.99","..215.85","..201.10","..219.99","138"
07/11/2023,"..219.99","..215.84","..215.00","..219.99","7"
07/10/2023,"..219.99","..216.85","..200.51","..219.99","103"
07/06/2023,"..219.99","..222.00","..210.03","..219.99","1,070"
07/05/2023,"..219.99","..216.40","..210.02","..219.99","357"
07/04/2023,"..219.99","..217.90","..207.01","..219.99","1,022"
06/26/2023,"..219.99","..216.00","..210.00","..219.99","103"
06/22/2023,"..219.99","..218.00","..205.00","..219.99","230"
06/21/2023,"..219.99","..219.80","..216.00","..219.99","1,311"
06/20/2023,"..219.99","..220.00","..217.61","..219.99","267"
06/19/2023,"..220.00","..220.00","..219.00","..219.99","2,207"
06/15/2023,"..220.00","..223.99","..219.00","..220.00","68"
06/14/2023,"..220.00","..225.00","..217.60","..220.00","1,174"
06/13/2023,"..220.00","..225.40","..217.20","..220.00","622"
06/12/2023,"..220.00","..220.00","..217.10","..220.00","295"
06/08/2023,"..220.00","..224.26","..217.06","..220.00","31"
06/07/2023,"..220.00","..224.28","..218.00","..220.00","306"
06/06/2023,"..220.00","..219.50","..219.00","..220.00","102"
06/05/2023,"..220.20","..224.29","..220.00","..220.00","2,561"
06/01/2023,"..217.37","..225.47","..219.00","..220.20","1,387"
05/31/2023,"..217.37","..226.00","..218.00","..217.37","366"
05/30/2023,"..217.37","..228.78","..222.00","..217.37","174"
05/29/2023,"..241.18","..242.00","..216.00","..217.37","2,885"
05/25/2023,"..238.61","..245.00","..235.00","..241.18","3,982"
05/24/2023,"..229.94","..240.00","..230.00","..238.61","2,128"
05/23/2023,"..226.93","..230.00","..220.00","..229.94","3,308"
05/22/2023,"..209.99","..230.00","..211.00","..226.93","1,950"
05/18/2023,"..205.34","..208.94","..202.00","..208.82","2,104"
05/17/2023,"..203.80","..208.70","..200.00","..205.34","2,043"
05/16/2023,"..197.25","..208.90","..198.00","..203.80","2,269"
05/15/2023,"..197.25","..198.10","..190.00","..197.25","1,424"
05/11/2023,"..196.51","..198.00","..195.01","..196.51","99"
05/10/2023,"..196.51","..198.88","..195.00","..196.51","539"
05/09/2023,"..197.02","..198.00","..193.03","..196.51","1,986"
05/08/2023,"..197.02","..197.00","..193.03","..197.02","11"
05/03/2023,"..197.02","..198.00","..193.00","..197.02","1,013"
05/02/2023,"..197.02","..198.00","..194.00","..197.02","1,031"
05/01/2023,"..197.02","..199.00","..194.00","..197.02","1,274"
04/27/2023,"..195.87","..201.33","..196.33","..197.02","3,237"
04/26/2023,"..195.87","..201.46","..196.00","..195.87","839"
04/19/2023,"..193.90","..197.70","..192.60","..195.87","1,549"
04/18/2023,"..192.00","..196.99","..191.00","..193.90","1,848"
04/13/2023,"..192.00","..195.00","..192.00","..192.00","1,629"
04/11/2023,"..193.35","..198.88","..192.00","..192.00","1,811"
04/10/2023,"..193.35","..197.00","..192.10","..193.35","902"
04/06/2023,"..197.23","..196.50","..193.04","..197.23","1,120"
04/05/2023,"..202.39","..202.83","..195.13","..197.23","2,339"
04/04/2023,"..196.44","..204.95","..192.10","..202.39","5,296"
04/03/2023,"..198.14","..201.99","..196.00","..196.44","1,562"
03/30/2023,"..200.00","..200.00","..196.00","..198.14","4,952"
03/29/2023,"..200.00","..200.00","..200.00","..200.00","550"
03/28/2023,"..197.94","..200.00","..195.02","..200.00","2,150"
03/27/2023,"..200.00","..199.98","..194.01","..197.94","2,597"
03/23/2023,"..200.00","..200.00","..194.25","..200.00","396"
03/22/2023,"..200.00","..204.92","..194.06","..200.00","871"
03/21/2023,"..200.00","..205.00","..200.00","..200.00","754"
03/20/2023,"..200.00","..204.90","..192.00","..200.00","205"
03/16/2023,"..192.61","..205.00","..194.00","..200.00","5,386"
03/15/2023,"..184.90","..209.00","..180.00","..192.61","8,173"
03/14/2023,"..178.62","..194.99","..169.43","..184.90","10,334"
03/13/2023,"..178.62","..167.51","..160.01","..178.62","869"
03/09/2023,"..178.62","..178.62","..167.00","..178.62","71"
03/08/2023,"..178.62","..178.62","..165.00","..178.62","134"
03/07/2023,"..178.62","..170.00","..165.00","..178.62","798"
03/06/2023,"..178.62","..178.62","..169.00","..178.62","131"
03/02/2023,"..178.62","..178.62","..168.01","..178.62","135"
03/01/2023,"..178.62","..178.62","..165.00","..178.62","45"
02/28/2023,"..178.62","..178.62","..163.02","..178.62","464"
02/27/2023,"..178.62","..178.62","..164.50","..178.62","123"
02/23/2023,"..178.62","..177.95","..162.02","..178.62","937"
02/22/2023,"..178.62","..168.00","..168.00","..178.62","5"
02/21/2023,"..178.62","..177.95","..177.95","..178.62","5"
02/20/2023,"..178.62","..178.62","..170.00","..178.62","600"
02/16/2023,"..164.00","..179.00","..165.93","..178.62","1,750"
02/15/2023,"..164.09","..165.93","..162.02","..164.00","2,288"
02/14/2023,"..164.09","..165.00","..162.00","..164.09","1,457"
02/13/2023,"..164.09","..164.00","..162.00","..164.09","509"
02/09/2023,"..164.09","..162.00","..160.50","..164.09","172"
02/08/2023,"..164.09","..162.50","..159.00","..164.09","985"
02/07/2023,"..164.09","..164.90","..159.00","..164.09","133"
02/06/2023,"..164.09","..165.99","..156.00","..164.09","1,542"
02/02/2023,"..164.09","..166.90","..159.01","..164.09","254"
02/01/2023,"..164.09","..167.00","..161.50","..164.09","1,087"
01/31/2023,"..164.09","..167.00","..159.00","..164.09","578"
01/30/2023,"..156.00","..169.85","..161.56","..164.09","2,010"
01/25/2023,"..156.00","..157.52","..157.50","..156.00","1,503"
01/24/2023,"..156.00","..162.99","..157.01","..156.00","311"
01/23/2023,"..156.00","..157.50","..157.01","..156.00","33"
01/19/2023,"..156.00","..163.60","..155.01","..156.00","1,443"
01/18/2023,"..159.02","..163.00","..155.00","..156.00","6,618"
01/17/2023,"..159.02","..160.98","..153.00","..159.02","708"
01/16/2023,"..159.02","..160.00","..157.99","..159.02","1,300"
01/12/2023,"..159.02","..158.99","..151.00","..159.02","79"
01/11/2023,"..160.36","..160.00","..151.00","..159.02","2,353"
01/10/2023,"..160.36","..160.00","..150.00","..160.36","1,631"
01/09/2023,"..148.21","..161.50","..149.10","..160.36","4,898"
01/05/2023,"..148.21","..158.00","..150.00","..148.21","1,001"
01/04/2023,"..148.21","..160.00","..150.00","..148.21","1,291"
01/03/2023,"..148.21","..160.00","..155.00","..148.21","1,227"
