Date,Open,High,Low,Close,Volume
09/21/2023,"..1.25","..1.25","..1.25","..1.39","79"
09/05/2023,"..1.25","..1.25","..1.25","..1.39","21"
08/23/2023,"..1.25","..1.25","..1.25","..1.39","5,500"
08/22/2023,"..1.25","..1.25","..1.25","..1.39","165"
07/19/2023,"..1.25","..1.25","..1.25","..1.39","187"
07/05/2023,"..1.25","..1.25","..1.25","..1.39","3"
06/19/2023,"..1.25","..1.25","..1.25","..1.39","100"
06/07/2023,"..1.25","..1.25","..1.25","..1.39","23"
06/01/2023,"..1.25","..1.25","..1.25","..1.39","391"
05/09/2023,"..1.25","..1.25","..1.25","..1.39","7"
05/02/2023,"..1.25","..1.25","..1.25","..1.39","758"
03/28/2023,"..1.25","..1.25","..1.25","..1.39","5"
03/27/2023,"..1.25","..1.25","..1.25","..1.39","77"
03/23/2023,"..1.25","..1.25","..1.25","..1.39","77"
03/13/2023,"..1.25","..1.25","..1.25","..1.39","2,637"
03/09/2023,"..1.25","..1.25","..1.25","..1.39","4"
02/22/2023,"..1.25","..1.25","..1.25","..1.39","100"
02/20/2023,"..1.25","..1.25","..1.25","..1.39","100"
02/15/2023,"..1.25","..1.25","..1.25","..1.39","1,287"
02/08/2023,"..1.25","..1.25","..1.25","..1.39","392"
02/06/2023,"..1.25","..1.25","..1.25","..1.39","5"
02/02/2023,"..1.25","..1.25","..1.25","..1.39","720"
01/25/2023,"..1.25","..1.25","..1.25","..1.39","9"
01/12/2023,"..1.25","..1.25","..1.25","..1.39","1,123"
01/04/2023,"..1.25","..1.25","..1.25","..1.39","11,562"
01/03/2023,"..1.25","..1.25","..1.25","..1.39","21,474"
01/02/2023,"..1.25","..1.25","..1.25","..1.39","6,511"
12/29/2022,"..1.25","..1.25","..1.25","..1.39","36,836"
12/20/2022,"..1.25","..1.25","..1.25","..1.39","65"
12/19/2022,"..1.25","..1.25","..1.25","..1.39","39"
12/15/2022,"..1.39","..1.39","..1.25","..1.39","1,629"
12/13/2022,"..1.25","..1.25","..1.25","..1.39","72"
12/12/2022,"..1.25","..1.25","..1.25","..1.39","100"
12/06/2022,"..1.25","..1.25","..1.25","..1.39","4,438"
12/05/2022,"..1.25","..1.25","..1.25","..1.39","36,280"
11/16/2022,"..1.39","..1.39","..1.39","..1.55","1,445"
