Date,Open,High,Low,Close,Volume
09/21/2023,"..1.79","..1.70","..1.70","..1.79","2,000"
09/19/2023,"..1.79","..1.82","..1.70","..1.79","11,374"
09/18/2023,"..1.79","..1.85","..1.70","..1.79","20,044"
09/14/2023,"..1.79","..1.70","..1.70","..1.79","2,229"
09/13/2023,"..1.79","..1.70","..1.70","..1.79","5,350"
09/11/2023,"..1.88","..1.83","..1.79","..1.79","191,896"
09/07/2023,"..1.88","..1.79","..1.79","..1.88","157"
09/04/2023,"..1.88","..1.88","..1.79","..1.88","5,000"
08/29/2023,"..1.88","..1.85","..1.80","..1.88","3,500"
08/28/2023,"..1.88","..1.80","..1.79","..1.88","19,004"
08/17/2023,"..1.88","..1.79","..1.79","..1.88","540"
08/15/2023,"..1.88","..1.88","..1.79","..1.88","18,235"
08/14/2023,"..1.88","..1.79","..1.79","..1.88","2,000"
08/09/2023,"..1.88","..1.79","..1.79","..1.88","1,000"
08/07/2023,"..1.88","..1.79","..1.79","..1.88","11,050"
08/02/2023,"..1.88","..1.79","..1.79","..1.88","17,864"
08/01/2023,"..1.88","..1.79","..1.79","..1.88","13,705"
07/31/2023,"..1.88","..1.85","..1.79","..1.88","151,784"
07/27/2023,"..1.88","..1.88","..1.79","..1.88","8,700"
07/26/2023,"..1.88","..1.79","..1.79","..1.88","96,515"
07/25/2023,"..1.88","..1.79","..1.79","..1.88","6,472"
07/19/2023,"..1.88","..1.79","..1.79","..1.88","6,000"
07/17/2023,"..1.88","..1.79","..1.79","..1.88","12"
07/13/2023,"..1.88","..1.79","..1.79","..1.88","9,838"
07/05/2023,"..1.88","..1.79","..1.79","..1.88","14,000"
07/04/2023,"..1.88","..1.79","..1.79","..1.88","5,700"
06/26/2023,"..1.88","..1.88","..1.88","..1.88","8,000"
06/22/2023,"..1.88","..1.88","..1.88","..1.88","12,500"
06/21/2023,"..1.88","..1.79","..1.79","..1.88","10"
06/20/2023,"..1.88","..1.80","..1.79","..1.88","5,000"
06/19/2023,"..1.88","..1.88","..1.79","..1.88","14,397"
06/15/2023,"..1.88","..1.88","..1.88","..1.88","11,000"
06/14/2023,"..1.88","..1.87","..1.79","..1.88","13,000"
06/13/2023,"..1.88","..1.79","..1.79","..1.88","5,000"
06/08/2023,"..1.88","..1.88","..1.79","..1.88","8,562"
