Date,Open,High,Low,Close,Volume
09/21/2023,"..2.44","..2.70","..2.40","..2.70","5,477,963"
09/20/2023,"..2.52","..2.53","..2.43","..2.44","1,037,818"
09/19/2023,"..2.54","..2.57","..2.46","..2.52","1,921,232"
09/18/2023,"..2.56","..2.63","..2.54","..2.54","1,977,077"
09/14/2023,"..2.45","..2.51","..2.44","..2.46","1,241,275"
09/13/2023,"..2.46","..2.54","..2.41","..2.45","3,471,138"
09/12/2023,"..2.62","..2.65","..2.45","..2.46","6,176,983"
09/11/2023,"..2.38","..2.67","..2.43","..2.62","9,520,819"
09/07/2023,"..2.40","..2.39","..2.36","..2.37","128,496"
09/06/2023,"..2.40","..2.42","..2.37","..2.40","100,644"
09/05/2023,"..2.41","..2.42","..2.39","..2.40","264,551"
09/04/2023,"..2.41","..2.45","..2.38","..2.41","371,041"
08/31/2023,"..2.41","..2.46","..2.39","..2.41","302,340"
08/30/2023,"..2.40","..2.55","..2.37","..2.41","2,223,089"
08/29/2023,"..2.42","..2.45","..2.37","..2.40","514,064"
08/28/2023,"..2.37","..2.55","..2.33","..2.42","1,479,567"
08/24/2023,"..2.37","..2.39","..2.32","..2.37","97,217"
08/23/2023,"..2.39","..2.40","..2.36","..2.37","157,454"
08/22/2023,"..2.39","..2.41","..2.37","..2.39","78,856"
08/21/2023,"..2.43","..2.44","..2.36","..2.39","154,195"
08/17/2023,"..2.44","..2.45","..2.39","..2.43","310,635"
08/16/2023,"..2.49","..2.54","..2.42","..2.44","572,766"
08/15/2023,"..2.61","..2.64","..2.48","..2.49","4,551,465"
08/14/2023,"..2.65","..2.67","..2.60","..2.61","156,986"
08/10/2023,"..2.65","..2.65","..2.60","..2.65","70,870"
08/09/2023,"..2.65","..2.65","..2.61","..2.65","73,830"
08/08/2023,"..2.65","..2.70","..2.64","..2.65","185,831"
08/07/2023,"..2.65","..2.65","..2.64","..2.65","89,844"
08/03/2023,"..2.70","..2.65","..2.63","..2.65","312,138"
08/02/2023,"..2.70","..2.70","..2.64","..2.70","70,998"
08/01/2023,"..2.70","..2.70","..2.64","..2.70","84,617"
07/31/2023,"..2.70","..2.72","..2.64","..2.70","59,372"
07/27/2023,"..2.70","..2.72","..2.63","..2.70","29,256"
07/26/2023,"..2.76","..2.76","..2.61","..2.70","125,272"
07/25/2023,"..2.76","..2.76","..2.73","..2.76","12,810"
07/24/2023,"..2.76","..2.77","..2.71","..2.76","45,399"
07/19/2023,"..2.76","..2.80","..2.71","..2.76","57,126"
07/18/2023,"..2.76","..2.81","..2.70","..2.76","76,244"
07/17/2023,"..2.76","..2.82","..2.56","..2.76","68,618"
07/13/2023,"..2.76","..2.84","..2.78","..2.76","11,402"
07/12/2023,"..2.76","..2.85","..2.75","..2.76","24,215"
07/11/2023,"..2.85","..2.83","..2.73","..2.76","136,383"
07/10/2023,"..2.85","..2.80","..2.55","..2.85","84,196"
07/06/2023,"..2.92","..2.90","..2.83","..2.85","143,216"
07/05/2023,"..2.86","..2.94","..2.85","..2.92","230,205"
07/04/2023,"..2.86","..2.89","..2.82","..2.86","27,711"
06/26/2023,"..2.86","..2.90","..2.82","..2.86","60,347"
06/22/2023,"..2.94","..2.94","..2.88","..2.94","6,986"
06/21/2023,"..2.94","..2.95","..2.88","..2.94","102,198"
06/20/2023,"..2.93","..2.95","..2.91","..2.94","122,231"
06/19/2023,"..3.00","..3.00","..2.90","..2.93","129,101"
06/15/2023,"..3.00","..3.00","..2.92","..3.00","15,832"
06/14/2023,"..3.00","..3.01","..2.95","..3.00","17,835"
06/13/2023,"..3.00","..3.02","..2.95","..3.00","70,986"
06/12/2023,"..3.00","..2.98","..2.91","..3.00","39,624"
