Date,Open,High,Low,Close,Volume
09/21/2023,"..0.21","..0.22","..0.20","..0.21","167,452,891"
09/20/2023,"..0.19","..0.22","..0.18","..0.21","210,883,828"
09/19/2023,"..0.20","..0.20","..0.18","..0.18","145,860,703"
09/18/2023,"..0.16","..0.19","..0.16","..0.19","253,424,656"
09/14/2023,"..0.15","..0.15","..0.15","..0.15","17,034,828"
09/13/2023,"..0.15","..0.16","..0.15","..0.15","15,465,279"
09/12/2023,"..0.16","..0.16","..0.15","..0.15","11,422,079"
09/11/2023,"..0.16","..0.16","..0.15","..0.15","20,056,699"
09/07/2023,"..0.16","..0.16","..0.16","..0.16","8,775,118"
09/06/2023,"..0.16","..0.16","..0.16","..0.16","35,415,965"
09/05/2023,"..0.16","..0.16","..0.16","..0.16","16,999,088"
09/04/2023,"..0.16","..0.16","..0.16","..0.16","29,765,699"
08/31/2023,"..0.15","..0.16","..0.15","..0.16","33,587,742"
08/30/2023,"..0.15","..0.16","..0.15","..0.15","16,472,621"
08/29/2023,"..0.16","..0.16","..0.15","..0.15","17,106,799"
08/28/2023,"..0.16","..0.16","..0.15","..0.15","13,112,831"
08/24/2023,"..0.16","..0.16","..0.15","..0.15","18,712,301"
08/23/2023,"..0.16","..0.16","..0.16","..0.16","15,386,198"
08/22/2023,"..0.16","..0.16","..0.16","..0.16","15,239,715"
08/21/2023,"..0.16","..0.16","..0.16","..0.16","11,320,340"
08/17/2023,"..0.16","..0.16","..0.16","..0.16","26,651,205"
08/16/2023,"..0.16","..0.17","..0.15","..0.16","63,275,992"
08/15/2023,"..0.16","..0.16","..0.16","..0.16","15,352,364"
08/14/2023,"..0.16","..0.16","..0.16","..0.16","16,446,881"
08/10/2023,"..0.16","..0.16","..0.16","..0.16","24,046,652"
08/09/2023,"..0.16","..0.16","..0.16","..0.16","28,296,861"
08/08/2023,"..0.17","..0.17","..0.16","..0.16","31,492,561"
08/07/2023,"..0.16","..0.16","..0.16","..0.16","49,564,238"
08/03/2023,"..0.15","..0.15","..0.15","..0.15","11,188,814"
08/02/2023,"..0.16","..0.16","..0.15","..0.15","22,811,572"
08/01/2023,"..0.16","..0.16","..0.16","..0.16","22,400,758"
07/31/2023,"..0.16","..0.16","..0.16","..0.16","18,703,820"
07/27/2023,"..0.15","..0.16","..0.15","..0.15","46,161,523"
07/26/2023,"..0.15","..0.15","..0.15","..0.15","21,944,787"
07/25/2023,"..0.15","..0.16","..0.15","..0.15","18,020,994"
07/24/2023,"..0.15","..0.16","..0.15","..0.15","16,369,501"
07/19/2023,"..0.16","..0.16","..0.15","..0.15","18,090,484"
07/18/2023,"..0.15","..0.16","..0.15","..0.15","25,294,799"
07/17/2023,"..0.15","..0.15","..0.15","..0.15","20,938,129"
07/13/2023,"..0.16","..0.16","..0.15","..0.15","40,084,785"
07/12/2023,"..0.16","..0.16","..0.16","..0.16","25,093,104"
07/11/2023,"..0.16","..0.16","..0.15","..0.16","38,158,840"
07/10/2023,"..0.15","..0.16","..0.15","..0.16","34,812,145"
07/06/2023,"..0.17","..0.17","..0.17","..0.17","35,018,863"
07/05/2023,"..0.18","..0.18","..0.17","..0.17","30,524,602"
07/04/2023,"..0.18","..0.18","..0.17","..0.17","45,165,578"
06/26/2023,"..0.17","..0.18","..0.17","..0.17","53,864,031"
06/22/2023,"..0.17","..0.18","..0.17","..0.18","133,541,047"
06/21/2023,"..0.16","..0.18","..0.16","..0.17","176,427,703"
06/20/2023,"..0.16","..0.16","..0.16","..0.16","50,579,086"
06/19/2023,"..0.17","..0.17","..0.16","..0.16","36,097,801"
06/15/2023,"..0.16","..0.16","..0.16","..0.16","36,693,883"
06/14/2023,"..0.17","..0.17","..0.16","..0.16","35,231,176"
06/13/2023,"..0.17","..0.18","..0.16","..0.16","80,011,953"
06/12/2023,"..0.16","..0.18","..0.16","..0.17","77,857,477"
06/08/2023,"..0.16","..0.17","..0.16","..0.17","47,601,043"
06/07/2023,"..0.17","..0.17","..0.16","..0.16","73,018,648"
06/06/2023,"..0.17","..0.19","..0.16","..0.17","164,049,812"
06/01/2023,"..0.14","..0.15","..0.14","..0.14","28,058,672"
05/31/2023,"..0.15","..0.15","..0.14","..0.14","28,621,504"
05/30/2023,"..0.15","..0.15","..0.14","..0.14","54,777,184"
05/29/2023,"..0.15","..0.15","..0.14","..0.14","63,784,719"
05/25/2023,"..0.13","..0.14","..0.13","..0.13","55,585,973"
05/24/2023,"..0.13","..0.13","..0.13","..0.13","10,081,210"
05/23/2023,"..0.13","..0.13","..0.12","..0.13","16,139,720"
05/22/2023,"..0.12","..0.13","..0.12","..0.12","21,996,689"
05/18/2023,"..0.12","..0.12","..0.12","..0.12","5,781,063"
05/17/2023,"..0.13","..0.13","..0.12","..0.12","11,439,593"
05/16/2023,"..0.12","..0.13","..0.12","..0.13","8,016,290"
05/15/2023,"..0.13","..0.13","..0.12","..0.12","19,867,477"
05/11/2023,"..0.12","..0.13","..0.12","..0.13","38,397,797"
05/10/2023,"..0.12","..0.12","..0.12","..0.12","7,289,437"
05/09/2023,"..0.12","..0.12","..0.12","..0.12","5,921,595"
05/08/2023,"..0.12","..0.12","..0.12","..0.12","14,473,244"
05/03/2023,"..0.12","..0.12","..0.12","..0.12","11,960,033"
05/02/2023,"..0.12","..0.12","..0.12","..0.12","8,619,062"
05/01/2023,"..0.12","..0.12","..0.12","..0.12","5,599,687"
04/27/2023,"..0.12","..0.12","..0.12","..0.12","16,865,660"
04/26/2023,"..0.12","..0.12","..0.12","..0.12","2,470,561"
04/19/2023,"..0.12","..0.12","..0.12","..0.12","10,421,551"
04/18/2023,"..0.12","..0.12","..0.12","..0.12","4,924,226"
04/13/2023,"..0.12","..0.12","..0.12","..0.12","1,527,318"
04/12/2023,"..0.12","..0.12","..0.12","..0.12","3,441,717"
04/11/2023,"..0.12","..0.12","..0.12","..0.12","4,679,349"
04/10/2023,"..0.12","..0.12","..0.12","..0.12","14,802,361"
04/06/2023,"..0.13","..0.13","..0.12","..0.12","2,245,046"
04/05/2023,"..0.12","..0.13","..0.12","..0.12","4,891,761"
04/04/2023,"..0.12","..0.12","..0.12","..0.12","7,445,859"
04/03/2023,"..0.12","..0.12","..0.12","..0.12","5,873,338"
03/30/2023,"..0.12","..0.12","..0.11","..0.12","4,352,633"
03/29/2023,"..0.12","..0.12","..0.12","..0.12","2,602,206"
03/28/2023,"..0.12","..0.12","..0.12","..0.12","2,154,807"
03/27/2023,"..0.12","..0.12","..0.12","..0.12","4,148,225"
03/23/2023,"..0.12","..0.12","..0.11","..0.12","3,652,768"
03/22/2023,"..0.12","..0.12","..0.12","..0.12","6,907,203"
03/21/2023,"..0.12","..0.12","..0.12","..0.12","11,155,204"
03/20/2023,"..0.11","..0.12","..0.11","..0.11","9,691,589"
03/16/2023,"..0.10","..0.12","..0.10","..0.11","12,082,872"
03/15/2023,"..0.13","..0.13","..0.10","..0.11","17,626,451"
03/14/2023,"..0.12","..0.13","..0.11","..0.12","7,804,808"
03/13/2023,"..0.13","..0.14","..0.12","..0.12","15,097,336"
