Date,Open,High,Low,Close,Volume
09/21/2023,"0.13","0.14","0.13","0.14","1,333,643"
09/20/2023,"0.13","0.13","0.13","0.13","418,188"
09/19/2023,"0.13","0.14","0.13","0.13","1,994,016"
09/18/2023,"0.13","0.13","0.13","0.13","56,898"
09/14/2023,"0.12","0.13","0.12","0.12","313,753"
09/13/2023,"0.12","0.12","0.12","0.12","38,402"
09/12/2023,"0.12","0.12","0.12","0.12","270,005"
09/11/2023,"0.12","0.12","0.12","0.12","163,031"
09/07/2023,"0.12","0.12","0.12","0.12","60,641"
09/06/2023,"0.12","0.12","0.12","0.12","33,337"
09/05/2023,"0.12","0.12","0.12","0.12","119,478"
09/04/2023,"0.12","0.12","0.12","0.12","434,855"
08/31/2023,"0.13","0.13","0.12","0.12","309,240"
08/30/2023,"0.13","0.13","0.13","0.13","202,657"
08/29/2023,"0.13","0.13","0.13","0.13","73,349"
08/28/2023,"0.13","0.13","0.13","0.13","24,014"
08/24/2023,"0.13","0.13","0.13","0.13","104,396"
08/23/2023,"0.13","0.13","0.13","0.13","201,139"
08/22/2023,"0.13","0.13","0.13","0.13","179,350"
08/21/2023,"0.13","0.13","0.13","0.13","72,418"
08/17/2023,"0.13","0.13","0.13","0.13","56,257"
08/16/2023,"0.13","0.13","0.13","0.13","213,099"
08/15/2023,"0.13","0.13","0.13","0.13","338,954"
08/14/2023,"0.13","0.13","0.13","0.13","84,537"
08/10/2023,"0.12","0.13","0.12","0.12","61,448"
08/09/2023,"0.13","0.13","0.12","0.12","216,592"
08/08/2023,"0.13","0.13","0.13","0.13","135,343"
08/07/2023,"0.13","0.13","0.13","0.13","65,045"
08/03/2023,"0.13","0.13","0.13","0.13","182,381"
08/02/2023,"0.13","0.13","0.13","0.13","276,460"
08/01/2023,"0.13","0.13","0.13","0.13","220,400"
07/31/2023,"0.13","0.13","0.13","0.13","320,465"
07/27/2023,"0.13","0.13","0.13","0.13","1,775,097"
07/26/2023,"0.12","0.13","0.12","0.13","3,253,003"
07/25/2023,"0.12","0.12","0.11","0.12","729,641"
07/24/2023,"0.12","0.11","0.11","0.12","79,637"
07/19/2023,"0.11","0.12","0.11","0.12","421,636"
07/18/2023,"0.11","0.11","0.11","0.11","100,303"
07/17/2023,"0.11","0.11","0.11","0.11","167,983"
07/12/2023,"0.11","0.12","0.11","0.11","616,172"
07/11/2023,"0.12","0.12","0.11","0.11","508,182"
07/10/2023,"0.11","0.12","0.11","0.12","566,185"
07/06/2023,"0.12","0.12","0.12","0.12","75,979"
07/05/2023,"0.11","0.12","0.11","0.12","1,105,189"
07/04/2023,"0.11","0.11","0.11","0.11","167,078"
06/26/2023,"0.11","0.11","0.11","0.11","64,909"
06/22/2023,"0.11","0.11","0.11","0.11","183,272"
06/21/2023,"0.11","0.11","0.11","0.11","118,812"
06/20/2023,"0.11","0.11","0.11","0.11","74,570"
06/19/2023,"0.11","0.11","0.11","0.11","138,997"
06/15/2023,"0.12","0.12","0.12","0.12","425,680"
06/14/2023,"0.12","0.12","0.12","0.12","175,940"
06/13/2023,"0.12","0.12","0.12","0.12","434,753"
06/12/2023,"0.12","0.12","0.12","0.12","173,429"
06/08/2023,"0.12","0.12","0.12","0.12","160,010"
06/07/2023,"0.12","0.12","0.11","0.12","350,301"
06/06/2023,"0.11","0.12","0.11","0.12","1,256,212"
06/05/2023,"0.11","0.11","0.11","0.11","222,497"
06/01/2023,"0.11","0.11","0.11","0.11","554,820"
05/31/2023,"0.10","0.11","0.10","0.11","152,730"
05/30/2023,"0.11","0.11","0.10","0.10","532,648"
05/29/2023,"0.11","0.11","0.11","0.11","217,322"
05/25/2023,"0.11","0.11","0.11","0.11","395,040"
05/24/2023,"0.11","0.11","0.11","0.11","362,675"
05/23/2023,"0.11","0.11","0.11","0.11","153,059"
05/22/2023,"0.11","0.11","0.11","0.11","186,933"
05/18/2023,"0.10","0.11","0.10","0.11","1,497,950"
05/17/2023,"0.10","0.10","0.10","0.10","218,006"
05/16/2023,"0.10","0.10","0.10","0.10","347,700"
05/15/2023,"0.10","0.10","0.10","0.10","588,230"
05/11/2023,"0.11","0.11","0.10","0.10","351,479"
05/10/2023,"0.10","0.11","0.10","0.11","1,969,072"
05/09/2023,"0.09","0.10","0.08","0.10","523,841"
05/08/2023,"0.09","0.09","0.09","0.09","345,350"
05/03/2023,"0.09","0.09","0.09","0.09","76,691"
05/02/2023,"0.09","0.09","0.09","0.09","117,167"
05/01/2023,"0.09","0.09","0.09","0.09","127,820"
04/27/2023,"0.09","0.09","0.09","0.09","125,301"
04/26/2023,"0.09","0.09","0.09","0.09","219,615"
04/19/2023,"0.09","0.09","0.09","0.09","198,798"
04/18/2023,"0.09","0.09","0.09","0.09","9,269,674"
04/13/2023,"0.09","0.09","0.09","0.09","99,000"
04/12/2023,"0.09","0.09","0.09","0.09","192,241"
04/11/2023,"0.09","0.09","0.09","0.09","774,193"
04/10/2023,"0.09","0.09","0.09","0.09","62,884"
04/06/2023,"0.09","0.09","0.09","0.09","56,917"
04/05/2023,"0.09","0.09","0.09","0.09","327,383"
04/04/2023,"0.09","0.09","0.09","0.09","70,670"
04/03/2023,"0.09","0.09","0.09","0.09","178,735"
03/30/2023,"0.09","0.09","0.09","0.09","32,205"
03/29/2023,"0.09","0.09","0.09","0.09","60,871"
03/28/2023,"0.09","0.09","0.09","0.09","206,522"
03/27/2023,"0.09","0.10","0.09","0.09","378,422"
03/23/2023,"0.09","0.09","0.09","0.09","1,023,447"
03/22/2023,"0.09","0.10","0.09","0.09","2,307,507"
03/21/2023,"0.09","0.10","0.09","0.09","201,719"
03/20/2023,"0.09","0.09","0.09","0.09","666,949"
03/16/2023,"0.09","0.09","0.08","0.09","519,774"
03/15/2023,"0.09","0.09","0.09","0.09","498,529"
03/14/2023,"0.09","0.09","0.09","0.09","355,389"
03/13/2023,"0.10","0.10","0.09","0.09","805,170"
03/09/2023,"0.10","0.10","0.10","0.10","57,381"
03/08/2023,"0.10","0.10","0.10","0.10","323,689"
03/07/2023,"0.10","0.10","0.10","0.10","1,085,096"
03/06/2023,"0.10","0.11","0.10","0.10","89,198"
03/02/2023,"0.11","0.11","0.10","0.10","429,250"
03/01/2023,"0.10","0.11","0.10","0.11","148,199"
02/28/2023,"0.11","0.11","0.10","0.10","492,844"
02/27/2023,"0.11","0.11","0.10","0.11","920,400"
02/23/2023,"0.11","0.11","0.11","0.11","689,076"
02/22/2023,"0.11","0.11","0.11","0.11","180,796"
02/21/2023,"0.11","0.11","0.11","0.11","82,174"
02/20/2023,"0.11","0.11","0.11","0.11","146,509"
02/16/2023,"0.10","0.11","0.11","0.11","513,224"
02/15/2023,"0.10","0.10","0.10","0.10","162,353"
02/14/2023,"0.10","0.10","0.10","0.10","35,841"
02/13/2023,"0.10","0.10","0.10","0.10","99,277"
02/09/2023,"0.10","0.10","0.10","0.10","90,481"
02/08/2023,"0.10","0.10","0.10","0.10","46,100"
02/07/2023,"0.10","0.10","0.10","0.10","158,293"
02/06/2023,"0.10","0.10","0.10","0.10","89,042"
02/02/2023,"0.10","0.10","0.10","0.10","96,288"
02/01/2023,"0.10","0.10","0.10","0.10","224,307"
01/31/2023,"0.10","0.10","0.10","0.10","146,001"
01/30/2023,"0.10","0.10","0.10","0.10","230,481"
01/25/2023,"0.10","0.10","0.10","0.10","34,590"
01/24/2023,"0.10","0.11","0.10","0.10","199,931"
01/23/2023,"0.10","0.10","0.10","0.10","43,988"
01/19/2023,"0.11","0.11","0.10","0.10","193,230"
01/18/2023,"0.11","0.11","0.10","0.11","244,834"
01/17/2023,"0.10","0.11","0.10","0.11","319,488"
01/16/2023,"0.11","0.11","0.10","0.10","5,071,078"
01/12/2023,"0.11","0.11","0.11","0.11","277,603"
01/11/2023,"0.11","0.12","0.11","0.11","1,155,476"
01/10/2023,"0.12","0.12","0.11","0.11","859,644"
01/09/2023,"0.12","0.12","0.12","0.12","193,398"
01/05/2023,"0.12","0.12","0.12","0.12","63,932"
01/04/2023,"0.12","0.12","0.12","0.12","467,376"
01/03/2023,"0.12","0.12","0.12","0.12","555,707"
01/02/2023,"0.11","0.12","0.11","0.12","124,992"
12/29/2022,"0.11","0.12","0.11","0.11","520,681"
12/28/2022,"0.11","0.11","0.11","0.11","320,901"
12/27/2022,"0.11","0.11","0.11","0.11","89,764"
12/26/2022,"0.11","0.11","0.11","0.11","83,013"
12/22/2022,"0.11","0.11","0.11","0.11","172,468"
12/21/2022,"0.11","0.11","0.11","0.11","109,036"
12/20/2022,"0.11","0.11","0.11","0.11","69,279"
12/19/2022,"0.11","0.11","0.11","0.11","185,150"
12/15/2022,"0.11","0.11","0.11","0.11","274,056"
12/14/2022,"0.11","0.11","0.11","0.11","92,641"
12/13/2022,"0.11","0.11","0.11","0.11","162,404"
12/12/2022,"0.11","0.11","0.11","0.11","148,743"
12/08/2022,"0.11","0.11","0.11","0.11","606,803"
12/07/2022,"0.11","0.11","0.11","0.11","95,375"
12/06/2022,"0.12","0.12","0.11","0.11","1,266,353"
12/05/2022,"0.12","0.12","0.12","0.12","232,009"
12/01/2022,"0.12","0.12","0.12","0.12","271,348"
11/30/2022,"0.12","0.12","0.12","0.12","560,616"
11/29/2022,"0.12","0.12","0.12","0.12","312,682"
11/28/2022,"0.12","0.12","0.12","0.12","233,407"
11/24/2022,"0.12","0.12","0.12","0.12","1,028,898"
11/23/2022,"0.12","0.12","0.12","0.12","1,626,640"
11/22/2022,"0.11","0.12","0.11","0.12","376,731"
11/21/2022,"0.12","0.12","0.11","0.11","821,910"
11/17/2022,"0.11","0.12","0.11","0.12","3,391,663"
11/16/2022,"0.09","0.11","0.09","0.11","4,503,509"
11/15/2022,"0.09","0.09","0.08","0.09","1,549,821"
11/14/2022,"0.09","0.09","0.08","0.09","205,645"
11/10/2022,"0.08","0.09","0.08","0.08","642,043"
11/09/2022,"0.08","0.08","0.08","0.08","173,081"
11/08/2022,"0.08","0.09","0.08","0.08","269,276"
11/07/2022,"0.08","0.08","0.08","0.08","688,835"
11/03/2022,"0.08","0.08","0.08","0.08","133,823"
11/02/2022,"0.08","0.08","0.08","0.08","19,535"
11/01/2022,"0.08","0.08","0.08","0.08","219,112"
10/31/2022,"0.08","0.08","0.08","0.08","93,776"
10/27/2022,"0.08","0.08","0.08","0.08","349,122"
10/26/2022,"0.08","0.08","0.08","0.08","196,030"
10/25/2022,"0.08","0.08","0.08","0.08","243,298"
10/24/2022,"0.08","0.08","0.08","0.08","833,435"
10/20/2022,"0.07","0.08","0.07","0.08","355,515"
10/19/2022,"0.08","0.07","0.07","0.07","311,301"
10/18/2022,"0.08","0.08","0.08","0.08","126,846"
10/17/2022,"0.07","0.08","0.07","0.08","1,847,868"
10/13/2022,"0.08","0.08","0.07","0.07","3,944,742"
10/12/2022,"0.08","0.07","0.07","0.08","203,337"
10/11/2022,"0.08","0.08","0.07","0.08","67,487"
10/10/2022,"0.08","0.08","0.08","0.08","253,465"
10/05/2022,"0.08","0.08","0.08","0.08","236,000"
10/04/2022,"0.08","0.08","0.08","0.08","217,230"
10/03/2022,"0.08","0.08","0.08","0.08","156,000"
09/29/2022,"0.08","0.08","0.08","0.08","97,591"
09/28/2022,"0.08","0.08","0.08","0.08","1,313,965"
09/27/2022,"0.08","0.08","0.08","0.08","266,745"
09/26/2022,"0.08","0.08","0.08","0.08","728,278"
09/22/2022,"0.08","0.08","0.08","0.08","57,487"
