Date,Open,High,Low,Close,Volume
09/21/2023,"..17.31","..17.00","..17.00","..17.31","1"
09/19/2023,"..17.31","..17.31","..14.53","..17.31","2,402"
09/14/2023,"..15.89","..17.38","..16.00","..17.31","40,577"
09/11/2023,"..15.89","..16.39","..14.70","..15.89","1,200"
09/07/2023,"..15.64","..16.50","..14.14","..15.89","23,801"
09/06/2023,"..15.64","..16.00","..13.50","..15.64","13,984"
09/04/2023,"..15.64","..16.70","..16.70","..15.64","47"
08/31/2023,"..15.64","..16.95","..16.95","..15.64","11"
08/30/2023,"..15.64","..16.95","..16.70","..15.64","1,505"
08/29/2023,"..15.64","..16.80","..16.80","..15.64","10"
08/28/2023,"..15.64","..16.95","..16.60","..15.64","1,400"
08/24/2023,"..15.64","..14.13","..14.13","..15.64","17"
08/22/2023,"..15.64","..15.67","..15.67","..15.64","200"
08/21/2023,"..15.64","..16.40","..16.35","..15.64","3,028"
08/17/2023,"..15.64","..16.10","..15.20","..15.64","280"
08/16/2023,"..15.64","..15.20","..15.20","..15.64","253"
08/10/2023,"..15.64","..16.00","..15.20","..15.64","576"
08/09/2023,"..15.64","..16.20","..16.00","..15.64","46"
08/08/2023,"..15.64","..16.80","..16.00","..15.64","2,775"
08/07/2023,"..15.64","..18.60","..15.25","..15.64","1,869"
08/03/2023,"..12.00","..15.78","..12.00","..15.64","53,370"
08/02/2023,"..13.15","..11.23","..11.07","..13.15","3,887"
08/01/2023,"..13.15","..11.67","..11.07","..13.15","49"
07/31/2023,"..13.15","..12.47","..11.50","..13.15","838"
07/27/2023,"..13.15","..12.55","..12.55","..13.15","5"
07/25/2023,"..13.15","..11.50","..11.00","..13.15","3,455"
07/24/2023,"..13.15","..12.60","..10.87","..13.15","586"
07/18/2023,"..13.15","..12.76","..12.76","..13.15","25"
07/12/2023,"..13.15","..11.50","..11.42","..13.15","167"
07/11/2023,"..13.15","..11.11","..11.11","..13.15","50"
07/10/2023,"..13.15","..12.00","..10.87","..13.15","5,540"
07/06/2023,"..13.15","..11.37","..11.35","..13.15","10,966"
07/04/2023,"..13.15","..12.00","..11.20","..13.15","405"
06/20/2023,"..13.15","..12.75","..11.80","..13.15","1,808"
06/19/2023,"..13.15","..11.81","..11.73","..13.15","5,000"
06/13/2023,"..13.15","..13.00","..12.88","..13.15","5,000"
06/08/2023,"..13.15","..11.68","..11.68","..13.15","671"
06/07/2023,"..13.15","..12.90","..11.46","..13.15","110"
06/01/2023,"..13.15","..12.85","..11.50","..13.15","200"
05/30/2023,"..13.15","..12.90","..12.22","..13.15","456"
05/29/2023,"..13.15","..13.00","..13.00","..13.15","3,102"
05/23/2023,"..13.15","..13.00","..12.00","..13.15","3,000"
05/22/2023,"..13.15","..13.00","..13.00","..13.15","50"
05/18/2023,"..13.15","..12.90","..10.54","..13.15","26,107"
05/15/2023,"..13.15","..13.15","..13.00","..13.15","10,847"
05/09/2023,"..13.15","..13.16","..12.90","..13.15","642"
05/08/2023,"..13.15","..13.15","..13.00","..13.15","17,389"
