Date,Open,High,Low,Close,Volume
09/21/2023,"..27.00","..29.70","..29.10","..27.00","2,010"
09/20/2023,"..27.00","..30.50","..29.00","..27.00","1,069"
09/19/2023,"..27.00","..29.00","..29.00","..27.00","38"
09/18/2023,"..27.00","..30.76","..28.82","..27.00","85"
09/13/2023,"..27.00","..28.51","..28.51","..27.00","1"
09/12/2023,"..27.00","..30.79","..29.08","..27.00","1,809"
09/11/2023,"..27.00","..30.00","..29.00","..27.00","319"
09/07/2023,"..27.00","..30.50","..28.71","..27.00","25"
09/06/2023,"..27.00","..30.97","..28.50","..27.00","11,183"
09/05/2023,"..27.00","..30.98","..29.26","..27.00","152"
09/04/2023,"..27.00","..29.26","..29.26","..27.00","45"
08/31/2023,"..27.00","..31.75","..29.00","..27.00","980"
08/30/2023,"..27.00","..31.85","..30.02","..27.00","2,046"
08/29/2023,"..27.00","..31.59","..28.68","..27.00","171"
08/28/2023,"..27.00","..32.23","..28.53","..27.00","1,174"
08/24/2023,"..27.00","..30.74","..27.24","..27.00","1,138"
08/23/2023,"..27.00","..30.75","..27.02","..27.00","16,799"
08/22/2023,"..27.00","..31.00","..31.00","..27.00","2"
08/21/2023,"..27.00","..32.00","..26.11","..27.00","2,619"
08/16/2023,"..27.00","..28.00","..27.90","..27.00","5,800"
08/15/2023,"..27.00","..29.34","..25.75","..27.00","730"
08/14/2023,"..27.00","..27.00","..26.20","..27.00","1,045"
08/01/2023,"..27.00","..27.00","..27.00","..27.00","1,526"
07/31/2023,"..27.00","..26.25","..26.10","..27.00","35"
07/27/2023,"..27.00","..27.75","..26.00","..27.00","5,385"
07/26/2023,"..27.00","..27.85","..26.00","..27.00","10,968"
07/25/2023,"..27.00","..26.90","..25.50","..27.00","7,599"
07/24/2023,"..27.00","..26.95","..26.00","..27.00","804"
07/19/2023,"..27.00","..27.00","..25.06","..27.00","48"
07/18/2023,"..27.00","..27.00","..26.00","..27.00","1,131"
07/17/2023,"..27.00","..27.35","..27.00","..27.00","21"
07/13/2023,"..25.00","..27.40","..26.50","..25.00","9,555"
07/12/2023,"..25.00","..27.44","..26.50","..25.00","631"
07/11/2023,"..25.00","..27.45","..26.00","..25.00","2,107"
07/10/2023,"..25.00","..27.50","..26.00","..25.00","862"
07/06/2023,"..25.00","..28.65","..27.00","..25.00","526"
07/05/2023,"..25.00","..29.00","..26.20","..25.00","5,049"
07/04/2023,"..25.00","..29.40","..26.00","..25.00","3,120"
06/26/2023,"..25.00","..27.60","..27.60","..25.00","14"
06/22/2023,"..25.00","..27.60","..25.00","..25.00","147"
06/21/2023,"..25.00","..27.00","..26.00","..25.00","218"
06/20/2023,"..25.00","..26.60","..25.00","..25.00","3,378"
06/19/2023,"..25.00","..25.07","..25.07","..25.00","20"
06/15/2023,"..25.00","..25.50","..25.50","..25.00","1,000"
06/14/2023,"..25.00","..26.00","..26.00","..25.00","1,000"
06/13/2023,"..25.00","..26.00","..26.00","..25.00","245"
06/12/2023,"..25.00","..26.00","..25.22","..25.00","2,572"
06/08/2023,"..25.00","..26.00","..25.00","..25.00","154"
06/07/2023,"..25.00","..26.00","..24.57","..25.00","5,880"
06/06/2023,"..25.00","..26.50","..25.20","..25.00","902"
06/05/2023,"..25.00","..26.19","..26.00","..25.00","6,228"
06/01/2023,"..25.00","..26.50","..24.57","..25.00","1,343"
05/31/2023,"..25.00","..27.00","..25.00","..25.00","1,446"
05/30/2023,"..25.00","..26.50","..25.00","..25.00","9"
05/25/2023,"..25.00","..26.90","..25.00","..25.00","6,110"
05/24/2023,"..25.00","..26.00","..25.30","..25.00","564"
05/23/2023,"..25.00","..26.00","..23.30","..25.00","168"
05/22/2023,"..25.00","..25.00","..23.25","..25.00","553"
05/18/2023,"..25.00","..27.44","..23.00","..25.00","513"
05/17/2023,"..25.00","..27.75","..24.51","..25.00","5,325"
05/16/2023,"..25.00","..25.00","..24.51","..25.00","402"
05/15/2023,"..25.00","..28.89","..25.00","..25.00","1,222"
05/11/2023,"..25.00","..28.80","..28.70","..25.00","12"
05/10/2023,"..25.00","..28.89","..28.89","..25.00","105"
05/09/2023,"..25.00","..28.89","..22.80","..25.00","369"
05/03/2023,"..25.00","..27.00","..22.50","..25.00","73"
05/01/2023,"..25.00","..25.50","..25.00","..25.00","21"
04/19/2023,"..25.00","..28.95","..25.25","..25.00","354"
04/13/2023,"..25.00","..25.05","..25.00","..25.00","14"
04/12/2023,"..25.00","..28.00","..26.30","..25.00","265"
04/11/2023,"..25.00","..28.00","..25.50","..25.00","34"
04/10/2023,"..25.00","..25.75","..25.50","..25.00","370"
04/05/2023,"..25.00","..28.00","..26.25","..25.00","417"
04/04/2023,"..25.00","..29.50","..26.75","..25.00","24"
04/03/2023,"..25.00","..30.00","..26.00","..25.00","499"
03/30/2023,"..25.00","..26.00","..24.01","..25.00","1,776"
03/29/2023,"..25.00","..27.00","..26.00","..25.00","2,620"
03/28/2023,"..25.00","..25.00","..25.00","..25.00","80"
03/27/2023,"..25.00","..29.93","..29.93","..25.00","44"
03/22/2023,"..25.00","..27.78","..27.60","..25.00","620"
03/21/2023,"..25.00","..27.55","..26.50","..25.00","550"
03/20/2023,"..25.00","..27.77","..27.00","..25.00","1,514"
03/16/2023,"..25.00","..29.00","..26.81","..25.00","3,412"
03/15/2023,"..25.00","..29.89","..27.53","..25.00","2,467"
03/14/2023,"..25.00","..30.00","..29.88","..25.00","11"
03/13/2023,"..25.00","..30.00","..27.10","..25.00","6,470"
03/09/2023,"..30.00","..30.00","..30.00","..25.00","2,019"
03/08/2023,"..25.00","..30.00","..30.00","..25.00","1,000"
03/06/2023,"..25.00","..30.00","..30.00","..25.00","601"
03/02/2023,"..30.00","..30.00","..30.00","..25.00","1,894"
03/01/2023,"..25.00","..30.00","..30.00","..25.00","570"
02/28/2023,"..25.00","..30.00","..29.95","..25.00","277"
02/27/2023,"..30.00","..30.00","..30.00","..25.00","5,215"
02/23/2023,"..29.70","..30.00","..27.00","..25.00","224"
02/22/2023,"..30.00","..30.00","..27.60","..25.00","866"
02/21/2023,"..27.50","..30.00","..27.50","..25.00","1,353"
02/20/2023,"..30.00","..30.00","..26.26","..25.00","2,026"
02/13/2023,"..25.00","..27.00","..25.00","..25.00","2"
02/09/2023,"..25.00","..25.00","..25.00","..25.00","600"
02/06/2023,"..26.72","..25.00","..25.00","..25.00","206,098"
02/02/2023,"..26.72","..26.65","..23.60","..26.72","1,015"
02/01/2023,"..26.72","..26.65","..23.50","..26.72","51"
01/31/2023,"..26.72","..25.01","..25.01","..26.72","237"
01/25/2023,"..26.72","..26.00","..25.80","..26.72","510"
01/24/2023,"..26.72","..25.01","..25.01","..26.72","1"
01/23/2023,"..26.72","..25.01","..25.01","..26.72","103"
01/18/2023,"..26.72","..26.00","..25.00","..26.72","2,770"
01/17/2023,"..26.72","..25.50","..24.00","..26.72","537"
01/16/2023,"..26.72","..25.90","..23.55","..26.72","425"
01/12/2023,"..26.72","..25.90","..23.50","..26.72","9"
01/10/2023,"..26.72","..23.50","..23.50","..26.72","102"
01/09/2023,"..26.72","..25.95","..25.95","..26.72","11"
01/03/2023,"..26.72","..25.95","..23.30","..26.72","10"
12/29/2022,"..26.72","..25.80","..23.30","..26.72","251"
12/28/2022,"..26.72","..25.50","..23.30","..26.72","528"
12/27/2022,"..26.72","..23.20","..23.20","..26.72","25"
12/22/2022,"..26.72","..25.80","..23.20","..26.72","153"
12/14/2022,"..26.72","..25.90","..25.49","..26.72","72"
12/13/2022,"..26.72","..23.00","..23.00","..26.72","146"
12/12/2022,"..26.72","..22.50","..22.46","..26.72","63"
12/05/2022,"..26.72","..22.45","..22.45","..26.72","13"
11/22/2022,"..26.72","..25.00","..25.00","..26.72","1,020"
11/16/2022,"..26.72","..22.35","..22.35","..26.72","500"
11/15/2022,"..26.72","..22.35","..22.35","..26.72","500"
11/03/2022,"..26.72","..22.50","..22.30","..26.72","390"
10/31/2022,"..27.66","..26.75","..22.50","..26.72","16,150"
10/27/2022,"..27.66","..22.22","..22.22","..27.66","1,000"
10/20/2022,"..27.66","..26.70","..26.70","..27.66","10"
10/18/2022,"..27.66","..22.35","..22.35","..27.66","44"
10/17/2022,"..27.66","..22.25","..22.25","..27.66","56"
10/13/2022,"..27.66","..22.30","..22.30","..27.66","13"
10/12/2022,"..27.66","..22.30","..22.30","..27.66","98"
10/10/2022,"..27.66","..27.00","..26.50","..27.66","2,520"
