Date,Open,High,Low,Close,Volume
09/21/2023,"..49.09","..49.97","..47.60","..47.85","27,315"
09/20/2023,"..45.29","..49.75","..45.16","..49.09","88,013"
09/19/2023,"..45.49","..46.78","..45.00","..45.29","29,178"
09/18/2023,"..44.89","..47.50","..44.61","..45.49","58,589"
09/14/2023,"..42.25","..46.90","..42.80","..46.16","85,158"
09/13/2023,"..38.99","..43.00","..39.48","..42.25","71,313"
09/12/2023,"..41.20","..41.20","..38.62","..38.99","206,428"
09/11/2023,"..37.61","..41.50","..37.99","..41.20","88,444"
09/07/2023,"..36.97","..38.26","..35.99","..37.61","40,299"
09/06/2023,"..36.97","..36.94","..35.11","..36.97","6,272"
09/05/2023,"..36.60","..37.60","..36.06","..36.97","16,138"
09/04/2023,"..37.96","..37.20","..36.15","..36.60","9,455"
08/31/2023,"..37.96","..37.96","..36.85","..37.96","8,092"
08/30/2023,"..36.80","..38.77","..36.50","..37.96","31,674"
08/29/2023,"..37.75","..38.47","..36.51","..36.80","27,258"
08/28/2023,"..37.20","..42.00","..37.25","..37.75","29,006"
08/24/2023,"..36.49","..36.07","..35.16","..35.67","8,690"
08/23/2023,"..36.44","..37.29","..35.62","..36.49","15,290"
08/22/2023,"..36.44","..36.96","..35.52","..36.44","3,318"
08/21/2023,"..36.95","..37.37","..36.11","..36.44","17,332"
08/17/2023,"..37.05","..37.50","..36.20","..36.32","40,456"
08/16/2023,"..36.16","..38.35","..36.92","..37.05","51,855"
08/15/2023,"..36.03","..37.00","..34.11","..36.16","65,119"
08/14/2023,"..37.06","..38.40","..35.56","..36.03","85,911"
08/10/2023,"..31.88","..33.70","..31.25","..33.34","111,974"
08/09/2023,"..31.29","..32.74","..31.40","..31.88","52,684"
08/08/2023,"..31.29","..31.40","..30.52","..31.29","5,286"
08/07/2023,"..31.29","..31.70","..30.86","..31.29","7,400"
08/03/2023,"..31.31","..31.50","..30.65","..30.84","10,955"
08/02/2023,"..32.10","..32.50","..31.06","..31.31","18,047"
08/01/2023,"..31.90","..32.80","..31.70","..32.10","34,444"
07/31/2023,"..32.03","..32.60","..31.25","..31.90","15,722"
07/27/2023,"..31.02","..32.84","..31.46","..32.19","42,378"
07/26/2023,"..30.81","..31.54","..30.45","..31.02","16,789"
07/25/2023,"..31.12","..31.39","..30.18","..30.81","11,816"
07/24/2023,"..30.36","..31.56","..30.50","..31.12","25,870"
07/19/2023,"..30.04","..30.86","..29.61","..30.36","20,869"
07/18/2023,"..29.45","..30.64","..29.05","..30.04","21,560"
07/17/2023,"..29.70","..29.65","..29.20","..29.45","11,579"
07/13/2023,"..29.40","..30.93","..29.15","..29.34","26,226"
07/12/2023,"..30.47","..30.03","..29.00","..29.40","50,006"
07/11/2023,"..30.92","..31.00","..30.16","..30.47","42,830"
07/10/2023,"..30.85","..32.45","..29.50","..30.92","20,057"
07/06/2023,"..32.59","..33.86","..32.10","..32.82","65,411"
07/05/2023,"..31.87","..33.46","..32.12","..32.59","56,792"
07/04/2023,"..30.96","..32.25","..30.73","..31.87","20,061"
06/26/2023,"..32.10","..32.37","..30.51","..30.96","18,586"
06/22/2023,"..30.29","..32.50","..30.99","..32.19","104,775"
06/21/2023,"..30.69","..31.00","..30.00","..30.29","33,324"
06/20/2023,"..30.69","..30.75","..30.05","..30.69","8,142"
06/19/2023,"..31.02","..31.50","..30.14","..30.69","35,644"
