Date,Open,High,Low,Close,Volume
09/21/2023,"..0.85","..0.86","..0.84","..0.84","3,091,247"
09/20/2023,"..0.88","..0.89","..0.85","..0.85","4,459,066"
09/19/2023,"..0.90","..0.91","..0.88","..0.88","4,001,566"
09/18/2023,"..0.88","..0.90","..0.88","..0.90","6,381,890"
09/14/2023,"..0.89","..0.89","..0.88","..0.88","2,648,210"
09/13/2023,"..0.89","..0.90","..0.88","..0.89","4,171,072"
09/12/2023,"..0.89","..0.91","..0.89","..0.89","3,473,467"
09/11/2023,"..0.90","..0.92","..0.89","..0.89","4,796,158"
09/07/2023,"..0.89","..0.92","..0.89","..0.90","6,978,076"
09/06/2023,"..0.90","..0.92","..0.89","..0.89","3,736,111"
09/05/2023,"..0.90","..0.92","..0.90","..0.90","3,228,266"
09/04/2023,"..0.89","..0.91","..0.90","..0.90","3,598,041"
08/31/2023,"..0.92","..0.96","..0.91","..0.92","15,575,940"
08/30/2023,"..0.93","..0.95","..0.92","..0.92","15,942,340"
08/29/2023,"..0.90","..0.96","..0.91","..0.93","25,412,670"
08/28/2023,"..0.92","..0.97","..0.90","..0.90","32,478,600"
08/24/2023,"..0.83","..0.85","..0.83","..0.83","2,075,057"
08/23/2023,"..0.84","..0.86","..0.83","..0.83","2,766,661"
08/22/2023,"..0.84","..0.85","..0.84","..0.84","3,424,093"
08/21/2023,"..0.84","..0.86","..0.83","..0.84","2,008,542"
08/17/2023,"..0.86","..0.87","..0.84","..0.84","1,989,277"
08/16/2023,"..0.87","..0.89","..0.85","..0.86","8,213,689"
08/15/2023,"..0.86","..0.89","..0.86","..0.87","10,635,060"
08/14/2023,"..0.86","..0.87","..0.86","..0.86","2,201,454"
08/10/2023,"..0.86","..0.86","..0.85","..0.85","1,851,523"
08/09/2023,"..0.86","..0.88","..0.86","..0.86","2,508,902"
08/08/2023,"..0.86","..0.88","..0.86","..0.86","6,168,004"
08/07/2023,"..0.83","..0.87","..0.83","..0.86","4,660,184"
08/03/2023,"..0.83","..0.84","..0.82","..0.83","937,956"
08/02/2023,"..0.84","..0.85","..0.83","..0.83","1,619,153"
08/01/2023,"..0.85","..0.85","..0.84","..0.84","1,701,404"
07/31/2023,"..0.84","..0.85","..0.83","..0.85","2,115,465"
07/27/2023,"..0.82","..0.82","..0.81","..0.82","2,160,849"
07/26/2023,"..0.82","..0.84","..0.82","..0.82","611,717"
07/25/2023,"..0.83","..0.84","..0.82","..0.82","3,444,207"
07/24/2023,"..0.81","..0.85","..0.82","..0.83","4,547,752"
07/19/2023,"..0.81","..0.82","..0.81","..0.81","1,097,946"
07/18/2023,"..0.81","..0.82","..0.81","..0.81","443,575"
07/17/2023,"..0.81","..0.82","..0.81","..0.81","766,955"
07/13/2023,"..0.82","..0.83","..0.80","..0.80","1,274,566"
07/12/2023,"..0.82","..0.83","..0.81","..0.82","824,961"
07/11/2023,"..0.82","..0.83","..0.81","..0.82","1,271,756"
07/10/2023,"..0.82","..0.83","..0.80","..0.82","1,207,714"
07/06/2023,"..0.86","..0.87","..0.84","..0.85","1,190,085"
07/05/2023,"..0.86","..0.87","..0.86","..0.86","555,316"
07/04/2023,"..0.86","..0.87","..0.86","..0.86","779,986"
06/26/2023,"..0.85","..0.89","..0.85","..0.86","1,505,007"
06/22/2023,"..0.88","..0.88","..0.87","..0.87","946,738"
06/21/2023,"..0.89","..0.90","..0.87","..0.88","1,228,428"
06/20/2023,"..0.89","..0.90","..0.89","..0.89","1,051,333"
06/19/2023,"..0.90","..0.92","..0.88","..0.89","1,414,499"
06/15/2023,"..0.90","..0.91","..0.88","..0.89","2,402,711"
06/14/2023,"..0.90","..0.92","..0.90","..0.90","1,443,825"
06/13/2023,"..0.91","..0.91","..0.90","..0.90","1,737,891"
06/12/2023,"..0.91","..0.92","..0.91","..0.91","515,892"
06/08/2023,"..0.90","..0.92","..0.90","..0.91","4,357,097"
06/07/2023,"..0.92","..0.93","..0.90","..0.90","5,573,443"
06/06/2023,"..0.93","..0.94","..0.90","..0.92","2,976,183"
06/05/2023,"..0.95","..0.96","..0.92","..0.93","3,618,130"
06/01/2023,"..0.93","..0.99","..0.95","..0.95","19,224,971"
05/31/2023,"..0.90","..0.97","..0.90","..0.93","26,601,840"
05/30/2023,"..0.89","..0.91","..0.88","..0.90","4,128,719"
05/29/2023,"..0.89","..0.91","..0.89","..0.89","2,212,428"
05/25/2023,"..0.88","..0.91","..0.86","..0.87","4,991,627"
05/24/2023,"..0.86","..0.89","..0.87","..0.88","2,477,591"
05/23/2023,"..0.86","..0.87","..0.85","..0.86","3,294,506"
05/22/2023,"..0.88","..0.89","..0.85","..0.86","3,116,494"
05/18/2023,"..0.88","..0.89","..0.85","..0.86","3,130,940"
05/17/2023,"..0.92","..0.93","..0.87","..0.88","5,144,184"
05/16/2023,"..0.92","..0.93","..0.90","..0.92","2,092,712"
05/15/2023,"..0.91","..0.94","..0.91","..0.92","8,073,374"
05/11/2023,"..0.87","..0.89","..0.86","..0.88","2,021,179"
05/10/2023,"..0.87","..0.88","..0.85","..0.87","1,389,991"
05/09/2023,"..0.85","..0.89","..0.85","..0.87","6,074,385"
05/08/2023,"..0.84","..0.87","..0.84","..0.85","2,773,169"
05/03/2023,"..0.85","..0.86","..0.83","..0.84","1,876,618"
05/02/2023,"..0.85","..0.86","..0.85","..0.85","1,023,454"
05/01/2023,"..0.88","..0.89","..0.85","..0.85","3,582,835"
04/27/2023,"..0.90","..0.92","..0.89","..0.91","3,939,770"
04/26/2023,"..0.88","..0.92","..0.88","..0.90","4,808,630"
04/19/2023,"..0.87","..0.90","..0.86","..0.88","3,720,061"
04/18/2023,"..0.85","..0.88","..0.84","..0.87","2,658,199"
04/13/2023,"..0.85","..0.86","..0.83","..0.85","3,404,152"
04/12/2023,"..0.86","..0.86","..0.83","..0.85","1,268,309"
04/11/2023,"..0.84","..0.87","..0.84","..0.86","2,584,560"
04/10/2023,"..0.81","..0.85","..0.81","..0.84","4,642,945"
04/06/2023,"..0.81","..0.83","..0.80","..0.81","935,945"
04/05/2023,"..0.81","..0.84","..0.81","..0.81","2,998,659"
04/04/2023,"..0.76","..0.82","..0.77","..0.81","4,969,259"
04/03/2023,"..0.75","..0.77","..0.74","..0.76","2,339,639"
03/30/2023,"..0.75","..0.77","..0.73","..0.74","2,169,807"
03/29/2023,"..0.76","..0.78","..0.74","..0.75","1,012,187"
03/28/2023,"..0.76","..0.79","..0.75","..0.76","913,077"
03/27/2023,"..0.78","..0.79","..0.76","..0.76","1,211,073"
03/23/2023,"..0.76","..0.77","..0.74","..0.77","452,255"
03/22/2023,"..0.77","..0.78","..0.75","..0.76","752,675"
03/21/2023,"..0.73","..0.77","..0.73","..0.77","1,913,383"
03/20/2023,"..0.72","..0.75","..0.71","..0.73","1,374,655"
03/16/2023,"..0.73","..0.80","..0.68","..0.73","1,337,538"
03/15/2023,"..0.78","..0.83","..0.66","..0.73","3,611,035"
03/14/2023,"..0.78","..0.80","..0.75","..0.78","1,053,142"
03/13/2023,"..0.87","..0.92","..0.75","..0.78","2,214,820"
03/09/2023,"..0.90","..0.91","..0.88","..0.90","1,577,022"
03/08/2023,"..0.88","..0.92","..0.87","..0.90","3,613,598"
03/07/2023,"..0.91","..0.92","..0.87","..0.88","2,361,610"
03/06/2023,"..0.92","..0.93","..0.91","..0.91","1,331,097"
03/02/2023,"..0.93","..0.94","..0.91","..0.92","2,428,040"
03/01/2023,"..0.90","..0.95","..0.90","..0.93","3,794,512"
02/28/2023,"..0.91","..0.92","..0.89","..0.90","1,800,826"
02/27/2023,"..0.93","..0.93","..0.91","..0.91","1,957,843"
02/23/2023,"..0.90","..0.91","..0.89","..0.90","1,792,551"
02/22/2023,"..0.93","..0.94","..0.89","..0.90","4,307,061"
02/21/2023,"..0.93","..0.94","..0.91","..0.93","2,644,766"
02/20/2023,"..0.95","..0.97","..0.93","..0.93","5,413,712"
02/16/2023,"..0.91","..0.94","..0.91","..0.93","7,145,256"
02/15/2023,"..0.89","..0.92","..0.89","..0.91","3,313,719"
02/14/2023,"..0.88","..0.90","..0.88","..0.89","3,731,371"
02/13/2023,"..0.89","..0.91","..0.88","..0.88","1,366,764"
02/09/2023,"..0.87","..0.88","..0.86","..0.87","554,188"
02/08/2023,"..0.87","..0.89","..0.86","..0.87","2,935,810"
02/07/2023,"..0.84","..0.87","..0.85","..0.87","1,206,189"
02/06/2023,"..0.85","..0.87","..0.84","..0.84","1,308,448"
02/02/2023,"..0.89","..0.91","..0.85","..0.86","2,845,849"
02/01/2023,"..0.91","..0.91","..0.87","..0.89","1,837,760"
01/31/2023,"..0.94","..0.94","..0.90","..0.91","3,541,183"
01/30/2023,"..0.98","..0.99","..0.93","..0.94","3,155,389"
01/25/2023,"..0.98","..1.00","..0.98","..0.98","2,552,933"
01/24/2023,"..0.99","..1.00","..0.98","..0.98","1,976,855"
01/23/2023,"..1.01","..1.02","..0.98","..0.99","4,647,363"
01/19/2023,"..1.02","..1.05","..1.01","..1.02","10,033,140"
01/18/2023,"..0.99","..1.03","..1.00","..1.02","9,527,624"
01/17/2023,"..0.98","..1.01","..0.98","..0.99","6,892,702"
01/16/2023,"..0.97","..0.99","..0.97","..0.98","2,712,007"
01/12/2023,"..1.01","..1.02","..0.96","..0.98","2,948,000"
01/11/2023,"..1.01","..1.04","..1.00","..1.01","5,324,224"
01/10/2023,"..1.04","..1.04","..1.01","..1.01","4,387,991"
01/09/2023,"..1.05","..1.07","..1.03","..1.04","5,851,717"
01/05/2023,"..1.07","..1.08","..1.05","..1.05","5,994,545"
01/04/2023,"..1.09","..1.10","..1.05","..1.07","17,104,631"
01/03/2023,"..1.06","..1.09","..1.06","..1.09","11,525,860"
01/02/2023,"..1.05","..1.07","..1.04","..1.06","3,167,164"
12/29/2022,"..1.05","..1.07","..1.04","..1.05","2,130,068"
12/28/2022,"..1.06","..1.07","..1.05","..1.05","3,430,573"
12/27/2022,"..1.02","..1.08","..1.02","..1.06","11,792,810"
12/26/2022,"..1.01","..1.03","..1.01","..1.02","2,001,774"
12/22/2022,"..1.03","..1.05","..1.03","..1.03","5,031,689"
