Date,Open,High,Low,Close,Volume
09/21/2023,"..11.72","..13.29","..11.80","..13.13","7,337,054"
09/20/2023,"..11.53","..11.93","..11.32","..11.72","1,091,599"
09/19/2023,"..11.78","..11.92","..11.50","..11.53","280,312"
09/18/2023,"..11.45","..12.11","..11.50","..11.78","1,544,368"
09/14/2023,"..11.23","..11.50","..11.16","..11.44","270,516"
09/13/2023,"..11.31","..11.40","..11.11","..11.23","475,768"
09/12/2023,"..11.49","..11.56","..11.27","..11.31","97,677"
09/11/2023,"..11.61","..11.70","..11.45","..11.49","92,999"
09/07/2023,"..11.71","..11.80","..11.44","..11.53","258,989"
09/06/2023,"..11.87","..12.00","..11.68","..11.71","267,450"
09/05/2023,"..11.90","..12.20","..11.85","..11.87","541,086"
09/04/2023,"..11.84","..11.95","..11.66","..11.90","378,729"
08/31/2023,"..11.88","..12.28","..11.78","..11.96","706,468"
08/30/2023,"..11.94","..12.18","..11.77","..11.88","949,275"
08/29/2023,"..12.22","..12.43","..11.91","..11.94","1,769,229"
08/28/2023,"..11.64","..12.58","..11.76","..12.22","4,409,096"
08/24/2023,"..11.20","..11.50","..11.12","..11.39","1,036,011"
08/23/2023,"..11.38","..11.60","..11.13","..11.20","1,039,304"
08/22/2023,"..11.36","..11.69","..11.35","..11.38","1,947,017"
08/21/2023,"..10.94","..11.77","..11.00","..11.36","2,464,331"
08/17/2023,"..11.09","..11.30","..10.90","..10.91","246,338"
08/16/2023,"..10.91","..11.40","..10.85","..11.09","1,183,295"
08/15/2023,"..10.94","..11.15","..10.81","..10.91","357,511"
08/14/2023,"..10.94","..11.20","..10.84","..10.94","1,394,470"
08/10/2023,"..10.38","..10.60","..10.35","..10.37","290,903"
08/09/2023,"..10.53","..10.64","..10.35","..10.38","383,185"
08/08/2023,"..10.27","..10.55","..10.22","..10.53","518,793"
08/07/2023,"..10.17","..10.48","..10.19","..10.27","374,881"
08/03/2023,"..10.00","..10.00","..9.86","..9.95","155,414"
08/02/2023,"..10.00","..10.15","..9.95","..10.00","141,277"
08/01/2023,"..10.31","..10.40","..9.98","..10.00","269,947"
07/31/2023,"..10.30","..10.47","..10.22","..10.31","35,796"
07/27/2023,"..10.46","..10.60","..10.07","..10.32","92,768"
07/26/2023,"..10.60","..10.64","..10.41","..10.46","111,725"
07/25/2023,"..10.62","..10.93","..10.57","..10.60","690,668"
07/24/2023,"..10.51","..10.70","..10.30","..10.62","256,035"
07/19/2023,"..10.51","..10.64","..10.41","..10.51","382,547"
07/18/2023,"..9.94","..10.65","..9.94","..10.51","1,024,283"
07/17/2023,"..9.86","..10.04","..9.80","..9.94","126,157"
07/13/2023,"..9.82","..10.19","..9.83","..9.99","212,729"
07/12/2023,"..10.09","..10.20","..9.80","..9.82","296,832"
07/11/2023,"..10.17","..10.26","..9.77","..10.09","365,634"
07/10/2023,"..10.45","..10.25","..9.52","..10.17","126,546"
07/06/2023,"..11.10","..11.10","..10.84","..10.86","195,854"
07/05/2023,"..10.90","..11.10","..10.71","..11.10","230,718"
07/04/2023,"..10.91","..11.10","..10.87","..10.90","546,311"
06/26/2023,"..10.93","..11.10","..10.88","..10.91","231,422"
06/22/2023,"..11.28","..11.46","..11.06","..11.26","221,041"
06/21/2023,"..11.76","..11.90","..11.22","..11.28","449,562"
06/20/2023,"..11.80","..12.00","..11.70","..11.76","544,890"
06/19/2023,"..11.92","..12.14","..11.75","..11.80","1,094,274"
06/15/2023,"..11.92","..12.07","..11.75","..11.81","524,746"
06/14/2023,"..12.19","..12.45","..11.90","..11.92","2,093,442"
06/13/2023,"..12.28","..12.47","..12.17","..12.19","792,761"
06/12/2023,"..12.05","..12.48","..12.05","..12.28","1,334,401"
06/08/2023,"..11.72","..12.25","..11.63","..12.06","1,953,055"
06/07/2023,"..11.85","..12.27","..11.70","..11.72","1,763,329"
06/06/2023,"..11.76","..12.30","..11.80","..11.85","1,827,670"
06/05/2023,"..11.43","..12.19","..11.40","..11.76","2,764,300"
06/01/2023,"..10.81","..11.27","..10.87","..11.05","789,799"
05/31/2023,"..10.97","..11.16","..10.80","..10.81","710,414"
05/30/2023,"..11.00","..11.21","..10.95","..10.97","751,210"
05/29/2023,"..10.70","..11.19","..10.73","..11.00","1,181,180"
05/25/2023,"..10.72","..10.80","..10.50","..10.51","836,885"
05/24/2023,"..10.65","..10.89","..10.65","..10.72","960,275"
05/23/2023,"..10.09","..10.79","..9.90","..10.65","1,650,315"
05/22/2023,"..9.98","..10.36","..10.06","..10.09","893,330"
05/18/2023,"..10.09","..10.30","..9.66","..10.00","639,197"
05/17/2023,"..10.23","..10.56","..10.00","..10.09","1,104,021"
05/16/2023,"..10.39","..10.44","..10.10","..10.23","1,007,684"
05/15/2023,"..10.24","..10.62","..10.24","..10.39","1,545,380"
05/11/2023,"..9.91","..10.08","..9.80","..9.81","504,190"
05/10/2023,"..9.90","..10.04","..9.70","..9.91","302,566"
05/09/2023,"..10.08","..10.29","..9.87","..9.90","688,368"
05/08/2023,"..9.71","..10.10","..9.77","..10.08","557,950"
05/03/2023,"..10.23","..10.44","..9.93","..10.02","701,340"
05/02/2023,"..10.52","..10.69","..10.20","..10.23","619,780"
05/01/2023,"..11.01","..11.11","..10.45","..10.52","848,254"
04/27/2023,"..10.96","..11.38","..10.97","..11.29","1,315,277"
04/26/2023,"..10.93","..11.20","..10.90","..10.96","668,573"
04/19/2023,"..10.88","..11.45","..10.70","..10.93","1,240,969"
04/18/2023,"..10.71","..10.99","..10.61","..10.88","460,225"
04/13/2023,"..10.68","..10.82","..10.60","..10.71","442,799"
04/12/2023,"..10.86","..10.97","..10.60","..10.68","419,873"
04/11/2023,"..10.56","..10.99","..10.60","..10.86","503,627"
04/10/2023,"..10.74","..11.00","..10.51","..10.56","481,228"
04/06/2023,"..11.22","..11.48","..10.70","..10.93","1,117,301"
04/05/2023,"..11.18","..11.60","..11.11","..11.22","1,486,792"
04/04/2023,"..10.72","..11.29","..10.72","..11.18","1,348,188"
04/03/2023,"..10.53","..10.95","..10.55","..10.72","1,069,455"
03/30/2023,"..10.47","..10.85","..10.10","..10.24","748,817"
03/29/2023,"..10.47","..10.79","..10.40","..10.47","649,087"
03/28/2023,"..10.46","..10.66","..10.06","..10.47","800,368"
03/27/2023,"..10.54","..10.90","..10.10","..10.46","1,222,184"
03/23/2023,"..9.79","..10.10","..9.60","..9.82","533,919"
03/22/2023,"..10.00","..10.35","..9.72","..9.79","1,286,900"
03/21/2023,"..9.54","..10.11","..9.51","..10.00","1,326,943"
03/20/2023,"..8.83","..9.88","..9.00","..9.54","1,156,362"
03/16/2023,"..8.74","..8.97","..7.98","..8.51","675,237"
03/15/2023,"..9.96","..10.33","..8.10","..8.74","915,247"
03/14/2023,"..9.71","..10.09","..9.51","..9.96","799,065"
03/13/2023,"..11.41","..11.65","..9.50","..9.71","1,027,165"
03/09/2023,"..12.01","..12.30","..12.00","..12.11","678,106"
03/08/2023,"..12.26","..12.40","..11.90","..12.01","1,048,450"
03/07/2023,"..12.46","..12.81","..12.20","..12.26","1,247,340"
03/06/2023,"..12.37","..12.89","..12.40","..12.46","1,047,654"
03/02/2023,"..12.72","..12.98","..12.45","..12.58","1,013,924"
03/01/2023,"..12.39","..12.94","..12.41","..12.72","1,671,994"
02/28/2023,"..12.45","..12.70","..12.30","..12.39","1,400,437"
02/27/2023,"..12.72","..13.09","..12.39","..12.45","1,596,623"
02/23/2023,"..12.39","..12.70","..12.21","..12.44","1,038,176"
02/22/2023,"..12.24","..13.05","..12.22","..12.39","3,386,827"
02/21/2023,"..11.90","..12.40","..11.80","..12.24","1,207,641"
02/20/2023,"..12.50","..12.67","..11.80","..11.90","868,782"
02/16/2023,"..13.21","..13.49","..12.88","..12.91","1,949,664"
02/15/2023,"..14.03","..14.20","..13.12","..13.21","4,307,741"
02/14/2023,"..13.44","..14.40","..13.70","..14.03","2,413,476"
02/13/2023,"..12.11","..13.58","..12.06","..13.44","5,268,309"
02/09/2023,"..12.26","..12.64","..12.10","..12.27","2,085,145"
02/08/2023,"..12.98","..13.07","..12.20","..12.26","1,675,465"
02/07/2023,"..13.00","..13.50","..12.82","..12.98","2,355,959"
02/06/2023,"..13.54","..14.00","..12.67","..13.00","2,680,097"
02/02/2023,"..14.70","..15.39","..14.70","..15.06","3,245,972"
02/01/2023,"..14.45","..15.08","..14.50","..14.70","2,119,808"
01/31/2023,"..14.50","..15.17","..14.26","..14.45","1,897,011"
01/30/2023,"..15.46","..15.80","..14.27","..14.50","2,740,349"
01/25/2023,"..13.77","..14.69","..14.12","..14.40","3,168,173"
01/24/2023,"..12.98","..13.99","..12.85","..13.77","3,650,008"
01/23/2023,"..12.96","..13.66","..12.90","..12.98","1,898,221"
01/19/2023,"..12.94","..14.55","..12.86","..13.15","3,576,938"
01/18/2023,"..14.02","..14.73","..12.80","..12.94","4,383,226"
01/17/2023,"..12.55","..14.99","..12.13","..14.02","4,814,346"
01/16/2023,"..11.07","..13.19","..11.55","..12.55","3,320,924"
01/12/2023,"..8.56","..9.33","..8.45","..9.23","2,633,831"
01/11/2023,"..8.65","..9.12","..8.44","..8.56","1,519,358"
01/10/2023,"..8.22","..8.90","..8.12","..8.65","2,523,167"
01/09/2023,"..8.01","..8.46","..8.09","..8.22","898,361"
01/05/2023,"..7.74","..8.09","..7.84","..8.01","677,788"
01/04/2023,"..7.67","..7.84","..7.45","..7.74","460,221"
01/03/2023,"..7.52","..7.76","..7.52","..7.67","464,537"
01/02/2023,"..7.35","..7.55","..7.40","..7.52","269,351"
12/29/2022,"..7.46","..7.54","..7.33","..7.35","277,983"
12/28/2022,"..7.39","..7.49","..7.30","..7.46","296,079"
12/27/2022,"..7.38","..7.64","..7.35","..7.39","387,063"
12/26/2022,"..7.28","..7.48","..7.26","..7.38","235,078"
12/22/2022,"..7.80","..7.90","..7.25","..7.38","403,328"
12/21/2022,"..8.07","..8.07","..7.70","..7.80","466,005"
12/20/2022,"..8.11","..8.34","..8.00","..8.07","486,952"
12/19/2022,"..8.22","..8.36","..8.00","..8.11","330,587"
12/15/2022,"..8.18","..8.60","..8.16","..8.24","1,203,482"
12/14/2022,"..8.21","..8.51","..8.15","..8.18","1,026,200"
12/13/2022,"..7.91","..8.30","..8.09","..8.21","682,298"
12/12/2022,"..8.22","..8.22","..7.79","..7.91","1,293,147"
12/08/2022,"..8.21","..8.45","..8.17","..8.25","306,316"
12/07/2022,"..8.23","..8.65","..8.16","..8.21","974,793"
12/06/2022,"..7.89","..8.40","..7.75","..8.23","1,324,213"
12/05/2022,"..7.97","..8.08","..7.58","..7.89","598,451"
12/01/2022,"..7.36","..7.80","..7.30","..7.55","896,708"
11/30/2022,"..7.32","..7.39","..7.00","..7.36","1,366,993"
11/29/2022,"..7.35","..7.56","..7.27","..7.32","646,689"
11/28/2022,"..7.03","..7.55","..7.04","..7.35","1,946,416"
11/24/2022,"..6.60","..6.70","..6.50","..6.68","1,124,602"
11/23/2022,"..6.63","..6.75","..6.54","..6.60","1,314,818"
11/22/2022,"..6.31","..6.87","..6.33","..6.63","3,813,322"
11/21/2022,"..5.99","..6.37","..5.99","..6.31","4,225,357"
11/17/2022,"..6.01","..6.10","..5.94","..5.96","800,147"
11/16/2022,"..5.82","..6.08","..5.85","..6.01","1,381,735"
11/15/2022,"..5.86","..5.94","..5.80","..5.82","568,132"
11/14/2022,"..5.93","..5.98","..5.82","..5.86","798,247"
11/10/2022,"..5.58","..5.86","..5.61","..5.81","1,108,920"
11/09/2022,"..5.55","..5.71","..5.53","..5.58","426,166"
11/08/2022,"..5.58","..5.76","..5.53","..5.55","829,917"
11/07/2022,"..5.51","..5.64","..5.54","..5.58","187,263"
11/03/2022,"..5.54","..5.56","..5.41","..5.52","366,982"
11/02/2022,"..5.62","..5.68","..5.52","..5.54","459,715"
11/01/2022,"..5.62","..5.74","..5.60","..5.62","424,502"
10/31/2022,"..5.53","..5.69","..5.51","..5.62","546,771"
10/27/2022,"..5.46","..5.73","..5.50","..5.62","786,858"
10/26/2022,"..5.44","..5.53","..5.42","..5.46","195,392"
10/25/2022,"..5.50","..5.58","..5.40","..5.44","406,087"
10/24/2022,"..5.61","..5.72","..5.41","..5.50","593,066"
10/20/2022,"..5.40","..5.50","..5.36","..5.45","233,085"
10/19/2022,"..5.46","..5.50","..5.31","..5.40","231,481"
10/18/2022,"..5.43","..5.58","..5.41","..5.46","372,790"
10/17/2022,"..5.38","..5.53","..5.35","..5.43","573,723"
10/13/2022,"..5.19","..5.39","..5.15","..5.32","382,222"
10/12/2022,"..5.22","..5.40","..5.15","..5.19","324,132"
10/11/2022,"..5.39","..5.47","..5.12","..5.22","371,417"
10/10/2022,"..5.38","..5.55","..5.31","..5.39","569,320"
10/05/2022,"..5.72","..5.80","..5.60","..5.66","366,563"
10/04/2022,"..5.68","..5.83","..5.70","..5.72","337,431"
10/03/2022,"..5.77","..5.81","..5.65","..5.68","234,887"
09/29/2022,"..5.89","..6.00","..5.83","..5.88","438,749"
09/28/2022,"..6.02","..6.05","..5.83","..5.89","527,747"
