Date,Open,High,Low,Close,Volume
09/21/2023,"0.12","0.12","0.12","0.12","253,655"
09/20/2023,"0.12","0.12","0.12","0.12","263,142"
09/19/2023,"0.12","0.12","0.12","0.12","199,123"
09/18/2023,"0.12","0.12","0.12","0.12","26,575"
09/14/2023,"0.12","0.12","0.12","0.12","5,136"
09/13/2023,"0.12","0.12","0.12","0.12","383"
09/11/2023,"0.12","0.12","0.12","0.12","3,563"
09/07/2023,"0.12","0.12","0.12","0.12","12,752"
09/06/2023,"0.12","0.12","0.12","0.12","15,586"
09/04/2023,"0.12","0.12","0.11","0.12","231,662"
08/31/2023,"0.12","0.12","0.12","0.12","49,024"
08/30/2023,"0.12","0.12","0.11","0.12","52,268"
08/29/2023,"0.12","0.12","0.11","0.12","25,026"
08/28/2023,"0.12","0.12","0.12","0.12","10,350"
08/24/2023,"0.12","0.12","0.12","0.12","45,000"
08/23/2023,"0.12","0.12","0.12","0.12","54,594"
08/22/2023,"0.12","0.12","0.12","0.12","33,879"
08/21/2023,"0.12","0.12","0.12","0.12","22,300"
08/17/2023,"0.12","0.12","0.12","0.12","5,729"
08/16/2023,"0.12","0.12","0.12","0.12","5,156"
08/14/2023,"0.12","0.12","0.12","0.12","92,774"
08/10/2023,"0.12","0.12","0.12","0.12","52,750"
08/09/2023,"0.12","0.12","0.12","0.12","11,980"
08/08/2023,"0.12","0.12","0.12","0.12","43,750"
08/07/2023,"0.12","0.12","0.12","0.12","48,100"
08/02/2023,"0.12","0.12","0.12","0.12","26,420"
07/31/2023,"0.11","0.12","0.11","0.12","83,000"
07/27/2023,"0.12","0.12","0.11","0.12","14,339"
07/26/2023,"0.12","0.11","0.11","0.12","7,282"
07/25/2023,"0.12","0.11","0.11","0.12","4,855"
07/24/2023,"0.12","0.11","0.11","0.12","255"
07/19/2023,"0.12","0.11","0.11","0.12","7,200"
07/18/2023,"0.12","0.11","0.11","0.12","30,387"
07/17/2023,"0.12","0.11","0.11","0.12","31,324"
07/13/2023,"0.12","0.12","0.10","0.12","454,911"
07/12/2023,"0.12","0.12","0.11","0.12","440,766"
07/11/2023,"0.12","0.12","0.11","0.12","344,964"
07/10/2023,"0.12","0.12","0.11","0.12","3,474"
07/06/2023,"0.12","0.12","0.12","0.12","3,888"
07/04/2023,"0.12","0.12","0.12","0.12","763,500"
06/26/2023,"0.12","0.12","0.12","0.12","45,062"
06/22/2023,"0.12","0.12","0.12","0.12","428"
06/21/2023,"0.12","0.12","0.12","0.12","103"
06/20/2023,"0.12","0.12","0.12","0.12","11,675"
06/19/2023,"0.12","0.13","0.12","0.12","114,117"
06/15/2023,"0.12","0.12","0.12","0.12","2"
06/14/2023,"0.13","0.13","0.12","0.12","629,769"
06/13/2023,"0.13","0.13","0.13","0.13","5,110"
06/12/2023,"0.13","0.13","0.13","0.13","163,911"
06/08/2023,"0.13","0.13","0.13","0.13","250"
06/07/2023,"0.13","0.13","0.13","0.13","501,331"
06/05/2023,"0.13","0.13","0.13","0.13","8,000"
06/01/2023,"0.13","0.13","0.13","0.13","2,662"
05/30/2023,"0.13","0.13","0.12","0.13","223,882"
05/29/2023,"0.13","0.13","0.12","0.13","23,500"
05/25/2023,"0.13","0.13","0.12","0.13","4,750"
05/24/2023,"0.13","0.12","0.12","0.13","26"
05/22/2023,"0.13","0.13","0.13","0.13","20,000"
05/18/2023,"0.13","0.12","0.12","0.13","1,241"
05/17/2023,"0.13","0.12","0.12","0.13","28,400"
