Date,Open,High,Low,Close,Volume
09/21/2023,"..4.71","..4.90","..4.64","..4.85","815,596"
09/20/2023,"..4.72","..4.80","..4.60","..4.71","810,510"
09/19/2023,"..4.81","..4.86","..4.70","..4.72","692,246"
09/18/2023,"..4.80","..4.86","..4.78","..4.81","470,368"
09/14/2023,"..4.79","..4.99","..4.77","..4.92","1,250,470"
09/13/2023,"..4.75","..4.83","..4.71","..4.79","288,374"
09/12/2023,"..4.79","..4.83","..4.73","..4.75","716,534"
09/11/2023,"..4.88","..4.94","..4.70","..4.79","1,552,634"
09/07/2023,"..4.78","..5.12","..4.80","..4.95","5,361,869"
09/06/2023,"..4.97","..5.01","..4.71","..4.78","1,516,955"
09/05/2023,"..5.03","..5.08","..4.85","..4.97","2,655,556"
09/04/2023,"..4.90","..5.28","..4.92","..5.03","7,131,557"
08/31/2023,"..4.61","..4.87","..4.50","..4.59","2,114,603"
08/30/2023,"..4.51","..4.86","..4.51","..4.61","1,682,473"
08/29/2023,"..4.50","..4.64","..4.45","..4.51","453,435"
08/28/2023,"..4.51","..4.65","..4.47","..4.50","361,390"
08/24/2023,"..4.49","..4.50","..4.40","..4.42","98,147"
08/23/2023,"..4.56","..4.65","..4.44","..4.49","181,397"
08/22/2023,"..4.60","..4.75","..4.50","..4.56","370,015"
08/21/2023,"..4.61","..4.78","..4.51","..4.60","805,231"
08/17/2023,"..4.26","..4.57","..4.22","..4.42","738,948"
08/16/2023,"..4.40","..4.61","..4.22","..4.26","712,555"
08/15/2023,"..4.20","..4.54","..4.13","..4.40","1,560,624"
08/14/2023,"..4.05","..4.28","..4.06","..4.20","861,556"
08/10/2023,"..4.11","..4.24","..4.12","..4.13","597,419"
08/09/2023,"..4.01","..4.30","..4.01","..4.11","1,183,353"
08/08/2023,"..4.02","..4.11","..3.96","..4.01","544,963"
08/07/2023,"..4.06","..4.08","..3.99","..4.02","236,875"
08/03/2023,"..3.84","..4.10","..3.74","..4.08","635,578"
08/02/2023,"..3.96","..3.99","..3.80","..3.84","182,865"
08/01/2023,"..3.99","..4.05","..3.92","..3.96","183,661"
07/31/2023,"..3.87","..4.10","..3.84","..3.99","667,277"
07/27/2023,"..3.88","..3.90","..3.82","..3.86","133,581"
07/26/2023,"..3.90","..3.97","..3.82","..3.88","113,265"
07/25/2023,"..3.94","..4.02","..3.88","..3.90","246,837"
07/24/2023,"..4.03","..4.10","..3.91","..3.94","325,151"
07/19/2023,"..4.10","..4.17","..4.01","..4.03","413,705"
07/18/2023,"..4.05","..4.17","..4.08","..4.10","506,896"
07/17/2023,"..3.96","..4.15","..4.00","..4.05","1,134,341"
07/13/2023,"..3.70","..3.77","..3.68","..3.71","259,784"
07/12/2023,"..3.79","..3.85","..3.66","..3.70","393,352"
07/11/2023,"..3.77","..3.90","..3.75","..3.79","280,737"
07/10/2023,"..3.81","..3.84","..3.66","..3.77","490,624"
07/06/2023,"..4.22","..4.60","..4.00","..4.01","1,356,519"
07/05/2023,"..4.40","..4.44","..4.18","..4.22","339,120"
07/04/2023,"..4.58","..4.69","..4.36","..4.40","469,627"
06/26/2023,"..4.73","..5.00","..4.52","..4.58","575,565"
06/22/2023,"..4.52","..4.67","..4.50","..4.64","545,440"
06/21/2023,"..4.68","..4.73","..4.52","..4.52","623,755"
06/20/2023,"..4.59","..4.74","..4.54","..4.68","673,705"
06/19/2023,"..4.67","..4.79","..4.55","..4.59","510,310"
06/15/2023,"..4.67","..4.88","..4.60","..4.74","1,264,660"
06/14/2023,"..4.68","..4.72","..4.54","..4.67","291,470"
