Date,Open,High,Low,Close,Volume
09/21/2023,"..1.53","..1.55","..1.53","..1.53","783,037"
09/20/2023,"..1.57","..1.59","..1.53","..1.53","1,031,066"
09/19/2023,"..1.59","..1.62","..1.57","..1.57","1,499,748"
09/18/2023,"..1.61","..1.65","..1.58","..1.59","1,732,940"
09/14/2023,"..1.54","..1.60","..1.55","..1.56","1,807,084"
09/13/2023,"..1.53","..1.55","..1.53","..1.54","457,521"
09/12/2023,"..1.54","..1.55","..1.53","..1.53","634,906"
09/11/2023,"..1.55","..1.56","..1.53","..1.54","682,357"
09/07/2023,"..1.58","..1.61","..1.55","..1.57","1,054,227"
09/06/2023,"..1.61","..1.65","..1.58","..1.58","1,777,709"
09/05/2023,"..1.61","..1.68","..1.59","..1.61","2,340,707"
09/04/2023,"..1.64","..1.65","..1.59","..1.61","1,490,045"
08/31/2023,"..1.65","..1.70","..1.64","..1.65","3,185,995"
08/30/2023,"..1.66","..1.74","..1.64","..1.65","3,769,991"
08/29/2023,"..1.58","..1.73","..1.59","..1.66","6,874,179"
08/28/2023,"..1.57","..1.59","..1.57","..1.58","1,715,500"
08/24/2023,"..1.52","..1.59","..1.51","..1.56","1,675,344"
08/23/2023,"..1.56","..1.58","..1.51","..1.52","1,262,741"
08/22/2023,"..1.55","..1.59","..1.55","..1.56","843,087"
08/21/2023,"..1.56","..1.59","..1.55","..1.55","2,635,243"
08/17/2023,"..1.58","..1.58","..1.54","..1.54","1,119,592"
08/16/2023,"..1.55","..1.64","..1.55","..1.58","4,213,388"
08/15/2023,"..1.54","..1.57","..1.52","..1.55","911,357"
08/14/2023,"..1.55","..1.56","..1.53","..1.54","1,007,649"
08/10/2023,"..1.51","..1.52","..1.50","..1.51","329,524"
08/09/2023,"..1.51","..1.51","..1.50","..1.51","179,629"
08/08/2023,"..1.51","..1.52","..1.50","..1.51","347,376"
08/07/2023,"..1.50","..1.53","..1.50","..1.51","341,539"
08/03/2023,"..1.51","..1.53","..1.48","..1.51","427,857"
08/02/2023,"..1.51","..1.54","..1.50","..1.51","483,087"
08/01/2023,"..1.53","..1.55","..1.50","..1.51","521,645"
07/31/2023,"..1.52","..1.55","..1.52","..1.53","307,886"
07/27/2023,"..1.53","..1.56","..1.50","..1.52","889,814"
07/26/2023,"..1.54","..1.56","..1.53","..1.53","726,506"
07/25/2023,"..1.51","..1.60","..1.53","..1.54","2,919,977"
