Date,Open,High,Low,Close,Volume
09/21/2023,"..28.60","..32.50","..30.61","..28.60","3,884"
09/20/2023,"..23.84","..28.60","..27.95","..28.60","12,343"
09/19/2023,"..23.84","..28.60","..27.86","..23.84","1,079"
09/18/2023,"..28.60","..28.60","..27.81","..23.84","1,134"
09/14/2023,"..28.60","..28.60","..28.60","..23.84","815"
09/13/2023,"..28.60","..28.60","..28.60","..23.84","64"
09/12/2023,"..27.70","..28.60","..27.70","..23.84","13,486"
09/11/2023,"..23.84","..28.00","..27.52","..23.84","7,475"
09/07/2023,"..23.84","..28.00","..27.13","..23.84","2,029"
09/06/2023,"..23.84","..28.60","..27.75","..23.84","2,490"
09/05/2023,"..23.84","..28.50","..27.77","..23.84","2,034"
09/04/2023,"..23.84","..28.60","..28.03","..23.84","5,244"
08/31/2023,"..23.84","..28.48","..27.50","..23.84","2,810"
08/30/2023,"..23.84","..28.00","..27.13","..23.84","4,195"
08/29/2023,"..23.84","..27.99","..26.96","..23.84","770"
08/28/2023,"..23.84","..26.96","..26.40","..23.84","4,508"
08/24/2023,"..23.84","..27.00","..23.84","..23.84","708"
08/23/2023,"..23.84","..26.93","..25.56","..23.84","816"
08/22/2023,"..23.84","..27.30","..25.24","..23.84","2,037"
08/21/2023,"..23.84","..28.00","..26.60","..23.84","7,699"
08/16/2023,"..23.84","..26.69","..24.02","..23.84","430"
08/15/2023,"..23.84","..24.23","..24.23","..23.84","1,000"
08/14/2023,"..23.84","..24.00","..24.00","..23.84","4"
08/08/2023,"..23.84","..25.65","..24.50","..23.84","453"
08/07/2023,"..23.84","..26.69","..25.00","..23.84","1,205"
08/02/2023,"..23.84","..23.50","..23.50","..23.84","2"
08/01/2023,"..23.84","..25.00","..23.23","..23.84","40"
07/31/2023,"..23.84","..24.65","..24.22","..23.84","9"
07/25/2023,"..23.84","..23.08","..23.08","..23.84","66"
07/24/2023,"..23.84","..24.22","..24.22","..23.84","5"
07/11/2023,"..23.84","..24.24","..24.24","..23.84","100"
07/05/2023,"..23.84","..24.65","..24.65","..23.84","70"
07/04/2023,"..23.84","..23.00","..23.00","..23.84","3"
06/26/2023,"..23.84","..23.49","..23.00","..23.84","476"
06/22/2023,"..23.84","..23.49","..23.49","..23.84","55"
06/21/2023,"..23.84","..24.50","..23.75","..23.84","577"
06/20/2023,"..23.84","..24.70","..24.12","..23.84","368"
06/19/2023,"..23.84","..24.12","..24.10","..23.84","1,400"
06/15/2023,"..23.84","..24.50","..24.50","..23.84","35"
06/14/2023,"..23.84","..24.11","..24.11","..23.84","100"
06/13/2023,"..23.84","..24.12","..24.10","..23.84","2,117"
06/12/2023,"..23.84","..24.20","..24.10","..23.84","1,742"
06/07/2023,"..23.84","..23.50","..23.42","..23.84","1,000"
06/06/2023,"..23.84","..23.50","..23.40","..23.84","1,000"
06/05/2023,"..23.84","..24.05","..23.10","..23.84","1,813"
06/01/2023,"..23.84","..23.51","..23.00","..23.84","1,000"
05/29/2023,"..23.84","..23.55","..23.00","..23.84","193"
05/25/2023,"..23.84","..24.60","..23.00","..23.84","78"
05/23/2023,"..23.84","..24.80","..23.54","..23.84","935"
05/22/2023,"..23.84","..24.99","..23.99","..23.84","3,138"
05/17/2023,"..23.84","..23.75","..23.58","..23.84","2,180"
05/16/2023,"..23.84","..23.77","..23.77","..23.84","5"
05/15/2023,"..23.84","..23.80","..23.80","..23.84","1,000"
05/03/2023,"..23.84","..23.30","..23.00","..23.84","1,500"
05/01/2023,"..23.84","..24.00","..23.00","..23.84","335"
04/27/2023,"..23.84","..23.34","..23.34","..23.84","500"
04/26/2023,"..23.84","..26.00","..23.01","..23.84","1,035"
04/19/2023,"..23.84","..23.01","..23.00","..23.84","534"
04/10/2023,"..23.84","..24.50","..22.22","..23.84","38"
04/06/2023,"..23.84","..23.50","..23.01","..23.84","138"
04/05/2023,"..23.84","..24.00","..23.00","..23.84","230"
04/03/2023,"..23.84","..25.98","..25.00","..23.84","36"
03/29/2023,"..23.84","..23.21","..23.21","..23.84","2"
03/27/2023,"..23.84","..23.50","..23.50","..23.84","7"
03/23/2023,"..23.84","..27.00","..26.70","..23.84","152"
03/21/2023,"..23.84","..25.00","..23.84","..23.84","36"
03/20/2023,"..23.84","..25.50","..23.84","..23.84","1,017"
03/16/2023,"..23.84","..25.95","..20.50","..23.84","1,563"
03/15/2023,"..23.84","..23.50","..20.21","..23.84","15"
03/13/2023,"..23.84","..23.50","..23.50","..23.84","500"
03/09/2023,"..23.84","..26.90","..24.60","..23.84","657"
03/08/2023,"..23.84","..25.49","..23.50","..23.84","4,300"
03/06/2023,"..23.84","..25.50","..25.20","..23.84","272"
