Date,Open,High,Low,Close,Volume
09/21/2023,"..7.51","..7.83","..7.47","..7.51","36,538"
09/20/2023,"..7.51","..7.85","..7.46","..7.51","31,303"
09/19/2023,"..7.29","..7.80","..7.21","..7.51","76,516"
09/18/2023,"..6.92","..7.35","..7.00","..7.29","92,010"
09/14/2023,"..6.92","..6.99","..6.90","..6.92","4,198"
09/13/2023,"..6.92","..7.10","..6.51","..6.92","27,722"
09/12/2023,"..6.92","..7.10","..6.63","..6.92","35,974"
09/11/2023,"..6.92","..6.90","..6.66","..6.92","25,352"
09/07/2023,"..6.92","..6.72","..6.61","..6.92","31,745"
09/06/2023,"..6.92","..6.90","..6.70","..6.92","8,921"
09/05/2023,"..6.92","..6.97","..6.80","..6.92","7,202"
09/04/2023,"..6.92","..6.97","..6.81","..6.92","8,709"
08/31/2023,"..6.60","..7.00","..6.55","..6.92","60,731"
08/30/2023,"..6.60","..6.81","..6.55","..6.60","30,530"
08/29/2023,"..6.60","..6.68","..6.59","..6.60","7,727"
08/28/2023,"..6.60","..6.65","..6.58","..6.60","17,830"
08/24/2023,"..6.60","..6.61","..6.42","..6.60","32,030"
08/23/2023,"..6.60","..6.63","..6.41","..6.60","350,015"
08/22/2023,"..6.60","..6.53","..6.30","..6.60","5,581"
08/21/2023,"..6.60","..6.54","..6.40","..6.60","20,068"
08/17/2023,"..6.60","..6.55","..6.30","..6.60","20,711"
08/16/2023,"..6.60","..6.54","..6.30","..6.60","7,024"
08/15/2023,"..6.60","..6.54","..6.48","..6.60","2,920"
08/14/2023,"..6.60","..6.55","..6.52","..6.60","2,509"
08/10/2023,"..6.60","..6.60","..6.30","..6.60","8,018"
08/09/2023,"..6.60","..6.85","..6.52","..6.60","16,772"
08/08/2023,"..6.60","..6.60","..6.55","..6.60","8,066"
08/07/2023,"..6.60","..6.87","..6.60","..6.60","43,463"
08/03/2023,"..6.60","..6.64","..6.48","..6.60","6,841"
08/02/2023,"..6.60","..6.64","..6.51","..6.60","13,296"
08/01/2023,"..6.60","..6.66","..6.59","..6.60","12,049"
07/31/2023,"..6.60","..6.66","..6.59","..6.60","11,683"
07/27/2023,"..6.60","..6.70","..6.53","..6.60","7,547"
07/26/2023,"..6.60","..6.64","..6.52","..6.60","56,340"
07/25/2023,"..6.58","..6.68","..6.45","..6.60","153,620"
07/24/2023,"..6.58","..6.62","..6.42","..6.58","33,303"
07/19/2023,"..6.58","..6.70","..6.49","..6.58","7,582"
07/18/2023,"..6.58","..6.69","..6.50","..6.58","17,998"
07/17/2023,"..6.58","..6.55","..6.44","..6.58","7,500"
07/13/2023,"..6.58","..6.56","..6.36","..6.58","17,734"
07/12/2023,"..6.58","..6.68","..6.40","..6.58","7,990"
07/11/2023,"..6.58","..6.58","..6.35","..6.58","8,777"
07/10/2023,"..6.58","..6.80","..6.25","..6.58","22,414"
07/06/2023,"..7.14","..6.95","..6.40","..6.58","56,075"
07/05/2023,"..7.14","..6.97","..6.85","..7.14","9,028"
07/04/2023,"..7.14","..7.03","..6.77","..7.14","23,775"
06/26/2023,"..7.14","..7.01","..6.85","..7.14","22,417"
06/22/2023,"..7.14","..7.13","..7.00","..7.14","27,460"
06/21/2023,"..7.36","..7.20","..7.01","..7.14","46,749"
06/20/2023,"..7.36","..7.17","..7.11","..7.36","23,773"
06/19/2023,"..7.36","..7.39","..7.17","..7.36","27,907"
06/15/2023,"..7.24","..7.45","..7.17","..7.36","77,947"
06/14/2023,"..7.24","..7.55","..7.15","..7.24","15,659"
06/13/2023,"..7.17","..7.41","..7.00","..7.24","70,732"
06/12/2023,"..8.94","..8.94","..6.35","..7.17","59,820"
06/08/2023,"..7.83","..7.87","..7.80","..7.83","5,509"
06/07/2023,"..7.79","..7.83","..7.78","..7.83","84,483"
06/06/2023,"..7.83","..7.83","..7.75","..7.79","56,007"
06/05/2023,"..7.84","..7.87","..7.70","..7.83","58,091"
06/01/2023,"..7.51","..8.02","..7.57","..7.85","42,833"
05/31/2023,"..8.04","..8.08","..7.50","..7.51","102,304"
05/30/2023,"..8.04","..8.08","..8.02","..8.04","9,916"
05/29/2023,"..8.09","..8.09","..7.93","..8.04","53,181"
05/25/2023,"..8.09","..8.16","..7.87","..8.09","15,152"
05/24/2023,"..8.09","..8.25","..7.75","..8.09","26,657"
05/23/2023,"..8.09","..8.09","..7.72","..8.09","913"
05/22/2023,"..8.09","..8.25","..7.61","..8.09","24,303"
05/18/2023,"..8.20","..8.14","..7.90","..8.14","49,019"
05/17/2023,"..8.26","..8.21","..7.88","..8.20","196,358"
05/16/2023,"..8.26","..8.26","..7.86","..8.26","5,713"
05/15/2023,"..8.26","..8.26","..7.99","..8.26","15,135"
05/11/2023,"..8.26","..8.06","..7.99","..8.26","1,819"
05/10/2023,"..8.26","..8.47","..8.00","..8.26","1,033"
05/09/2023,"..8.74","..8.62","..7.98","..8.26","80,659"
05/08/2023,"..8.26","..8.81","..7.51","..8.74","221,314"
05/03/2023,"..8.26","..8.25","..7.76","..8.26","26,235"
05/02/2023,"..8.26","..8.55","..7.87","..8.26","5,121"
05/01/2023,"..7.90","..8.61","..7.65","..8.26","46,881"
04/27/2023,"..7.90","..8.25","..7.87","..7.90","11,865"
04/26/2023,"..7.48","..8.92","..7.14","..7.90","302,723"
04/19/2023,"..7.46","..7.57","..7.12","..7.48","59,305"
04/18/2023,"..6.89","..7.56","..7.09","..7.46","57,541"
04/13/2023,"..6.89","..7.42","..6.76","..6.89","32,209"
04/12/2023,"..6.89","..7.50","..6.90","..6.89","22,264"
04/11/2023,"..6.89","..7.20","..6.82","..6.89","5,913"
04/10/2023,"..6.89","..7.24","..6.67","..6.89","27,083"
04/06/2023,"..6.89","..7.05","..6.88","..6.89","1,345"
04/05/2023,"..6.89","..7.12","..7.05","..6.89","348"
04/04/2023,"..6.89","..7.50","..6.90","..6.89","16,849"
04/03/2023,"..6.89","..7.21","..7.12","..6.89","24,745"
03/30/2023,"..6.75","..6.94","..6.61","..6.75","40,891"
03/29/2023,"..6.70","..6.90","..6.67","..6.75","67,052"
03/28/2023,"..6.75","..6.83","..6.66","..6.70","53,388"
03/27/2023,"..6.75","..7.27","..6.86","..6.75","26,016"
03/23/2023,"..6.75","..7.00","..6.93","..6.75","748"
03/22/2023,"..6.75","..7.57","..6.97","..6.75","24,152"
03/21/2023,"..6.75","..7.63","..6.76","..6.75","39,308"
03/20/2023,"..6.75","..7.41","..6.77","..6.75","16,616"
03/16/2023,"..6.75","..7.08","..6.58","..6.75","20,191"
03/15/2023,"..6.75","..7.68","..6.75","..6.75","40,561"
03/14/2023,"..6.75","..7.50","..6.75","..6.75","31,301"
03/13/2023,"..7.87","..7.78","..6.75","..6.75","282,855"
03/09/2023,"..7.87","..7.96","..7.13","..7.87","10,635"
03/08/2023,"..7.87","..8.14","..7.50","..7.87","12,992"
03/07/2023,"..7.89","..8.47","..7.50","..7.87","182,996"
03/06/2023,"..8.03","..8.17","..7.03","..7.89","60,804"
03/02/2023,"..7.12","..8.25","..7.12","..8.03","195,708"
03/01/2023,"..6.88","..7.65","..6.32","..7.12","353,547"
02/28/2023,"..6.88","..6.88","..6.61","..6.88","14,200"
02/27/2023,"..6.88","..6.90","..6.56","..6.88","8,248"
02/23/2023,"..6.75","..6.75","..6.52","..6.75","24,205"
02/22/2023,"..6.75","..6.73","..6.52","..6.75","1,527"
02/21/2023,"..6.75","..6.75","..6.01","..6.75","26,293"
02/20/2023,"..6.75","..6.75","..6.68","..6.75","27,829"
02/16/2023,"..6.68","..7.03","..6.61","..6.75","51,201"
02/15/2023,"..6.45","..6.97","..6.49","..6.68","173,991"
02/14/2023,"..6.45","..6.75","..6.53","..6.45","3,357"
02/13/2023,"..6.45","..6.75","..6.63","..6.45","18,408"
02/09/2023,"..6.45","..7.04","..6.60","..6.45","41,077"
02/08/2023,"..6.45","..7.25","..6.54","..6.45","31,693"
02/07/2023,"..6.45","..6.82","..6.75","..6.45","5,713"
02/06/2023,"..6.45","..6.97","..6.75","..6.45","25,971"
02/02/2023,"..8.02","..7.12","..6.76","..8.02","7,913"
02/01/2023,"..8.02","..7.12","..6.77","..8.02","8,445"
01/31/2023,"..8.02","..7.36","..6.80","..8.02","7,467"
01/30/2023,"..8.02","..7.47","..6.97","..8.02","19,900"
01/25/2023,"..8.02","..7.50","..7.24","..8.02","12,472"
01/24/2023,"..8.02","..7.50","..7.24","..8.02","3,913"
01/23/2023,"..8.02","..7.64","..7.29","..8.02","21,183"
01/19/2023,"..8.02","..8.17","..7.50","..8.02","21,248"
01/18/2023,"..8.02","..7.87","..7.20","..8.02","12,808"
01/17/2023,"..8.02","..7.91","..7.61","..8.02","30,648"
01/16/2023,"..6.98","..8.25","..6.91","..8.02","274,192"
01/12/2023,"..6.41","..6.45","..6.15","..6.42","133,790"
01/11/2023,"..6.29","..6.49","..6.06","..6.41","56,877"
01/10/2023,"..6.29","..6.28","..6.05","..6.29","19,561"
