Date,Open,High,Low,Close,Volume
09/21/2023,"..44.15","..44.49","..43.00","..43.00","10,008"
09/20/2023,"..44.15","..44.59","..44.01","..44.15","459"
09/19/2023,"..44.15","..45.00","..44.00","..44.15","975"
09/18/2023,"..44.15","..44.01","..44.00","..44.15","2,333"
09/14/2023,"..44.20","..46.50","..43.12","..44.15","11,274"
09/13/2023,"..44.20","..48.00","..43.00","..44.20","4,128"
09/12/2023,"..44.20","..47.50","..42.66","..44.20","2,669"
09/11/2023,"..44.20","..43.20","..40.06","..44.20","50"
09/06/2023,"..44.20","..44.82","..44.50","..44.20","1,499"
09/05/2023,"..44.20","..43.30","..43.30","..44.20","5"
09/04/2023,"..44.20","..44.20","..43.51","..44.20","695"
08/31/2023,"..44.20","..43.20","..43.20","..44.20","1"
08/30/2023,"..44.20","..44.94","..43.00","..44.20","501"
08/29/2023,"..44.20","..43.75","..43.25","..44.20","450"
08/28/2023,"..44.20","..44.99","..42.01","..44.20","829"
08/23/2023,"..46.69","..47.74","..42.60","..44.20","7,479"
08/22/2023,"..46.69","..46.95","..43.01","..46.69","1,385"
08/21/2023,"..46.69","..47.75","..43.01","..46.69","2,446"
08/17/2023,"..39.99","..47.97","..44.00","..46.69","20,122"
08/16/2023,"..39.99","..45.79","..42.51","..39.99","4,078"
08/15/2023,"..39.99","..46.50","..40.00","..39.99","1,160"
08/14/2023,"..39.99","..39.17","..39.17","..39.99","10"
08/10/2023,"..39.99","..41.00","..38.85","..39.99","515"
08/09/2023,"..39.99","..41.00","..37.73","..39.99","2,337"
08/08/2023,"..39.99","..41.50","..37.71","..39.99","7,227"
08/07/2023,"..39.99","..41.50","..41.00","..39.99","1,308"
08/03/2023,"..39.99","..40.00","..39.99","..39.99","2,965"
08/02/2023,"..39.99","..38.77","..38.51","..39.99","101"
08/01/2023,"..39.99","..40.00","..38.75","..39.99","643"
07/31/2023,"..39.99","..39.60","..39.60","..39.99","69"
07/27/2023,"..39.99","..38.75","..38.75","..39.99","14"
07/26/2023,"..39.99","..39.54","..39.54","..39.99","1"
07/25/2023,"..39.99","..38.50","..38.50","..39.99","150"
07/24/2023,"..39.99","..40.00","..37.70","..39.99","618"
07/19/2023,"..39.99","..37.60","..37.55","..39.99","47"
07/18/2023,"..39.99","..39.50","..39.00","..39.99","1,070"
07/17/2023,"..39.99","..39.00","..37.15","..39.99","257"
07/13/2023,"..39.99","..40.45","..37.00","..39.99","5,075"
07/12/2023,"..39.99","..38.41","..38.41","..39.99","27"
07/11/2023,"..39.99","..40.39","..38.41","..39.99","225"
07/10/2023,"..39.99","..40.00","..39.50","..39.99","320"
07/05/2023,"..39.99","..40.00","..40.00","..39.99","500"
07/04/2023,"..39.99","..41.50","..38.41","..39.99","3,575"
06/22/2023,"..39.99","..38.51","..38.10","..39.99","222"
06/21/2023,"..39.99","..38.52","..38.51","..39.99","13"
06/20/2023,"..39.99","..40.00","..39.50","..39.99","507"
06/19/2023,"..39.99","..39.50","..39.50","..39.99","5"
06/15/2023,"..39.99","..39.13","..38.00","..39.99","5,274"
06/14/2023,"..39.15","..39.99","..39.99","..39.99","10,416"
06/13/2023,"..41.04","..40.00","..39.00","..39.15","8,608"
06/12/2023,"..41.04","..39.61","..39.00","..41.04","3,000"
06/08/2023,"..41.04","..40.45","..38.56","..41.04","86"
06/07/2023,"..41.04","..40.00","..38.56","..41.04","819"
06/06/2023,"..41.04","..40.50","..39.11","..41.04","611"
06/05/2023,"..41.04","..39.70","..39.08","..41.04","728"
06/01/2023,"..39.82","..41.99","..40.00","..41.04","13,105"
05/31/2023,"..39.82","..41.00","..38.00","..39.82","7,007"
05/30/2023,"..39.75","..41.98","..38.89","..39.82","10,505"
05/29/2023,"..40.74","..42.00","..39.50","..39.75","59,407"
05/25/2023,"..36.95","..41.99","..38.00","..40.74","11,881"
05/24/2023,"..36.95","..38.50","..37.51","..36.95","73"
05/23/2023,"..36.95","..37.62","..37.62","..36.95","3"
05/22/2023,"..36.95","..38.20","..37.50","..36.95","1,009"
05/18/2023,"..36.95","..37.60","..37.50","..36.95","65"
05/17/2023,"..36.95","..37.77","..37.60","..36.95","166"
05/16/2023,"..36.95","..38.01","..37.80","..36.95","5,921"
05/11/2023,"..36.95","..39.00","..38.00","..36.95","2,499"
05/10/2023,"..36.95","..39.30","..37.00","..36.95","914"
05/09/2023,"..39.65","..39.25","..36.11","..36.95","12,489"
05/03/2023,"..39.65","..37.61","..36.50","..39.65","1,111"
05/02/2023,"..39.65","..36.11","..36.11","..39.65","26"
05/01/2023,"..39.65","..39.30","..37.60","..39.65","1,790"
04/27/2023,"..39.65","..37.61","..37.50","..39.65","2,063"
04/26/2023,"..39.65","..39.50","..34.42","..39.65","76"
04/19/2023,"..39.65","..39.50","..38.00","..39.65","200"
04/18/2023,"..39.65","..38.89","..36.01","..39.65","32"
04/13/2023,"..39.65","..38.48","..36.01","..39.65","116"
04/12/2023,"..39.65","..37.01","..37.01","..39.65","329"
04/11/2023,"..39.65","..38.89","..37.00","..39.65","117"
04/06/2023,"..39.65","..40.50","..38.00","..39.65","823"
04/05/2023,"..36.00","..40.18","..36.98","..39.65","11,986"
04/04/2023,"..36.00","..41.00","..33.50","..36.00","7,326"
04/03/2023,"..36.00","..34.79","..33.50","..36.00","1,573"
03/30/2023,"..36.00","..33.50","..32.00","..36.00","3,150"
03/29/2023,"..36.00","..35.40","..35.40","..36.00","5"
03/28/2023,"..36.00","..34.00","..33.40","..36.00","877"
03/27/2023,"..36.00","..35.09","..33.34","..36.00","560"
03/22/2023,"..36.00","..35.83","..32.22","..36.00","359"
03/21/2023,"..36.00","..34.75","..34.75","..36.00","47"
03/20/2023,"..36.00","..35.88","..33.50","..36.00","130"
03/16/2023,"..36.00","..32.01","..32.01","..36.00","3"
03/15/2023,"..36.00","..33.50","..33.11","..36.00","471"
03/14/2023,"..36.00","..36.00","..33.48","..36.00","1,682"
03/09/2023,"..36.00","..36.00","..35.95","..36.00","489"
03/08/2023,"..36.00","..35.98","..35.85","..36.00","166"
03/07/2023,"..36.00","..36.00","..35.85","..36.00","1,864"
03/06/2023,"..36.00","..36.49","..35.60","..36.00","1,392"
03/02/2023,"..36.34","..36.00","..36.00","..36.00","10,195"
03/01/2023,"..36.39","..36.34","..36.00","..36.34","9,156"
02/28/2023,"..36.39","..36.00","..33.55","..36.39","1,246"
02/27/2023,"..36.39","..35.99","..33.53","..36.39","603"
02/23/2023,"..36.39","..34.00","..34.00","..36.39","115"
02/22/2023,"..36.39","..34.01","..34.00","..36.39","203"
02/21/2023,"..36.39","..35.60","..33.34","..36.39","2,410"
02/20/2023,"..36.39","..34.92","..34.92","..36.39","30"
02/16/2023,"..36.39","..35.94","..34.20","..36.39","256"
02/15/2023,"..36.39","..35.11","..35.02","..36.39","4,192"
02/14/2023,"..36.39","..36.34","..35.01","..36.39","391"
02/13/2023,"..36.39","..36.35","..32.59","..36.39","301"
02/09/2023,"..36.39","..36.40","..36.37","..36.39","395"
02/08/2023,"..36.39","..34.35","..32.50","..36.39","1,316"
02/06/2023,"..36.39","..34.00","..33.02","..36.39","185"
02/02/2023,"..36.39","..32.99","..32.50","..36.39","1,250"
02/01/2023,"..36.39","..36.49","..31.91","..36.39","436"
01/31/2023,"..36.39","..34.18","..34.18","..36.39","77"
01/30/2023,"..36.39","..37.72","..34.45","..36.39","679"
01/25/2023,"..38.20","..36.30","..34.01","..36.07","23,142"
01/24/2023,"..38.20","..35.75","..35.65","..38.20","540"
01/23/2023,"..38.20","..37.00","..35.55","..38.20","3,450"
01/18/2023,"..34.91","..35.40","..34.05","..34.91","214"
01/17/2023,"..34.91","..35.00","..34.99","..34.91","2,436"
01/16/2023,"..35.41","..34.95","..33.00","..34.91","10,159"
01/12/2023,"..35.41","..35.00","..30.17","..35.41","4,300"
01/11/2023,"..35.41","..35.50","..34.50","..35.41","6,543"
01/10/2023,"..35.41","..35.00","..34.51","..35.41","504"
01/09/2023,"..35.41","..35.17","..35.00","..35.41","2,958"
01/05/2023,"..35.41","..36.49","..35.35","..35.41","3,206"
01/04/2023,"..35.41","..37.50","..35.00","..35.41","3,730"
01/03/2023,"..35.41","..36.90","..35.15","..35.41","2,120"
01/02/2023,"..35.41","..35.16","..35.13","..35.41","1,490"
12/29/2022,"..35.41","..36.00","..34.00","..35.41","5,656"
12/28/2022,"..35.41","..35.39","..34.56","..35.41","259"
12/27/2022,"..35.41","..35.00","..34.50","..35.41","65"
12/26/2022,"..35.41","..35.40","..34.50","..35.41","2,349"
12/22/2022,"..35.41","..35.77","..33.61","..35.41","3,915"
12/21/2022,"..35.41","..35.94","..33.17","..35.41","302"
12/20/2022,"..35.41","..36.00","..34.00","..35.41","1,087"
12/19/2022,"..35.41","..36.00","..35.00","..35.41","2,454"
12/15/2022,"..35.41","..36.25","..35.55","..35.41","883"
12/14/2022,"..35.41","..36.00","..35.11","..35.41","6,511"
12/13/2022,"..35.41","..36.75","..34.61","..35.41","3,043"
12/12/2022,"..35.41","..35.90","..34.26","..35.41","1,208"
12/08/2022,"..34.42","..36.00","..33.43","..35.41","19,970"
12/07/2022,"..32.07","..34.44","..32.17","..34.42","20,613"
12/06/2022,"..32.07","..32.75","..31.52","..32.07","8,074"
12/05/2022,"..32.07","..32.49","..31.95","..32.07","4,635"
12/01/2022,"..28.95","..31.50","..31.13","..28.95","6,684"
11/30/2022,"..28.95","..31.50","..30.50","..28.95","4,934"
11/29/2022,"..28.95","..31.05","..30.45","..28.95","1,429"
11/28/2022,"..28.95","..31.18","..30.21","..28.95","812"
11/24/2022,"..28.95","..30.73","..30.05","..28.95","1,099"
11/23/2022,"..28.95","..30.75","..29.85","..28.95","258"
11/22/2022,"..28.95","..30.80","..30.03","..28.95","2,144"
11/21/2022,"..28.95","..30.01","..29.98","..28.95","2,097"
11/17/2022,"..28.95","..29.50","..29.06","..28.95","7,259"
11/16/2022,"..28.95","..29.50","..29.00","..28.95","6,001"
11/15/2022,"..35.51","..29.24","..28.44","..28.95","11,179"
11/14/2022,"..35.51","..29.25","..28.50","..35.51","2,529"
11/10/2022,"..35.51","..31.91","..31.00","..35.51","5,394"
11/09/2022,"..35.51","..31.85","..31.21","..35.51","1,549"
11/08/2022,"..35.51","..31.85","..31.00","..35.51","3,346"
11/07/2022,"..35.51","..31.60","..31.00","..35.51","2,219"
11/03/2022,"..35.51","..31.80","..31.13","..35.51","2,701"
11/02/2022,"..35.51","..31.90","..31.40","..35.51","511"
11/01/2022,"..35.51","..32.00","..31.00","..35.51","6,526"
10/31/2022,"..35.51","..31.19","..30.50","..35.51","2,320"
10/27/2022,"..35.51","..31.40","..30.98","..35.51","2,008"
10/26/2022,"..35.51","..30.01","..29.86","..35.51","1,520"
10/25/2022,"..35.51","..29.70","..29.70","..35.51","12"
10/24/2022,"..35.51","..30.00","..29.85","..35.51","2,980"
10/20/2022,"..35.51","..30.60","..29.80","..35.51","3,079"
10/19/2022,"..35.51","..30.80","..29.70","..35.51","3,890"
10/18/2022,"..35.51","..30.50","..29.72","..35.51","1,624"
10/17/2022,"..35.51","..30.97","..29.56","..35.51","1,305"
10/13/2022,"..35.51","..30.10","..30.08","..35.51","46"
10/11/2022,"..35.51","..30.15","..28.75","..35.51","7,281"
10/05/2022,"..35.51","..29.26","..28.60","..35.51","4,440"
10/04/2022,"..35.51","..30.00","..29.40","..35.51","2,125"
10/03/2022,"..35.51","..30.10","..29.05","..35.51","805"
09/29/2022,"..35.51","..30.00","..29.80","..35.51","2,687"
09/28/2022,"..35.51","..30.50","..29.99","..35.51","1,226"
09/27/2022,"..35.51","..30.30","..29.70","..35.51","1,097"
09/26/2022,"..35.51","..30.00","..29.67","..35.51","703"
09/22/2022,"..35.51","..30.90","..30.25","..35.51","1,511"
