Date,Open,High,Low,Close,Volume
09/21/2023,"..8.90","..9.10","..8.90","..8.99","91,028"
09/20/2023,"..9.13","..9.20","..8.84","..8.90","132,284"
09/19/2023,"..9.12","..9.33","..9.10","..9.13","206,262"
09/18/2023,"..9.19","..9.20","..9.09","..9.12","66,533"
09/14/2023,"..9.17","..9.37","..9.12","..9.15","366,747"
09/13/2023,"..8.94","..9.21","..8.87","..9.17","263,143"
09/12/2023,"..8.99","..9.17","..8.89","..8.94","166,816"
09/11/2023,"..8.93","..9.25","..8.96","..8.99","343,415"
09/07/2023,"..8.78","..8.96","..8.60","..8.77","135,025"
09/06/2023,"..9.00","..9.06","..8.70","..8.78","145,106"
09/05/2023,"..8.83","..9.07","..8.83","..9.00","112,609"
09/04/2023,"..8.94","..9.03","..8.80","..8.83","231,390"
08/31/2023,"..9.08","..9.24","..8.93","..9.01","279,153"
08/30/2023,"..9.05","..9.40","..8.85","..9.08","451,459"
08/29/2023,"..9.08","..9.34","..9.03","..9.05","269,977"
08/28/2023,"..9.27","..9.39","..9.03","..9.08","176,297"
08/24/2023,"..9.01","..9.34","..8.80","..9.29","341,500"
08/23/2023,"..9.39","..9.40","..8.91","..9.01","535,048"
08/22/2023,"..9.25","..9.87","..9.28","..9.39","1,087,002"
08/21/2023,"..8.73","..9.49","..8.81","..9.25","998,236"
08/17/2023,"..8.51","..8.65","..8.43","..8.45","109,602"
08/16/2023,"..8.61","..8.84","..8.46","..8.51","330,250"
08/15/2023,"..8.70","..8.98","..8.44","..8.61","253,618"
08/14/2023,"..8.80","..8.93","..8.40","..8.70","380,270"
08/10/2023,"..8.89","..8.95","..8.66","..8.71","196,307"
08/09/2023,"..8.90","..9.28","..8.60","..8.89","615,062"
08/08/2023,"..8.01","..9.28","..8.04","..8.90","1,537,838"
08/07/2023,"..7.95","..8.19","..7.98","..8.01","160,100"
08/03/2023,"..7.84","..7.96","..7.69","..7.81","88,719"
08/02/2023,"..7.91","..8.05","..7.81","..7.84","97,256"
08/01/2023,"..8.01","..8.10","..7.85","..7.91","158,338"
07/31/2023,"..8.03","..8.14","..7.99","..8.01","85,227"
07/27/2023,"..8.07","..8.35","..8.01","..8.14","277,817"
07/26/2023,"..8.03","..8.24","..7.96","..8.07","137,531"
07/25/2023,"..7.88","..8.45","..7.92","..8.03","342,460"
07/24/2023,"..8.08","..8.25","..7.80","..7.88","247,476"
07/19/2023,"..8.15","..8.23","..8.02","..8.08","198,341"
07/18/2023,"..8.22","..8.40","..8.05","..8.15","368,686"
07/17/2023,"..8.46","..8.50","..8.05","..8.22","352,965"
07/13/2023,"..8.28","..8.34","..8.08","..8.12","213,386"
07/12/2023,"..8.46","..8.70","..8.20","..8.28","339,316"
07/11/2023,"..7.82","..8.79","..7.80","..8.46","757,285"
07/10/2023,"..7.63","..7.98","..7.53","..7.82","233,385"
07/06/2023,"..8.71","..8.84","..8.03","..8.22","661,502"
07/05/2023,"..8.13","..9.70","..8.35","..8.71","1,730,145"
07/04/2023,"..6.95","..8.13","..6.86","..8.13","451,992"
06/26/2023,"..6.75","..6.84","..6.70","..6.78","45,826"
06/22/2023,"..6.75","..6.84","..6.65","..6.75","39,775"
06/21/2023,"..6.75","..6.87","..6.67","..6.75","41,617"
06/20/2023,"..6.75","..6.96","..6.80","..6.75","25,971"
06/19/2023,"..6.79","..6.85","..6.70","..6.75","60,427"
06/15/2023,"..6.71","..6.85","..6.70","..6.75","71,922"
06/14/2023,"..6.91","..6.99","..6.66","..6.71","88,504"
06/13/2023,"..6.95","..7.00","..6.79","..6.91","63,895"
06/12/2023,"..6.95","..7.00","..6.90","..6.95","21,753"
06/08/2023,"..7.03","..7.08","..6.90","..6.98","103,170"
06/07/2023,"..6.94","..7.18","..6.75","..7.03","169,660"
06/06/2023,"..7.04","..7.15","..6.90","..6.94","110,321"
06/05/2023,"..7.25","..7.20","..7.00","..7.04","136,232"
06/01/2023,"..6.91","..7.18","..6.66","..7.04","347,214"
05/31/2023,"..6.81","..7.20","..6.82","..6.91","539,685"
05/30/2023,"..6.61","..6.94","..6.59","..6.81","469,579"
05/29/2023,"..6.54","..6.75","..6.55","..6.61","200,476"
05/25/2023,"..6.64","..6.68","..6.20","..6.43","140,695"
05/24/2023,"..6.53","..6.68","..6.47","..6.64","297,957"
05/23/2023,"..6.35","..6.59","..6.35","..6.53","288,195"
05/22/2023,"..6.13","..6.49","..6.20","..6.35","146,609"
05/18/2023,"..6.14","..6.22","..6.08","..6.13","64,616"
05/17/2023,"..6.37","..6.50","..6.10","..6.14","191,129"
05/16/2023,"..6.44","..6.55","..6.35","..6.37","108,556"
05/15/2023,"..6.37","..6.69","..6.38","..6.44","314,518"
05/11/2023,"..6.37","..6.47","..6.32","..6.37","84,660"
05/10/2023,"..6.51","..6.50","..6.28","..6.37","140,263"
05/09/2023,"..6.31","..6.69","..6.39","..6.51","252,205"
05/08/2023,"..6.22","..6.45","..6.29","..6.31","108,370"
05/03/2023,"..6.50","..6.69","..6.42","..6.48","57,699"
05/02/2023,"..6.42","..6.70","..6.44","..6.50","106,451"
05/01/2023,"..6.57","..6.65","..6.40","..6.42","147,898"
04/27/2023,"..6.50","..6.99","..6.44","..6.70","397,741"
04/26/2023,"..6.64","..6.65","..6.46","..6.50","103,385"
04/19/2023,"..6.40","..6.70","..6.40","..6.64","236,456"
04/18/2023,"..6.40","..6.54","..6.33","..6.40","32,177"
04/13/2023,"..6.39","..6.49","..6.32","..6.40","51,742"
04/12/2023,"..6.44","..6.60","..6.37","..6.39","169,372"
04/11/2023,"..6.57","..6.96","..6.25","..6.44","450,416"
04/10/2023,"..6.61","..6.67","..6.45","..6.57","87,095"
04/06/2023,"..6.83","..6.97","..6.57","..6.61","163,445"
04/05/2023,"..6.65","..7.04","..6.68","..6.83","317,155"
04/04/2023,"..6.58","..7.00","..6.47","..6.65","165,477"
04/03/2023,"..6.58","..6.65","..6.47","..6.58","40,013"
03/30/2023,"..6.32","..6.55","..6.26","..6.32","30,380"
03/29/2023,"..6.32","..6.55","..6.31","..6.32","21,701"
03/28/2023,"..6.39","..6.57","..6.20","..6.32","55,517"
03/27/2023,"..6.50","..6.65","..6.36","..6.39","104,122"
03/23/2023,"..6.37","..6.54","..6.26","..6.33","100,923"
03/22/2023,"..6.50","..6.67","..6.33","..6.37","103,338"
03/21/2023,"..6.27","..6.88","..6.19","..6.50","422,273"
03/20/2023,"..5.97","..6.43","..6.00","..6.27","109,981"
03/16/2023,"..5.93","..6.05","..5.30","..5.97","78,519"
03/15/2023,"..6.68","..6.89","..5.60","..5.93","163,308"
03/14/2023,"..6.60","..7.12","..6.54","..6.68","80,923"
03/13/2023,"..7.41","..7.79","..6.51","..6.60","81,702"
03/09/2023,"..7.52","..7.78","..7.51","..7.65","68,462"
03/08/2023,"..7.56","..7.70","..7.46","..7.52","87,438"
03/07/2023,"..7.74","..7.85","..7.52","..7.56","90,033"
03/06/2023,"..7.72","..7.89","..7.69","..7.74","127,766"
03/02/2023,"..7.80","..7.90","..7.68","..7.72","97,872"
03/01/2023,"..7.91","..8.13","..7.78","..7.80","152,980"
02/28/2023,"..7.55","..8.19","..7.57","..7.91","632,307"
02/27/2023,"..7.44","..7.75","..7.44","..7.55","219,001"
02/23/2023,"..7.43","..7.58","..7.38","..7.42","60,600"
02/22/2023,"..7.68","..7.75","..7.40","..7.43","155,595"
02/21/2023,"..7.68","..7.89","..7.60","..7.68","90,600"
02/20/2023,"..7.74","..7.97","..7.60","..7.68","118,053"
02/16/2023,"..7.78","..8.00","..7.77","..7.81","168,003"
02/15/2023,"..7.85","..7.89","..7.71","..7.78","84,567"
02/14/2023,"..7.96","..8.19","..7.81","..7.85","216,115"
02/13/2023,"..7.50","..8.12","..7.44","..7.96","425,203"
02/09/2023,"..7.36","..7.65","..7.32","..7.50","97,158"
02/08/2023,"..7.60","..7.74","..7.32","..7.36","130,334"
02/07/2023,"..7.69","..7.92","..7.56","..7.60","308,666"
02/06/2023,"..7.69","..7.95","..7.61","..7.69","104,304"
02/02/2023,"..7.74","..8.19","..7.61","..7.82","196,905"
02/01/2023,"..7.75","..7.86","..7.57","..7.74","72,946"
01/31/2023,"..8.04","..8.13","..7.71","..7.75","129,347"
01/30/2023,"..8.26","..8.30","..8.01","..8.04","147,436"
01/25/2023,"..8.14","..8.23","..8.09","..8.15","93,551"
01/24/2023,"..8.20","..8.38","..8.12","..8.14","53,661"
01/23/2023,"..8.40","..8.50","..8.15","..8.20","129,170"
01/19/2023,"..8.08","..8.55","..8.13","..8.33","568,702"
01/18/2023,"..8.11","..8.26","..8.03","..8.08","203,581"
01/17/2023,"..7.89","..8.19","..7.96","..8.11","118,957"
01/16/2023,"..7.95","..8.04","..7.80","..7.89","105,623"
01/12/2023,"..8.10","..8.22","..7.95","..8.02","106,245"
01/11/2023,"..8.21","..8.34","..8.07","..8.10","139,374"
01/10/2023,"..8.35","..8.35","..8.13","..8.21","112,084"
01/09/2023,"..8.49","..8.47","..8.32","..8.35","58,431"
01/05/2023,"..8.52","..8.62","..8.43","..8.49","103,740"
01/04/2023,"..8.60","..8.58","..8.33","..8.52","123,061"
01/03/2023,"..8.48","..8.69","..8.40","..8.60","176,711"
01/02/2023,"..8.30","..8.50","..8.26","..8.48","126,040"
12/29/2022,"..8.34","..8.45","..8.25","..8.30","68,737"
12/28/2022,"..8.32","..8.42","..8.27","..8.34","68,008"
12/27/2022,"..8.33","..8.48","..8.27","..8.32","75,371"
12/26/2022,"..8.28","..8.45","..8.20","..8.33","115,781"
12/22/2022,"..8.54","..8.63","..8.37","..8.42","124,617"
12/21/2022,"..8.51","..8.69","..8.50","..8.54","143,208"
12/20/2022,"..8.54","..8.68","..8.46","..8.51","183,753"
12/19/2022,"..8.48","..8.80","..8.51","..8.54","252,286"
12/15/2022,"..8.63","..8.90","..8.50","..8.51","482,182"
12/14/2022,"..8.67","..8.88","..8.60","..8.63","247,367"
12/13/2022,"..8.47","..8.75","..8.46","..8.67","308,938"
12/12/2022,"..8.75","..8.76","..8.35","..8.47","287,592"
12/08/2022,"..8.22","..9.25","..8.22","..8.73","849,484"
12/07/2022,"..8.38","..8.43","..8.17","..8.22","363,722"
12/06/2022,"..8.21","..8.60","..8.13","..8.38","576,989"
12/05/2022,"..8.92","..8.97","..7.95","..8.21","1,602,027"
12/01/2022,"..9.44","..9.60","..9.36","..9.40","412,506"
11/30/2022,"..9.84","..10.19","..9.33","..9.44","534,613"
11/29/2022,"..10.15","..10.29","..9.80","..9.84","413,602"
