Date,Open,High,Low,Close,Volume
09/21/2023,"..18.86","..19.50","..18.40","..19.27","108,450"
09/20/2023,"..19.03","..19.59","..18.60","..18.86","33,006"
09/19/2023,"..18.66","..19.90","..18.66","..19.03","130,303"
09/18/2023,"..18.66","..18.83","..18.55","..18.66","14,986"
09/14/2023,"..18.82","..18.88","..18.55","..18.66","28,906"
09/13/2023,"..18.82","..18.90","..18.45","..18.82","14,685"
09/12/2023,"..18.82","..19.08","..18.45","..18.82","10,102"
09/11/2023,"..18.94","..19.49","..18.51","..18.82","60,083"
09/07/2023,"..19.30","..19.63","..18.75","..18.98","63,953"
09/06/2023,"..19.42","..19.60","..19.16","..19.30","21,264"
09/05/2023,"..19.84","..20.00","..19.31","..19.42","89,200"
09/04/2023,"..19.07","..20.25","..19.00","..19.84","283,651"
08/31/2023,"..18.99","..19.40","..18.67","..18.99","41,001"
08/30/2023,"..18.90","..19.49","..18.60","..18.99","99,180"
08/29/2023,"..18.07","..19.21","..18.04","..18.90","215,002"
08/28/2023,"..18.31","..18.50","..18.00","..18.07","55,882"
08/24/2023,"..18.38","..18.58","..18.20","..18.38","9,837"
08/23/2023,"..18.64","..19.00","..18.20","..18.38","72,907"
08/22/2023,"..18.83","..19.00","..18.20","..18.64","22,434"
08/21/2023,"..18.52","..18.90","..18.38","..18.83","38,355"
08/17/2023,"..18.72","..18.90","..18.10","..18.38","25,585"
08/16/2023,"..18.61","..18.90","..18.50","..18.72","32,607"
08/15/2023,"..18.81","..19.00","..18.57","..18.61","21,116"
08/14/2023,"..18.73","..19.29","..18.62","..18.81","33,522"
08/10/2023,"..18.87","..19.14","..18.55","..18.87","13,320"
08/09/2023,"..18.74","..19.13","..18.50","..18.87","48,746"
08/08/2023,"..19.40","..19.36","..18.40","..18.74","31,566"
08/07/2023,"..18.62","..19.86","..18.05","..19.40","203,344"
08/03/2023,"..18.42","..18.30","..17.75","..18.42","12,946"
08/02/2023,"..18.42","..18.62","..17.71","..18.42","16,597"
08/01/2023,"..18.46","..18.60","..18.20","..18.42","24,005"
07/31/2023,"..18.51","..18.89","..18.37","..18.46","34,134"
07/27/2023,"..18.58","..18.99","..18.28","..18.51","35,511"
07/26/2023,"..19.27","..19.10","..18.25","..18.58","20,190"
07/25/2023,"..18.90","..19.40","..18.70","..19.27","47,127"
07/24/2023,"..18.95","..19.20","..18.75","..18.90","47,305"
07/19/2023,"..19.32","..19.45","..18.80","..18.95","21,076"
07/18/2023,"..19.28","..19.49","..19.08","..19.32","29,256"
07/17/2023,"..19.37","..19.60","..19.09","..19.28","43,113"
07/13/2023,"..18.68","..19.75","..18.66","..19.10","112,133"
07/12/2023,"..18.39","..18.94","..18.50","..18.68","26,304"
07/11/2023,"..18.32","..18.70","..17.40","..18.39","49,413"
07/10/2023,"..17.19","..18.60","..16.60","..18.32","95,109"
07/06/2023,"..19.18","..19.40","..18.50","..18.50","68,649"
07/05/2023,"..19.34","..19.85","..19.10","..19.18","60,452"
07/04/2023,"..19.64","..20.24","..17.01","..19.34","156,352"
06/26/2023,"..19.79","..20.50","..19.50","..19.64","210,215"
06/22/2023,"..19.42","..21.65","..19.43","..20.58","696,163"
06/21/2023,"..19.86","..20.90","..19.35","..19.42","539,622"
06/20/2023,"..18.70","..20.50","..18.70","..19.86","596,022"
06/19/2023,"..19.00","..19.20","..18.60","..18.70","43,249"
06/15/2023,"..17.43","..17.95","..17.46","..17.43","15,059"
06/14/2023,"..18.46","..18.78","..17.15","..17.43","46,383"
06/13/2023,"..18.52","..18.99","..18.06","..18.46","26,957"
06/12/2023,"..18.52","..19.00","..18.05","..18.52","10,859"
06/08/2023,"..18.71","..19.15","..18.25","..18.52","56,613"
06/07/2023,"..18.75","..19.18","..18.26","..18.71","70,241"
06/06/2023,"..19.02","..19.50","..18.03","..18.75","54,527"
06/05/2023,"..19.27","..19.70","..18.80","..19.02","104,489"
06/01/2023,"..18.00","..19.20","..18.00","..18.73","234,677"
05/31/2023,"..18.62","..18.90","..17.09","..18.00","333,875"
05/30/2023,"..17.40","..18.85","..17.35","..18.62","376,515"
05/29/2023,"..17.00","..17.70","..16.88","..17.40","390,728"
05/25/2023,"..16.60","..16.99","..16.60","..16.66","19,310"
05/24/2023,"..16.24","..17.00","..16.23","..16.60","305,557"
05/23/2023,"..16.40","..16.45","..16.10","..16.24","40,090"
05/22/2023,"..16.40","..16.50","..16.31","..16.40","24,646"
05/18/2023,"..16.33","..16.64","..16.06","..16.33","10,768"
05/17/2023,"..16.24","..16.93","..16.07","..16.33","40,660"
05/16/2023,"..16.34","..16.99","..16.03","..16.24","125,950"
