Date,Open,High,Low,Close,Volume
09/21/2023,"..100.00","..88.00","..87.15","..100.00","170"
09/20/2023,"..100.00","..87.07","..87.05","..100.00","30"
09/19/2023,"..100.00","..87.01","..87.01","..100.00","92"
09/14/2023,"..100.00","..90.99","..87.01","..100.00","174"
09/11/2023,"..100.00","..90.50","..86.11","..100.00","28"
09/07/2023,"..100.00","..90.99","..89.00","..100.00","83"
09/06/2023,"..100.00","..90.00","..89.00","..100.00","347"
09/05/2023,"..100.00","..90.98","..84.00","..100.00","426"
09/04/2023,"..100.00","..91.40","..80.00","..100.00","997"
08/31/2023,"..100.00","..92.00","..88.50","..100.00","76"
08/30/2023,"..100.00","..91.64","..91.64","..100.00","21"
08/29/2023,"..100.00","..91.70","..91.70","..100.00","16"
08/28/2023,"..100.00","..91.80","..88.01","..100.00","367"
08/24/2023,"..100.00","..92.00","..87.06","..100.00","98"
08/23/2023,"..100.00","..92.00","..87.04","..100.00","181"
08/22/2023,"..100.00","..89.89","..87.00","..100.00","99"
08/17/2023,"..100.00","..90.00","..86.25","..100.00","348"
08/10/2023,"..100.00","..89.11","..86.00","..100.00","1,073"
08/08/2023,"..100.00","..94.97","..89.02","..100.00","42"
08/07/2023,"..100.00","..94.99","..87.22","..100.00","1,430"
08/03/2023,"..100.00","..91.00","..87.20","..100.00","400"
08/02/2023,"..100.00","..90.99","..87.25","..100.00","16"
08/01/2023,"..100.00","..89.73","..87.12","..100.00","58"
07/31/2023,"..100.00","..89.99","..87.09","..100.00","51"
07/27/2023,"..100.00","..89.01","..87.00","..100.00","148"
07/26/2023,"..100.00","..90.54","..87.00","..100.00","40"
07/25/2023,"..100.00","..91.45","..87.01","..100.00","177"
07/24/2023,"..100.00","..91.70","..87.00","..100.00","367"
07/19/2023,"..100.00","..91.00","..90.00","..100.00","30"
07/18/2023,"..100.00","..90.99","..90.00","..100.00","69"
07/17/2023,"..100.00","..90.99","..90.00","..100.00","25"
07/13/2023,"..100.00","..88.16","..88.00","..100.00","179"
07/12/2023,"..100.00","..90.00","..87.50","..100.00","34"
07/10/2023,"..100.00","..85.16","..85.16","..100.00","9"
07/06/2023,"..100.00","..90.50","..87.30","..100.00","131"
07/05/2023,"..100.00","..90.49","..87.12","..100.00","78"
07/04/2023,"..100.00","..90.49","..88.50","..100.00","50"
06/26/2023,"..100.00","..90.00","..89.98","..100.00","205"
06/22/2023,"..100.00","..89.99","..88.00","..100.00","212"
06/21/2023,"..100.00","..89.99","..88.43","..100.00","49"
06/20/2023,"..100.00","..88.90","..88.41","..100.00","29"
06/19/2023,"..100.00","..90.50","..88.31","..100.00","136"
06/15/2023,"..100.00","..90.50","..87.11","..100.00","105"
06/14/2023,"..100.00","..91.00","..89.00","..100.00","282"
06/13/2023,"..100.00","..90.80","..90.00","..100.00","107"
06/12/2023,"..100.00","..90.00","..88.00","..100.00","189"
06/08/2023,"..100.00","..90.00","..88.09","..100.00","477"
06/07/2023,"..100.00","..92.68","..91.00","..100.00","130"
06/06/2023,"..100.00","..92.69","..88.65","..100.00","39"
06/05/2023,"..100.00","..93.50","..88.63","..100.00","68"
06/01/2023,"..100.00","..92.49","..92.00","..100.00","19"
05/31/2023,"..100.00","..92.00","..91.00","..100.00","108"
05/30/2023,"..100.00","..92.00","..89.11","..100.00","572"
05/29/2023,"..100.00","..90.00","..90.00","..100.00","84"
05/25/2023,"..100.00","..92.00","..92.00","..100.00","13"
05/24/2023,"..100.00","..91.02","..86.00","..100.00","1,076"
05/23/2023,"..100.00","..90.00","..90.00","..100.00","25"
05/22/2023,"..100.00","..92.99","..92.99","..100.00","11"
05/18/2023,"..100.00","..93.60","..89.70","..100.00","26"
05/17/2023,"..100.00","..93.85","..89.50","..100.00","98"
05/16/2023,"..100.00","..93.84","..89.50","..100.00","133"
05/15/2023,"..100.00","..93.99","..90.10","..100.00","182"
05/10/2023,"..100.00","..92.90","..90.00","..100.00","212"
05/09/2023,"..100.00","..90.00","..90.00","..100.00","15"
05/03/2023,"..100.00","..97.15","..90.00","..100.00","239"
05/02/2023,"..100.00","..93.03","..93.00","..100.00","200"
05/01/2023,"..100.00","..97.50","..97.50","..100.00","4"
04/26/2023,"..100.00","..97.00","..95.00","..100.00","13"
04/19/2023,"..100.00","..95.04","..95.00","..100.00","508"
04/18/2023,"..100.00","..98.98","..95.00","..100.00","23"
04/13/2023,"..100.00","..98.99","..95.00","..100.00","213"
04/12/2023,"..100.00","..98.99","..98.99","..100.00","5"
04/11/2023,"..100.00","..95.00","..95.00","..100.00","14"
04/10/2023,"..100.00","..98.36","..95.00","..100.00","655"
04/06/2023,"..100.00","..98.30","..98.30","..100.00","2"
04/05/2023,"..100.00","..98.00","..98.00","..100.00","50"
04/04/2023,"..100.00","..98.33","..95.00","..100.00","206"
04/03/2023,"..100.00","..95.00","..95.00","..100.00","6"
03/29/2023,"..100.00","..96.00","..95.00","..100.00","605"
03/28/2023,"..100.00","..99.95","..95.26","..100.00","20"
03/27/2023,"..100.00","..99.95","..95.00","..100.00","16"
03/23/2023,"..100.00","..100.00","..100.00","..100.00","100"
03/22/2023,"..100.00","..105.00","..100.00","..100.00","59"
03/21/2023,"..100.00","..100.00","..97.50","..100.00","200"
03/16/2023,"..100.00","..98.99","..90.00","..100.00","103"
03/15/2023,"..100.00","..99.00","..91.01","..100.00","33"
03/13/2023,"..100.00","..97.00","..89.30","..100.00","224"
03/09/2023,"..100.00","..100.00","..96.11","..100.00","2"
03/08/2023,"..100.00","..100.00","..95.60","..100.00","10"
03/07/2023,"..100.00","..109.99","..94.50","..100.00","101"
03/06/2023,"..100.00","..110.00","..95.00","..100.00","202"
03/02/2023,"..115.00","..115.00","..81.00","..100.00","1,552"
03/01/2023,"..100.00","..120.00","..94.00","..100.00","1,527"
02/28/2023,"..100.00","..98.00","..95.00","..100.00","96"
02/27/2023,"..100.00","..96.00","..93.40","..100.00","112"
02/23/2023,"..100.00","..94.05","..92.01","..100.00","21"
02/22/2023,"..100.00","..93.20","..93.16","..100.00","10"
02/21/2023,"..100.00","..94.00","..93.16","..100.00","7"
02/16/2023,"..100.00","..99.35","..92.27","..100.00","268"
02/15/2023,"..100.00","..97.98","..92.01","..100.00","47"
02/14/2023,"..100.00","..95.97","..91.00","..100.00","48"
02/13/2023,"..100.00","..98.50","..90.00","..100.00","13"
02/08/2023,"..100.00","..98.39","..87.07","..100.00","153"
02/07/2023,"..100.00","..87.15","..85.00","..100.00","65"
02/06/2023,"..100.00","..95.02","..95.02","..100.00","3"
02/02/2023,"..100.00","..99.98","..81.12","..100.00","60"
02/01/2023,"..100.00","..96.00","..95.50","..100.00","27"
01/31/2023,"..100.00","..96.86","..96.00","..100.00","463"
01/30/2023,"..100.00","..105.98","..96.00","..100.00","931"
01/25/2023,"..100.00","..98.00","..98.00","..100.00","42"
01/24/2023,"..100.00","..98.00","..95.60","..100.00","15"
01/23/2023,"..100.00","..95.10","..95.02","..100.00","35"
01/19/2023,"..100.00","..100.49","..95.24","..100.00","143"
01/18/2023,"..100.00","..100.00","..98.00","..100.00","424"
01/17/2023,"..100.00","..100.69","..95.01","..100.00","76"
01/16/2023,"..100.00","..100.69","..93.01","..100.00","65"
01/12/2023,"..100.00","..102.00","..100.00","..100.00","40"
01/11/2023,"..100.00","..100.00","..100.00","..100.00","129"
01/10/2023,"..100.00","..107.00","..100.00","..100.00","173"
01/09/2023,"..100.00","..102.80","..100.00","..100.00","128"
01/05/2023,"..100.00","..105.40","..100.52","..100.00","119"
01/04/2023,"..100.00","..111.90","..102.12","..100.00","243"
01/03/2023,"..100.00","..112.99","..100.01","..100.00","208"
01/02/2023,"..100.00","..102.98","..100.00","..100.00","103"
12/29/2022,"..100.00","..100.90","..100.00","..100.00","173"
12/28/2022,"..100.00","..101.00","..101.00","..100.00","122"
12/27/2022,"..100.00","..101.00","..100.00","..100.00","326"
12/26/2022,"..100.00","..103.00","..100.00","..100.00","5,139"
12/22/2022,"..95.30","..96.32","..90.06","..95.30","187"
12/21/2022,"..95.30","..96.40","..91.01","..95.30","38"
12/20/2022,"..95.30","..99.97","..93.00","..95.30","627"
12/19/2022,"..79.98","..95.97","..93.00","..95.30","4,001"
12/15/2022,"..79.98","..95.97","..94.25","..79.98","741"
12/14/2022,"..79.98","..95.97","..92.55","..79.98","507"
12/13/2022,"..79.98","..95.97","..94.00","..79.98","119"
