Date,Open,High,Low,Close,Volume
09/21/2023,"..1.77","..1.79","..1.73","..1.78","387,070"
09/20/2023,"..1.81","..1.80","..1.71","..1.77","1,341,379"
09/19/2023,"..1.84","..1.85","..1.78","..1.81","398,536"
09/18/2023,"..1.82","..1.86","..1.83","..1.84","650,615"
09/14/2023,"..1.81","..1.84","..1.79","..1.84","2,672,146"
09/13/2023,"..1.75","..1.82","..1.75","..1.81","1,301,361"
09/12/2023,"..1.82","..1.85","..1.73","..1.75","1,690,149"
09/11/2023,"..1.87","..1.88","..1.78","..1.82","1,368,358"
09/07/2023,"..1.88","..1.90","..1.85","..1.88","2,034,740"
09/06/2023,"..1.85","..1.90","..1.82","..1.88","3,844,396"
09/05/2023,"..1.84","..1.89","..1.81","..1.85","2,844,165"
09/04/2023,"..1.76","..1.98","..1.75","..1.84","5,538,622"
08/31/2023,"..1.79","..1.80","..1.74","..1.78","1,425,913"
08/30/2023,"..1.79","..1.81","..1.74","..1.79","1,530,901"
08/29/2023,"..1.76","..1.83","..1.75","..1.79","2,861,229"
08/28/2023,"..1.75","..1.83","..1.70","..1.76","2,064,242"
08/24/2023,"..1.67","..1.90","..1.67","..1.75","6,221,470"
08/23/2023,"..1.72","..1.75","..1.63","..1.67","2,677,023"
08/22/2023,"..1.48","..1.76","..1.48","..1.72","5,772,224"
08/21/2023,"..1.50","..1.54","..1.47","..1.48","1,384,707"
08/17/2023,"..1.51","..1.55","..1.48","..1.55","1,774,121"
08/16/2023,"..1.57","..1.60","..1.51","..1.51","1,732,834"
08/15/2023,"..1.52","..1.60","..1.53","..1.57","5,281,538"
08/14/2023,"..1.50","..1.56","..1.48","..1.52","1,182,857"
08/10/2023,"..1.49","..1.52","..1.48","..1.49","369,321"
08/09/2023,"..1.54","..1.55","..1.48","..1.49","1,672,054"
08/08/2023,"..1.55","..1.58","..1.52","..1.54","1,389,026"
08/07/2023,"..1.53","..1.56","..1.50","..1.55","1,693,969"
08/03/2023,"..1.46","..1.52","..1.43","..1.48","2,506,778"
08/02/2023,"..1.46","..1.49","..1.44","..1.46","564,637"
08/01/2023,"..1.47","..1.51","..1.45","..1.46","1,330,723"
07/31/2023,"..1.50","..1.52","..1.42","..1.47","557,956"
07/27/2023,"..1.40","..1.48","..1.31","..1.48","1,649,150"
07/26/2023,"..0.25","..1.49","..1.26","..1.40","2,266,411"
07/17/2023,"..1.55","..1.57","..1.24","..1.49","3,097,811"
07/13/2023,"..1.42","..1.50","..1.41","..1.49","918,821"
07/12/2023,"..1.41","..1.44","..1.40","..1.42","532,359"
07/11/2023,"..1.43","..1.45","..1.40","..1.41","542,788"
07/10/2023,"..1.44","..1.50","..1.35","..1.43","1,705,028"
07/06/2023,"..1.63","..1.67","..1.57","..1.61","271,930"
07/05/2023,"..1.70","..1.67","..1.62","..1.63","582,836"
07/04/2023,"..1.68","..1.74","..1.65","..1.70","193,027"
06/26/2023,"..1.68","..1.72","..1.67","..1.68","114,207"
06/22/2023,"..1.69","..1.75","..1.67","..1.69","181,724"
06/21/2023,"..1.74","..1.76","..1.67","..1.69","697,360"
06/20/2023,"..1.78","..1.76","..1.74","..1.74","469,729"
06/19/2023,"..1.79","..1.81","..1.73","..1.78","1,012,439"
06/15/2023,"..1.74","..1.79","..1.70","..1.73","1,433,661"
06/14/2023,"..1.75","..1.85","..1.74","..1.74","1,383,433"
06/13/2023,"..1.74","..1.80","..1.67","..1.75","955,791"
06/12/2023,"..1.74","..1.78","..1.73","..1.74","172,661"
06/08/2023,"..1.79","..1.82","..1.70","..1.79","1,284,297"
06/07/2023,"..1.83","..1.90","..1.76","..1.79","2,692,789"
06/06/2023,"..1.93","..1.95","..1.82","..1.83","2,607,916"
06/05/2023,"..1.95","..2.03","..1.89","..1.93","3,863,600"
06/01/2023,"..1.87","..1.89","..1.80","..1.88","810,059"
05/31/2023,"..1.92","..1.93","..1.86","..1.87","1,026,165"
05/30/2023,"..1.93","..1.99","..1.92","..1.92","1,513,188"
05/29/2023,"..1.92","..1.96","..1.92","..1.93","1,453,086"
