Date,Open,High,Low,Close,Volume
09/21/2023,"..0.31","..0.31","..0.30","..0.31","20,373,859"
09/20/2023,"..0.32","..0.32","..0.31","..0.31","17,081,779"
09/19/2023,"..0.33","..0.33","..0.32","..0.32","20,274,391"
09/18/2023,"..0.33","..0.33","..0.33","..0.33","17,777,910"
09/14/2023,"..0.33","..0.33","..0.33","..0.33","13,890,090"
09/13/2023,"..0.33","..0.33","..0.32","..0.33","13,529,210"
09/12/2023,"..0.33","..0.34","..0.32","..0.33","29,247,301"
09/11/2023,"..0.33","..0.34","..0.32","..0.33","21,520,010"
09/07/2023,"..0.33","..0.34","..0.33","..0.33","12,165,370"
09/06/2023,"..0.34","..0.34","..0.33","..0.33","26,552,779"
09/05/2023,"..0.34","..0.35","..0.34","..0.34","38,763,578"
09/04/2023,"..0.35","..0.36","..0.34","..0.34","50,545,762"
08/31/2023,"..0.32","..0.36","..0.33","..0.35","194,021,500"
08/30/2023,"..0.33","..0.33","..0.32","..0.32","49,229,512"
08/29/2023,"..0.34","..0.34","..0.33","..0.33","26,993,650"
08/28/2023,"..0.33","..0.35","..0.33","..0.34","38,414,191"
08/24/2023,"..0.32","..0.32","..0.32","..0.32","13,093,340"
08/23/2023,"..0.32","..0.33","..0.32","..0.32","14,843,160"
08/22/2023,"..0.32","..0.33","..0.32","..0.32","25,130,189"
08/21/2023,"..0.31","..0.32","..0.32","..0.32","16,030,830"
08/17/2023,"..0.31","..0.32","..0.30","..0.31","14,800,200"
08/16/2023,"..0.31","..0.31","..0.30","..0.31","8,687,292"
08/15/2023,"..0.32","..0.32","..0.31","..0.31","24,030,789"
08/14/2023,"..0.32","..0.33","..0.32","..0.32","20,445,529"
08/10/2023,"..0.32","..0.33","..0.32","..0.32","24,610,010"
08/09/2023,"..0.32","..0.32","..0.32","..0.32","20,002,381"
08/08/2023,"..0.33","..0.34","..0.32","..0.32","39,102,594"
08/07/2023,"..0.34","..0.34","..0.33","..0.33","32,161,240"
08/03/2023,"..0.34","..0.35","..0.32","..0.33","55,571,359"
08/02/2023,"..0.32","..0.35","..0.32","..0.34","190,824,891"
08/01/2023,"..0.29","..0.32","..0.29","..0.32","58,983,719"
07/31/2023,"..0.30","..0.30","..0.29","..0.29","8,534,561"
07/27/2023,"..0.30","..0.30","..0.30","..0.30","11,860,580"
