Date,Open,High,Low,Close,Volume
09/21/2023,"..0.23","..0.24","..0.23","..0.24","23,515,061"
09/20/2023,"..0.24","..0.24","..0.23","..0.23","12,510,900"
09/19/2023,"..0.24","..0.24","..0.24","..0.24","13,860,550"
09/18/2023,"..0.24","..0.24","..0.24","..0.24","16,532,289"
09/14/2023,"..0.24","..0.24","..0.24","..0.24","14,118,010"
09/13/2023,"..0.24","..0.24","..0.23","..0.24","19,829,070"
09/12/2023,"..0.24","..0.24","..0.24","..0.24","19,405,410"
09/11/2023,"..0.24","..0.24","..0.24","..0.24","23,479,119"
09/07/2023,"..0.24","..0.24","..0.24","..0.24","27,797,561"
09/06/2023,"..0.24","..0.25","..0.24","..0.24","25,734,400"
09/05/2023,"..0.24","..0.25","..0.24","..0.24","30,925,061"
09/04/2023,"..0.25","..0.25","..0.24","..0.24","29,055,289"
08/31/2023,"..0.24","..0.25","..0.24","..0.24","104,238,000"
08/30/2023,"..0.24","..0.24","..0.24","..0.24","28,044,699"
08/29/2023,"..0.24","..0.24","..0.24","..0.24","16,520,180"
08/28/2023,"..0.24","..0.24","..0.24","..0.24","39,013,711"
08/24/2023,"..0.24","..0.24","..0.24","..0.24","19,925,641"
08/23/2023,"..0.24","..0.24","..0.24","..0.24","27,446,900"
08/22/2023,"..0.24","..0.24","..0.24","..0.24","51,471,848"
08/21/2023,"..0.24","..0.24","..0.24","..0.24","26,433,471"
08/17/2023,"..0.24","..0.24","..0.24","..0.24","14,297,700"
08/16/2023,"..0.24","..0.24","..0.24","..0.24","22,587,359"
08/15/2023,"..0.24","..0.24","..0.24","..0.24","20,254,180"
08/14/2023,"..0.24","..0.25","..0.24","..0.24","39,173,059"
08/10/2023,"..0.24","..0.25","..0.24","..0.24","20,725,900"
08/09/2023,"..0.24","..0.25","..0.24","..0.24","20,959,180"
08/08/2023,"..0.24","..0.25","..0.24","..0.24","30,472,230"
08/07/2023,"..0.25","..0.25","..0.24","..0.24","28,218,609"
08/03/2023,"..0.25","..0.25","..0.24","..0.25","82,278,461"
08/02/2023,"..0.24","..0.26","..0.24","..0.25","189,763,594"
08/01/2023,"..0.23","..0.24","..0.24","..0.24","59,486,191"
07/31/2023,"..0.24","..0.24","..0.23","..0.23","27,298,471"
07/27/2023,"..0.24","..0.24","..0.24","..0.24","14,934,050"
07/26/2023,"..0.24","..0.24","..0.24","..0.24","15,460,730"
07/25/2023,"..0.24","..0.24","..0.24","..0.24","27,542,100"
07/24/2023,"..0.24","..0.25","..0.24","..0.24","26,425,670"
07/19/2023,"..0.23","..0.25","..0.24","..0.24","154,544,094"
07/18/2023,"..0.23","..0.24","..0.23","..0.23","14,109,620"
07/17/2023,"..0.23","..0.24","..0.23","..0.23","16,359,940"
07/13/2023,"..0.23","..0.23","..0.23","..0.23","15,663,780"
07/12/2023,"..0.23","..0.23","..0.23","..0.23","16,403,010"
07/11/2023,"..0.23","..0.23","..0.23","..0.23","17,390,189"
07/10/2023,"..0.22","..0.23","..0.22","..0.23","26,071,160"
07/06/2023,"..0.24","..0.24","..0.24","..0.24","31,346,039"
07/05/2023,"..0.25","..0.25","..0.24","..0.24","39,023,770"
07/04/2023,"..0.25","..0.25","..0.25","..0.25","42,190,238"
06/26/2023,"..0.25","..0.25","..0.25","..0.25","20,141,051"
06/22/2023,"..0.25","..0.25","..0.25","..0.25","21,027,461"
06/21/2023,"..0.26","..0.26","..0.25","..0.25","54,400,711"
06/20/2023,"..0.26","..0.26","..0.25","..0.26","61,243,102"
06/19/2023,"..0.27","..0.28","..0.26","..0.26","142,799,203"
06/15/2023,"..0.24","..0.24","..0.24","..0.24","16,394,340"
06/14/2023,"..0.24","..0.25","..0.24","..0.24","30,202,811"
06/13/2023,"..0.25","..0.25","..0.24","..0.24","33,193,738"
06/12/2023,"..0.25","..0.25","..0.25","..0.25","12,269,506"
06/08/2023,"..0.25","..0.25","..0.25","..0.25","37,026,871"
06/07/2023,"..0.26","..0.26","..0.25","..0.25","68,881,828"
06/06/2023,"..0.26","..0.26","..0.25","..0.26","75,105,844"
06/05/2023,"..0.25","..0.26","..0.25","..0.26","198,801,594"
06/01/2023,"..0.24","..0.24","..0.24","..0.24","47,725,449"
05/31/2023,"..0.24","..0.24","..0.24","..0.24","62,295,434"
05/30/2023,"..0.24","..0.25","..0.24","..0.24","100,717,297"
05/29/2023,"..0.24","..0.24","..0.24","..0.24","48,632,922"
05/25/2023,"..0.24","..0.24","..0.24","..0.24","21,692,881"
05/24/2023,"..0.23","..0.24","..0.23","..0.24","61,287,273"
05/23/2023,"..0.23","..0.23","..0.23","..0.23","47,474,672"
05/22/2023,"..0.23","..0.24","..0.23","..0.23","66,869,406"
05/18/2023,"..0.23","..0.23","..0.23","..0.23","18,944,971"
05/17/2023,"..0.23","..0.24","..0.23","..0.23","16,247,340"
05/16/2023,"..0.24","..0.24","..0.23","..0.23","38,218,781"
05/15/2023,"..0.25","..0.25","..0.24","..0.24","53,134,762"
05/11/2023,"..0.24","..0.25","..0.24","..0.25","110,106,898"
05/10/2023,"..0.24","..0.24","..0.23","..0.24","32,950,641"
05/09/2023,"..0.24","..0.25","..0.24","..0.24","42,044,578"
05/08/2023,"..0.22","..0.24","..0.23","..0.24","77,360,805"
05/03/2023,"..0.23","..0.23","..0.22","..0.23","19,646,789"
05/02/2023,"..0.23","..0.23","..0.23","..0.23","17,674,961"
05/01/2023,"..0.24","..0.24","..0.23","..0.23","41,804,961"
04/27/2023,"..0.23","..0.23","..0.23","..0.23","33,810,160"
04/26/2023,"..0.23","..0.23","..0.23","..0.23","27,973,240"
04/19/2023,"..0.23","..0.23","..0.23","..0.23","22,388,850"
04/18/2023,"..0.23","..0.23","..0.23","..0.23","29,010,670"
04/13/2023,"..0.23","..0.23","..0.23","..0.23","22,562,420"
04/12/2023,"..0.23","..0.23","..0.23","..0.23","21,721,520"
04/11/2023,"..0.23","..0.23","..0.23","..0.23","28,589,051"
04/10/2023,"..0.23","..0.24","..0.23","..0.23","53,012,527"
04/06/2023,"..0.22","..0.22","..0.21","..0.22","41,422,879"
04/05/2023,"..0.21","..0.22","..0.21","..0.22","52,115,898"
04/04/2023,"..0.20","..0.21","..0.20","..0.21","49,805,340"
04/03/2023,"..0.20","..0.20","..0.20","..0.20","36,085,461"
03/30/2023,"..0.20","..0.20","..0.19","..0.19","34,653,832"
03/29/2023,"..0.19","..0.20","..0.19","..0.20","41,678,488"
03/28/2023,"..0.19","..0.19","..0.18","..0.19","26,634,330"
03/27/2023,"..0.20","..0.20","..0.19","..0.19","39,130,367"
03/23/2023,"..0.19","..0.19","..0.19","..0.19","29,872,641"
03/22/2023,"..0.19","..0.20","..0.19","..0.19","38,389,770"
03/21/2023,"..0.19","..0.20","..0.19","..0.19","61,442,809"
03/20/2023,"..0.19","..0.19","..0.18","..0.19","60,894,688"
03/16/2023,"..0.17","..0.18","..0.16","..0.17","169,271,812"
03/15/2023,"..0.21","..0.21","..0.17","..0.17","61,667,887"
03/14/2023,"..0.20","..0.21","..0.20","..0.21","10,347,110"
03/13/2023,"..0.23","..0.23","..0.20","..0.20","23,262,279"
03/09/2023,"..0.23","..0.24","..0.23","..0.24","10,958,650"
03/08/2023,"..0.23","..0.23","..0.23","..0.23","4,522,816"
03/07/2023,"..0.24","..0.24","..0.23","..0.23","17,629,250"
03/06/2023,"..0.24","..0.24","..0.24","..0.24","15,327,200"
03/02/2023,"..0.24","..0.24","..0.24","..0.24","9,500,849"
03/01/2023,"..0.24","..0.24","..0.24","..0.24","28,212,400"
02/28/2023,"..0.24","..0.24","..0.24","..0.24","15,144,610"
02/27/2023,"..0.24","..0.24","..0.24","..0.24","28,578,010"
02/23/2023,"..0.24","..0.24","..0.24","..0.24","12,648,790"
02/22/2023,"..0.24","..0.25","..0.24","..0.24","26,103,090"
02/21/2023,"..0.24","..0.24","..0.24","..0.24","19,075,801"
