Date,Open,High,Low,Close,Volume
09/21/2023,"..8.24","..8.32","..8.14","..8.29","420,428"
09/20/2023,"..8.31","..8.40","..8.22","..8.24","776,488"
09/19/2023,"..8.45","..8.56","..8.30","..8.31","712,094"
09/18/2023,"..8.58","..8.67","..8.41","..8.45","1,142,240"
09/14/2023,"..8.20","..8.33","..8.19","..8.22","858,396"
09/13/2023,"..8.22","..8.25","..8.17","..8.20","276,941"
09/12/2023,"..8.25","..8.27","..8.17","..8.22","542,524"
09/11/2023,"..8.29","..8.35","..8.20","..8.25","1,024,966"
09/07/2023,"..8.11","..8.22","..8.05","..8.19","666,612"
09/06/2023,"..8.19","..8.27","..8.05","..8.11","1,237,233"
09/05/2023,"..8.01","..8.28","..8.03","..8.19","1,903,609"
09/04/2023,"..7.95","..8.10","..7.86","..8.01","1,403,480"
08/31/2023,"..8.01","..8.11","..7.90","..7.96","2,331,415"
08/30/2023,"..7.94","..8.21","..7.98","..8.01","2,664,206"
08/29/2023,"..8.29","..8.41","..7.92","..7.94","4,571,978"
08/28/2023,"..8.14","..8.30","..7.94","..8.29","2,443,092"
08/24/2023,"..8.63","..8.78","..8.30","..8.41","1,058,746"
08/23/2023,"..8.72","..9.00","..8.60","..8.63","2,040,230"
08/22/2023,"..8.67","..8.74","..8.65","..8.72","277,510"
08/21/2023,"..8.68","..8.74","..8.65","..8.67","244,390"
08/17/2023,"..8.74","..8.83","..8.67","..8.70","460,343"
08/16/2023,"..8.80","..8.90","..8.71","..8.74","670,510"
08/15/2023,"..8.87","..8.92","..8.77","..8.80","672,533"
08/14/2023,"..8.90","..8.95","..8.80","..8.87","1,619,698"
08/10/2023,"..9.03","..9.14","..8.91","..9.00","575,187"
08/09/2023,"..9.00","..9.10","..8.90","..9.03","1,229,989"
08/08/2023,"..9.17","..9.25","..8.91","..9.00","1,007,711"
08/07/2023,"..9.10","..9.19","..9.12","..9.17","211,703"
08/03/2023,"..8.88","..9.18","..8.85","..9.11","250,607"
08/02/2023,"..9.10","..9.27","..8.80","..8.88","796,155"
08/01/2023,"..9.20","..9.40","..8.98","..9.10","739,937"
07/31/2023,"..9.17","..9.40","..9.17","..9.20","552,013"
07/27/2023,"..9.64","..9.80","..9.33","..9.39","372,074"
07/26/2023,"..9.75","..9.93","..9.55","..9.64","662,757"
07/25/2023,"..9.88","..10.03","..9.70","..9.75","336,460"
07/24/2023,"..9.93","..10.06","..9.85","..9.88","141,361"
07/19/2023,"..10.01","..10.15","..9.90","..9.93","296,521"
07/18/2023,"..10.16","..10.22","..9.80","..10.01","452,621"
07/17/2023,"..10.14","..10.33","..10.10","..10.16","332,986"
07/13/2023,"..10.25","..10.30","..10.15","..10.20","307,020"
07/12/2023,"..10.25","..10.25","..10.15","..10.25","25,792"
07/11/2023,"..10.16","..10.48","..10.18","..10.25","55,938"
07/10/2023,"..10.43","..10.43","..10.00","..10.16","59,307"
07/06/2023,"..10.70","..10.75","..10.55","..10.70","1,017,902"
07/05/2023,"..10.71","..10.74","..10.55","..10.70","375,785"
07/04/2023,"..10.50","..10.89","..10.54","..10.71","60,221"
06/26/2023,"..10.44","..10.63","..10.40","..10.50","39,326"
06/22/2023,"..10.51","..10.60","..10.43","..10.50","124,296"
06/21/2023,"..10.65","..10.79","..10.40","..10.51","182,862"
06/20/2023,"..10.78","..10.90","..10.62","..10.65","302,529"
