Date,Open,High,Low,Close,Volume
09/21/2023,"..10.38","..10.75","..10.28","..10.60","1,320,924"
09/20/2023,"..10.60","..10.74","..10.25","..10.38","1,609,196"
09/19/2023,"..10.89","..11.25","..10.50","..10.60","6,478,427"
09/18/2023,"..10.62","..10.95","..10.58","..10.89","2,465,593"
09/14/2023,"..10.50","..10.75","..10.30","..10.61","3,300,970"
09/13/2023,"..10.30","..10.55","..10.23","..10.50","655,201"
09/12/2023,"..10.26","..10.66","..10.26","..10.30","2,081,758"
09/11/2023,"..10.50","..10.56","..10.18","..10.26","1,404,675"
09/07/2023,"..10.24","..10.30","..10.00","..10.10","415,569"
09/06/2023,"..9.84","..10.40","..9.84","..10.24","1,791,308"
09/05/2023,"..10.06","..10.15","..9.76","..9.84","1,979,425"
09/04/2023,"..10.20","..10.30","..10.03","..10.06","1,620,553"
08/31/2023,"..10.21","..10.44","..10.20","..10.32","1,243,049"
08/30/2023,"..10.34","..10.60","..10.13","..10.21","1,380,079"
08/29/2023,"..10.50","..10.69","..10.28","..10.34","541,518"
08/28/2023,"..10.69","..10.79","..10.46","..10.50","734,998"
08/24/2023,"..10.57","..10.70","..10.43","..10.51","226,637"
08/23/2023,"..10.74","..10.85","..10.55","..10.57","955,435"
08/22/2023,"..10.69","..10.89","..10.68","..10.74","911,069"
08/21/2023,"..10.72","..10.88","..10.68","..10.69","170,727"
08/17/2023,"..10.86","..11.04","..10.73","..10.80","520,638"
08/16/2023,"..11.01","..11.30","..10.82","..10.86","1,745,845"
08/15/2023,"..10.70","..11.11","..10.63","..11.01","1,619,469"
08/14/2023,"..10.71","..10.90","..10.65","..10.70","1,074,445"
08/10/2023,"..10.93","..11.03","..10.67","..10.83","128,564"
08/09/2023,"..10.93","..11.18","..10.85","..10.93","438,906"
08/08/2023,"..10.92","..11.29","..10.90","..10.93","1,674,884"
08/07/2023,"..10.91","..11.15","..10.90","..10.92","501,722"
08/03/2023,"..10.56","..10.77","..10.40","..10.49","105,514"
08/02/2023,"..10.69","..10.85","..10.40","..10.56","312,834"
08/01/2023,"..10.89","..11.00","..10.41","..10.69","485,185"
07/31/2023,"..10.99","..11.10","..10.70","..10.89","821,402"
07/27/2023,"..10.32","..10.50","..10.24","..10.45","43,772"
07/26/2023,"..10.52","..10.70","..10.30","..10.32","76,686"
07/25/2023,"..10.65","..10.78","..10.38","..10.52","74,280"
07/24/2023,"..10.74","..10.90","..10.57","..10.65","48,782"
07/19/2023,"..10.80","..10.90","..10.56","..10.74","607,736"
07/18/2023,"..10.32","..10.94","..10.20","..10.80","488,682"
07/17/2023,"..10.26","..10.35","..10.20","..10.32","240,540"
07/13/2023,"..10.32","..10.46","..10.23","..10.34","137,180"
07/12/2023,"..10.29","..10.47","..10.13","..10.32","165,421"
07/11/2023,"..10.16","..10.44","..10.11","..10.29","852,674"
07/10/2023,"..9.60","..10.25","..9.60","..10.16","1,243,835"
07/06/2023,"..10.49","..10.67","..10.07","..10.10","673,231"
07/05/2023,"..10.81","..10.99","..10.45","..10.49","875,865"
07/04/2023,"..10.87","..11.15","..10.80","..10.81","610,577"
06/26/2023,"..11.00","..11.00","..10.80","..10.87","487,785"
06/22/2023,"..10.89","..11.09","..10.85","..11.00","541,691"
06/21/2023,"..11.07","..11.25","..10.80","..10.89","1,279,122"
06/20/2023,"..10.78","..11.19","..10.70","..11.07","975,715"
06/19/2023,"..10.80","..10.98","..10.62","..10.78","559,948"
06/15/2023,"..11.00","..11.19","..10.63","..10.65","1,491,443"
06/14/2023,"..10.67","..11.30","..10.67","..11.00","1,129,930"
