Date,Open,High,Low,Close,Volume
09/21/2023,"..15.51","..15.75","..15.48","..15.69","782,025"
09/20/2023,"..15.73","..15.94","..15.50","..15.51","1,094,053"
09/19/2023,"..16.51","..16.59","..15.50","..15.73","2,011,584"
09/18/2023,"..16.50","..16.59","..16.35","..16.51","322,434"
09/14/2023,"..16.45","..16.55","..16.29","..16.39","348,925"
09/13/2023,"..16.26","..16.48","..16.19","..16.45","192,405"
09/12/2023,"..16.25","..16.50","..16.18","..16.26","209,771"
09/11/2023,"..16.40","..16.70","..16.19","..16.25","442,968"
09/07/2023,"..16.53","..16.65","..16.20","..16.65","266,906"
09/06/2023,"..16.80","..17.02","..16.20","..16.53","1,103,063"
09/05/2023,"..16.51","..17.00","..16.56","..16.80","2,459,441"
09/04/2023,"..15.89","..16.69","..15.60","..16.51","1,840,784"
08/31/2023,"..15.67","..16.19","..15.77","..15.89","2,013,900"
08/30/2023,"..15.44","..15.83","..15.38","..15.67","592,342"
08/29/2023,"..15.20","..15.45","..15.10","..15.44","799,920"
08/28/2023,"..15.20","..15.59","..15.10","..15.20","680,932"
08/24/2023,"..15.30","..15.48","..14.99","..15.08","1,600,184"
08/23/2023,"..15.72","..15.95","..15.23","..15.30","782,101"
08/22/2023,"..15.90","..15.97","..15.71","..15.72","246,672"
08/21/2023,"..15.45","..15.95","..15.12","..15.90","1,132,345"
08/17/2023,"..15.73","..15.83","..15.20","..15.45","706,650"
08/16/2023,"..15.80","..15.90","..15.71","..15.73","310,625"
08/15/2023,"..15.94","..16.17","..15.72","..15.80","198,696"
08/14/2023,"..16.10","..16.35","..15.82","..15.94","595,302"
08/10/2023,"..15.92","..15.93","..15.60","..15.71","940,522"
08/09/2023,"..15.90","..16.19","..15.60","..15.92","4,146,034"
08/08/2023,"..15.32","..15.90","..15.25","..15.90","1,629,927"
08/07/2023,"..15.30","..15.57","..15.25","..15.32","1,716,696"
08/03/2023,"..14.59","..15.15","..14.50","..14.90","1,174,619"
08/02/2023,"..14.68","..14.85","..14.59","..14.59","464,941"
08/01/2023,"..14.63","..14.75","..14.50","..14.68","860,762"
07/31/2023,"..14.80","..14.94","..14.55","..14.63","1,093,006"
07/27/2023,"..14.62","..14.65","..14.40","..14.41","292,504"
07/26/2023,"..14.67","..14.75","..14.53","..14.62","665,814"
07/25/2023,"..14.82","..15.05","..14.60","..14.67","1,070,743"
07/24/2023,"..15.00","..15.10","..14.72","..14.82","336,515"
07/19/2023,"..15.17","..15.20","..14.90","..15.00","1,253,799"
07/18/2023,"..14.98","..15.45","..14.95","..15.17","1,210,106"
07/17/2023,"..14.53","..15.00","..14.30","..14.98","1,622,950"
07/13/2023,"..14.63","..14.74","..14.47","..14.64","484,581"
07/12/2023,"..14.41","..14.63","..14.20","..14.63","608,688"
07/11/2023,"..14.25","..14.46","..13.90","..14.41","4,751,098"
07/10/2023,"..13.98","..14.40","..13.80","..14.25","392,271"
07/06/2023,"..14.50","..14.70","..14.00","..14.22","682,594"
07/05/2023,"..14.82","..14.95","..14.47","..14.50","447,582"
07/04/2023,"..14.85","..15.15","..14.81","..14.82","353,313"
06/26/2023,"..14.62","..14.89","..14.51","..14.85","971,441"
06/22/2023,"..14.91","..15.29","..14.82","..15.00","617,710"
06/21/2023,"..15.18","..15.25","..14.90","..14.91","949,017"
06/20/2023,"..15.39","..15.50","..15.11","..15.18","696,487"
06/19/2023,"..15.50","..15.97","..15.31","..15.39","3,116,675"
06/15/2023,"..15.07","..15.39","..14.86","..14.88","811,918"
06/14/2023,"..15.38","..15.65","..15.06","..15.07","702,380"
06/13/2023,"..15.51","..15.59","..15.26","..15.38","926,794"
06/12/2023,"..15.59","..15.85","..15.50","..15.51","349,431"
06/08/2023,"..15.00","..15.25","..14.83","..15.07","383,973"
06/07/2023,"..15.48","..15.69","..14.95","..15.00","906,712"
06/06/2023,"..15.70","..15.82","..15.44","..15.48","655,705"
06/05/2023,"..15.70","..16.10","..15.70","..15.70","1,235,975"
06/01/2023,"..15.35","..15.75","..15.32","..15.72","999,069"
05/31/2023,"..15.60","..15.80","..15.22","..15.35","1,737,049"
05/30/2023,"..15.14","..15.88","..15.10","..15.60","1,283,332"
05/29/2023,"..15.37","..15.55","..14.90","..15.14","913,066"
05/25/2023,"..15.83","..16.00","..15.36","..15.49","856,980"
05/24/2023,"..15.60","..16.00","..15.30","..15.83","1,399,010"
05/23/2023,"..14.90","..15.65","..14.50","..15.60","2,456,515"
05/22/2023,"..14.58","..15.25","..14.54","..14.90","1,643,426"
05/18/2023,"..14.47","..14.78","..14.30","..14.60","1,160,957"
05/17/2023,"..15.52","..15.63","..14.40","..14.47","3,302,380"
05/16/2023,"..16.31","..16.40","..15.25","..15.52","3,222,995"
05/15/2023,"..17.04","..17.35","..16.20","..16.31","5,162,570"
05/11/2023,"..16.98","..17.50","..16.82","..16.92","1,687,480"
05/10/2023,"..16.50","..17.00","..16.00","..16.98","937,926"
