Date,Open,High,Low,Close,Volume
09/21/2023,"..39.00","..39.70","..38.80","..39.18","8,236"
09/20/2023,"..38.61","..39.05","..38.75","..39.00","9,444"
09/19/2023,"..38.61","..39.00","..38.75","..38.61","7,578"
09/18/2023,"..38.58","..38.75","..38.00","..38.61","11,439"
09/14/2023,"..37.00","..37.29","..36.30","..37.00","1,756"
09/13/2023,"..37.00","..37.29","..36.11","..37.00","445"
09/12/2023,"..37.00","..37.01","..36.02","..37.00","4,230"
09/11/2023,"..37.00","..37.37","..36.90","..37.00","8,060"
09/07/2023,"..36.21","..37.09","..36.55","..37.00","8,310"
09/06/2023,"..36.21","..37.10","..36.25","..36.21","518"
09/05/2023,"..36.21","..37.00","..36.25","..36.21","100"
09/04/2023,"..36.21","..37.25","..36.50","..36.21","485"
08/31/2023,"..36.21","..37.28","..36.60","..36.21","460"
08/30/2023,"..36.21","..36.69","..36.30","..36.21","437"
08/29/2023,"..36.21","..36.69","..36.30","..36.21","1,743"
08/28/2023,"..36.21","..36.60","..36.30","..36.21","4,516"
08/24/2023,"..36.21","..36.57","..36.10","..36.21","1,052"
08/23/2023,"..36.21","..36.60","..36.02","..36.21","4,318"
08/22/2023,"..36.21","..36.69","..36.30","..36.21","2,874"
08/21/2023,"..36.21","..36.75","..36.02","..36.21","833"
08/17/2023,"..36.91","..37.00","..36.00","..36.21","11,395"
08/16/2023,"..37.34","..38.00","..36.00","..36.91","9,806"
08/15/2023,"..39.92","..38.00","..36.00","..37.34","11,223"
08/14/2023,"..39.92","..38.00","..37.57","..39.92","2,485"
08/10/2023,"..39.92","..38.30","..37.50","..39.92","874"
08/09/2023,"..39.92","..38.40","..37.33","..39.92","7,347"
08/08/2023,"..39.92","..38.90","..37.30","..39.92","4,661"
08/07/2023,"..39.92","..38.45","..38.00","..39.92","755"
08/03/2023,"..39.92","..38.77","..37.70","..39.92","443"
08/02/2023,"..39.92","..38.88","..37.70","..39.92","5,256"
08/01/2023,"..39.92","..39.00","..37.90","..39.92","3,071"
07/31/2023,"..39.92","..39.25","..37.26","..39.92","680"
07/27/2023,"..39.92","..38.88","..37.40","..39.92","325"
07/26/2023,"..39.92","..39.00","..37.11","..39.92","1,460"
07/25/2023,"..39.92","..39.40","..38.40","..39.92","568"
07/24/2023,"..39.92","..39.50","..38.00","..39.92","385"
07/19/2023,"..39.92","..39.91","..38.31","..39.92","1,107"
07/18/2023,"..39.92","..39.77","..38.20","..39.92","1,378"
07/17/2023,"..39.92","..39.80","..38.01","..39.92","1,437"
07/13/2023,"..39.28","..39.60","..39.12","..39.20","15,753"
07/12/2023,"..39.28","..39.65","..39.07","..39.28","2,361"
