Date,Open,High,Low,Close,Volume
09/21/2023,"..34.81","..35.28","..34.35","..34.72","405,057"
09/20/2023,"..35.29","..35.89","..34.57","..34.81","650,083"
09/19/2023,"..33.81","..36.00","..34.00","..35.29","1,443,411"
09/18/2023,"..34.19","..34.54","..33.70","..33.81","466,125"
09/14/2023,"..34.56","..35.25","..34.32","..34.93","557,734"
09/13/2023,"..34.28","..34.64","..34.00","..34.56","511,417"
09/12/2023,"..33.99","..35.45","..33.80","..34.28","1,064,022"
09/11/2023,"..33.92","..34.29","..33.50","..33.99","458,661"
09/07/2023,"..33.54","..34.60","..33.08","..34.04","1,284,770"
09/06/2023,"..33.50","..33.67","..32.96","..33.54","363,445"
09/05/2023,"..33.51","..34.55","..33.40","..33.50","711,807"
09/04/2023,"..32.45","..33.88","..32.31","..33.51","1,396,681"
08/31/2023,"..32.39","..32.38","..31.51","..31.79","596,086"
08/30/2023,"..32.94","..32.86","..31.60","..32.39","561,860"
08/29/2023,"..32.81","..33.87","..32.60","..32.94","1,710,934"
08/28/2023,"..31.19","..32.97","..31.00","..32.81","2,078,372"
08/24/2023,"..31.35","..31.50","..30.70","..31.11","890,227"
08/23/2023,"..30.20","..32.24","..29.62","..31.35","4,045,713"
08/22/2023,"..27.34","..30.20","..27.11","..30.20","5,157,446"
08/21/2023,"..27.35","..27.54","..27.10","..27.34","293,824"
08/17/2023,"..27.65","..27.80","..26.99","..27.10","370,969"
08/16/2023,"..26.85","..27.99","..26.97","..27.65","1,411,952"
08/15/2023,"..26.99","..27.15","..26.70","..26.85","212,046"
08/14/2023,"..26.36","..27.59","..26.42","..26.99","735,188"
08/10/2023,"..26.53","..26.50","..26.02","..26.14","79,054"
08/09/2023,"..26.36","..26.63","..26.05","..26.53","196,776"
08/08/2023,"..26.42","..26.69","..26.20","..26.36","154,351"
08/07/2023,"..26.00","..26.48","..26.01","..26.42","191,086"
08/03/2023,"..25.80","..25.90","..25.46","..25.69","221,546"
08/02/2023,"..25.99","..26.24","..25.75","..25.80","229,601"
08/01/2023,"..26.40","..26.44","..25.97","..25.99","222,034"
07/31/2023,"..26.19","..26.40","..26.11","..26.40","151,817"
07/27/2023,"..26.57","..26.61","..26.14","..26.18","167,376"
07/26/2023,"..26.57","..26.73","..26.36","..26.57","126,404"
07/25/2023,"..26.73","..26.94","..26.50","..26.57","132,421"
07/24/2023,"..26.86","..27.20","..26.70","..26.73","112,539"
07/19/2023,"..26.73","..26.91","..26.61","..26.86","77,751"
07/18/2023,"..26.67","..26.94","..26.60","..26.73","101,542"
07/17/2023,"..26.69","..26.98","..26.51","..26.67","158,032"
07/13/2023,"..26.75","..27.20","..26.70","..27.00","214,361"
07/12/2023,"..27.01","..27.40","..26.70","..26.75","153,933"
07/11/2023,"..27.20","..27.20","..26.56","..27.01","276,447"
07/10/2023,"..26.00","..27.29","..25.80","..27.20","421,706"
07/06/2023,"..28.16","..28.17","..27.66","..27.80","787,542"
07/05/2023,"..28.20","..28.46","..27.90","..28.16","659,002"
07/04/2023,"..27.00","..28.48","..27.10","..28.20","1,861,850"
06/26/2023,"..26.05","..27.20","..25.90","..27.00","508,814"
06/22/2023,"..25.97","..26.00","..25.75","..25.83","682,681"
06/21/2023,"..26.70","..26.70","..25.90","..25.97","405,173"
06/20/2023,"..26.42","..26.71","..26.30","..26.70","656,237"
06/19/2023,"..26.73","..26.90","..26.29","..26.42","471,710"
06/15/2023,"..26.78","..26.93","..26.45","..26.59","1,047,013"
06/14/2023,"..27.00","..27.26","..26.50","..26.78","1,094,945"
06/13/2023,"..26.90","..27.60","..26.91","..27.00","3,847,262"
06/12/2023,"..27.20","..27.60","..26.70","..26.90","1,166,157"
06/08/2023,"..25.94","..26.20","..25.50","..25.72","1,165,576"
06/07/2023,"..26.67","..27.10","..25.80","..25.94","1,691,540"
06/06/2023,"..26.66","..27.55","..26.66","..26.67","1,924,289"
06/05/2023,"..26.58","..26.97","..26.31","..26.66","1,348,096"
06/01/2023,"..26.25","..26.60","..25.97","..26.11","640,011"
05/31/2023,"..26.62","..26.90","..26.16","..26.25","650,634"
05/30/2023,"..26.90","..27.10","..26.00","..26.62","790,047"
05/29/2023,"..25.69","..26.92","..25.71","..26.90","621,323"
