Date,Open,High,Low,Close,Volume
09/21/2023,"..2.01","..2.03","..1.98","..2.03","9,578,553"
09/20/2023,"..2.06","..2.08","..1.97","..2.01","30,239,100"
09/19/2023,"..2.11","..2.12","..2.06","..2.06","18,683,551"
09/18/2023,"..2.11","..2.12","..2.07","..2.11","20,444,160"
09/14/2023,"..2.00","..2.04","..2.01","..2.04","28,432,920"
09/13/2023,"..2.01","..2.02","..1.99","..2.00","5,027,109"
09/12/2023,"..2.01","..2.03","..1.99","..2.01","13,349,280"
09/11/2023,"..2.03","..2.05","..2.01","..2.01","31,409,580"
09/07/2023,"..1.96","..1.98","..1.95","..1.96","16,850,250"
09/06/2023,"..1.95","..1.99","..1.96","..1.96","27,356,770"
09/05/2023,"..1.95","..1.98","..1.95","..1.95","11,115,700"
09/04/2023,"..1.96","..1.98","..1.94","..1.95","10,213,310"
08/31/2023,"..1.99","..2.00","..1.96","..1.96","7,001,640"
08/30/2023,"..2.01","..2.03","..1.98","..1.99","12,713,820"
08/29/2023,"..2.02","..2.03","..1.99","..2.01","14,421,850"
08/28/2023,"..1.94","..2.02","..1.95","..2.02","21,977,449"
08/24/2023,"..1.96","..1.98","..1.94","..1.95","4,360,377"
08/23/2023,"..1.95","..2.02","..1.95","..1.96","22,263,029"
08/22/2023,"..1.94","..1.96","..1.93","..1.95","7,807,153"
08/21/2023,"..1.94","..1.96","..1.92","..1.94","7,105,758"
08/17/2023,"..1.96","..1.98","..1.95","..1.95","4,656,587"
08/16/2023,"..1.97","..1.99","..1.96","..1.96","6,545,523"
08/15/2023,"..1.98","..2.00","..1.97","..1.97","5,220,662"
08/14/2023,"..1.98","..2.02","..1.98","..1.98","10,721,160"
08/10/2023,"..2.01","..2.02","..1.98","..1.98","6,130,208"
08/09/2023,"..1.99","..2.03","..1.99","..2.01","13,480,800"
08/08/2023,"..2.00","..2.03","..1.99","..1.99","9,105,525"
08/07/2023,"..1.99","..2.04","..1.99","..2.00","16,803,020"
08/03/2023,"..1.96","..1.98","..1.93","..1.96","11,093,210"
08/02/2023,"..2.02","..2.04","..1.94","..1.96","9,063,591"
08/01/2023,"..2.04","..2.05","..2.00","..2.02","7,572,251"
07/31/2023,"..2.02","..2.04","..2.01","..2.04","4,910,387"
07/27/2023,"..2.00","..2.02","..1.99","..2.00","9,041,681"
07/26/2023,"..2.01","..2.03","..1.99","..2.00","11,776,780"
07/25/2023,"..2.05","..2.08","..2.00","..2.01","12,050,890"
