Date,Open,High,Low,Close,Volume
09/21/2023,"..83.66","..82.80","..80.01","..83.66","101"
09/20/2023,"..83.66","..83.00","..80.01","..83.66","592"
09/18/2023,"..83.66","..83.00","..80.01","..83.66","33"
09/14/2023,"..83.66","..83.61","..82.98","..83.66","384"
09/13/2023,"..83.66","..82.99","..80.00","..83.66","559"
09/12/2023,"..83.66","..82.99","..80.00","..83.66","340"
09/11/2023,"..83.66","..81.00","..80.00","..83.66","122"
09/07/2023,"..83.66","..83.00","..80.00","..83.66","2"
09/06/2023,"..83.66","..80.00","..80.00","..83.66","100"
09/05/2023,"..83.66","..80.00","..80.00","..83.66","3"
09/04/2023,"..83.66","..79.50","..79.50","..83.66","1"
08/31/2023,"..83.66","..82.00","..77.73","..83.66","162"
08/29/2023,"..82.50","..86.00","..82.00","..83.66","6,435"
08/28/2023,"..82.50","..85.00","..82.00","..82.50","45"
08/24/2023,"..81.15","..87.10","..81.15","..82.50","8,490"
08/23/2023,"..81.15","..88.00","..81.53","..81.15","119"
08/22/2023,"..81.15","..88.98","..80.10","..81.15","75"
08/21/2023,"..77.17","..87.00","..80.01","..81.15","3,904"
08/17/2023,"..77.17","..89.87","..81.01","..77.17","46"
08/16/2023,"..77.17","..89.95","..85.05","..77.17","123"
08/15/2023,"..77.17","..89.99","..86.00","..77.17","197"
08/14/2023,"..77.17","..89.69","..84.01","..77.17","2,945"
08/10/2023,"..77.17","..90.00","..83.31","..77.17","49"
08/09/2023,"..77.17","..91.75","..82.00","..77.17","923"
08/08/2023,"..77.17","..92.00","..84.00","..77.17","115"
08/07/2023,"..77.17","..92.00","..80.00","..77.17","146"
08/03/2023,"..77.17","..91.75","..88.00","..77.17","2"
08/02/2023,"..77.17","..91.75","..91.75","..77.17","18"
08/01/2023,"..77.17","..92.50","..85.00","..77.17","135"
07/31/2023,"..77.17","..92.50","..88.00","..77.17","2,965"
07/27/2023,"..77.17","..91.00","..84.00","..77.17","2,585"
07/26/2023,"..77.17","..89.00","..84.00","..77.17","4,427"
07/25/2023,"..77.17","..85.00","..85.00","..77.17","250"
07/24/2023,"..77.17","..86.00","..78.00","..77.17","409"
07/19/2023,"..77.17","..78.00","..78.00","..77.17","703"
07/18/2023,"..77.17","..84.00","..77.00","..77.17","2,107"
07/17/2023,"..77.17","..77.17","..77.17","..77.17","140"
