Date,Open,High,Low,Close,Volume
09/21/2023,"..5.16","..5.20","..5.08","..5.16","636,797"
09/20/2023,"..5.20","..5.25","..5.09","..5.16","1,345,863"
09/19/2023,"..5.32","..5.37","..5.20","..5.20","1,160,750"
09/18/2023,"..5.23","..5.34","..5.21","..5.32","2,211,479"
09/14/2023,"..5.25","..5.29","..5.20","..5.21","1,163,900"
09/13/2023,"..5.20","..5.26","..5.20","..5.25","779,772"
09/12/2023,"..5.23","..5.31","..5.19","..5.20","1,390,117"
09/11/2023,"..5.23","..5.36","..5.20","..5.23","2,518,681"
09/07/2023,"..5.30","..5.38","..5.20","..5.26","1,487,058"
09/06/2023,"..5.25","..5.35","..5.24","..5.30","1,950,200"
09/05/2023,"..5.10","..5.32","..5.11","..5.25","1,852,003"
09/04/2023,"..5.11","..5.16","..5.09","..5.10","763,710"
08/31/2023,"..5.22","..5.26","..5.16","..5.18","671,961"
08/30/2023,"..5.31","..5.37","..5.20","..5.22","2,053,622"
08/29/2023,"..5.27","..5.42","..5.27","..5.31","2,564,551"
08/28/2023,"..5.30","..5.49","..5.25","..5.27","3,149,837"
08/24/2023,"..5.12","..5.26","..5.07","..5.23","2,152,190"
08/23/2023,"..5.29","..5.33","..5.10","..5.12","4,261,534"
08/22/2023,"..5.45","..5.55","..5.21","..5.29","7,030,577"
08/21/2023,"..5.51","..5.69","..5.44","..5.45","5,941,766"
08/17/2023,"..5.43","..5.54","..5.35","..5.49","1,773,543"
08/16/2023,"..5.30","..5.61","..5.30","..5.43","7,047,910"
08/15/2023,"..5.23","..5.52","..5.27","..5.30","3,383,540"
08/14/2023,"..5.30","..5.43","..5.22","..5.23","1,455,549"
08/10/2023,"..5.22","..5.27","..5.20","..5.20","690,718"
08/09/2023,"..5.30","..5.37","..5.21","..5.22","3,820,959"
08/08/2023,"..5.39","..5.53","..5.26","..5.30","3,475,672"
08/07/2023,"..4.97","..5.40","..4.98","..5.39","3,900,026"
08/03/2023,"..4.92","..4.99","..4.88","..4.95","583,759"
08/02/2023,"..5.04","..5.09","..4.89","..4.92","1,812,177"
08/01/2023,"..5.12","..5.18","..5.00","..5.04","1,687,726"
07/31/2023,"..5.11","..5.18","..5.10","..5.12","383,114"
07/27/2023,"..5.13","..5.20","..5.07","..5.10","261,020"
07/26/2023,"..5.10","..5.23","..5.04","..5.13","783,968"
07/25/2023,"..5.22","..5.27","..5.07","..5.10","444,513"
07/24/2023,"..5.27","..5.34","..5.19","..5.22","657,108"
07/19/2023,"..5.15","..5.35","..5.19","..5.27","2,565,906"
07/18/2023,"..4.98","..5.20","..4.98","..5.15","1,797,608"
07/17/2023,"..5.00","..5.11","..4.95","..4.98","726,769"
07/13/2023,"..5.01","..5.13","..5.00","..5.06","1,000,372"
07/12/2023,"..5.18","..5.29","..5.00","..5.01","1,781,879"
07/11/2023,"..5.21","..5.38","..5.16","..5.18","1,620,166"
07/10/2023,"..5.00","..5.23","..4.86","..5.21","514,829"
07/06/2023,"..5.24","..5.32","..5.19","..5.20","897,962"
07/05/2023,"..5.33","..5.40","..5.22","..5.24","660,742"
07/04/2023,"..5.40","..5.55","..5.31","..5.33","460,820"
06/26/2023,"..5.41","..5.48","..5.39","..5.40","414,322"
06/22/2023,"..5.59","..5.68","..5.46","..5.49","966,338"
06/21/2023,"..5.70","..5.73","..5.57","..5.59","1,020,195"
06/20/2023,"..5.59","..5.91","..5.49","..5.70","4,124,070"
06/19/2023,"..5.65","..5.70","..5.41","..5.59","1,917,159"
06/15/2023,"..5.28","..5.33","..5.26","..5.27","282,895"
06/14/2023,"..5.27","..5.37","..5.26","..5.28","693,904"
06/13/2023,"..5.37","..5.40","..5.25","..5.27","1,136,846"
06/12/2023,"..5.38","..5.46","..5.35","..5.37","375,581"
06/08/2023,"..5.32","..5.48","..5.27","..5.34","1,487,774"
06/07/2023,"..5.59","..5.68","..5.30","..5.32","2,076,571"
06/06/2023,"..5.30","..5.75","..5.18","..5.59","7,847,541"
06/05/2023,"..5.44","..5.54","..5.15","..5.30","3,283,008"
06/01/2023,"..5.45","..5.80","..5.20","..5.35","8,331,562"
05/31/2023,"..4.69","..5.61","..4.70","..5.45","14,051,520"
05/30/2023,"..4.37","..4.69","..4.36","..4.69","3,644,998"
05/29/2023,"..4.39","..4.42","..4.32","..4.37","914,801"
