Date,Open,High,Low,Close,Volume
09/21/2023,"..6.88","..7.11","..6.89","..6.93","1,103,261"
09/20/2023,"..7.29","..7.40","..6.86","..6.88","1,502,700"
09/19/2023,"..7.23","..7.74","..7.23","..7.29","4,431,737"
09/18/2023,"..6.91","..7.39","..6.86","..7.23","2,484,255"
09/14/2023,"..7.17","..7.38","..7.05","..7.07","1,864,536"
09/13/2023,"..7.10","..7.27","..7.01","..7.17","1,763,687"
09/12/2023,"..6.75","..7.26","..6.80","..7.10","2,937,827"
09/11/2023,"..6.96","..7.09","..6.66","..6.75","1,369,634"
09/06/2023,"..7.36","..7.44","..6.88","..6.92","2,114,911"
09/05/2023,"..7.57","..8.09","..7.30","..7.36","3,738,590"
09/04/2023,"..7.79","..7.80","..7.47","..7.57","2,984,299"
08/31/2023,"..7.70","..8.28","..7.50","..8.28","6,010,913"
08/30/2023,"..8.10","..8.16","..7.70","..7.70","2,602,366"
08/29/2023,"..7.03","..8.14","..7.03","..8.10","7,235,645"
08/28/2023,"..7.05","..7.17","..6.75","..6.91","2,709,864"
08/24/2023,"..5.74","..6.88","..5.65","..6.87","5,560,870"
08/23/2023,"..6.07","..6.15","..5.62","..5.74","2,126,726"
08/22/2023,"..5.97","..6.33","..6.04","..6.07","4,469,324"
08/21/2023,"..4.98","..5.97","..4.98","..5.97","7,080,502"
08/17/2023,"..4.81","..4.92","..4.68","..4.81","278,657"
08/16/2023,"..4.81","..4.99","..4.78","..4.81","245,829"
08/15/2023,"..4.90","..5.05","..4.79","..4.81","711,843"
08/14/2023,"..4.68","..5.05","..4.65","..4.90","1,540,563"
08/10/2023,"..4.79","..4.82","..4.71","..4.75","144,270"
08/09/2023,"..4.89","..4.95","..4.71","..4.79","289,815"
08/08/2023,"..4.90","..5.04","..4.85","..4.89","638,523"
08/07/2023,"..4.78","..5.00","..4.68","..4.90","1,264,367"
08/03/2023,"..4.73","..4.85","..4.70","..4.78","745,205"
08/02/2023,"..4.67","..4.80","..4.62","..4.73","1,367,370"
08/01/2023,"..4.37","..4.71","..4.38","..4.67","1,284,960"
07/31/2023,"..4.35","..4.40","..4.31","..4.37","183,553"
07/27/2023,"..4.35","..4.41","..4.31","..4.35","62,330"
