Date,Open,High,Low,Close,Volume
09/21/2023,"..1.94","..1.96","..1.93","..1.94","886,790"
09/20/2023,"..1.99","..2.00","..1.93","..1.94","1,669,229"
09/19/2023,"..2.02","..2.03","..1.99","..1.99","1,121,182"
09/18/2023,"..2.00","..2.04","..1.97","..2.02","979,816"
09/14/2023,"..1.97","..1.99","..1.97","..1.99","608,654"
09/13/2023,"..1.97","..1.98","..1.96","..1.97","534,316"
09/12/2023,"..1.99","..1.99","..1.96","..1.97","1,274,040"
09/11/2023,"..2.01","..2.03","..1.99","..1.99","1,444,474"
09/07/2023,"..2.00","..2.02","..1.99","..2.00","821,344"
09/06/2023,"..2.03","..2.06","..1.99","..2.00","2,334,465"
09/05/2023,"..2.00","..2.07","..2.01","..2.03","4,002,196"
09/04/2023,"..1.98","..2.01","..1.97","..2.00","1,273,112"
08/31/2023,"..1.98","..2.01","..1.97","..1.97","1,404,768"
08/30/2023,"..1.95","..2.00","..1.95","..1.98","2,592,407"
08/29/2023,"..1.97","..1.99","..1.95","..1.95","4,054,435"
08/28/2023,"..1.97","..1.99","..1.96","..1.97","977,846"
08/24/2023,"..2.01","..2.03","..1.96","..1.96","3,139,458"
08/23/2023,"..2.03","..2.12","..2.00","..2.01","8,745,179"
08/22/2023,"..1.99","..2.07","..2.00","..2.03","2,947,604"
08/21/2023,"..2.01","..2.04","..1.98","..1.99","2,447,426"
08/17/2023,"..2.04","..2.07","..2.00","..2.02","1,657,424"
08/16/2023,"..2.13","..2.16","..2.00","..2.04","4,817,287"
08/15/2023,"..2.15","..2.18","..2.12","..2.13","898,390"
08/14/2023,"..2.15","..2.20","..2.15","..2.15","1,127,225"
08/10/2023,"..2.24","..2.26","..2.17","..2.17","1,552,596"
08/09/2023,"..2.26","..2.31","..2.22","..2.24","875,901"
08/08/2023,"..2.13","..2.36","..2.15","..2.26","5,644,417"
08/07/2023,"..2.09","..2.19","..2.08","..2.13","3,820,694"
08/03/2023,"..2.04","..2.07","..2.05","..2.06","259,442"
08/02/2023,"..2.08","..2.10","..2.04","..2.04","658,186"
08/01/2023,"..2.06","..2.12","..2.06","..2.08","857,471"
07/31/2023,"..2.07","..2.07","..2.05","..2.06","1,114,530"
07/27/2023,"..2.02","..2.05","..2.02","..2.03","851,180"
07/26/2023,"..2.08","..2.12","..2.01","..2.02","1,823,355"
07/25/2023,"..2.12","..2.10","..2.05","..2.08","165,570"
07/24/2023,"..2.12","..2.11","..2.05","..2.12","70,275"
07/19/2023,"..2.12","..2.14","..2.10","..2.12","117,465"
07/18/2023,"..2.08","..2.20","..2.10","..2.12","1,654,159"
07/17/2023,"..2.02","..2.09","..2.01","..2.08","434,402"
07/13/2023,"..2.00","..2.09","..2.00","..2.06","272,154"
07/12/2023,"..2.01","..2.01","..1.98","..2.00","252,572"
07/11/2023,"..1.99","..2.04","..1.99","..2.01","191,163"
07/10/2023,"..1.96","..2.00","..1.90","..1.99","324,156"
07/06/2023,"..2.11","..2.10","..2.05","..2.07","206,373"
07/05/2023,"..2.11","..2.14","..2.09","..2.11","139,295"
07/04/2023,"..2.08","..2.13","..2.07","..2.11","262,491"
06/26/2023,"..2.09","..2.12","..2.06","..2.08","313,159"
06/22/2023,"..2.07","..2.10","..2.06","..2.09","239,066"
06/21/2023,"..2.11","..2.13","..2.07","..2.07","586,322"
