Date,Open,High,Low,Close,Volume
09/21/2023,"..0.64","..0.67","..0.64","..0.65","2,133,636"
09/20/2023,"..0.67","..0.68","..0.63","..0.64","3,153,002"
09/19/2023,"..0.65","..0.70","..0.64","..0.67","18,099,869"
09/18/2023,"..0.64","..0.68","..0.64","..0.65","7,415,761"
09/14/2023,"..0.57","..0.68","..0.57","..0.68","23,544,254"
09/13/2023,"..0.57","..0.58","..0.56","..0.57","501,297"
09/12/2023,"..0.58","..0.59","..0.57","..0.57","1,159,499"
09/11/2023,"..0.59","..0.59","..0.57","..0.58","950,404"
09/07/2023,"..0.58","..0.60","..0.56","..0.59","1,142,627"
09/06/2023,"..0.60","..0.62","..0.58","..0.58","2,613,753"
09/05/2023,"..0.62","..0.62","..0.60","..0.60","4,659,081"
09/04/2023,"..0.57","..0.63","..0.57","..0.62","9,662,498"
08/31/2023,"..0.57","..0.57","..0.56","..0.57","884,898"
08/30/2023,"..0.56","..0.58","..0.56","..0.57","2,557,930"
08/29/2023,"..0.57","..0.58","..0.56","..0.56","1,550,667"
08/28/2023,"..0.55","..0.58","..0.55","..0.57","5,010,394"
08/24/2023,"..0.55","..0.55","..0.53","..0.54","1,169,244"
08/23/2023,"..0.55","..0.55","..0.54","..0.55","471,060"
08/22/2023,"..0.55","..0.55","..0.54","..0.55","734,151"
08/21/2023,"..0.55","..0.56","..0.54","..0.55","170,280"
08/17/2023,"..0.55","..0.56","..0.54","..0.54","1,208,322"
08/16/2023,"..0.55","..0.56","..0.55","..0.55","665,188"
08/15/2023,"..0.55","..0.56","..0.55","..0.55","809,438"
08/14/2023,"..0.54","..0.56","..0.55","..0.55","957,590"
08/10/2023,"..0.57","..0.57","..0.55","..0.55","3,323,846"
08/09/2023,"..0.57","..0.57","..0.57","..0.57","728,170"
08/08/2023,"..0.57","..0.58","..0.56","..0.57","1,318,888"
08/07/2023,"..0.57","..0.58","..0.56","..0.57","994,256"
08/03/2023,"..0.57","..0.58","..0.56","..0.57","2,077,717"
08/02/2023,"..0.59","..0.60","..0.57","..0.57","2,700,553"
08/01/2023,"..0.59","..0.60","..0.59","..0.59","6,032,768"
07/31/2023,"..0.62","..0.63","..0.59","..0.59","8,259,276"
07/27/2023,"..0.55","..0.62","..0.54","..0.61","20,033,740"
07/26/2023,"..0.54","..0.56","..0.54","..0.55","1,836,797"
07/25/2023,"..0.54","..0.55","..0.54","..0.54","1,453,101"
07/24/2023,"..0.55","..0.56","..0.53","..0.54","2,077,870"
07/19/2023,"..0.55","..0.56","..0.54","..0.55","1,185,471"
07/18/2023,"..0.56","..0.57","..0.55","..0.55","1,342,874"
07/17/2023,"..0.56","..0.57","..0.55","..0.56","3,138,133"
07/13/2023,"..0.53","..0.55","..0.52","..0.53","1,614,655"
07/12/2023,"..0.53","..0.54","..0.52","..0.53","814,736"
07/11/2023,"..0.54","..0.54","..0.52","..0.53","2,806,960"
07/10/2023,"..0.53","..0.55","..0.51","..0.54","2,120,381"
