Date,Open,High,Low,Close,Volume
09/21/2023,"..21.52","..21.90","..21.50","..21.60","128,956"
09/20/2023,"..21.65","..21.80","..21.50","..21.52","76,876"
09/19/2023,"..21.52","..21.85","..21.60","..21.65","24,284"
09/18/2023,"..21.52","..21.75","..21.53","..21.52","7,987"
09/14/2023,"..21.48","..21.72","..21.45","..21.52","13,987"
09/13/2023,"..21.49","..21.90","..21.25","..21.48","18,745"
09/12/2023,"..21.49","..21.90","..21.50","..21.49","8,772"
09/11/2023,"..21.65","..21.70","..21.40","..21.49","25,131"
09/07/2023,"..21.52","..21.75","..21.40","..21.71","1,038,294"
09/06/2023,"..21.50","..21.70","..21.34","..21.52","148,970"
09/05/2023,"..21.40","..21.70","..21.16","..21.50","227,205"
09/04/2023,"..20.70","..21.50","..21.00","..21.40","21,585"
08/31/2023,"..21.30","..21.50","..20.70","..20.70","2,545,792"
08/30/2023,"..21.45","..21.50","..21.22","..21.30","1,030,325"
08/29/2023,"..21.59","..21.97","..21.32","..21.45","40,612"
08/28/2023,"..21.68","..22.00","..21.44","..21.59","181,966"
08/24/2023,"..21.35","..21.50","..21.04","..21.50","576,604"
08/23/2023,"..21.50","..21.70","..21.29","..21.35","359,182"
08/22/2023,"..21.12","..21.55","..21.02","..21.50","1,235,663"
08/21/2023,"..20.96","..21.35","..21.00","..21.12","20,345"
08/17/2023,"..20.92","..21.25","..20.90","..20.96","14,946"
08/16/2023,"..21.34","..21.43","..20.90","..20.92","326,037"
08/15/2023,"..21.34","..21.50","..21.11","..21.34","5,255"
08/14/2023,"..21.34","..21.60","..21.10","..21.34","12,846"
08/10/2023,"..21.34","..21.49","..21.30","..21.34","4,042"
08/09/2023,"..21.34","..21.50","..21.30","..21.34","7,348"
08/08/2023,"..21.34","..21.60","..21.26","..21.34","5,140"
08/07/2023,"..20.96","..21.75","..20.88","..21.34","35,705"
08/03/2023,"..20.96","..21.48","..20.56","..20.96","10,774"
08/02/2023,"..20.93","..22.00","..20.50","..20.96","31,995"
08/01/2023,"..20.93","..21.32","..20.85","..20.93","12,290"
07/31/2023,"..21.01","..21.46","..20.62","..20.93","183,911"
07/27/2023,"..21.50","..21.70","..21.18","..21.50","7,514"
07/26/2023,"..22.10","..22.30","..21.05","..21.50","216,546"
07/25/2023,"..22.20","..22.55","..21.85","..22.10","22,476"
07/24/2023,"..22.37","..22.77","..22.01","..22.20","29,987"
07/19/2023,"..22.68","..22.99","..22.00","..22.37","23,149"
07/18/2023,"..22.73","..23.15","..22.50","..22.68","30,248"
07/17/2023,"..23.03","..23.20","..22.51","..22.73","35,924"
07/13/2023,"..20.84","..22.50","..20.01","..22.03","654,424"
07/12/2023,"..20.00","..21.00","..19.80","..20.84","71,108"
07/11/2023,"..19.94","..20.14","..19.55","..20.00","25,221"
07/10/2023,"..19.94","..19.99","..19.50","..19.94","9,267"
07/06/2023,"..19.79","..20.10","..19.70","..20.01","95,233"
07/05/2023,"..19.99","..20.15","..19.70","..19.79","22,765"
07/04/2023,"..20.14","..20.39","..19.90","..19.99","111,506"
06/26/2023,"..20.24","..20.35","..20.00","..20.14","91,345"
06/22/2023,"..20.04","..20.20","..19.80","..19.96","35,709"
06/21/2023,"..20.04","..20.00","..19.70","..20.04","9,685"
06/20/2023,"..19.68","..20.15","..19.68","..20.04","35,672"
06/19/2023,"..19.53","..20.01","..19.26","..19.68","82,191"
06/15/2023,"..19.04","..19.35","..19.01","..19.04","6,232"
06/14/2023,"..19.06","..19.39","..19.00","..19.04","61,986"
06/13/2023,"..19.03","..19.37","..19.00","..19.06","47,765"
06/12/2023,"..19.03","..19.48","..19.03","..19.03","5,087"
06/08/2023,"..19.31","..19.40","..19.12","..19.26","531,503"
06/07/2023,"..19.09","..19.47","..19.20","..19.31","5,181,513"
06/06/2023,"..19.00","..19.23","..19.00","..19.09","1,521,099"
06/05/2023,"..19.00","..19.10","..19.00","..19.00","1,375,302"
06/01/2023,"..18.96","..19.18","..18.70","..19.04","16,429"
05/31/2023,"..19.00","..19.10","..18.64","..18.96","137,596"
05/30/2023,"..18.60","..19.15","..18.33","..19.00","48,756"
05/29/2023,"..18.60","..18.85","..18.36","..18.60","9,548"
05/25/2023,"..18.30","..18.60","..18.05","..18.30","15,859"
05/24/2023,"..18.25","..18.37","..18.05","..18.30","26,220"
05/23/2023,"..18.10","..18.29","..18.05","..18.25","424,488"
05/22/2023,"..17.86","..18.20","..17.85","..18.10","115,803"
05/18/2023,"..18.10","..18.30","..18.00","..18.05","140,515"
05/17/2023,"..18.10","..18.30","..18.05","..18.10","91,765"
05/16/2023,"..18.01","..18.15","..17.82","..18.10","247,345"
05/15/2023,"..18.02","..18.55","..18.00","..18.01","54,967"
05/11/2023,"..17.65","..18.10","..17.75","..17.98","166,180"
05/10/2023,"..17.87","..17.95","..17.50","..17.65","31,787"
05/09/2023,"..17.78","..17.95","..17.77","..17.87","62,282"
05/08/2023,"..17.56","..17.94","..17.52","..17.78","1,404,576"
05/03/2023,"..17.98","..18.10","..17.61","..17.67","2,754,699"
05/02/2023,"..18.03","..18.15","..17.81","..17.98","46,657"
05/01/2023,"..18.12","..18.30","..17.90","..18.03","47,469"
04/27/2023,"..17.93","..18.25","..17.90","..18.09","409,994"
04/26/2023,"..17.60","..17.98","..17.60","..17.93","55,311"
04/19/2023,"..17.55","..17.94","..17.52","..17.60","82,415"
04/18/2023,"..17.50","..17.80","..17.30","..17.55","78,667"
04/13/2023,"..17.45","..17.64","..17.43","..17.50","238,133"
04/12/2023,"..17.25","..17.70","..17.36","..17.45","134,797"
04/11/2023,"..17.20","..17.90","..17.07","..17.25","71,171"
04/10/2023,"..17.24","..17.50","..17.11","..17.20","151,560"
04/06/2023,"..17.58","..17.80","..17.40","..17.57","153,522"
04/05/2023,"..17.50","..17.95","..17.45","..17.58","65,049"
04/04/2023,"..17.43","..17.65","..17.33","..17.50","22,503"
04/03/2023,"..17.49","..17.73","..17.33","..17.43","51,463"
03/30/2023,"..17.36","..17.45","..17.05","..17.19","22,853"
03/29/2023,"..17.02","..17.50","..17.03","..17.36","44,839"
03/28/2023,"..17.16","..17.20","..16.50","..17.02","21,097"
03/27/2023,"..17.22","..17.25","..17.01","..17.16","251,975"
03/23/2023,"..17.17","..17.48","..17.20","..17.20","35,046"
03/22/2023,"..16.96","..17.48","..17.10","..17.17","786,450"
03/21/2023,"..16.96","..17.24","..16.90","..16.96","12,924"
03/20/2023,"..16.35","..17.99","..16.22","..16.96","18,502"
03/16/2023,"..16.99","..17.32","..16.50","..16.82","25,389"
03/15/2023,"..18.34","..18.56","..16.71","..16.99","66,505"
03/14/2023,"..19.07","..18.86","..17.50","..18.34","31,991"
03/13/2023,"..19.38","..19.50","..19.00","..19.07","71,875"
03/09/2023,"..19.68","..19.89","..19.56","..19.72","37,809"
03/08/2023,"..19.72","..19.90","..19.50","..19.68","205,073"
03/07/2023,"..20.11","..20.40","..19.50","..19.72","616,313"
03/06/2023,"..20.24","..20.43","..20.01","..20.11","350,829"
03/02/2023,"..20.58","..20.75","..20.12","..20.23","41,129"
03/01/2023,"..20.59","..20.86","..20.51","..20.58","222,792"
02/28/2023,"..20.55","..20.90","..20.50","..20.59","420,643"
02/27/2023,"..20.69","..21.50","..20.51","..20.55","474,915"
02/23/2023,"..20.60","..20.92","..20.50","..20.60","7,486"
02/22/2023,"..20.66","..21.00","..20.40","..20.60","514,213"
02/21/2023,"..20.51","..20.88","..20.00","..20.66","139,297"
02/20/2023,"..20.63","..21.01","..20.45","..20.51","141,966"
02/16/2023,"..21.68","..21.80","..21.22","..21.41","566,835"
02/15/2023,"..20.51","..21.94","..20.44","..21.68","822,261"
02/14/2023,"..20.28","..20.78","..20.10","..20.51","53,357"
02/13/2023,"..20.14","..20.49","..19.81","..20.28","50,318"
02/09/2023,"..20.16","..20.75","..20.03","..20.59","166,950"
02/08/2023,"..20.01","..20.88","..19.51","..20.16","249,873"
02/07/2023,"..18.85","..20.84","..18.90","..20.01","120,137"
02/06/2023,"..19.00","..19.35","..18.70","..18.85","66,165"
02/02/2023,"..19.34","..19.90","..19.00","..19.06","132,939"
02/01/2023,"..19.89","..20.60","..18.50","..19.34","97,692"
01/31/2023,"..20.28","..20.54","..19.60","..19.89","58,317"
01/30/2023,"..20.62","..21.33","..20.25","..20.28","246,733"
01/25/2023,"..20.39","..20.60","..20.26","..20.51","101,814"
01/24/2023,"..20.35","..20.67","..20.20","..20.39","175,834"
01/23/2023,"..20.52","..20.50","..20.10","..20.35","81,030"
01/19/2023,"..20.70","..20.74","..20.25","..20.61","25,394"
01/18/2023,"..20.09","..20.70","..20.00","..20.70","483,442"
01/17/2023,"..19.00","..20.30","..19.00","..20.09","320,007"
01/16/2023,"..19.00","..19.34","..18.90","..19.00","3,077,260"
01/12/2023,"..18.46","..19.50","..18.46","..19.26","345,682"
01/11/2023,"..17.80","..19.00","..17.73","..18.46","175,426"
