Date,Open,High,Low,Close,Volume
09/21/2023,"..2.91","..3.13","..2.93","..3.06","3,232,895"
09/20/2023,"..3.16","..3.21","..2.90","..2.91","3,008,487"
09/19/2023,"..3.27","..3.38","..3.16","..3.16","970,157"
09/18/2023,"..3.24","..3.30","..3.23","..3.27","228,325"
09/14/2023,"..3.35","..3.40","..3.25","..3.26","1,464,856"
09/13/2023,"..3.15","..3.46","..3.11","..3.35","3,944,731"
09/12/2023,"..3.17","..3.20","..3.11","..3.15","350,645"
09/11/2023,"..3.23","..3.28","..3.02","..3.17","818,017"
09/07/2023,"..3.22","..3.31","..3.17","..3.24","2,359,156"
09/06/2023,"..3.10","..3.46","..3.10","..3.22","9,240,282"
09/05/2023,"..2.98","..3.10","..2.95","..3.10","1,400,709"
09/04/2023,"..2.88","..2.99","..2.85","..2.98","776,579"
08/31/2023,"..2.94","..2.99","..2.80","..2.91","1,219,814"
08/30/2023,"..2.94","..3.00","..2.92","..2.94","592,664"
08/29/2023,"..2.93","..3.04","..2.90","..2.94","893,297"
08/28/2023,"..2.92","..2.98","..2.90","..2.93","740,880"
08/24/2023,"..3.04","..3.11","..2.94","..2.98","914,318"
08/23/2023,"..3.14","..3.15","..2.93","..3.04","2,466,804"
08/22/2023,"..3.10","..3.15","..3.00","..3.14","2,003,186"
08/21/2023,"..2.85","..3.11","..2.85","..3.10","2,876,780"
08/17/2023,"..2.98","..3.07","..2.85","..2.95","1,230,984"
08/16/2023,"..2.87","..3.06","..2.81","..2.98","4,585,776"
08/15/2023,"..2.82","..2.92","..2.78","..2.87","4,027,183"
08/14/2023,"..2.55","..2.84","..2.55","..2.82","5,146,302"
08/10/2023,"..2.52","..2.54","..2.50","..2.53","695,613"
08/09/2023,"..2.51","..2.54","..2.51","..2.52","250,894"
08/08/2023,"..2.53","..2.57","..2.48","..2.51","571,798"
08/07/2023,"..2.47","..2.58","..2.43","..2.53","742,175"
08/03/2023,"..2.41","..2.43","..2.41","..2.41","217,637"
08/02/2023,"..2.41","..2.44","..2.40","..2.41","310,871"
08/01/2023,"..2.41","..2.44","..2.40","..2.41","323,108"
07/31/2023,"..2.40","..2.44","..2.38","..2.41","353,029"
07/27/2023,"..2.41","..2.44","..2.37","..2.40","353,331"
07/26/2023,"..2.41","..2.42","..2.38","..2.41","59,068"
07/25/2023,"..2.41","..2.45","..2.40","..2.41","495,370"
07/24/2023,"..2.47","..2.50","..2.40","..2.41","274,382"
07/19/2023,"..2.46","..2.49","..2.45","..2.47","164,887"
07/18/2023,"..2.43","..2.50","..2.44","..2.46","289,557"
07/17/2023,"..2.47","..2.49","..2.42","..2.43","188,734"
07/13/2023,"..2.41","..2.48","..2.39","..2.44","234,436"
07/12/2023,"..2.45","..2.49","..2.39","..2.41","286,503"
07/11/2023,"..2.48","..2.48","..2.39","..2.45","350,098"
07/10/2023,"..2.32","..2.50","..2.28","..2.48","1,250,925"
