Date,Open,High,Low,Close,Volume
09/21/2023,"..12.70","..13.09","..12.66","..12.74","62,124"
09/20/2023,"..12.53","..13.20","..12.56","..12.70","143,473"
09/19/2023,"..12.54","..12.77","..12.42","..12.53","31,384"
09/18/2023,"..12.54","..12.69","..12.41","..12.54","16,564"
09/14/2023,"..12.54","..12.77","..12.45","..12.54","20,280"
09/13/2023,"..12.49","..12.99","..12.35","..12.54","29,406"
09/12/2023,"..12.49","..12.60","..12.41","..12.49","21,595"
09/11/2023,"..12.64","..12.74","..12.35","..12.49","54,747"
09/07/2023,"..13.08","..13.00","..12.59","..12.64","60,779"
09/06/2023,"..13.03","..13.35","..12.95","..13.08","85,480"
09/05/2023,"..12.97","..13.25","..12.88","..13.03","40,350"
09/04/2023,"..13.15","..13.25","..12.83","..12.97","38,175"
08/31/2023,"..13.09","..13.10","..12.51","..12.86","48,525"
08/30/2023,"..13.24","..13.40","..12.96","..13.09","32,647"
08/29/2023,"..12.96","..13.46","..13.00","..13.24","57,848"
08/28/2023,"..12.96","..13.39","..12.85","..12.96","72,001"
08/24/2023,"..13.05","..13.34","..12.81","..13.09","38,895"
08/23/2023,"..13.25","..13.65","..13.01","..13.05","135,204"
08/22/2023,"..12.85","..13.90","..12.98","..13.25","370,228"
08/21/2023,"..12.61","..13.15","..12.50","..12.85","158,855"
08/17/2023,"..12.12","..13.25","..12.07","..12.75","296,123"
08/16/2023,"..12.26","..12.44","..12.01","..12.12","30,740"
08/15/2023,"..12.48","..12.50","..12.13","..12.26","29,005"
08/14/2023,"..12.26","..12.68","..12.30","..12.48","48,794"
08/10/2023,"..12.26","..12.76","..12.11","..12.26","20,697"
08/09/2023,"..12.26","..12.48","..12.17","..12.26","16,549"
08/08/2023,"..12.41","..12.60","..12.12","..12.26","47,327"
08/07/2023,"..12.52","..13.18","..12.37","..12.41","139,238"
08/03/2023,"..11.93","..12.19","..11.70","..11.96","54,376"
08/02/2023,"..12.87","..12.69","..11.80","..11.93","93,750"
08/01/2023,"..12.87","..12.87","..12.32","..12.87","21,459"
07/31/2023,"..12.87","..12.89","..12.02","..12.87","21,963"
07/27/2023,"..12.94","..13.39","..12.01","..12.96","57,707"
07/26/2023,"..13.06","..13.20","..12.82","..12.94","42,281"
07/25/2023,"..13.28","..13.47","..13.00","..13.06","62,090"
07/24/2023,"..13.34","..13.85","..13.15","..13.28","103,632"
07/19/2023,"..13.85","..13.90","..13.31","..13.34","136,460"
07/18/2023,"..13.55","..14.40","..13.50","..13.85","275,208"
07/17/2023,"..14.56","..14.50","..13.50","..13.55","220,377"
07/13/2023,"..10.83","..13.08","..11.00","..13.08","402,086"
07/12/2023,"..10.90","..11.45","..10.90","..10.90","19,221"
07/11/2023,"..11.02","..11.20","..10.52","..10.90","45,752"
07/10/2023,"..11.02","..11.02","..10.50","..11.02","8,611"
07/06/2023,"..11.02","..11.30","..10.82","..11.02","19,444"
07/05/2023,"..11.63","..11.48","..10.97","..11.02","59,086"
07/04/2023,"..11.63","..11.63","..11.11","..11.63","9,910"
06/26/2023,"..11.63","..11.69","..11.06","..11.63","18,266"
06/22/2023,"..11.41","..11.41","..10.62","..11.41","18,065"
06/21/2023,"..11.72","..11.66","..11.10","..11.41","65,004"
06/20/2023,"..11.72","..11.84","..11.61","..11.72","3,904"
06/19/2023,"..12.10","..12.00","..11.50","..11.72","29,689"
06/15/2023,"..12.06","..12.48","..12.01","..12.26","77,021"
06/14/2023,"..11.74","..12.22","..11.50","..12.06","149,058"
06/13/2023,"..12.05","..12.30","..11.55","..11.74","32,082"
06/12/2023,"..12.05","..12.24","..11.88","..12.05","20,191"
06/08/2023,"..11.32","..12.74","..11.25","..12.42","307,603"
06/07/2023,"..11.32","..11.68","..11.30","..11.32","17,689"
06/06/2023,"..11.53","..11.51","..11.26","..11.32","34,818"
06/05/2023,"..11.53","..11.50","..11.26","..11.53","21,739"
06/01/2023,"..11.53","..11.70","..11.35","..11.53","6,930"
05/31/2023,"..11.95","..11.99","..11.35","..11.53","27,775"
05/30/2023,"..11.95","..12.15","..11.76","..11.95","16,065"
05/29/2023,"..11.52","..12.20","..11.44","..11.95","87,059"
05/25/2023,"..11.52","..11.00","..10.95","..11.52","3,055"
05/24/2023,"..11.52","..11.30","..10.95","..11.52","7,411"
05/23/2023,"..11.52","..11.01","..10.81","..11.52","11,311"
05/22/2023,"..11.52","..11.25","..10.85","..11.52","10,991"
05/18/2023,"..11.52","..10.70","..10.70","..11.52","652"
05/17/2023,"..11.52","..11.52","..10.95","..11.52","19,435"
05/16/2023,"..11.52","..11.34","..10.85","..11.52","16,599"
05/15/2023,"..11.52","..11.15","..11.00","..11.52","3,300"
05/11/2023,"..11.52","..11.46","..11.22","..11.52","10,795"
05/10/2023,"..11.52","..11.34","..11.06","..11.52","19,403"
05/09/2023,"..11.52","..11.60","..11.36","..11.52","14,235"
05/08/2023,"..11.52","..11.55","..11.26","..11.52","17,232"
05/03/2023,"..11.52","..11.52","..10.91","..11.52","24,052"
05/02/2023,"..11.52","..11.68","..11.25","..11.52","10,783"
05/01/2023,"..11.46","..11.72","..11.30","..11.52","36,601"
04/27/2023,"..11.34","..11.85","..11.41","..11.58","49,648"
04/26/2023,"..11.17","..11.73","..11.30","..11.34","35,229"
04/19/2023,"..12.08","..11.55","..10.90","..11.17","33,990"
04/18/2023,"..12.08","..11.90","..9.67","..12.08","16,565"
04/13/2023,"..12.08","..12.29","..11.85","..12.08","17,271"
04/12/2023,"..12.59","..12.41","..12.00","..12.08","35,098"
04/11/2023,"..12.59","..12.70","..12.40","..12.59","8,359"
04/10/2023,"..12.59","..12.50","..12.23","..12.59","10,628"
04/06/2023,"..12.53","..13.25","..12.42","..12.59","72,727"
04/05/2023,"..12.11","..13.00","..12.01","..12.53","40,754"
04/04/2023,"..12.26","..12.43","..12.01","..12.11","61,525"
04/03/2023,"..12.47","..12.72","..12.10","..12.26","40,080"
03/30/2023,"..12.47","..12.90","..12.25","..12.47","7,486"
03/29/2023,"..12.47","..13.00","..12.32","..12.47","18,915"
03/28/2023,"..12.19","..12.95","..11.83","..12.47","27,912"
03/27/2023,"..12.19","..12.60","..11.31","..12.19","14,510"
03/23/2023,"..12.43","..12.69","..11.55","..12.00","38,780"
03/22/2023,"..12.43","..12.89","..12.22","..12.43","18,856"
03/21/2023,"..11.65","..12.87","..12.32","..12.43","38,435"
03/20/2023,"..10.88","..12.40","..11.02","..11.65","31,353"
03/16/2023,"..11.76","..11.70","..10.48","..10.88","50,036"
03/15/2023,"..13.09","..13.50","..10.85","..11.76","96,731"
03/14/2023,"..13.21","..13.50","..12.62","..13.09","40,235"
03/13/2023,"..14.31","..14.74","..13.01","..13.21","75,923"
03/09/2023,"..14.68","..15.65","..14.95","..15.16","56,617"
03/08/2023,"..14.68","..14.89","..14.50","..14.68","13,415"
03/07/2023,"..15.20","..15.30","..14.50","..14.68","54,233"
03/06/2023,"..15.50","..15.80","..15.17","..15.20","74,493"
03/02/2023,"..15.66","..15.70","..15.27","..15.46","28,836"
03/01/2023,"..15.65","..16.04","..15.55","..15.66","43,134"
02/28/2023,"..15.62","..16.50","..15.60","..15.65","147,380"
02/27/2023,"..16.01","..16.20","..15.50","..15.62","84,718"
02/23/2023,"..14.90","..15.31","..14.51","..15.03","39,616"
02/22/2023,"..15.29","..15.74","..14.80","..14.90","62,137"
02/21/2023,"..15.24","..15.74","..14.72","..15.29","77,968"
02/20/2023,"..15.59","..16.09","..15.12","..15.24","101,040"
02/16/2023,"..15.55","..16.08","..15.30","..15.41","118,715"
02/15/2023,"..15.70","..16.35","..15.30","..15.55","208,768"
02/14/2023,"..14.45","..16.19","..14.50","..15.70","330,161"
02/13/2023,"..14.20","..14.80","..14.20","..14.45","103,703"
02/09/2023,"..14.21","..14.47","..14.06","..14.13","68,647"
02/08/2023,"..14.37","..14.94","..13.90","..14.21","147,490"
02/07/2023,"..13.53","..14.98","..13.50","..14.37","202,987"
02/06/2023,"..14.29","..15.00","..13.20","..13.53","180,487"
02/02/2023,"..13.72","..15.50","..13.81","..14.51","379,165"
02/01/2023,"..12.14","..14.48","..12.15","..13.72","421,515"
01/31/2023,"..12.37","..12.90","..12.06","..12.14","62,785"
01/30/2023,"..12.62","..13.20","..12.06","..12.37","140,339"
01/25/2023,"..11.97","..12.50","..11.50","..12.10","142,140"
01/24/2023,"..11.97","..11.88","..11.55","..11.97","11,018"
01/23/2023,"..11.97","..12.18","..11.70","..11.97","11,708"
01/19/2023,"..11.82","..12.20","..11.65","..11.78","28,592"
01/18/2023,"..11.97","..12.50","..11.79","..11.82","85,847"
01/17/2023,"..12.26","..12.74","..11.85","..11.97","32,637"
01/16/2023,"..11.08","..12.65","..10.72","..12.26","112,383"
01/12/2023,"..11.46","..11.68","..10.84","..11.08","57,974"
01/11/2023,"..11.82","..11.82","..11.27","..11.46","44,971"
01/10/2023,"..12.08","..12.00","..11.81","..11.82","32,277"
01/09/2023,"..12.69","..12.69","..11.81","..12.08","74,145"
01/05/2023,"..12.70","..13.00","..12.61","..12.69","29,088"
01/04/2023,"..12.86","..13.10","..12.53","..12.70","28,166"
01/03/2023,"..12.95","..13.29","..12.80","..12.86","50,133"
01/02/2023,"..12.08","..14.49","..12.75","..12.95","79,561"
12/29/2022,"..12.08","..12.35","..11.90","..12.08","24,467"
12/28/2022,"..12.08","..11.95","..11.61","..12.08","6,685"
12/27/2022,"..12.08","..12.35","..11.70","..12.08","16,705"
12/26/2022,"..12.08","..12.00","..11.82","..12.08","3,000"
