Date,Open,High,Low,Close,Volume
09/21/2023,"..2.32","..2.35","..2.31","..2.32","1,008,117"
09/20/2023,"..2.39","..2.40","..2.31","..2.32","1,488,464"
09/19/2023,"..2.42","..2.47","..2.38","..2.39","3,192,632"
09/18/2023,"..2.37","..2.47","..2.37","..2.42","4,899,390"
09/14/2023,"..2.37","..2.47","..2.37","..2.40","5,612,033"
09/13/2023,"..2.31","..2.40","..2.32","..2.37","3,889,927"
09/12/2023,"..2.34","..2.37","..2.30","..2.31","1,770,690"
09/11/2023,"..2.38","..2.40","..2.33","..2.34","1,386,843"
09/07/2023,"..2.43","..2.46","..2.38","..2.39","3,980,664"
09/06/2023,"..2.39","..2.49","..2.41","..2.43","5,143,647"
09/05/2023,"..2.41","..2.46","..2.37","..2.39","4,123,675"
09/04/2023,"..2.45","..2.45","..2.39","..2.41","3,654,797"
08/31/2023,"..2.43","..2.51","..2.41","..2.46","3,567,726"
08/30/2023,"..2.42","..2.46","..2.40","..2.43","1,648,983"
08/29/2023,"..2.40","..2.47","..2.39","..2.42","2,435,262"
08/28/2023,"..2.46","..2.52","..2.38","..2.40","3,263,866"
08/24/2023,"..2.52","..2.54","..2.41","..2.46","3,309,794"
08/23/2023,"..2.51","..2.65","..2.50","..2.52","6,648,190"
08/22/2023,"..2.48","..2.58","..2.46","..2.51","5,492,690"
08/21/2023,"..2.39","..2.56","..2.37","..2.48","6,813,877"
08/17/2023,"..2.45","..2.50","..2.40","..2.43","1,284,602"
08/16/2023,"..2.37","..2.56","..2.35","..2.45","9,133,186"
08/15/2023,"..2.40","..2.46","..2.35","..2.37","4,636,192"
08/14/2023,"..2.28","..2.44","..2.30","..2.40","4,343,763"
08/10/2023,"..2.31","..2.35","..2.28","..2.30","634,592"
08/09/2023,"..2.31","..2.36","..2.29","..2.31","842,994"
08/08/2023,"..2.37","..2.45","..2.29","..2.31","3,580,627"
08/07/2023,"..2.23","..2.44","..2.23","..2.37","5,093,469"
08/03/2023,"..2.18","..2.24","..2.17","..2.18","264,319"
08/02/2023,"..2.23","..2.26","..2.17","..2.18","418,726"
08/01/2023,"..2.21","..2.27","..2.21","..2.23","634,120"
07/31/2023,"..2.20","..2.27","..2.20","..2.21","1,231,621"
07/27/2023,"..2.18","..2.21","..2.17","..2.18","376,152"
07/26/2023,"..2.19","..2.21","..2.17","..2.18","290,738"
07/25/2023,"..2.23","..2.25","..2.18","..2.19","565,058"
07/24/2023,"..2.24","..2.27","..2.22","..2.23","153,310"
07/19/2023,"..2.25","..2.27","..2.24","..2.24","185,631"
07/18/2023,"..2.22","..2.28","..2.23","..2.25","355,511"
07/17/2023,"..2.23","..2.28","..2.22","..2.22","720,811"
07/13/2023,"..2.22","..2.28","..2.20","..2.23","279,059"
07/12/2023,"..2.25","..2.28","..2.20","..2.22","263,821"
07/11/2023,"..2.23","..2.28","..2.22","..2.25","279,978"
07/10/2023,"..2.10","..2.28","..2.14","..2.23","399,385"
07/06/2023,"..2.33","..2.38","..2.28","..2.30","679,591"
07/05/2023,"..2.36","..2.40","..2.31","..2.33","568,937"
07/04/2023,"..2.36","..2.44","..2.35","..2.36","238,922"
06/26/2023,"..2.33","..2.37","..2.31","..2.36","337,135"
06/22/2023,"..2.43","..2.44","..2.38","..2.41","531,964"
06/21/2023,"..2.48","..2.50","..2.41","..2.43","416,153"
06/20/2023,"..2.50","..2.53","..2.45","..2.48","308,516"
06/19/2023,"..2.52","..2.57","..2.47","..2.50","756,047"
06/15/2023,"..2.44","..2.50","..2.42","..2.48","653,743"
06/14/2023,"..2.46","..2.52","..2.42","..2.44","862,202"
06/13/2023,"..2.53","..2.55","..2.45","..2.46","1,632,831"
06/12/2023,"..2.52","..2.56","..2.50","..2.53","414,086"
06/08/2023,"..2.54","..2.57","..2.52","..2.53","634,740"
06/07/2023,"..2.57","..2.62","..2.54","..2.54","1,174,078"
06/06/2023,"..2.62","..2.64","..2.56","..2.57","2,365,368"
06/05/2023,"..2.67","..2.79","..2.61","..2.62","4,582,131"
06/01/2023,"..2.50","..2.59","..2.48","..2.55","2,416,333"
05/31/2023,"..2.53","..2.61","..2.48","..2.50","3,433,376"
05/30/2023,"..2.51","..2.60","..2.48","..2.53","2,661,357"
05/29/2023,"..2.44","..2.57","..2.46","..2.51","3,457,970"
05/25/2023,"..2.41","..2.44","..2.36","..2.37","1,123,520"
05/24/2023,"..2.32","..2.47","..2.35","..2.41","1,928,030"
05/23/2023,"..2.30","..2.33","..2.28","..2.32","543,639"
05/22/2023,"..2.28","..2.32","..2.27","..2.30","332,106"
05/18/2023,"..2.28","..2.30","..2.25","..2.26","441,789"
05/17/2023,"..2.32","..2.35","..2.25","..2.28","265,161"
05/16/2023,"..2.33","..2.35","..2.30","..2.32","597,290"
05/15/2023,"..2.39","..2.40","..2.32","..2.33","887,894"
05/11/2023,"..2.47","..2.47","..2.39","..2.39","1,046,855"
05/10/2023,"..2.39","..2.47","..2.35","..2.47","1,331,512"
05/09/2023,"..2.45","..2.47","..2.38","..2.39","696,833"
05/08/2023,"..2.39","..2.47","..2.38","..2.45","646,709"
05/03/2023,"..2.41","..2.44","..2.38","..2.39","390,434"
05/02/2023,"..2.38","..2.44","..2.37","..2.41","614,841"
05/01/2023,"..2.44","..2.47","..2.37","..2.38","1,070,598"
04/27/2023,"..2.46","..2.59","..2.45","..2.54","1,751,857"
04/26/2023,"..2.43","..2.50","..2.41","..2.46","867,265"
04/19/2023,"..2.38","..2.48","..2.37","..2.43","1,686,834"
04/18/2023,"..2.36","..2.39","..2.35","..2.38","407,275"
04/13/2023,"..2.37","..2.41","..2.35","..2.36","492,762"
04/12/2023,"..2.38","..2.40","..2.36","..2.37","249,972"
04/11/2023,"..2.36","..2.41","..2.36","..2.38","372,444"
04/10/2023,"..2.37","..2.43","..2.35","..2.36","396,790"
04/06/2023,"..2.40","..2.51","..2.35","..2.37","2,395,713"
04/05/2023,"..2.40","..2.45","..2.36","..2.40","553,886"
04/04/2023,"..2.42","..2.48","..2.35","..2.40","1,245,730"
04/03/2023,"..2.30","..2.42","..2.30","..2.42","1,105,038"
03/30/2023,"..2.31","..2.37","..2.22","..2.22","952,959"
03/29/2023,"..2.24","..2.36","..2.26","..2.31","583,328"
03/28/2023,"..2.28","..2.32","..2.19","..2.24","1,044,452"
03/27/2023,"..2.34","..2.36","..2.24","..2.28","751,611"
03/23/2023,"..2.25","..2.32","..2.16","..2.25","233,164"
03/22/2023,"..2.33","..2.38","..2.24","..2.25","767,470"
03/21/2023,"..2.24","..2.40","..2.30","..2.33","1,098,780"
03/20/2023,"..2.06","..2.30","..2.10","..2.24","1,787,171"
03/16/2023,"..2.10","..2.23","..1.94","..2.09","1,634,477"
03/15/2023,"..2.35","..2.47","..1.90","..2.10","2,619,898"
03/14/2023,"..2.30","..2.43","..2.29","..2.35","757,206"
03/13/2023,"..2.55","..2.65","..2.26","..2.30","1,537,322"
03/09/2023,"..2.63","..2.68","..2.62","..2.66","1,093,817"
03/08/2023,"..2.63","..2.67","..2.58","..2.63","1,732,061"
03/07/2023,"..2.71","..2.73","..2.61","..2.63","678,993"
03/06/2023,"..2.72","..2.76","..2.70","..2.71","1,105,562"
03/02/2023,"..2.79","..2.83","..2.72","..2.74","2,030,059"
03/01/2023,"..2.65","..2.81","..2.64","..2.79","4,892,294"
02/28/2023,"..2.67","..2.69","..2.63","..2.65","1,037,110"
02/27/2023,"..2.66","..2.72","..2.66","..2.67","995,375"
02/23/2023,"..2.60","..2.70","..2.60","..2.65","1,043,708"
02/22/2023,"..2.66","..2.72","..2.58","..2.60","909,810"
02/21/2023,"..2.60","..2.69","..2.56","..2.66","1,780,157"
02/20/2023,"..2.68","..2.73","..2.57","..2.60","1,516,649"
02/16/2023,"..2.78","..2.80","..2.70","..2.71","1,439,168"
02/15/2023,"..2.71","..2.84","..2.72","..2.78","6,218,555"
02/14/2023,"..2.64","..2.76","..2.64","..2.71","4,321,482"
02/13/2023,"..2.64","..2.74","..2.62","..2.64","2,574,899"
02/09/2023,"..2.50","..2.65","..2.47","..2.63","3,033,015"
02/08/2023,"..2.52","..2.55","..2.48","..2.50","764,198"
02/07/2023,"..2.45","..2.54","..2.45","..2.52","897,566"
02/06/2023,"..2.45","..2.52","..2.42","..2.45","682,098"
02/02/2023,"..2.55","..2.60","..2.50","..2.51","1,778,294"
02/01/2023,"..2.54","..2.61","..2.53","..2.55","986,788"
01/31/2023,"..2.65","..2.72","..2.52","..2.54","2,289,538"
01/30/2023,"..2.75","..2.78","..2.64","..2.65","1,643,884"
01/25/2023,"..2.73","..2.81","..2.73","..2.76","2,952,515"
01/24/2023,"..2.80","..2.86","..2.72","..2.73","2,721,673"
01/23/2023,"..2.73","..2.90","..2.74","..2.80","7,554,586"
01/19/2023,"..2.75","..2.81","..2.72","..2.74","1,904,777"
01/18/2023,"..2.80","..2.87","..2.73","..2.75","2,754,518"
01/17/2023,"..2.81","..2.91","..2.78","..2.80","3,183,523"
01/16/2023,"..2.56","..2.94","..2.59","..2.81","6,002,145"
01/12/2023,"..2.69","..2.77","..2.49","..2.54","4,500,993"
01/11/2023,"..2.88","..2.93","..2.66","..2.69","6,755,195"
01/10/2023,"..3.05","..3.08","..2.85","..2.88","2,317,407"
01/09/2023,"..3.05","..3.19","..3.02","..3.05","4,797,429"
01/05/2023,"..3.12","..3.17","..3.03","..3.05","7,916,427"
01/04/2023,"..3.24","..3.28","..2.60","..3.12","4,682,677"
01/03/2023,"..3.21","..3.33","..3.22","..3.24","3,870,574"
01/02/2023,"..3.17","..3.24","..3.17","..3.21","1,440,794"
12/29/2022,"..3.22","..3.28","..3.14","..3.17","2,278,936"
12/28/2022,"..3.19","..3.27","..3.17","..3.22","1,113,126"
12/27/2022,"..3.25","..3.33","..3.17","..3.19","1,314,676"
12/26/2022,"..3.17","..3.29","..3.14","..3.25","1,741,731"
