Date,Open,High,Low,Close,Volume
09/21/2023,"..3.49","..3.40","..3.30","..3.49","64,822"
09/20/2023,"..3.49","..3.44","..3.22","..3.49","76,611"
09/19/2023,"..3.44","..3.59","..3.40","..3.49","202,502"
09/18/2023,"..3.44","..3.47","..3.39","..3.44","49,636"
09/14/2023,"..3.46","..3.49","..3.40","..3.41","128,132"
09/13/2023,"..3.45","..3.60","..3.42","..3.46","361,523"
09/12/2023,"..3.28","..3.66","..3.24","..3.45","1,091,762"
09/11/2023,"..3.35","..3.36","..3.21","..3.28","166,315"
09/07/2023,"..3.32","..3.43","..3.33","..3.35","346,406"
09/06/2023,"..3.42","..3.40","..3.30","..3.32","310,805"
09/05/2023,"..3.44","..3.60","..3.39","..3.42","627,294"
09/04/2023,"..3.53","..3.59","..3.40","..3.44","274,197"
08/31/2023,"..3.31","..3.89","..3.30","..3.56","1,467,150"
08/30/2023,"..3.29","..3.47","..3.25","..3.31","608,391"
08/29/2023,"..3.30","..3.42","..3.25","..3.29","289,586"
08/28/2023,"..3.29","..3.48","..3.28","..3.30","811,939"
08/24/2023,"..3.22","..3.44","..3.18","..3.22","533,078"
08/23/2023,"..3.02","..3.34","..2.97","..3.22","545,011"
08/22/2023,"..3.02","..2.97","..2.90","..3.02","21,610"
08/21/2023,"..3.02","..2.99","..2.99","..3.02","3,855"
08/17/2023,"..3.02","..2.99","..2.89","..3.02","26,870"
08/16/2023,"..3.02","..3.00","..3.00","..3.02","50"
08/15/2023,"..3.02","..3.00","..2.92","..3.02","90,225"
08/14/2023,"..3.02","..3.00","..2.95","..3.02","28,700"
08/10/2023,"..3.02","..3.00","..2.93","..3.02","14,000"
08/09/2023,"..3.02","..2.97","..2.95","..3.02","16,550"
08/07/2023,"..3.02","..3.09","..2.95","..3.02","18,108"
08/03/2023,"..3.02","..3.00","..2.96","..3.02","16,249"
08/02/2023,"..3.02","..3.00","..2.98","..3.02","10,900"
08/01/2023,"..3.12","..3.12","..2.90","..3.02","197,554"
07/31/2023,"..3.12","..2.99","..2.97","..3.12","27,404"
07/27/2023,"..3.12","..3.12","..2.90","..3.12","18,750"
07/26/2023,"..3.12","..3.00","..2.90","..3.12","101,619"
07/25/2023,"..3.12","..3.05","..2.95","..3.12","17,267"
07/24/2023,"..3.12","..3.05","..3.00","..3.12","49,275"
07/19/2023,"..3.12","..2.92","..2.90","..3.12","5,000"
07/17/2023,"..3.12","..3.00","..2.93","..3.12","37,956"
07/11/2023,"..3.12","..3.00","..2.96","..3.12","15,452"
07/10/2023,"..3.12","..3.00","..2.90","..3.12","56,906"
07/06/2023,"..3.12","..3.10","..3.03","..3.12","70,704"
07/05/2023,"..3.12","..3.04","..3.02","..3.12","12,823"
07/04/2023,"..3.12","..3.05","..3.01","..3.12","38,180"
06/26/2023,"..3.12","..3.09","..3.00","..3.12","45,850"
06/22/2023,"..3.12","..3.16","..3.01","..3.12","66,129"
06/21/2023,"..3.32","..3.17","..3.08","..3.12","103,507"
06/20/2023,"..3.32","..3.29","..3.17","..3.32","21,800"
06/19/2023,"..3.32","..3.28","..3.18","..3.32","36,369"
06/15/2023,"..3.32","..3.37","..3.18","..3.32","38,000"
06/14/2023,"..3.32","..3.25","..3.16","..3.32","63,109"
06/13/2023,"..3.32","..3.29","..3.13","..3.32","72,391"
06/08/2023,"..3.34","..3.45","..3.28","..3.32","114,490"
06/07/2023,"..3.46","..3.45","..3.28","..3.34","128,081"
06/06/2023,"..3.59","..3.60","..3.40","..3.46","609,152"
06/05/2023,"..3.41","..3.70","..3.34","..3.59","403,313"
06/01/2023,"..3.29","..3.37","..3.21","..3.29","55,973"
05/31/2023,"..3.29","..3.32","..3.20","..3.29","32,140"
05/30/2023,"..3.29","..3.30","..3.20","..3.29","71,300"
05/29/2023,"..3.28","..3.39","..3.23","..3.29","169,723"
05/25/2023,"..3.17","..3.19","..3.16","..3.17","15,950"
05/24/2023,"..3.34","..3.33","..3.12","..3.17","121,150"
05/23/2023,"..3.17","..3.35","..3.18","..3.34","394,981"
05/22/2023,"..3.22","..3.21","..3.09","..3.17","96,584"
05/18/2023,"..3.22","..3.22","..3.00","..3.22","80,827"
05/17/2023,"..3.22","..3.22","..3.01","..3.22","72,300"
05/16/2023,"..3.22","..3.11","..3.00","..3.22","68,130"
05/15/2023,"..3.22","..3.11","..3.11","..3.22","10,100"
05/11/2023,"..3.22","..3.19","..3.11","..3.22","22,099"
05/09/2023,"..3.22","..3.19","..3.09","..3.22","54,578"
05/08/2023,"..3.22","..3.22","..3.08","..3.22","27,438"
05/03/2023,"..3.22","..3.22","..3.06","..3.22","8,130"
