Date,Open,High,Low,Close,Volume
09/04/2023,"..3.18","..3.18","..3.18","..3.53","1,000"
08/29/2023,"..3.18","..3.18","..3.18","..3.53","5,002"
08/28/2023,"..3.18","..3.18","..3.18","..3.53","1,984"
08/09/2023,"..3.18","..3.18","..3.18","..3.53","3,840"
07/31/2023,"..3.18","..3.18","..3.18","..3.53","1,584"
07/18/2023,"..3.18","..3.18","..3.18","..3.53","1,000"
07/05/2023,"..3.18","..3.18","..3.18","..3.53","10,000"
07/04/2023,"..3.18","..3.18","..3.18","..3.53","1,739"
06/26/2023,"..3.18","..3.18","..3.18","..3.53","1,000"
06/15/2023,"..3.18","..3.18","..3.18","..3.53","1,315"
06/14/2023,"..3.18","..3.18","..3.18","..3.53","1,329"
06/01/2023,"..3.18","..3.18","..3.18","..3.53","22,000"
05/29/2023,"..3.18","..3.18","..3.18","..3.53","9,175"
05/25/2023,"..3.18","..3.18","..3.18","..3.53","10,354"
05/17/2023,"..3.18","..3.18","..3.18","..3.53","7,171"
05/15/2023,"..3.20","..3.20","..3.19","..3.53","7,500"
05/11/2023,"..3.27","..3.28","..3.25","..3.53","10,687"
05/10/2023,"..3.21","..3.21","..3.21","..3.53","571"
05/09/2023,"..3.24","..3.53","..3.22","..3.53","17,770"
05/08/2023,"..3.26","..3.30","..3.25","..3.53","12,460"
05/03/2023,"..3.50","..3.53","..3.37","..3.53","1,489"
05/02/2023,"..3.10","..3.65","..3.10","..3.53","84,463"
05/01/2023,"..3.12","..3.12","..3.06","..3.36","100"
04/27/2023,"..3.05","..3.55","..3.05","..3.36","4,550"
04/26/2023,"..3.31","..3.62","..3.31","..3.36","113,065"
04/19/2023,"..3.49","..3.49","..3.49","..3.67","35"
04/18/2023,"..3.31","..3.51","..3.31","..3.67","3,010"
04/13/2023,"..3.31","..3.31","..3.31","..3.67","119"
04/12/2023,"..3.31","..3.31","..3.31","..3.67","5,241"
04/11/2023,"..3.31","..3.31","..3.31","..3.67","5,869"
04/10/2023,"..3.31","..3.50","..3.31","..3.67","1,314"
04/06/2023,"..3.33","..3.68","..3.33","..3.67","1,930"
04/05/2023,"..3.33","..3.69","..3.33","..3.67","101,688"
04/04/2023,"..3.40","..3.48","..3.33","..3.69","2,100"
04/03/2023,"..3.37","..3.50","..3.36","..3.69","4,704"
03/29/2023,"..3.55","..3.57","..3.54","..3.69","8,000"
03/28/2023,"..3.55","..3.57","..3.36","..3.69","8,175"
03/27/2023,"..3.33","..3.57","..3.33","..3.69","2,098"
03/23/2023,"..3.60","..3.60","..3.59","..3.69","20,260"
03/22/2023,"..3.35","..3.35","..3.33","..3.69","1,400"
03/21/2023,"..3.62","..3.70","..3.56","..3.69","228,043"
03/20/2023,"..3.56","..3.56","..3.56","..3.95","20,565"
03/16/2023,"..3.60","..3.89","..3.56","..3.95","15,804"
03/15/2023,"..3.98","..3.98","..3.98","..3.95","2,000"
03/14/2023,"..3.56","..3.57","..3.56","..3.95","20,071"
03/13/2023,"..3.56","..3.56","..3.56","..3.95","4,856"
03/08/2023,"..3.56","..4.00","..3.56","..3.95","16,925"
03/07/2023,"..3.87","..4.00","..3.80","..3.95","364,275"
03/06/2023,"..3.87","..3.94","..3.64","..3.87","20,500"
03/02/2023,"..3.55","..3.57","..3.55","..3.76","1,548"
03/01/2023,"..3.55","..3.55","..3.55","..3.76","50"
02/28/2023,"..3.57","..3.80","..3.57","..3.76","105,053"
02/27/2023,"..3.57","..3.57","..3.57","..3.96","5,000"
02/23/2023,"..3.57","..3.58","..3.57","..3.96","15,000"
02/22/2023,"..3.57","..3.59","..3.57","..3.96","22,687"
02/21/2023,"..3.60","..3.65","..3.57","..3.96","29,422"
02/20/2023,"..3.65","..3.92","..3.60","..3.96","16,050"
02/16/2023,"..3.93","..4.01","..3.93","..3.96","256,598"
02/15/2023,"..3.82","..4.35","..3.58","..4.28","327,500"
02/14/2023,"..4.00","..4.09","..4.00","..3.97","3,095"
02/13/2023,"..3.76","..4.00","..3.76","..3.97","11,540"
02/09/2023,"..3.77","..4.02","..3.77","..3.83","48,939"
02/08/2023,"..3.61","..3.83","..3.60","..3.77","291,895"
02/07/2023,"..3.68","..3.83","..3.67","..3.83","91,167"
02/06/2023,"..3.64","..3.68","..3.40","..3.49","103,284"
02/02/2023,"..2.92","..3.05","..2.85","..3.05","15,930"
02/01/2023,"..3.03","..3.05","..3.03","..3.05","22,630"
01/31/2023,"..3.10","..3.10","..2.82","..3.05","1,925"
01/30/2023,"..2.85","..3.13","..2.80","..3.05","4,973"
01/25/2023,"..2.85","..2.85","..2.85","..3.05","4,500"
01/24/2023,"..3.05","..3.05","..3.05","..3.05","1,000"
01/23/2023,"..3.05","..3.24","..3.05","..3.05","1,150"
01/19/2023,"..3.05","..3.05","..2.90","..3.05","7,000"
01/18/2023,"..2.76","..3.09","..2.73","..3.05","56,834"
01/17/2023,"..2.85","..2.91","..2.73","..2.91","39,238"
01/16/2023,"..2.79","..2.97","..2.68","..2.91","67,637"
01/12/2023,"..2.79","..2.80","..2.70","..2.85","24,374"
01/11/2023,"..2.77","..2.80","..2.75","..2.85","39,200"
01/10/2023,"..2.74","..2.80","..2.74","..2.85","30,404"
01/09/2023,"..2.79","..2.79","..2.65","..2.85","7,980"
01/05/2023,"..2.70","..2.70","..2.69","..2.85","20,501"
01/03/2023,"..2.70","..2.70","..2.70","..2.85","24"
01/02/2023,"..2.80","..2.93","..2.80","..2.85","10,067"
12/29/2022,"..2.67","..2.67","..2.67","..2.85","180"
12/28/2022,"..2.72","..2.84","..2.65","..2.85","30,365"
12/27/2022,"..2.89","..2.89","..2.89","..2.85","24"
12/26/2022,"..2.71","..2.72","..2.71","..2.85","9,257"
12/22/2022,"..2.73","..2.80","..2.73","..2.93","8,396"
12/21/2022,"..2.80","..2.90","..2.80","..2.93","35,540"
12/20/2022,"..2.73","..2.85","..2.64","..2.93","28,413"
12/19/2022,"..2.90","..2.90","..2.64","..2.93","31,575"
12/15/2022,"..2.92","..2.92","..2.80","..2.93","34,000"
12/14/2022,"..3.05","..3.05","..2.93","..2.93","353,295"
12/13/2022,"..2.95","..3.05","..2.95","..3.05","139,221"
12/12/2022,"..3.00","..3.00","..2.85","..2.87","58,025"
12/08/2022,"..3.07","..3.10","..3.00","..3.00","12,200"
12/07/2022,"..3.00","..3.06","..2.86","..3.00","136,293"
12/06/2022,"..3.07","..3.09","..2.89","..3.00","198,578"
12/05/2022,"..3.00","..3.07","..2.92","..3.04","104,315"
12/01/2022,"..3.03","..3.14","..3.00","..3.12","13,300"
11/30/2022,"..3.12","..3.12","..3.01","..3.12","16,230"
11/29/2022,"..3.11","..3.11","..3.08","..3.12","21,350"
11/28/2022,"..3.05","..3.26","..3.02","..3.12","150,395"
11/24/2022,"..3.07","..3.14","..3.05","..3.11","56,672"
11/23/2022,"..3.10","..3.28","..3.04","..3.11","140,714"
11/22/2022,"..2.99","..3.34","..2.88","..3.26","399,637"
11/21/2022,"..2.99","..3.09","..2.85","..3.04","129,405"
