Date,Open,High,Low,Close,Volume
09/21/2023,"..1.47","..1.59","..1.45","..1.50","12,215,220"
09/20/2023,"..1.51","..1.52","..1.46","..1.47","17,235,510"
09/19/2023,"..1.48","..1.52","..1.48","..1.51","17,108,668"
09/18/2023,"..1.48","..1.48","..1.47","..1.48","4,256,257"
09/14/2023,"..1.42","..1.47","..1.43","..1.47","10,459,582"
09/13/2023,"..1.41","..1.43","..1.41","..1.42","2,862,039"
09/12/2023,"..1.42","..1.43","..1.40","..1.41","3,802,341"
09/11/2023,"..1.43","..1.44","..1.41","..1.42","6,435,488"
09/07/2023,"..1.44","..1.46","..1.44","..1.44","5,714,416"
09/06/2023,"..1.44","..1.48","..1.44","..1.44","14,854,730"
09/05/2023,"..1.40","..1.46","..1.41","..1.44","26,611,531"
09/04/2023,"..1.39","..1.42","..1.38","..1.40","8,401,035"
08/31/2023,"..1.40","..1.41","..1.37","..1.39","5,175,560"
08/30/2023,"..1.38","..1.43","..1.39","..1.40","35,811,061"
08/29/2023,"..1.33","..1.39","..1.33","..1.38","51,640,238"
08/28/2023,"..1.31","..1.35","..1.31","..1.33","21,245,355"
08/24/2023,"..1.34","..1.35","..1.32","..1.33","15,138,714"
08/23/2023,"..1.37","..1.38","..1.33","..1.34","18,099,790"
08/22/2023,"..1.37","..1.39","..1.35","..1.37","12,135,979"
08/21/2023,"..1.38","..1.39","..1.37","..1.37","6,476,338"
08/17/2023,"..1.40","..1.43","..1.35","..1.39","26,268,581"
08/16/2023,"..1.40","..1.42","..1.39","..1.40","20,178,913"
08/15/2023,"..1.41","..1.43","..1.40","..1.40","4,677,536"
08/14/2023,"..1.40","..1.42","..1.40","..1.41","9,947,149"
08/10/2023,"..1.41","..1.41","..1.38","..1.39","7,998,319"
08/09/2023,"..1.41","..1.42","..1.40","..1.41","5,244,248"
08/08/2023,"..1.42","..1.43","..1.41","..1.41","3,712,639"
08/07/2023,"..1.42","..1.44","..1.41","..1.42","4,624,515"
08/03/2023,"..1.41","..1.42","..1.38","..1.41","2,410,449"
08/02/2023,"..1.43","..1.43","..1.39","..1.41","4,161,630"
08/01/2023,"..1.44","..1.46","..1.43","..1.43","3,246,294"
07/31/2023,"..1.43","..1.46","..1.43","..1.44","2,614,730"
07/27/2023,"..1.44","..1.45","..1.43","..1.43","5,210,953"
07/26/2023,"..1.46","..1.47","..1.44","..1.44","3,621,121"
07/25/2023,"..1.48","..1.49","..1.46","..1.46","15,436,655"
07/24/2023,"..1.48","..1.52","..1.48","..1.48","3,229,111"
07/19/2023,"..1.49","..1.50","..1.48","..1.48","3,088,016"
07/18/2023,"..1.46","..1.49","..1.46","..1.49","2,857,281"
07/17/2023,"..1.46","..1.48","..1.46","..1.46","1,988,502"
07/13/2023,"..1.44","..1.48","..1.44","..1.46","5,368,567"
07/12/2023,"..1.44","..1.50","..1.43","..1.44","6,254,266"
07/11/2023,"..1.44","..1.46","..1.43","..1.44","5,347,265"
07/10/2023,"..1.41","..1.46","..1.41","..1.44","4,810,702"
07/06/2023,"..1.54","..1.55","..1.50","..1.50","3,662,435"
07/05/2023,"..1.55","..1.56","..1.54","..1.54","7,497,198"
07/04/2023,"..1.56","..1.58","..1.54","..1.55","1,865,600"
06/26/2023,"..1.53","..1.56","..1.52","..1.56","5,028,532"
06/22/2023,"..1.60","..1.61","..1.54","..1.58","19,009,777"
06/21/2023,"..1.62","..1.63","..1.59","..1.60","4,358,725"
06/20/2023,"..1.63","..1.66","..1.61","..1.62","8,829,937"
06/19/2023,"..1.67","..1.69","..1.63","..1.63","4,925,148"
06/15/2023,"..1.60","..1.64","..1.59","..1.62","7,861,486"
06/14/2023,"..1.64","..1.67","..1.60","..1.60","8,312,911"
06/13/2023,"..1.64","..1.67","..1.64","..1.64","8,082,171"
06/12/2023,"..1.66","..1.67","..1.64","..1.64","3,157,993"
06/08/2023,"..1.67","..1.69","..1.63","..1.65","14,162,675"
06/07/2023,"..1.60","..1.73","..1.64","..1.67","38,958,498"
06/06/2023,"..1.60","..1.63","..1.59","..1.60","14,732,554"
06/05/2023,"..1.54","..1.67","..1.54","..1.60","44,760,437"
06/01/2023,"..1.50","..1.56","..1.50","..1.53","11,383,058"
05/31/2023,"..1.50","..1.53","..1.49","..1.50","10,748,780"
05/30/2023,"..1.50","..1.52","..1.49","..1.50","11,459,285"
05/29/2023,"..1.52","..1.54","..1.48","..1.50","8,797,350"
05/25/2023,"..1.54","..1.55","..1.50","..1.52","9,732,604"
05/24/2023,"..1.54","..1.56","..1.53","..1.54","4,188,595"
05/23/2023,"..1.54","..1.56","..1.51","..1.54","3,961,124"
05/22/2023,"..1.56","..1.58","..1.53","..1.54","4,905,163"
05/18/2023,"..1.51","..1.52","..1.47","..1.52","7,105,600"
05/17/2023,"..1.54","..1.58","..1.49","..1.51","10,427,949"
05/16/2023,"..1.51","..1.55","..1.48","..1.54","10,889,221"
05/15/2023,"..1.58","..1.60","..1.50","..1.51","9,827,499"
05/11/2023,"..1.46","..1.51","..1.47","..1.49","6,695,261"
05/10/2023,"..1.46","..1.48","..1.44","..1.46","5,399,307"
05/09/2023,"..1.49","..1.50","..1.46","..1.46","3,707,220"
05/08/2023,"..1.45","..1.50","..1.45","..1.49","3,246,525"
05/03/2023,"..1.46","..1.48","..1.43","..1.46","3,045,279"
05/02/2023,"..1.46","..1.47","..1.43","..1.46","4,122,136"
05/01/2023,"..1.51","..1.52","..1.45","..1.46","6,628,912"
04/27/2023,"..1.43","..1.48","..1.43","..1.48","7,608,527"
04/26/2023,"..1.44","..1.46","..1.43","..1.43","5,249,753"
04/19/2023,"..1.43","..1.44","..1.41","..1.44","4,792,109"
04/18/2023,"..1.41","..1.44","..1.41","..1.43","1,835,328"
04/13/2023,"..1.43","..1.44","..1.39","..1.41","6,729,143"
04/12/2023,"..1.45","..1.50","..1.43","..1.43","5,467,154"
04/11/2023,"..1.45","..1.48","..1.44","..1.45","3,107,441"
04/10/2023,"..1.48","..1.50","..1.43","..1.45","5,161,999"
04/06/2023,"..1.51","..1.52","..1.47","..1.50","4,048,414"
04/05/2023,"..1.44","..1.51","..1.44","..1.51","18,941,689"
04/04/2023,"..1.37","..1.46","..1.38","..1.44","13,869,588"
