Date,Open,High,Low,Close,Volume
09/21/2023,"..1.84","..1.85","..1.82","..1.83","452,549"
09/20/2023,"..1.89","..1.89","..1.83","..1.84","1,005,933"
09/19/2023,"..1.90","..1.92","..1.89","..1.89","896,726"
09/18/2023,"..1.89","..1.95","..1.89","..1.90","2,093,290"
09/14/2023,"..1.89","..1.96","..1.86","..1.92","3,336,502"
09/13/2023,"..1.80","..1.89","..1.81","..1.89","3,993,029"
09/12/2023,"..1.81","..1.81","..1.79","..1.80","893,463"
09/11/2023,"..1.82","..1.83","..1.80","..1.81","509,023"
09/07/2023,"..1.81","..1.83","..1.80","..1.81","526,254"
09/06/2023,"..1.82","..1.84","..1.81","..1.81","1,086,647"
09/05/2023,"..1.84","..1.85","..1.81","..1.82","1,126,047"
09/04/2023,"..1.84","..1.85","..1.80","..1.84","2,305,439"
08/31/2023,"..1.85","..1.87","..1.83","..1.84","487,669"
08/30/2023,"..1.85","..1.87","..1.82","..1.85","757,150"
08/29/2023,"..1.80","..1.85","..1.80","..1.85","996,749"
08/28/2023,"..1.83","..1.84","..1.80","..1.80","1,795,426"
08/24/2023,"..1.83","..1.84","..1.80","..1.82","817,793"
08/23/2023,"..1.82","..1.85","..1.81","..1.83","1,035,671"
08/22/2023,"..1.88","..1.92","..1.80","..1.82","5,847,931"
08/21/2023,"..1.83","..1.88","..1.83","..1.88","1,178,140"
08/17/2023,"..1.90","..1.92","..1.87","..1.90","829,553"
08/16/2023,"..1.89","..1.91","..1.87","..1.90","846,531"
08/15/2023,"..1.89","..1.91","..1.84","..1.89","464,076"
08/14/2023,"..1.87","..1.92","..1.85","..1.89","501,131"
08/10/2023,"..1.90","..1.95","..1.90","..1.92","1,622,368"
08/09/2023,"..1.87","..1.92","..1.85","..1.90","354,181"
08/08/2023,"..1.87","..1.89","..1.85","..1.87","205,797"
08/07/2023,"..1.83","..1.88","..1.83","..1.87","287,608"
08/03/2023,"..1.84","..1.84","..1.82","..1.84","69,516"
08/02/2023,"..1.87","..1.86","..1.83","..1.84","179,967"
08/01/2023,"..1.85","..1.87","..1.83","..1.87","328,637"
07/31/2023,"..1.85","..1.87","..1.82","..1.85","97,566"
07/27/2023,"..1.86","..1.89","..1.81","..1.85","247,520"
07/26/2023,"..1.89","..1.89","..1.81","..1.86","199,903"
07/25/2023,"..1.90","..1.94","..1.84","..1.89","178,293"
07/19/2023,"..1.90","..1.92","..1.88","..1.90","235,124"
07/18/2023,"..1.94","..1.96","..1.88","..1.90","256,779"
07/17/2023,"..1.90","..1.97","..1.89","..1.94","841,157"
07/13/2023,"..1.78","..1.82","..1.76","..1.81","215,948"
07/12/2023,"..1.80","..1.82","..1.75","..1.78","251,188"
07/11/2023,"..1.80","..1.82","..1.78","..1.80","183,606"
07/10/2023,"..1.80","..1.87","..1.78","..1.80","112,209"
07/06/2023,"..1.86","..1.89","..1.85","..1.86","151,939"
07/05/2023,"..1.87","..1.90","..1.85","..1.86","224,941"
07/04/2023,"..1.87","..1.91","..1.86","..1.87","351,980"
06/26/2023,"..1.93","..1.92","..1.83","..1.87","695,281"
06/22/2023,"..1.96","..1.98","..1.92","..1.93","311,158"
06/21/2023,"..1.96","..1.98","..1.93","..1.96","140,965"
06/20/2023,"..1.98","..2.00","..1.95","..1.96","296,368"
06/19/2023,"..2.00","..2.02","..1.96","..1.98","233,779"
06/15/2023,"..1.99","..2.01","..1.97","..1.98","407,276"
06/14/2023,"..2.00","..2.03","..1.98","..1.99","276,965"
06/13/2023,"..2.00","..2.05","..2.00","..2.00","500,439"
06/12/2023,"..2.06","..2.09","..2.00","..2.00","397,651"
06/08/2023,"..1.98","..2.06","..1.98","..2.00","1,094,126"
06/07/2023,"..1.95","..1.99","..1.93","..1.98","779,555"
06/06/2023,"..1.94","..1.97","..1.93","..1.95","305,480"
06/05/2023,"..1.94","..1.96","..1.93","..1.94","608,394"
06/01/2023,"..1.92","..1.93","..1.90","..1.91","561,432"
05/31/2023,"..1.91","..1.93","..1.90","..1.92","488,760"
05/30/2023,"..1.87","..1.93","..1.87","..1.91","1,003,710"
05/29/2023,"..1.85","..1.88","..1.84","..1.87","552,653"
05/25/2023,"..1.86","..1.89","..1.85","..1.85","857,528"
05/24/2023,"..1.84","..1.89","..1.85","..1.86","1,771,410"
05/23/2023,"..1.83","..1.87","..1.82","..1.84","201,798"
05/22/2023,"..1.83","..1.87","..1.83","..1.83","350,675"
05/18/2023,"..1.90","..1.90","..1.81","..1.82","602,624"
05/17/2023,"..1.91","..1.94","..1.88","..1.90","396,155"
05/16/2023,"..1.90","..1.96","..1.87","..1.91","1,073,083"
05/15/2023,"..1.92","..1.95","..1.90","..1.90","1,350,703"
05/11/2023,"..1.85","..1.87","..1.84","..1.86","471,765"
05/10/2023,"..1.88","..1.90","..1.83","..1.85","1,015,284"
05/09/2023,"..1.80","..1.89","..1.82","..1.88","2,392,368"
