Date,Open,High,Low,Close,Volume
09/21/2023,"..5.22","..5.57","..5.06","..5.11","204,080"
09/20/2023,"..5.56","..5.56","..5.10","..5.22","103,205"
09/19/2023,"..5.67","..5.74","..5.41","..5.56","383,683"
09/18/2023,"..5.66","..5.80","..5.53","..5.67","194,898"
09/14/2023,"..5.29","..5.66","..5.30","..5.38","328,032"
09/13/2023,"..5.20","..5.59","..5.02","..5.29","429,567"
09/12/2023,"..4.55","..5.35","..4.59","..5.20","573,289"
09/11/2023,"..4.77","..4.79","..4.50","..4.55","72,303"
09/07/2023,"..4.90","..4.97","..4.52","..4.77","180,282"
09/06/2023,"..4.90","..5.00","..4.70","..4.90","63,536"
09/05/2023,"..4.62","..4.99","..4.55","..4.90","420,591"
09/04/2023,"..4.68","..4.80","..4.59","..4.62","112,506"
08/31/2023,"..4.63","..4.77","..4.39","..4.58","169,887"
08/30/2023,"..4.23","..4.90","..4.18","..4.63","525,103"
08/29/2023,"..4.07","..4.30","..4.00","..4.23","486,273"
08/28/2023,"..4.03","..4.15","..3.95","..4.07","601,441"
08/24/2023,"..3.64","..3.85","..3.58","..3.67","544,247"
08/23/2023,"..3.29","..3.85","..3.29","..3.64","1,460,391"
08/22/2023,"..3.18","..3.48","..2.93","..3.29","620,980"
08/21/2023,"..3.18","..3.07","..2.94","..3.18","16,249"
08/17/2023,"..3.18","..3.18","..2.96","..3.18","28,478"
08/16/2023,"..3.18","..3.18","..3.00","..3.18","26,979"
08/15/2023,"..3.18","..3.15","..2.98","..3.18","71,868"
08/14/2023,"..3.18","..3.18","..2.95","..3.18","50,986"
08/10/2023,"..3.18","..3.16","..3.05","..3.18","77,928"
08/09/2023,"..3.18","..3.14","..2.94","..3.18","97,300"
08/08/2023,"..3.18","..3.05","..2.91","..3.18","10,391"
08/07/2023,"..3.18","..3.08","..2.91","..3.18","19,427"
08/03/2023,"..3.18","..3.18","..2.90","..3.18","28,731"
08/02/2023,"..3.18","..3.18","..2.90","..3.18","24,943"
08/01/2023,"..3.18","..3.18","..2.93","..3.18","18,265"
07/31/2023,"..3.18","..3.18","..2.91","..3.18","1,554"
07/27/2023,"..3.18","..3.08","..2.90","..3.18","22,357"
07/26/2023,"..3.18","..3.18","..2.86","..3.18","20,710"
07/25/2023,"..3.18","..3.18","..2.90","..3.18","7,961"
07/24/2023,"..3.18","..3.04","..2.93","..3.18","3,169"
07/19/2023,"..3.18","..3.04","..2.92","..3.18","16,711"
07/18/2023,"..3.18","..3.18","..2.91","..3.18","10,801"
07/17/2023,"..3.18","..2.99","..2.90","..3.18","13,522"
07/13/2023,"..3.18","..3.18","..2.90","..3.18","14,438"
07/12/2023,"..3.18","..3.18","..2.90","..3.18","488"
07/11/2023,"..3.18","..3.18","..2.83","..3.18","2,823"
07/10/2023,"..3.18","..3.04","..2.80","..3.18","8,009"
07/06/2023,"..3.18","..3.18","..2.96","..3.18","10,291"
07/05/2023,"..3.18","..3.18","..2.92","..3.18","5,021"
07/04/2023,"..3.18","..3.18","..3.00","..3.18","13,829"
06/26/2023,"..3.18","..3.18","..2.82","..3.18","56,141"
06/22/2023,"..3.18","..3.18","..3.00","..3.18","38,071"
06/21/2023,"..3.18","..3.18","..3.06","..3.18","67,644"
06/20/2023,"..3.24","..3.48","..3.05","..3.18","247,299"
06/19/2023,"..3.24","..3.24","..3.05","..3.24","27,326"
06/15/2023,"..3.24","..3.24","..3.05","..3.24","1,623"
06/14/2023,"..3.24","..3.14","..3.05","..3.24","28,871"
06/13/2023,"..3.24","..3.24","..3.05","..3.24","13,312"
06/12/2023,"..3.24","..3.13","..3.07","..3.24","24,797"
06/08/2023,"..3.24","..3.24","..3.06","..3.24","55,811"
06/07/2023,"..3.28","..3.38","..3.17","..3.24","144,051"
06/06/2023,"..3.02","..3.33","..3.11","..3.28","242,920"
06/05/2023,"..3.02","..3.11","..3.05","..3.02","41,567"
06/01/2023,"..3.02","..3.13","..3.04","..3.02","26,343"
05/31/2023,"..3.02","..3.13","..3.04","..3.02","59,904"
05/30/2023,"..3.02","..3.14","..3.04","..3.02","51,860"
05/29/2023,"..3.02","..3.17","..3.07","..3.02","66,060"
