Date,Open,High,Low,Close,Volume
07/12/2023,"3.69","4.42","4.42","3.69","27"
07/04/2023,"4.42","4.42","4.42","3.69","1"
06/26/2023,"4.42","4.42","4.42","3.69","1"
06/22/2023,"4.42","4.42","4.42","3.69","1"
06/21/2023,"4.42","4.42","4.42","3.69","1"
06/20/2023,"3.69","4.42","4.42","3.69","1"
06/19/2023,"4.42","4.42","4.42","3.69","1"
06/15/2023,"3.69","4.42","4.42","3.69","1"
06/14/2023,"3.69","4.42","4.42","3.69","1"
06/13/2023,"3.69","4.42","4.42","3.69","1"
06/12/2023,"3.69","4.42","4.42","3.69","1"
06/08/2023,"3.69","4.42","4.42","3.69","1"
06/07/2023,"3.69","4.42","4.42","3.69","1"
06/06/2023,"3.69","4.42","4.42","3.69","1"
06/05/2023,"3.69","4.42","4.42","3.69","16"
06/01/2023,"3.69","4.42","4.42","3.69","1"
05/31/2023,"3.69","4.42","4.42","3.69","1"
03/15/2023,"3.69","4.42","4.42","3.69","100"
02/15/2023,"4.42","4.42","4.42","3.69","200"
01/30/2023,"3.69","4.42","4.42","3.69","12"
01/19/2023,"3.69","4.42","4.41","3.69","1,315"
12/28/2022,"3.69","4.42","4.42","3.69","118"
12/20/2022,"3.69","4.42","4.42","3.69","1,000"
12/05/2022,"3.69","4.42","4.42","3.69","362"
11/29/2022,"3.69","4.42","4.42","3.69","112"
11/24/2022,"3.69","4.42","4.42","3.69","577"
11/23/2022,"3.69","4.42","4.40","3.69","591"
11/22/2022,"3.08","3.69","3.69","3.69","12,220"
10/18/2022,"3.08","3.69","3.45","3.08","142"
10/17/2022,"3.08","3.69","3.41","3.08","168"
10/03/2022,"3.08","3.69","3.69","3.08","1,000"
