Date,Open,High,Low,Close,Volume
09/21/2023,"..9.43","..9.48","..9.33","..9.43","20,327"
09/20/2023,"..9.48","..9.50","..9.30","..9.43","65,777"
09/19/2023,"..9.43","..9.50","..9.37","..9.48","90,121"
09/18/2023,"..9.42","..9.49","..9.27","..9.43","94,202"
09/14/2023,"..9.41","..9.44","..9.25","..9.41","27,558"
09/13/2023,"..9.40","..9.43","..9.26","..9.41","67,284"
09/12/2023,"..9.38","..9.41","..9.20","..9.40","123,196"
09/11/2023,"..9.25","..9.40","..9.21","..9.38","71,585"
09/07/2023,"..9.24","..9.32","..9.12","..9.25","115,152"
09/06/2023,"..9.39","..9.41","..9.10","..9.24","200,519"
09/05/2023,"..9.30","..9.41","..9.23","..9.39","123,781"
09/04/2023,"..9.30","..9.40","..9.20","..9.30","58,989"
08/31/2023,"..9.37","..9.40","..9.00","..9.38","186,564"
08/30/2023,"..9.28","..9.39","..9.20","..9.37","143,494"
08/29/2023,"..9.29","..9.44","..9.12","..9.28","306,182"
08/28/2023,"..9.10","..9.31","..8.90","..9.29","359,319"
08/24/2023,"..8.65","..8.89","..8.60","..8.87","261,641"
08/23/2023,"..8.68","..8.74","..8.54","..8.65","180,031"
08/22/2023,"..8.54","..8.70","..8.43","..8.68","235,281"
08/21/2023,"..8.50","..8.59","..8.37","..8.54","88,327"
08/17/2023,"..8.36","..8.40","..8.24","..8.31","76,556"
08/16/2023,"..8.38","..8.44","..8.31","..8.36","179,690"
08/15/2023,"..8.37","..8.40","..8.28","..8.38","91,100"
08/14/2023,"..8.22","..8.43","..8.26","..8.37","51,934"
08/10/2023,"..8.35","..8.36","..8.13","..8.22","960,245"
08/09/2023,"..8.29","..8.36","..8.25","..8.35","102,398"
08/08/2023,"..8.25","..8.30","..8.20","..8.29","95,070"
08/07/2023,"..8.16","..8.28","..8.12","..8.25","68,661"
08/03/2023,"..8.24","..8.24","..8.11","..8.13","36,969"
08/02/2023,"..8.11","..8.26","..8.12","..8.24","70,889"
08/01/2023,"..8.14","..8.26","..8.10","..8.11","334,936"
07/31/2023,"..8.29","..8.28","..8.11","..8.14","66,904"
07/27/2023,"..8.30","..8.31","..8.19","..8.29","100,868"
07/26/2023,"..8.20","..8.30","..8.06","..8.30","179,439"
07/25/2023,"..8.12","..8.24","..8.08","..8.20","409,911"
07/24/2023,"..7.97","..8.36","..8.00","..8.12","347,365"
07/19/2023,"..7.95","..8.00","..7.91","..7.97","51,753"
07/18/2023,"..7.95","..8.03","..7.92","..7.95","71,366"
07/17/2023,"..7.90","..8.04","..7.91","..7.95","73,378"
07/13/2023,"..8.01","..8.06","..7.90","..7.95","166,519"
07/12/2023,"..8.01","..8.10","..7.90","..8.01","21,125"
07/11/2023,"..7.89","..8.07","..7.84","..8.01","106,031"
07/10/2023,"..7.81","..8.00","..7.80","..7.89","96,751"
07/06/2023,"..8.05","..8.20","..8.00","..8.00","203,140"
07/05/2023,"..8.30","..8.35","..7.90","..8.05","710,583"
