Date,Open,High,Low,Close,Volume
09/21/2023,"..6.23","..5.90","..5.71","..6.23","9,767"
09/20/2023,"..6.23","..5.93","..5.70","..6.23","26,811"
09/19/2023,"..6.23","..5.90","..5.74","..6.23","1,672"
09/18/2023,"..6.23","..5.93","..5.70","..6.23","9,859"
09/14/2023,"..6.23","..5.97","..5.65","..6.23","27,613"
09/13/2023,"..6.23","..5.85","..5.64","..6.23","5,018"
09/12/2023,"..6.23","..5.87","..5.63","..6.23","8,245"
09/11/2023,"..6.23","..5.90","..5.61","..6.23","14,485"
09/07/2023,"..6.23","..5.79","..5.61","..6.23","7,430"
09/06/2023,"..6.23","..5.88","..5.56","..6.23","15,036"
09/05/2023,"..6.23","..5.92","..5.71","..6.23","18,061"
09/04/2023,"..6.23","..6.25","..5.64","..6.23","46,615"
08/31/2023,"..5.59","..5.80","..5.42","..5.59","38,557"
08/30/2023,"..5.23","..5.80","..5.17","..5.59","69,300"
08/29/2023,"..5.23","..5.35","..5.13","..5.23","17,993"
08/28/2023,"..5.25","..5.45","..5.10","..5.23","67,524"
08/24/2023,"..6.02","..5.29","..5.14","..6.02","4,949"
08/23/2023,"..6.02","..5.30","..5.12","..6.02","11,462"
08/22/2023,"..6.02","..5.30","..5.16","..6.02","4,783"
08/21/2023,"..6.02","..5.30","..5.11","..6.02","5,682"
08/17/2023,"..6.02","..5.32","..5.16","..6.02","7,801"
08/16/2023,"..6.02","..5.36","..5.20","..6.02","4,576"
08/15/2023,"..6.02","..5.36","..5.18","..6.02","6,501"
08/14/2023,"..6.02","..5.35","..5.17","..6.02","13,478"
08/10/2023,"..6.02","..5.32","..5.17","..6.02","1,261"
08/09/2023,"..6.02","..5.32","..5.17","..6.02","2,828"
08/08/2023,"..6.02","..5.34","..5.18","..6.02","4,298"
08/07/2023,"..6.02","..5.39","..5.15","..6.02","2,902"
08/03/2023,"..6.02","..5.39","..5.12","..6.02","8,895"
08/02/2023,"..6.02","..5.39","..5.20","..6.02","3,042"
08/01/2023,"..6.02","..5.42","..5.19","..6.02","1,090"
07/31/2023,"..6.02","..5.43","..5.19","..6.02","5,596"
07/27/2023,"..6.02","..5.45","..5.11","..6.02","2,855"
07/26/2023,"..6.02","..5.45","..5.30","..6.02","2,469"
07/25/2023,"..6.02","..5.46","..5.30","..6.02","1,025"
07/24/2023,"..6.02","..5.47","..5.30","..6.02","1,038"
07/19/2023,"..6.02","..5.45","..5.30","..6.02","3,499"
07/18/2023,"..6.02","..5.44","..5.30","..6.02","2,735"
07/17/2023,"..6.02","..5.45","..5.30","..6.02","2,023"
07/13/2023,"..6.02","..5.45","..5.26","..6.02","4,320"
07/12/2023,"..6.02","..5.47","..5.27","..6.02","3,283"
07/11/2023,"..6.02","..5.47","..5.25","..6.02","9,849"
07/10/2023,"..6.02","..5.50","..5.25","..6.02","22,030"
07/06/2023,"..6.02","..5.58","..5.27","..6.02","4,151"
07/05/2023,"..6.02","..5.60","..5.25","..6.02","14,753"
07/04/2023,"..6.02","..5.50","..5.30","..6.02","3,642"
06/26/2023,"..5.27","..5.46","..5.27","..6.02","5,817"
06/22/2023,"..6.02","..5.64","..5.28","..6.02","17,471"
06/21/2023,"..6.02","..5.68","..5.36","..6.02","15,619"
06/20/2023,"..6.02","..5.50","..5.36","..6.02","9,586"
06/19/2023,"..6.02","..5.57","..5.31","..6.02","21,035"
06/15/2023,"..6.02","..5.50","..5.36","..6.02","3,803"
06/14/2023,"..6.02","..5.50","..5.36","..6.02","2,638"
06/13/2023,"..6.02","..5.49","..5.36","..6.02","2,419"
06/12/2023,"..6.02","..5.59","..5.36","..6.02","3,953"
06/08/2023,"..6.02","..5.65","..5.35","..6.02","1,271"
06/07/2023,"..6.02","..5.70","..5.31","..6.02","3,342"
06/06/2023,"..6.02","..5.70","..5.39","..6.02","5,717"
06/05/2023,"..6.02","..5.75","..5.39","..6.02","5,560"
06/01/2023,"..6.02","..5.60","..5.36","..6.02","2,729"
05/31/2023,"..6.02","..5.84","..5.31","..6.02","20,508"
05/30/2023,"..6.02","..5.70","..5.30","..6.02","22,816"
05/29/2023,"..6.02","..5.50","..5.24","..6.02","11,005"
05/25/2023,"..6.02","..5.34","..5.15","..6.02","42,772"
05/24/2023,"..6.02","..5.29","..5.12","..6.02","6,809"
05/23/2023,"..6.02","..5.30","..5.08","..6.02","14,889"
05/22/2023,"..6.02","..5.25","..5.07","..6.02","17,877"
05/18/2023,"..6.02","..5.25","..5.05","..6.02","9,072"
05/17/2023,"..6.02","..5.28","..5.11","..6.02","3,877"
05/16/2023,"..6.02","..5.24","..5.10","..6.02","7,426"
05/15/2023,"..6.02","..5.30","..5.14","..6.02","8,887"
05/11/2023,"..6.02","..5.33","..5.30","..6.02","1,163"
05/10/2023,"..6.02","..5.34","..5.10","..6.02","6,129"
05/09/2023,"..6.02","..5.39","..5.11","..6.02","20,199"
05/08/2023,"..6.02","..5.31","..5.00","..6.02","13,813"
05/03/2023,"..6.02","..5.31","..5.10","..6.02","1,125"
05/02/2023,"..6.02","..5.33","..5.16","..6.02","2,312"
05/01/2023,"..6.02","..5.31","..5.16","..6.02","1,404"
04/27/2023,"..6.02","..5.33","..5.25","..6.02","9,510"
04/26/2023,"..6.02","..5.40","..5.12","..6.02","12,305"
04/19/2023,"..6.02","..5.39","..5.15","..6.02","3,436"
04/18/2023,"..6.02","..5.40","..5.15","..6.02","1,937"
04/13/2023,"..6.02","..5.40","..5.14","..6.02","2,803"
04/12/2023,"..6.02","..5.40","..5.15","..6.02","2,817"
04/11/2023,"..6.02","..5.48","..5.13","..6.02","2,306"
04/10/2023,"..6.02","..5.40","..5.11","..6.02","3,873"
04/06/2023,"..6.02","..5.50","..5.25","..6.02","5,378"
04/05/2023,"..6.02","..5.44","..5.25","..6.02","2,686"
04/04/2023,"..6.02","..5.48","..5.25","..6.02","8,981"
04/03/2023,"..6.02","..5.39","..5.04","..6.02","5,503"
03/30/2023,"..6.02","..5.44","..5.20","..6.02","1,968"
03/29/2023,"..6.02","..5.42","..5.11","..6.02","1,801"
03/28/2023,"..6.02","..5.48","..5.10","..6.02","5,498"
03/27/2023,"..6.02","..5.48","..5.18","..6.02","5,578"
03/23/2023,"..6.02","..5.37","..5.10","..6.02","1,342"
03/22/2023,"..6.02","..5.40","..5.10","..6.02","8,369"
03/21/2023,"..6.02","..5.49","..5.00","..6.02","5,853"
03/20/2023,"..6.02","..5.55","..4.87","..6.02","7,763"
03/16/2023,"..6.02","..5.47","..4.83","..6.02","5,775"
03/15/2023,"..6.02","..5.48","..5.40","..6.02","3,000"
03/14/2023,"..6.02","..5.54","..5.00","..6.02","8,122"
03/13/2023,"..6.02","..5.63","..5.16","..6.02","1,301"
03/09/2023,"..6.02","..5.70","..5.23","..6.02","3,327"
03/08/2023,"..6.02","..5.70","..5.29","..6.02","4,938"
03/07/2023,"..6.02","..5.69","..5.30","..6.02","1,346"
03/06/2023,"..6.02","..5.71","..5.34","..6.02","6,670"
03/02/2023,"..6.02","..5.65","..5.22","..6.02","3,174"
03/01/2023,"..6.02","..5.65","..5.21","..6.02","145"
02/28/2023,"..6.02","..5.70","..5.17","..6.02","10,702"
02/27/2023,"..6.02","..5.70","..5.46","..6.02","5,273"
02/23/2023,"..6.02","..5.71","..5.44","..6.02","359"
02/22/2023,"..6.02","..5.73","..5.47","..6.02","8,465"
02/21/2023,"..6.02","..5.50","..5.45","..6.02","4,397"
02/20/2023,"..6.02","..5.75","..5.48","..6.02","7,661"
02/16/2023,"..6.02","..5.75","..5.50","..6.02","4,219"
02/15/2023,"..6.02","..5.79","..5.46","..6.02","1,776"
02/14/2023,"..6.02","..5.73","..5.52","..6.02","2,507"
02/13/2023,"..6.02","..5.79","..5.45","..6.02","6,600"
02/09/2023,"..6.02","..5.75","..5.34","..6.02","6,421"
02/08/2023,"..6.02","..5.80","..5.40","..6.02","3,523"
02/07/2023,"..6.02","..5.70","..5.35","..6.02","22"
02/06/2023,"..6.02","..5.70","..5.34","..6.02","4,654"
02/02/2023,"..6.02","..5.57","..5.50","..6.02","8,194"
02/01/2023,"..6.02","..5.85","..5.55","..6.02","3,219"
01/31/2023,"..6.02","..5.96","..5.50","..6.02","8,018"
01/30/2023,"..6.02","..5.96","..5.72","..6.02","4,990"
01/25/2023,"..6.02","..5.80","..5.62","..6.02","2,190"
01/24/2023,"..6.02","..5.80","..5.60","..6.02","18,251"
01/23/2023,"..6.02","..6.07","..5.60","..6.02","19,135"
01/19/2023,"..6.02","..6.08","..5.66","..6.02","3,469"
01/18/2023,"..6.02","..5.90","..5.60","..6.02","499"
01/17/2023,"..6.02","..5.91","..5.60","..6.02","5,981"
01/16/2023,"..6.02","..5.89","..5.63","..6.02","5,870"
01/12/2023,"..6.02","..5.89","..5.70","..6.02","11,797"
01/11/2023,"..6.02","..5.94","..5.76","..6.02","7,622"
01/10/2023,"..6.02","..6.00","..5.70","..6.02","18,654"
01/09/2023,"..6.02","..6.03","..5.82","..6.02","38,738"
01/05/2023,"..6.02","..6.05","..5.87","..6.02","21,911"
01/04/2023,"..6.02","..6.17","..5.87","..6.02","47,007"
01/03/2023,"..6.02","..6.10","..5.90","..6.02","13,737"
01/02/2023,"..6.02","..6.04","..5.86","..6.02","17,359"
12/29/2022,"..6.02","..6.25","..5.86","..6.02","19,160"
12/28/2022,"..6.02","..6.00","..5.86","..6.02","32,478"
12/27/2022,"..6.02","..6.10","..5.89","..6.02","42,370"
12/26/2022,"..6.02","..6.38","..5.00","..6.02","22,609"
12/22/2022,"..6.97","..6.89","..6.32","..6.97","1,587"
12/21/2022,"..6.97","..7.00","..6.26","..6.97","31,428"
12/20/2022,"..6.65","..6.98","..6.27","..6.97","69,835"
12/19/2022,"..6.65","..6.45","..6.10","..6.65","6,284"
12/15/2022,"..6.65","..6.65","..6.00","..6.65","35,624"
12/14/2022,"..6.65","..6.50","..6.00","..6.65","31,846"
12/13/2022,"..6.65","..6.22","..5.91","..6.65","17,674"
12/12/2022,"..6.65","..6.37","..5.91","..6.65","21,081"
12/08/2022,"..6.65","..6.50","..6.00","..6.65","21,125"
12/07/2022,"..6.65","..6.39","..5.78","..6.65","31,749"
12/06/2022,"..6.65","..5.90","..5.49","..6.65","23,798"
12/05/2022,"..6.65","..5.74","..5.45","..6.65","28,159"
12/01/2022,"..6.65","..5.74","..5.41","..6.65","825"
11/30/2022,"..6.65","..5.72","..5.40","..6.65","9,561"
11/29/2022,"..6.65","..5.76","..5.57","..6.65","6,221"
11/28/2022,"..6.65","..5.76","..5.41","..6.65","15,699"
11/24/2022,"..6.65","..5.79","..5.52","..6.65","8,115"
11/23/2022,"..6.65","..5.79","..5.40","..6.65","16,745"
11/22/2022,"..6.65","..6.65","..5.32","..6.65","14,547"
11/21/2022,"..6.65","..5.59","..5.50","..6.65","1,452"
11/17/2022,"..6.65","..5.52","..5.33","..6.65","3,718"
11/16/2022,"..6.65","..5.44","..5.32","..6.65","5,870"
11/15/2022,"..6.65","..5.44","..5.32","..6.65","1,249"
11/14/2022,"..6.65","..5.44","..5.32","..6.65","3,925"
11/10/2022,"..6.65","..5.43","..5.32","..6.65","4,550"
11/09/2022,"..6.65","..5.44","..5.32","..6.65","3,903"
11/08/2022,"..6.65","..5.45","..5.32","..6.65","455"
11/07/2022,"..6.65","..5.49","..5.32","..6.65","117"
11/03/2022,"..6.65","..5.49","..5.32","..6.65","1,463"
11/02/2022,"..6.65","..5.45","..5.32","..6.65","5,734"
11/01/2022,"..6.65","..5.45","..5.34","..6.65","3,549"
10/31/2022,"..6.65","..5.49","..5.34","..6.65","340"
10/27/2022,"..6.65","..5.60","..5.40","..6.65","9,634"
10/26/2022,"..6.65","..5.43","..5.33","..6.65","1,613"
10/25/2022,"..6.65","..5.44","..5.33","..6.65","727"
10/24/2022,"..6.65","..5.49","..5.32","..6.65","2,364"
10/20/2022,"..6.65","..5.41","..5.32","..6.65","2,090"
10/19/2022,"..6.65","..5.42","..5.32","..6.65","3,974"
10/18/2022,"..6.65","..5.41","..5.32","..6.65","140"
10/17/2022,"..6.65","..5.39","..5.32","..6.65","8,451"
10/13/2022,"..6.65","..5.32","..5.32","..6.65","12,020"
10/11/2022,"..6.65","..5.37","..5.35","..6.65","4,815"
10/10/2022,"..6.65","..5.40","..5.32","..6.65","2,202"
10/05/2022,"..6.65","..5.44","..5.32","..6.65","4,024"
10/04/2022,"..6.65","..5.44","..5.32","..6.65","4,769"
10/03/2022,"..6.65","..5.50","..5.32","..6.65","1,190"
09/29/2022,"..6.65","..5.50","..5.32","..6.65","32,993"
09/28/2022,"..6.65","..5.42","..5.32","..6.65","21,196"
09/27/2022,"..6.65","..5.65","..5.40","..6.65","1,066"
