Date,Open,High,Low,Close,Volume
09/21/2023,"..20.41","..20.75","..20.70","..20.41","2,100"
09/20/2023,"..20.41","..21.45","..20.20","..20.41","1,422"
09/19/2023,"..20.41","..20.80","..20.41","..20.41","8,101"
09/18/2023,"..20.41","..21.75","..20.70","..20.41","380"
09/14/2023,"..20.41","..20.30","..20.15","..20.41","713"
09/13/2023,"..20.41","..20.30","..20.30","..20.41","9"
09/07/2023,"..20.41","..20.70","..20.00","..20.41","2,280"
09/05/2023,"..20.41","..20.60","..20.00","..20.41","12,500"
09/04/2023,"..20.41","..20.00","..20.00","..20.41","270"
08/31/2023,"..20.41","..20.50","..19.90","..20.41","4,306"
08/30/2023,"..20.41","..20.49","..19.40","..20.41","1,109"
08/29/2023,"..20.41","..20.01","..19.22","..20.41","418"
08/24/2023,"..20.41","..20.68","..20.67","..20.41","195"
08/23/2023,"..20.41","..20.02","..20.00","..20.41","3,838"
08/17/2023,"..20.41","..20.50","..19.70","..20.41","3,152"
08/16/2023,"..20.41","..20.15","..19.80","..20.41","6,017"
08/15/2023,"..20.41","..19.95","..19.85","..20.41","686"
08/14/2023,"..20.41","..19.95","..19.61","..20.41","3,848"
08/10/2023,"..20.41","..19.95","..19.50","..20.41","104"
08/09/2023,"..20.41","..19.95","..19.95","..20.41","10"
08/08/2023,"..20.41","..19.95","..19.95","..20.41","220"
08/07/2023,"..20.41","..20.00","..19.50","..20.41","1,380"
08/03/2023,"..20.41","..20.64","..20.00","..20.41","478"
08/02/2023,"..20.41","..20.56","..19.03","..20.41","1,005"
08/01/2023,"..20.41","..20.00","..19.90","..20.41","3,001"
07/31/2023,"..20.41","..20.70","..19.35","..20.41","102"
07/27/2023,"..20.41","..20.70","..20.70","..20.41","10"
07/25/2023,"..20.41","..20.77","..19.03","..20.41","103"
07/24/2023,"..20.41","..21.00","..21.00","..20.41","45"
07/19/2023,"..20.41","..20.45","..19.25","..20.41","3,449"
07/18/2023,"..20.41","..20.45","..19.50","..20.41","60"
07/17/2023,"..20.41","..20.45","..19.25","..20.41","275"
07/12/2023,"..20.41","..19.00","..19.00","..20.41","968"
07/11/2023,"..20.41","..21.35","..19.50","..20.41","1,088"
07/06/2023,"..20.41","..21.00","..21.00","..20.41","1,152"
07/04/2023,"..20.41","..20.99","..20.99","..20.41","100"
06/26/2023,"..20.41","..21.00","..19.41","..20.41","601"
06/21/2023,"..20.41","..20.01","..19.56","..20.41","450"
06/19/2023,"..20.41","..21.56","..19.16","..20.41","3,222"
06/15/2023,"..20.41","..21.60","..20.35","..20.41","9,246"
06/12/2023,"..20.41","..20.25","..20.00","..20.41","1,569"
06/08/2023,"..20.41","..20.60","..20.60","..20.41","1,000"
06/07/2023,"..20.41","..20.62","..20.00","..20.41","3,590"
06/06/2023,"..20.41","..20.44","..20.44","..20.41","1,250"
06/05/2023,"..20.41","..19.75","..19.74","..20.41","590"
06/01/2023,"..20.41","..19.61","..19.05","..20.41","1,292"
05/30/2023,"..20.41","..21.59","..21.01","..20.41","2,409"
05/29/2023,"..20.41","..21.00","..21.00","..20.41","150"
05/25/2023,"..20.41","..20.00","..19.05","..20.41","262"
05/24/2023,"..20.41","..21.00","..20.00","..20.41","1,869"
05/23/2023,"..20.41","..21.00","..21.00","..20.41","237"
05/22/2023,"..20.41","..21.00","..18.90","..20.41","3,014"
05/18/2023,"..20.41","..20.00","..18.90","..20.41","514"
05/17/2023,"..20.41","..18.90","..18.90","..20.41","95"
05/15/2023,"..20.41","..20.00","..20.00","..20.41","123"
05/11/2023,"..20.41","..20.95","..20.00","..20.41","381"
05/09/2023,"..20.41","..19.10","..19.03","..20.41","990"
05/08/2023,"..20.41","..19.02","..18.86","..20.41","830"
05/03/2023,"..20.41","..23.97","..20.00","..20.41","4,668"
05/02/2023,"..20.41","..20.41","..18.70","..20.41","7,100"
05/01/2023,"..20.41","..18.88","..18.78","..20.41","1,000"
04/27/2023,"..20.41","..18.50","..18.50","..20.41","350"
04/26/2023,"..20.41","..18.50","..18.50","..20.41","265"
04/19/2023,"..20.41","..19.75","..18.21","..20.41","533"
04/18/2023,"..20.41","..18.21","..18.21","..20.41","1"
04/13/2023,"..20.41","..19.75","..18.21","..20.41","185"
04/11/2023,"..20.41","..19.75","..18.20","..20.41","533"
04/05/2023,"..20.41","..20.00","..18.70","..20.41","119"
04/04/2023,"..20.41","..20.00","..18.77","..20.41","60"
03/30/2023,"..20.41","..20.00","..18.12","..20.41","176"
03/28/2023,"..20.41","..20.00","..18.01","..20.41","569"
03/27/2023,"..20.41","..19.90","..19.90","..20.41","203"
03/23/2023,"..20.41","..19.00","..18.75","..20.41","1,066"
03/22/2023,"..20.41","..20.40","..19.00","..20.41","852"
03/21/2023,"..20.41","..18.75","..18.75","..20.41","2,500"
03/20/2023,"..20.41","..20.98","..18.39","..20.41","3,488"
03/16/2023,"..20.41","..21.39","..17.03","..20.41","201"
03/15/2023,"..20.41","..21.43","..17.10","..20.41","539"
03/13/2023,"..20.41","..19.00","..17.07","..20.41","7,909"
03/02/2023,"..20.41","..19.70","..19.53","..20.41","2,315"
03/01/2023,"..20.41","..21.30","..19.50","..20.41","495"
02/28/2023,"..20.41","..21.35","..19.01","..20.41","575"
02/27/2023,"..20.41","..21.30","..18.26","..20.41","5,279"
02/23/2023,"..20.41","..20.99","..19.01","..20.41","1,467"
02/22/2023,"..20.41","..20.98","..19.00","..20.41","610"
02/21/2023,"..20.41","..21.00","..18.20","..20.41","1,110"
02/20/2023,"..20.41","..21.50","..18.01","..20.41","498"
02/16/2023,"..20.41","..21.80","..17.88","..20.41","2,319"
02/15/2023,"..20.41","..22.00","..17.40","..20.41","212"
02/14/2023,"..20.41","..21.80","..17.31","..20.41","792"
02/13/2023,"..20.41","..22.00","..17.20","..20.41","1,529"
02/06/2023,"..20.41","..20.40","..19.05","..20.41","473"
02/02/2023,"..20.41","..19.05","..19.05","..20.41","1"
02/01/2023,"..20.41","..19.07","..19.07","..20.41","115"
01/31/2023,"..20.41","..19.49","..19.05","..20.41","754"
01/30/2023,"..20.41","..19.05","..19.05","..20.41","1"
01/25/2023,"..20.41","..20.00","..19.45","..20.41","1,422"
01/24/2023,"..20.41","..20.50","..19.05","..20.41","219"
01/23/2023,"..20.41","..20.60","..19.05","..20.41","729"
01/19/2023,"..20.41","..19.98","..19.05","..20.41","29"
01/18/2023,"..20.41","..19.98","..19.05","..20.41","822"
01/17/2023,"..20.41","..20.00","..19.60","..20.41","2,106"
01/16/2023,"..20.41","..19.06","..19.06","..20.41","234"
01/12/2023,"..20.41","..19.50","..19.05","..20.41","5,341"
01/11/2023,"..20.41","..19.10","..19.05","..20.41","1,340"
01/10/2023,"..20.41","..19.99","..19.05","..20.41","2,133"
01/09/2023,"..20.41","..20.00","..19.05","..20.41","613"
01/05/2023,"..20.41","..20.15","..19.15","..20.41","1,039"
01/04/2023,"..20.41","..20.20","..19.05","..20.41","1,418"
01/03/2023,"..20.41","..20.20","..19.05","..20.41","166"
01/02/2023,"..20.41","..19.20","..19.05","..20.41","5,339"
12/29/2022,"..20.41","..19.20","..18.80","..20.41","1,266"
12/28/2022,"..20.41","..20.11","..18.65","..20.41","93"
12/27/2022,"..20.41","..20.15","..18.50","..20.41","1,765"
12/26/2022,"..20.41","..20.40","..18.04","..20.41","513"
12/22/2022,"..20.41","..20.86","..18.02","..20.41","70"
12/21/2022,"..20.41","..20.43","..20.19","..20.41","82"
12/20/2022,"..20.41","..20.40","..18.00","..20.41","988"
12/19/2022,"..20.41","..20.41","..17.40","..20.41","4,268"
12/15/2022,"..20.41","..22.87","..18.50","..20.41","3,777"
12/14/2022,"..20.41","..20.00","..18.35","..20.41","6,763"
12/13/2022,"..20.41","..20.41","..17.70","..20.41","10,694"
12/12/2022,"..20.41","..19.00","..17.61","..20.41","4,270"
12/08/2022,"..20.41","..19.00","..17.20","..20.41","736"
12/07/2022,"..20.41","..17.90","..17.20","..20.41","650"
12/06/2022,"..20.41","..18.50","..17.21","..20.41","88"
12/05/2022,"..20.41","..18.33","..17.22","..20.41","545"
12/01/2022,"..20.41","..18.30","..17.23","..20.41","206"
11/30/2022,"..20.41","..18.33","..17.50","..20.41","290"
11/29/2022,"..20.41","..17.85","..17.25","..20.41","765"
11/28/2022,"..20.41","..18.35","..17.10","..20.41","2,868"
11/24/2022,"..20.41","..18.00","..17.00","..20.41","3,204"
11/23/2022,"..20.41","..17.50","..16.62","..20.41","1,975"
11/22/2022,"..20.41","..16.78","..16.63","..20.41","420"
11/21/2022,"..20.41","..18.25","..16.61","..20.41","829"
11/17/2022,"..20.41","..18.35","..16.35","..20.41","1,701"
11/16/2022,"..20.41","..17.20","..16.65","..20.41","1,126"
11/15/2022,"..20.41","..16.70","..16.65","..20.41","3,023"
11/14/2022,"..20.41","..16.70","..16.40","..20.41","5,735"
11/10/2022,"..20.41","..19.34","..16.33","..20.41","2,152"
11/09/2022,"..20.41","..18.35","..16.58","..20.41","149"
11/08/2022,"..20.41","..18.35","..16.51","..20.41","1,090"
11/02/2022,"..20.41","..18.99","..16.55","..20.41","257"
11/01/2022,"..20.41","..19.60","..16.50","..20.41","732"
