Date,Open,High,Low,Close,Volume
09/21/2023,"..60.00","..66.00","..64.00","..60.00","546"
09/20/2023,"..60.00","..65.00","..65.00","..60.00","6"
09/19/2023,"..60.00","..64.00","..62.02","..60.00","808"
09/18/2023,"..60.00","..64.00","..62.02","..60.00","6"
09/14/2023,"..60.00","..63.75","..61.75","..60.00","133"
09/13/2023,"..60.00","..63.75","..61.75","..60.00","9"
09/12/2023,"..60.00","..63.75","..61.68","..60.00","329"
09/11/2023,"..60.00","..63.75","..61.67","..60.00","267"
09/07/2023,"..60.00","..63.75","..62.50","..60.00","195"
09/06/2023,"..60.00","..63.50","..61.60","..60.00","100"
09/05/2023,"..60.00","..63.90","..62.00","..60.00","116"
09/04/2023,"..60.00","..63.90","..61.25","..60.00","154"
08/31/2023,"..60.00","..61.25","..60.01","..60.00","43"
08/30/2023,"..60.00","..61.25","..60.00","..60.00","21"
08/29/2023,"..60.00","..61.50","..59.42","..60.00","31"
08/28/2023,"..60.00","..59.40","..59.31","..60.00","332"
08/24/2023,"..60.00","..61.00","..59.15","..60.00","498"
08/23/2023,"..60.00","..61.00","..59.05","..60.00","100"
08/22/2023,"..60.00","..60.90","..58.46","..60.00","595"
08/21/2023,"..60.00","..60.99","..58.55","..60.00","91"
08/17/2023,"..60.00","..61.00","..58.01","..60.00","199"
08/16/2023,"..60.00","..60.30","..58.00","..60.00","81"
08/15/2023,"..60.00","..60.30","..57.70","..60.00","1,077"
08/14/2023,"..60.00","..60.98","..57.61","..60.00","261"
08/10/2023,"..60.00","..61.00","..57.30","..60.00","1,304"
08/09/2023,"..60.00","..60.00","..57.00","..60.00","367"
08/08/2023,"..60.00","..59.50","..59.00","..60.00","32"
08/07/2023,"..60.00","..59.00","..58.99","..60.00","473"
08/03/2023,"..60.00","..59.00","..56.40","..60.00","77"
08/02/2023,"..60.00","..59.05","..56.11","..60.00","27"
08/01/2023,"..60.00","..60.00","..55.80","..60.00","366"
07/31/2023,"..60.00","..58.40","..55.75","..60.00","174"
07/27/2023,"..60.00","..58.11","..58.11","..60.00","23"
07/26/2023,"..60.00","..59.00","..58.50","..60.00","378"
07/25/2023,"..60.00","..58.60","..58.06","..60.00","7"
07/24/2023,"..60.00","..60.19","..58.06","..60.00","17"
07/19/2023,"..60.00","..60.96","..57.18","..60.00","67"
