Date,Open,High,Low,Close,Volume
09/21/2023,"..13.19","..13.82","..13.19","..13.38","838,940"
09/20/2023,"..13.69","..14.50","..13.13","..13.19","3,355,978"
09/19/2023,"..13.62","..13.90","..13.20","..13.69","2,156,341"
09/18/2023,"..11.91","..14.08","..11.93","..13.62","4,924,372"
09/14/2023,"..11.61","..11.84","..11.51","..11.68","1,324,810"
09/13/2023,"..11.07","..11.75","..11.11","..11.61","1,598,335"
09/12/2023,"..11.26","..11.57","..11.05","..11.07","854,538"
09/11/2023,"..10.84","..11.48","..10.57","..11.26","1,896,301"
09/07/2023,"..10.53","..11.00","..10.46","..10.88","758,476"
09/06/2023,"..10.80","..11.11","..10.37","..10.53","674,209"
09/05/2023,"..10.93","..11.41","..10.75","..10.80","1,495,372"
09/04/2023,"..10.53","..11.25","..10.56","..10.93","1,721,853"
08/31/2023,"..11.40","..11.60","..10.82","..10.95","1,706,190"
08/30/2023,"..10.99","..11.44","..10.95","..11.40","2,148,223"
08/29/2023,"..11.24","..11.85","..10.92","..10.99","2,769,338"
08/28/2023,"..11.87","..11.87","..11.20","..11.24","1,882,295"
08/24/2023,"..10.16","..10.55","..10.10","..10.32","2,167,926"
08/23/2023,"..10.45","..10.70","..9.84","..10.16","3,323,744"
08/22/2023,"..9.83","..10.79","..9.80","..10.45","4,266,354"
08/21/2023,"..10.36","..10.50","..9.81","..9.83","2,586,682"
08/17/2023,"..9.02","..9.95","..9.06","..9.80","5,326,202"
08/16/2023,"..9.24","..9.37","..8.72","..9.02","2,305,741"
08/15/2023,"..9.41","..10.40","..9.11","..9.24","7,055,701"
08/14/2023,"..8.07","..9.48","..8.03","..9.41","9,853,851"
08/10/2023,"..6.74","..6.80","..6.58","..6.59","716,533"
08/09/2023,"..6.53","..6.79","..6.50","..6.74","1,390,167"
08/08/2023,"..6.50","..6.60","..6.49","..6.53","815,221"
08/07/2023,"..6.48","..6.60","..6.48","..6.50","804,962"
08/03/2023,"..6.46","..6.56","..6.42","..6.44","881,976"
08/02/2023,"..6.60","..6.77","..6.44","..6.46","1,748,184"
08/01/2023,"..6.54","..6.65","..6.54","..6.60","601,214"
07/31/2023,"..6.55","..6.62","..6.52","..6.54","490,729"
07/27/2023,"..6.48","..6.59","..6.46","..6.53","469,085"
07/26/2023,"..6.52","..6.60","..6.44","..6.48","365,219"
07/25/2023,"..6.66","..6.72","..6.50","..6.52","587,127"
07/24/2023,"..6.74","..6.81","..6.64","..6.66","679,763"
07/19/2023,"..6.54","..6.86","..6.56","..6.74","1,494,712"
07/18/2023,"..6.53","..6.60","..6.51","..6.54","601,431"
07/17/2023,"..6.56","..6.69","..6.51","..6.53","916,804"
07/13/2023,"..6.43","..6.56","..6.42","..6.46","410,234"
07/12/2023,"..6.60","..6.70","..6.39","..6.43","1,075,861"
07/11/2023,"..6.55","..6.75","..6.54","..6.60","956,295"
07/10/2023,"..6.42","..6.58","..6.34","..6.55","1,166,093"
07/06/2023,"..7.32","..7.46","..7.04","..7.06","1,896,570"
07/05/2023,"..7.35","..7.57","..7.20","..7.32","2,270,933"
07/04/2023,"..6.83","..7.35","..6.92","..7.35","3,506,547"
06/26/2023,"..6.68","..6.94","..6.71","..6.83","431,406"
06/22/2023,"..7.01","..7.15","..6.92","..6.94","1,133,293"
06/21/2023,"..7.13","..7.27","..6.96","..7.01","945,993"
06/20/2023,"..7.32","..7.42","..7.05","..7.13","1,009,508"
06/19/2023,"..7.29","..7.63","..7.25","..7.32","2,259,811"
06/15/2023,"..7.25","..7.58","..7.15","..7.23","3,499,925"
06/14/2023,"..6.46","..7.25","..6.52","..7.25","4,041,227"
06/13/2023,"..6.33","..6.47","..6.30","..6.46","396,651"
06/12/2023,"..6.33","..6.40","..6.33","..6.33","41,993"
06/08/2023,"..6.41","..6.45","..6.32","..6.36","235,281"
06/07/2023,"..6.53","..6.64","..6.40","..6.41","517,050"
06/06/2023,"..6.65","..6.70","..6.50","..6.53","490,682"
06/05/2023,"..6.63","..6.83","..6.57","..6.65","1,593,622"
06/01/2023,"..6.60","..6.78","..6.59","..6.60","999,507"
05/31/2023,"..6.68","..6.74","..6.60","..6.60","533,105"
05/30/2023,"..6.72","..6.78","..6.66","..6.68","782,131"
05/29/2023,"..6.72","..6.87","..6.66","..6.72","1,237,282"
05/25/2023,"..6.49","..6.57","..6.45","..6.49","623,402"
05/24/2023,"..6.33","..6.56","..6.35","..6.49","825,746"
05/23/2023,"..6.22","..6.38","..6.05","..6.33","172,990"
05/22/2023,"..6.29","..6.35","..6.18","..6.22","149,250"
05/18/2023,"..6.06","..6.28","..6.00","..6.23","332,987"
05/17/2023,"..6.13","..6.24","..6.01","..6.06","319,202"
05/16/2023,"..6.29","..6.33","..6.04","..6.13","309,434"
05/15/2023,"..6.44","..6.49","..6.27","..6.29","225,120"
05/11/2023,"..6.41","..6.48","..6.35","..6.37","398,435"
05/10/2023,"..6.46","..6.50","..6.30","..6.41","270,491"
05/09/2023,"..6.58","..6.66","..6.40","..6.46","343,692"
05/08/2023,"..6.41","..6.66","..6.47","..6.58","327,515"
05/03/2023,"..6.35","..6.43","..6.30","..6.37","366,710"
05/02/2023,"..6.44","..6.50","..6.29","..6.35","502,456"
05/01/2023,"..6.70","..6.74","..6.40","..6.44","449,507"
04/27/2023,"..6.77","..6.89","..6.72","..6.78","863,373"
04/26/2023,"..6.56","..6.80","..6.50","..6.77","1,107,630"
04/19/2023,"..6.49","..6.64","..6.49","..6.56","350,122"
04/18/2023,"..6.45","..6.55","..6.41","..6.49","393,174"
04/13/2023,"..6.48","..6.58","..6.40","..6.45","319,736"
04/12/2023,"..6.67","..6.85","..6.40","..6.48","700,763"
04/11/2023,"..6.40","..6.78","..6.44","..6.67","950,284"
04/10/2023,"..6.31","..6.46","..6.26","..6.40","231,874"
04/06/2023,"..6.50","..6.56","..6.35","..6.40","424,940"
04/05/2023,"..6.47","..6.67","..6.47","..6.50","833,444"
04/04/2023,"..6.39","..6.59","..6.32","..6.47","2,294,905"
04/03/2023,"..6.36","..6.57","..6.35","..6.39","817,005"
03/30/2023,"..6.39","..6.44","..6.11","..6.24","228,642"
03/29/2023,"..6.45","..6.57","..6.25","..6.39","264,505"
03/28/2023,"..6.52","..6.75","..6.30","..6.45","581,639"
03/27/2023,"..6.94","..7.05","..6.46","..6.52","738,816"
03/23/2023,"..6.17","..6.45","..6.10","..6.39","925,404"
03/22/2023,"..5.88","..6.40","..5.65","..6.17","1,684,013"
03/21/2023,"..5.60","..5.96","..5.68","..5.88","981,303"
03/20/2023,"..5.41","..5.77","..5.25","..5.60","866,696"
03/16/2023,"..5.25","..5.37","..4.70","..5.26","1,059,928"
03/15/2023,"..6.25","..6.47","..5.00","..5.25","905,299"
03/14/2023,"..6.12","..6.30","..6.00","..6.25","524,242"
03/13/2023,"..7.02","..7.10","..6.01","..6.12","671,973"
03/09/2023,"..7.11","..7.36","..7.10","..7.33","717,381"
03/08/2023,"..7.21","..7.25","..7.04","..7.11","423,667"
03/07/2023,"..7.44","..7.49","..7.18","..7.21","483,570"
03/06/2023,"..7.39","..7.58","..7.36","..7.44","604,380"
03/02/2023,"..7.58","..7.65","..7.41","..7.44","534,037"
03/01/2023,"..7.63","..7.82","..7.52","..7.58","1,421,714"
02/28/2023,"..7.46","..7.74","..7.41","..7.63","1,576,066"
02/27/2023,"..7.47","..7.58","..7.35","..7.46","610,250"
02/23/2023,"..7.54","..7.66","..7.44","..7.48","1,530,645"
02/22/2023,"..7.73","..7.96","..7.46","..7.54","2,083,794"
02/21/2023,"..7.17","..7.78","..7.20","..7.73","2,650,731"
02/20/2023,"..7.24","..7.49","..7.14","..7.17","1,180,576"
02/16/2023,"..7.48","..7.60","..7.35","..7.38","558,597"
02/15/2023,"..7.54","..7.70","..7.42","..7.48","1,115,430"
02/14/2023,"..7.37","..7.65","..7.45","..7.54","1,507,037"
02/13/2023,"..7.19","..7.54","..7.25","..7.37","2,781,504"
02/09/2023,"..7.01","..7.15","..7.00","..7.12","692,535"
02/08/2023,"..7.21","..7.31","..6.90","..7.01","1,374,544"
02/07/2023,"..6.93","..7.30","..7.00","..7.21","1,211,628"
02/06/2023,"..7.00","..7.26","..6.83","..6.93","1,656,280"
02/02/2023,"..7.70","..7.89","..6.23","..7.48","500,336"
02/01/2023,"..7.78","..7.92","..7.65","..7.70","256,256"
01/31/2023,"..7.98","..8.04","..7.65","..7.78","638,679"
01/30/2023,"..8.50","..8.64","..7.87","..7.98","989,982"
01/25/2023,"..8.16","..8.60","..8.25","..8.43","1,784,575"
01/24/2023,"..8.20","..8.31","..8.09","..8.16","668,014"
01/23/2023,"..8.20","..8.58","..8.11","..8.20","1,362,738"
01/19/2023,"..8.38","..8.53","..8.17","..8.20","1,159,716"
01/18/2023,"..8.10","..8.68","..8.22","..8.38","3,085,696"
01/17/2023,"..7.37","..8.20","..7.60","..8.10","2,191,739"
01/16/2023,"..7.06","..7.44","..7.20","..7.37","209,608"
01/12/2023,"..7.44","..7.48","..7.30","..7.35","153,633"
01/11/2023,"..7.38","..7.70","..7.38","..7.44","660,718"
01/10/2023,"..7.67","..7.78","..7.35","..7.38","348,472"
01/09/2023,"..7.81","..7.93","..7.63","..7.67","778,908"
01/05/2023,"..7.86","..8.00","..7.79","..7.81","398,006"
01/04/2023,"..7.99","..8.13","..7.65","..7.86","746,342"
01/03/2023,"..7.74","..8.06","..7.80","..7.99","708,943"
01/02/2023,"..7.56","..7.77","..7.63","..7.74","359,622"
12/29/2022,"..7.63","..7.75","..7.53","..7.56","659,934"
12/28/2022,"..7.47","..7.75","..7.55","..7.63","600,879"
12/27/2022,"..7.48","..7.69","..7.41","..7.47","411,094"
12/26/2022,"..7.34","..7.55","..7.33","..7.48","284,663"
12/22/2022,"..7.79","..7.88","..7.56","..7.62","430,142"
