Date,Open,High,Low,Close,Volume
09/21/2023,"..66.62","..65.00","..60.23","..66.62","1,827"
09/20/2023,"..66.62","..65.00","..60.02","..66.62","3,669"
09/19/2023,"..66.62","..65.20","..63.51","..66.62","3,565"
09/18/2023,"..65.47","..68.29","..65.00","..66.62","6,489"
09/14/2023,"..63.10","..63.10","..61.51","..63.10","1,696"
09/13/2023,"..63.10","..65.39","..62.00","..63.10","4,483"
09/12/2023,"..64.38","..65.50","..62.09","..63.10","6,994"
09/11/2023,"..67.13","..67.23","..63.00","..64.38","11,543"
09/07/2023,"..67.13","..68.50","..66.00","..67.13","3,819"
09/06/2023,"..67.42","..71.87","..66.06","..67.13","9,913"
09/05/2023,"..69.59","..70.87","..67.06","..67.42","13,735"
09/04/2023,"..75.10","..75.00","..65.00","..69.59","18,386"
08/31/2023,"..76.79","..78.80","..75.21","..76.79","2,983"
08/30/2023,"..80.65","..82.00","..76.00","..76.79","19,660"
08/29/2023,"..81.16","..86.33","..80.00","..80.65","47,119"
08/28/2023,"..81.59","..85.88","..80.30","..81.16","28,376"
08/24/2023,"..80.00","..84.00","..78.50","..81.99","14,778"
08/23/2023,"..74.89","..81.30","..74.89","..80.00","25,964"
08/22/2023,"..75.43","..78.25","..73.15","..74.89","15,551"
08/21/2023,"..76.78","..81.20","..75.01","..75.43","24,525"
08/17/2023,"..66.15","..74.99","..64.70","..73.04","31,687"
08/16/2023,"..66.66","..72.00","..61.00","..66.15","40,599"
08/15/2023,"..57.65","..67.00","..48.50","..66.66","39,546"
08/14/2023,"..57.65","..50.43","..47.30","..57.65","2,564"
08/10/2023,"..57.65","..50.99","..47.86","..57.65","118"
08/09/2023,"..57.65","..48.04","..47.85","..57.65","311"
08/08/2023,"..57.65","..51.42","..48.50","..57.65","1,498"
08/07/2023,"..57.65","..49.89","..47.85","..57.65","1,740"
08/03/2023,"..57.65","..50.96","..46.12","..57.65","4,245"
08/02/2023,"..57.65","..51.00","..47.50","..57.65","1,171"
08/01/2023,"..57.65","..51.19","..48.93","..57.65","168"
07/31/2023,"..57.65","..51.58","..48.91","..57.65","38"
07/27/2023,"..57.65","..50.60","..49.01","..57.65","615"
07/26/2023,"..57.65","..52.35","..48.50","..57.65","676"
07/25/2023,"..57.65","..52.76","..50.17","..57.65","406"
07/24/2023,"..57.65","..52.98","..50.06","..57.65","474"
07/19/2023,"..57.65","..53.00","..50.85","..57.65","1,611"
07/18/2023,"..57.65","..51.03","..50.65","..57.65","1,300"
07/17/2023,"..57.65","..54.87","..50.54","..57.65","877"
07/13/2023,"..57.65","..55.79","..52.18","..57.65","1,327"
07/12/2023,"..57.65","..56.95","..51.94","..57.65","2,000"
07/11/2023,"..57.65","..56.41","..51.27","..57.65","4,465"
07/10/2023,"..57.65","..59.50","..54.25","..57.65","4,266"
07/06/2023,"..49.90","..57.07","..49.90","..56.72","9,418"
07/05/2023,"..47.56","..49.00","..44.95","..47.56","4,999"
07/04/2023,"..47.56","..45.61","..43.00","..47.56","884"
06/22/2023,"..47.56","..43.90","..43.80","..47.56","158"
06/21/2023,"..47.56","..46.20","..43.50","..47.56","2,024"
06/20/2023,"..47.56","..45.00","..44.00","..47.56","2,612"
06/19/2023,"..47.56","..44.94","..43.61","..47.56","1,190"
06/15/2023,"..47.56","..45.40","..44.00","..47.56","751"
06/14/2023,"..47.56","..45.00","..43.76","..47.56","998"
06/13/2023,"..47.56","..45.86","..43.60","..47.56","4,975"
06/12/2023,"..47.56","..45.60","..44.12","..47.56","863"
06/08/2023,"..47.56","..44.82","..44.04","..47.56","995"
06/07/2023,"..47.56","..44.91","..44.68","..47.56","269"
06/06/2023,"..47.56","..46.40","..44.18","..47.56","1,125"
06/05/2023,"..47.56","..46.50","..45.53","..47.56","75"
06/01/2023,"..47.56","..46.48","..45.50","..47.56","2,277"
05/31/2023,"..47.56","..46.90","..45.02","..47.56","1,278"
05/30/2023,"..47.56","..46.75","..45.53","..47.56","434"
05/29/2023,"..47.56","..47.40","..45.52","..47.56","3,050"
05/25/2023,"..47.56","..45.10","..44.86","..47.56","657"
05/24/2023,"..47.56","..46.87","..43.50","..47.56","1,286"
05/23/2023,"..47.56","..46.90","..44.05","..47.56","470"
05/22/2023,"..47.56","..47.48","..41.02","..47.56","2,327"
05/18/2023,"..47.56","..47.79","..46.28","..47.56","3,628"
05/17/2023,"..47.56","..48.29","..46.13","..47.56","394"
05/16/2023,"..47.56","..47.31","..46.05","..47.56","4,027"
05/15/2023,"..47.56","..50.00","..48.10","..47.56","1,059"
05/11/2023,"..50.99","..48.50","..46.35","..47.56","6,353"
05/10/2023,"..50.99","..47.68","..46.30","..50.99","3,108"
05/09/2023,"..50.99","..48.00","..46.01","..50.99","2,114"
05/08/2023,"..50.99","..47.40","..46.03","..50.99","2,367"
05/03/2023,"..50.99","..48.00","..46.26","..50.99","2,615"
05/02/2023,"..50.99","..48.00","..46.90","..50.99","1,659"
05/01/2023,"..50.99","..49.72","..47.00","..50.99","4,196"
04/27/2023,"..55.02","..51.00","..49.25","..50.99","8,348"
04/26/2023,"..55.02","..52.00","..50.50","..55.02","2,445"
04/19/2023,"..55.02","..55.02","..51.50","..55.02","5,119"
04/18/2023,"..55.02","..52.90","..50.51","..55.02","4,440"
04/13/2023,"..55.02","..53.48","..50.53","..55.02","2,059"
04/12/2023,"..55.02","..56.32","..50.26","..55.02","3,711"
04/11/2023,"..55.02","..53.00","..50.26","..55.02","2,696"
04/10/2023,"..55.02","..52.51","..50.81","..55.02","555"
04/06/2023,"..55.02","..51.90","..50.10","..55.02","3,258"
04/05/2023,"..55.02","..53.71","..50.35","..55.02","1,254"
04/04/2023,"..55.02","..52.00","..50.13","..55.02","2,885"
04/03/2023,"..55.02","..53.00","..50.02","..55.02","1,964"
03/30/2023,"..55.02","..51.00","..50.09","..55.02","364"
03/29/2023,"..55.02","..51.00","..50.62","..55.02","584"
03/28/2023,"..55.02","..51.00","..49.01","..55.02","1,672"
03/27/2023,"..55.02","..53.00","..50.70","..55.02","922"
03/23/2023,"..55.02","..51.10","..51.10","..55.02","58"
03/22/2023,"..55.02","..58.49","..50.01","..55.02","4,529"
03/21/2023,"..55.02","..52.55","..52.04","..55.02","961"
03/20/2023,"..55.02","..54.00","..48.66","..55.02","1,393"
03/16/2023,"..55.02","..54.49","..47.00","..55.02","942"
