Date,Open,High,Low,Close,Volume
09/21/2023,"..0.80","..0.84","..0.80","..0.83","770,426"
09/20/2023,"..0.80","..0.82","..0.80","..0.80","775,837"
09/19/2023,"..0.80","..0.82","..0.80","..0.80","323,317"
09/18/2023,"..0.80","..0.82","..0.80","..0.80","120,730"
09/14/2023,"..0.81","..0.82","..0.81","..0.81","90,901"
09/13/2023,"..0.81","..0.82","..0.81","..0.81","52,091"
09/12/2023,"..0.83","..0.83","..0.80","..0.81","408,269"
09/11/2023,"..0.83","..0.84","..0.81","..0.83","325,992"
09/07/2023,"..0.83","..0.84","..0.81","..0.83","71,805"
09/06/2023,"..0.83","..0.83","..0.81","..0.83","213,056"
09/05/2023,"..0.83","..0.85","..0.82","..0.83","489,424"
09/04/2023,"..0.83","..0.85","..0.82","..0.83","312,924"
08/31/2023,"..0.85","..0.84","..0.83","..0.85","199,810"
08/30/2023,"..0.85","..0.87","..0.83","..0.85","562,274"
08/29/2023,"..0.84","..0.92","..0.83","..0.85","2,162,848"
08/28/2023,"..0.84","..0.85","..0.82","..0.84","134,490"
08/24/2023,"..0.84","..0.85","..0.81","..0.84","247,405"
08/23/2023,"..0.85","..0.85","..0.82","..0.84","513,523"
08/22/2023,"..0.84","..0.86","..0.84","..0.85","533,986"
08/21/2023,"..0.82","..0.88","..0.80","..0.84","1,774,178"
08/17/2023,"..0.85","..0.86","..0.81","..0.82","486,018"
08/16/2023,"..0.87","..0.86","..0.84","..0.85","769,610"
08/15/2023,"..0.87","..0.87","..0.85","..0.87","118,684"
08/14/2023,"..0.87","..0.87","..0.85","..0.87","119,604"
08/10/2023,"..0.87","..0.87","..0.86","..0.87","73,827"
08/09/2023,"..0.87","..0.88","..0.87","..0.87","70,266"
08/08/2023,"..0.87","..0.89","..0.87","..0.87","167,603"
08/07/2023,"..0.87","..0.88","..0.86","..0.87","377,311"
08/03/2023,"..0.90","..0.92","..0.89","..0.90","289,563"
08/02/2023,"..0.94","..0.99","..0.90","..0.90","1,967,671"
08/01/2023,"..0.93","..0.96","..0.89","..0.94","1,509,183"
07/31/2023,"..0.93","..0.94","..0.90","..0.93","159,038"
07/27/2023,"..1.00","..1.02","..0.93","..0.93","2,033,370"
07/26/2023,"..1.05","..1.10","..0.98","..1.00","1,545,738"
07/25/2023,"..1.07","..1.15","..0.94","..1.05","1,854,589"
07/19/2023,"..1.07","..1.00","..0.95","..1.07","44,164"
07/18/2023,"..1.07","..1.01","..1.00","..1.07","134,748"
07/17/2023,"..1.07","..1.00","..1.00","..1.07","245,206"
07/13/2023,"..1.07","..1.04","..0.92","..1.07","130,434"
07/12/2023,"..1.07","..0.98","..0.92","..1.07","28,855"
07/11/2023,"..1.07","..0.99","..0.92","..1.07","52,875"
07/10/2023,"..1.07","..1.00","..0.90","..1.07","4,643"
07/06/2023,"..1.07","..1.00","..0.98","..1.07","83,907"
07/05/2023,"..1.07","..1.05","..0.98","..1.07","60,850"
07/04/2023,"..1.07","..1.06","..0.98","..1.07","37,910"
06/26/2023,"..1.07","..1.10","..1.03","..1.07","135,000"
06/22/2023,"..1.07","..1.03","..0.96","..1.07","129,650"
06/21/2023,"..1.07","..1.06","..1.00","..1.07","134,302"
06/20/2023,"..1.07","..1.11","..1.06","..1.07","99,530"
06/19/2023,"..1.13","..1.09","..1.06","..1.07","589,084"
06/15/2023,"..1.13","..1.10","..1.07","..1.13","185,922"
06/14/2023,"..1.13","..1.14","..1.09","..1.13","219,014"
06/13/2023,"..1.13","..1.15","..1.05","..1.13","1,260,409"
06/12/2023,"..1.13","..1.12","..1.09","..1.13","20,175"
06/08/2023,"..1.13","..1.15","..1.05","..1.13","650,084"
06/07/2023,"..1.13","..1.13","..1.05","..1.13","268,644"
06/06/2023,"..1.12","..1.17","..1.00","..1.13","1,748,631"
06/05/2023,"..1.02","..1.15","..1.00","..1.12","1,068,855"
06/01/2023,"..0.97","..0.98","..0.90","..0.92","668,321"
05/31/2023,"..0.97","..0.95","..0.90","..0.97","216,073"
05/30/2023,"..0.97","..0.99","..0.90","..0.97","84,681"
05/29/2023,"..0.97","..1.00","..0.92","..0.97","152,117"
05/25/2023,"..0.92","..0.94","..0.88","..0.92","482,747"
05/24/2023,"..0.95","..0.95","..0.80","..0.92","1,686,986"
05/23/2023,"..0.95","..0.85","..0.82","..0.95","71,609"
05/22/2023,"..0.95","..0.86","..0.80","..0.95","115,341"
05/18/2023,"..0.95","..0.95","..0.81","..0.95","181,094"
05/17/2023,"..0.95","..0.95","..0.84","..0.95","20,020"
05/16/2023,"..0.95","..0.95","..0.82","..0.95","32,050"
05/15/2023,"..0.95","..0.87","..0.85","..0.95","95,870"
05/11/2023,"..0.95","..0.95","..0.83","..0.95","175,157"
05/10/2023,"..0.95","..0.87","..0.82","..0.95","173,679"
05/09/2023,"..0.95","..0.87","..0.83","..0.95","102,132"
05/08/2023,"..0.95","..0.87","..0.81","..0.95","95,960"
05/03/2023,"..0.95","..0.95","..0.86","..0.95","4,741"
05/02/2023,"..0.95","..0.95","..0.85","..0.95","2,100"
05/01/2023,"..0.95","..0.91","..0.80","..0.95","92,129"
04/27/2023,"..0.95","..0.91","..0.90","..0.95","25,285"
04/26/2023,"..0.95","..0.90","..0.90","..0.95","8,661"
04/19/2023,"..0.95","..0.95","..0.86","..0.95","35,460"
04/18/2023,"..0.95","..0.91","..0.86","..0.95","13,038"
04/13/2023,"..0.95","..0.95","..0.87","..0.95","5,590"
04/12/2023,"..0.95","..0.91","..0.88","..0.95","14,231"
04/11/2023,"..0.95","..0.91","..0.90","..0.95","3,202"
04/10/2023,"..0.95","..0.91","..0.90","..0.95","25,852"
04/06/2023,"..0.95","..0.90","..0.86","..0.95","49,495"
04/05/2023,"..0.95","..0.90","..0.85","..0.95","83,255"
04/04/2023,"..0.95","..0.90","..0.85","..0.95","38,814"
04/03/2023,"..0.95","..0.90","..0.84","..0.95","72,198"
03/30/2023,"..0.95","..0.86","..0.84","..0.95","94,937"
03/29/2023,"..0.95","..0.86","..0.84","..0.95","56,719"
03/28/2023,"..0.95","..0.86","..0.84","..0.95","75,300"
03/27/2023,"..0.95","..0.89","..0.86","..0.95","80,830"
03/23/2023,"..0.95","..0.95","..0.84","..0.95","129,900"
03/22/2023,"..1.00","..1.00","..0.83","..0.95","644,824"
03/21/2023,"..1.00","..0.87","..0.82","..1.00","75,500"
03/20/2023,"..1.00","..0.88","..0.81","..1.00","34,307"
03/16/2023,"..1.00","..0.87","..0.80","..1.00","113,475"
03/15/2023,"..1.00","..0.89","..0.84","..1.00","185,770"
03/14/2023,"..1.00","..0.93","..0.86","..1.00","45,293"
03/13/2023,"..1.00","..0.92","..0.87","..1.00","74,570"
03/09/2023,"..1.00","..0.94","..0.91","..1.00","5,107"
03/08/2023,"..1.00","..0.94","..0.91","..1.00","3,519"
03/07/2023,"..1.00","..0.94","..0.92","..1.00","17,241"
03/06/2023,"..1.00","..0.95","..0.95","..1.00","2,211"
03/02/2023,"..1.00","..0.95","..0.93","..1.00","30,000"
03/01/2023,"..1.00","..0.95","..0.93","..1.00","262,230"
02/28/2023,"..1.00","..0.95","..0.93","..1.00","87,422"
02/27/2023,"..1.00","..1.00","..0.92","..1.00","259,644"
02/23/2023,"..1.00","..0.93","..0.92","..1.00","44,040"
02/22/2023,"..1.00","..0.95","..0.93","..1.00","23,400"
02/21/2023,"..1.00","..0.95","..0.94","..1.00","156,813"
02/20/2023,"..1.00","..0.99","..0.95","..1.00","97,279"
02/16/2023,"..1.00","..1.00","..0.95","..1.00","37,101"
02/15/2023,"..1.00","..1.00","..0.94","..1.00","24,521"
02/14/2023,"..1.08","..1.03","..0.87","..1.00","563,845"
02/13/2023,"..1.08","..0.93","..0.91","..1.08","2,175"
02/09/2023,"..1.08","..0.93","..0.90","..1.08","123,335"
02/08/2023,"..1.08","..0.92","..0.90","..1.08","138,444"
02/07/2023,"..1.08","..0.94","..0.90","..1.08","177,116"
02/06/2023,"..1.08","..0.89","..0.87","..1.08","80,810"
02/02/2023,"..1.08","..0.96","..0.91","..1.08","229,339"
02/01/2023,"..1.08","..0.98","..0.95","..1.08","148,019"
01/31/2023,"..1.08","..1.02","..0.95","..1.08","145,582"
01/30/2023,"..1.08","..1.04","..1.00","..1.08","60,425"
01/25/2023,"..1.08","..1.04","..1.00","..1.08","74,271"
01/24/2023,"..1.08","..1.04","..1.00","..1.08","11,686"
01/23/2023,"..1.08","..1.04","..1.01","..1.08","101,002"
01/19/2023,"..1.08","..1.05","..1.02","..1.08","82,456"
01/18/2023,"..1.08","..1.08","..1.00","..1.08","203,941"
01/17/2023,"..1.08","..1.04","..1.02","..1.08","130,830"
01/16/2023,"..1.08","..1.03","..1.01","..1.08","215,994"
01/12/2023,"..1.08","..1.05","..1.02","..1.08","20,868"
01/11/2023,"..1.08","..1.07","..1.02","..1.08","113,630"
01/10/2023,"..1.08","..1.06","..1.04","..1.08","102,984"
01/09/2023,"..1.08","..1.08","..1.06","..1.08","115,109"
01/05/2023,"..1.11","..1.11","..1.07","..1.08","295,985"
01/04/2023,"..1.11","..1.11","..1.08","..1.11","101,548"
01/03/2023,"..1.12","..1.12","..1.06","..1.11","278,388"
01/02/2023,"..1.12","..1.10","..1.06","..1.12","145,301"
12/29/2022,"..1.12","..1.06","..1.04","..1.12","93,875"
12/28/2022,"..1.12","..1.09","..1.06","..1.12","98,000"
12/27/2022,"..1.12","..1.11","..1.05","..1.12","92,750"
12/26/2022,"..1.12","..1.10","..1.05","..1.12","57,050"
12/22/2022,"..1.12","..1.10","..1.08","..1.12","20,091"
12/21/2022,"..1.12","..1.12","..1.08","..1.12","140,113"
12/20/2022,"..1.12","..1.10","..1.08","..1.12","27,863"
12/19/2022,"..1.12","..1.11","..1.08","..1.12","136,460"
12/15/2022,"..1.12","..1.15","..1.11","..1.12","263,120"
12/14/2022,"..1.09","..1.15","..1.09","..1.12","416,766"
12/13/2022,"..1.11","..1.14","..1.08","..1.09","549,700"
12/12/2022,"..1.14","..1.15","..1.09","..1.11","280,660"
12/08/2022,"..1.26","..1.28","..1.17","..1.18","1,265,231"
12/07/2022,"..1.35","..1.47","..1.18","..1.26","2,918,444"
12/06/2022,"..1.12","..1.35","..1.14","..1.35","512,719"
12/05/2022,"..1.12","..1.18","..1.11","..1.12","225,873"
12/01/2022,"..1.08","..1.09","..1.04","..1.07","344,101"
11/30/2022,"..1.08","..1.08","..1.04","..1.08","138,916"
11/29/2022,"..1.08","..1.06","..1.04","..1.08","234,677"
11/28/2022,"..1.08","..1.07","..1.04","..1.08","157,343"
11/24/2022,"..1.08","..1.07","..1.02","..1.08","64,365"
11/23/2022,"..1.08","..1.05","..1.05","..1.08","69,796"
11/22/2022,"..1.08","..1.07","..1.05","..1.08","68,370"
11/21/2022,"..1.08","..1.09","..1.06","..1.08","178,262"
11/17/2022,"..1.14","..1.10","..1.07","..1.14","78,907"
11/16/2022,"..1.14","..1.10","..1.06","..1.14","126,599"
11/15/2022,"..1.14","..1.10","..1.06","..1.14","144,598"
11/14/2022,"..1.14","..1.11","..1.05","..1.14","196,391"
11/10/2022,"..1.14","..1.11","..1.03","..1.14","74,674"
11/09/2022,"..1.14","..1.16","..1.02","..1.14","207,754"
11/08/2022,"..1.15","..1.25","..1.12","..1.14","1,178,131"
11/07/2022,"..1.10","..1.12","..1.06","..1.10","270,655"
11/03/2022,"..1.14","..1.20","..1.05","..1.10","342,025"
11/02/2022,"..1.03","..1.23","..1.06","..1.14","1,317,980"
11/01/2022,"..1.03","..1.06","..1.03","..1.03","265,130"
10/31/2022,"..1.03","..1.04","..1.02","..1.03","41,695"
10/27/2022,"..1.06","..1.00","..0.97","..1.06","139,665"
10/26/2022,"..1.06","..1.01","..0.97","..1.06","77,575"
10/25/2022,"..1.06","..1.04","..0.96","..1.06","87,575"
10/24/2022,"..1.06","..1.06","..1.03","..1.06","76,425"
10/20/2022,"..1.06","..1.00","..0.99","..1.06","85,980"
10/19/2022,"..1.06","..0.98","..0.95","..1.06","159,200"
10/18/2022,"..1.06","..1.03","..0.94","..1.06","93,095"
10/17/2022,"..1.06","..1.03","..0.94","..1.06","109,035"
10/13/2022,"..1.06","..1.06","..0.93","..1.06","111,065"
10/12/2022,"..1.06","..0.98","..0.96","..1.06","101,745"
10/11/2022,"..1.06","..1.06","..0.92","..1.06","112,430"
10/10/2022,"..1.06","..1.00","..0.98","..1.06","76,870"
10/05/2022,"..1.06","..1.02","..1.02","..1.06","60,555"
10/04/2022,"..1.06","..1.02","..1.01","..1.06","102,725"
10/03/2022,"..1.06","..1.06","..1.00","..1.06","69,020"
09/29/2022,"..1.06","..1.10","..1.01","..1.06","73,630"
09/28/2022,"..1.06","..1.06","..1.01","..1.06","174,030"
09/27/2022,"..1.06","..1.06","..1.03","..1.06","207,985"
09/26/2022,"..1.06","..1.04","..1.02","..1.06","47,570"
